

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.28000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -1.54699439E-01      0.00000000E+00
       1     -1.54058434E+00     -1.53853865E+00
       2      7.93505718E-01      7.93943561E-01
       3      3.96490601E-01      3.96649033E-01
       4      2.02383944E-01      2.02453654E-01
       5      1.05827961E-01      1.05861511E-01
       6      5.64932417E-02      5.65102372E-02
       7      3.06579468E-02      3.06668431E-02
       8      1.68562377E-02      1.68610008E-02
       9      9.36559569E-03      9.36818829E-03
      10      5.24842398E-03      5.24985313E-03
      11      2.96207231E-03      2.96286806E-03
      12      1.68161019E-03      1.68205690E-03
      13      9.59412033E-04      9.59664498E-04
      14      5.49661789E-04      5.49805281E-04
      15      3.16019531E-04      3.16101475E-04
      16      1.82231556E-04      1.82278540E-04
      17      1.05347808E-04      1.05374838E-04
      18      6.10312221E-05      6.10468168E-05
      19      3.54210982E-05      3.54301173E-05
      20      2.05890514E-05      2.05942784E-05
      21      1.19832528E-05      1.19862873E-05
      22      6.98220612E-06      6.98397042E-06
      23      4.07210501E-06      4.07313208E-06
      24      2.37680529E-06      2.37740383E-06
      25      1.38824438E-06      1.38859350E-06
      26      8.11321900E-07      8.11525700E-07
      27      4.74394073E-07      4.74513123E-07
      28      2.77506660E-07      2.77576239E-07
      29      1.62393945E-07      1.62434634E-07
      30      9.50618781E-08      9.50856766E-08
      31      5.56626392E-08      5.56765690E-08
      32      3.26006670E-08      3.26088231E-08
      33      1.90977052E-08      1.91024779E-08
      34      1.11895734E-08      1.11923718E-08
      35      6.55716866E-09      6.55880397E-09
      36      3.84305929E-09      3.84402202E-09
      37      2.25265731E-09      2.25321816E-09
      38      1.32054398E-09      1.32087603E-09
      39      7.74155433E-10      7.74346568E-10
      40      4.53872840E-10      4.53983754E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.40207E-16  0.000E+00  1.244E-08  9.250E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.40207E-16  3.899E-10  1.244E-08  9.250E-09  1.938E-18  5.207E-18  1.00E-07
  1.250E-04 2.40207E-16  4.873E-10  1.244E-08  9.250E-09  2.423E-18  6.509E-18  1.00E-07
  1.500E-04 2.40207E-16  5.848E-10  1.244E-08  9.250E-09  2.907E-18  7.810E-18  1.00E-07
  1.750E-04 2.40207E-16  6.823E-10  1.244E-08  9.250E-09  3.392E-18  9.112E-18  1.00E-07
  2.000E-04 2.40207E-16  7.797E-10  1.244E-08  9.250E-09  3.876E-18  1.041E-17  1.00E-07
  2.250E-04 2.40207E-16  8.772E-10  1.244E-08  9.250E-09  4.361E-18  1.172E-17  1.00E-07
  2.500E-04 2.40207E-16  9.747E-10  1.244E-08  9.250E-09  4.845E-18  1.302E-17  1.00E-07
  2.750E-04 2.40207E-16  1.072E-09  1.244E-08  9.250E-09  5.330E-18  1.432E-17  1.00E-07
  3.000E-04 2.40207E-16  1.170E-09  1.244E-08  9.250E-09  5.815E-18  1.562E-17  1.00E-07
  3.250E-04 2.40207E-16  1.267E-09  1.244E-08  9.250E-09  6.299E-18  1.692E-17  1.00E-07
  3.500E-04 2.40207E-16  1.365E-09  1.244E-08  9.250E-09  6.784E-18  1.822E-17  1.00E-07
  3.750E-04 2.40207E-16  1.462E-09  1.244E-08  9.250E-09  7.268E-18  1.953E-17  1.00E-07
  4.000E-04 2.40207E-16  1.559E-09  1.244E-08  9.250E-09  7.753E-18  2.083E-17  1.00E-07
  4.250E-04 2.40207E-16  1.657E-09  1.244E-08  9.250E-09  8.237E-18  2.213E-17  1.00E-07
  4.500E-04 2.40207E-16  1.754E-09  1.244E-08  9.250E-09  8.722E-18  2.343E-17  1.00E-07
  4.750E-04 2.40207E-16  1.852E-09  1.244E-08  9.250E-09  9.206E-18  2.473E-17  1.00E-07
  5.000E-04 2.40207E-16  1.949E-09  1.244E-08  9.250E-09  9.691E-18  2.603E-17  1.00E-07
  5.250E-04 2.40207E-16  2.047E-09  1.244E-08  9.250E-09  1.018E-17  2.734E-17  1.00E-07
  5.500E-04 2.40207E-16  2.144E-09  1.244E-08  9.250E-09  1.066E-17  2.864E-17  1.00E-07
  5.750E-04 2.40207E-16  2.242E-09  1.244E-08  9.250E-09  1.114E-17  2.994E-17  1.00E-07
  6.000E-04 2.40207E-16  2.339E-09  1.244E-08  9.250E-09  1.163E-17  3.124E-17  1.00E-07
  6.250E-04 2.40207E-16  2.437E-09  1.244E-08  9.250E-09  1.211E-17  3.254E-17  1.00E-07
  6.500E-04 2.40207E-16  2.534E-09  1.244E-08  9.250E-09  1.260E-17  3.384E-17  1.00E-07
  6.750E-04 2.40207E-16  2.632E-09  1.244E-08  9.250E-09  1.308E-17  3.515E-17  1.00E-07
  7.000E-04 2.40207E-16  2.729E-09  1.244E-08  9.250E-09  1.357E-17  3.645E-17  1.00E-07
  7.250E-04 2.40207E-16  2.827E-09  1.244E-08  9.250E-09  1.405E-17  3.775E-17  1.00E-07
  7.500E-04 2.40207E-16  2.924E-09  1.244E-08  9.250E-09  1.454E-17  3.905E-17  1.00E-07
  7.750E-04 2.40207E-16  3.022E-09  1.244E-08  9.250E-09  1.502E-17  4.035E-17  1.00E-07
  8.000E-04 2.40207E-16  3.119E-09  1.244E-08  9.250E-09  1.551E-17  4.165E-17  1.00E-07
  8.250E-04 2.40207E-16  3.216E-09  1.244E-08  9.250E-09  1.599E-17  4.296E-17  1.00E-07
  8.500E-04 2.40207E-16  3.314E-09  1.244E-08  9.250E-09  1.647E-17  4.426E-17  1.00E-07
  8.750E-04 2.40207E-16  3.411E-09  1.244E-08  9.250E-09  1.696E-17  4.556E-17  1.00E-07
  9.000E-04 2.40207E-16  3.509E-09  1.244E-08  9.250E-09  1.744E-17  4.686E-17  1.00E-07
  9.250E-04 2.40207E-16  3.606E-09  1.244E-08  9.250E-09  1.793E-17  4.816E-17  1.00E-07
  9.500E-04 2.40207E-16  3.704E-09  1.244E-08  9.250E-09  1.841E-17  4.947E-17  1.00E-07
  9.750E-04 2.40207E-16  3.801E-09  1.244E-08  9.250E-09  1.890E-17  5.077E-17  1.00E-07
  1.000E-03 2.40207E-16  3.899E-09  1.244E-08  9.250E-09  1.938E-17  5.207E-17  1.00E-07
  1.250E-03 2.40207E-16  4.873E-09  1.244E-08  9.250E-09  2.423E-17  6.509E-17  1.00E-07
  1.500E-03 2.40207E-16  5.848E-09  1.244E-08  9.250E-09  2.907E-17  7.810E-17  1.00E-07
  1.750E-03 2.40207E-16  6.823E-09  1.244E-08  9.250E-09  3.392E-17  9.112E-17  1.00E-07
  2.000E-03 2.40207E-16  7.797E-09  1.244E-08  9.250E-09  3.876E-17  1.041E-16  1.00E-07
  2.250E-03 2.40207E-16  8.772E-09  1.244E-08  9.250E-09  4.361E-17  1.172E-16  1.00E-07
  2.500E-03 2.40207E-16  9.747E-09  1.244E-08  9.250E-09  4.845E-17  1.302E-16  1.00E-07
  2.750E-03 2.40207E-16  1.072E-08  1.244E-08  9.250E-09  5.330E-17  1.432E-16  1.00E-07
  3.000E-03 2.40207E-16  1.170E-08  1.244E-08  9.250E-09  5.815E-17  1.562E-16  1.00E-07
  3.250E-03 2.40207E-16  1.267E-08  1.244E-08  9.250E-09  6.299E-17  1.692E-16  1.00E-07
  3.500E-03 2.40207E-16  1.365E-08  1.244E-08  9.250E-09  6.784E-17  1.822E-16  1.00E-07
  3.750E-03 2.40207E-16  1.462E-08  1.244E-08  9.250E-09  7.268E-17  1.953E-16  1.00E-07
  4.000E-03 2.40207E-16  1.559E-08  1.244E-08  9.250E-09  7.753E-17  2.083E-16  1.00E-07
  4.250E-03 2.40207E-16  1.657E-08  1.244E-08  9.250E-09  8.237E-17  2.213E-16  1.00E-07
  4.500E-03 2.40207E-16  1.754E-08  1.244E-08  9.250E-09  8.722E-17  2.343E-16  1.00E-07
  4.750E-03 2.40207E-16  1.852E-08  1.244E-08  9.250E-09  9.206E-17  2.473E-16  1.00E-07
  5.000E-03 2.40207E-16  1.949E-08  1.244E-08  9.250E-09  9.691E-17  2.603E-16  1.00E-07
  5.250E-03 2.40207E-16  2.047E-08  1.244E-08  9.250E-09  1.018E-16  2.734E-16  1.00E-07
  5.500E-03 2.40207E-16  2.144E-08  1.244E-08  9.250E-09  1.066E-16  2.864E-16  1.00E-07
  5.750E-03 2.40207E-16  2.242E-08  1.244E-08  9.250E-09  1.114E-16  2.994E-16  1.00E-07
  6.000E-03 2.40207E-16  2.339E-08  1.244E-08  9.250E-09  1.163E-16  3.124E-16  1.00E-07
  6.250E-03 2.40207E-16  2.437E-08  1.244E-08  9.250E-09  1.211E-16  3.254E-16  1.00E-07
  6.500E-03 2.40207E-16  2.534E-08  1.244E-08  9.250E-09  1.260E-16  3.384E-16  1.00E-07
  6.750E-03 2.40207E-16  2.632E-08  1.244E-08  9.250E-09  1.308E-16  3.515E-16  1.00E-07
  7.000E-03 2.40207E-16  2.729E-08  1.244E-08  9.250E-09  1.357E-16  3.645E-16  1.00E-07
  7.250E-03 2.40207E-16  2.827E-08  1.244E-08  9.250E-09  1.405E-16  3.775E-16  1.00E-07
  7.500E-03 2.40207E-16  2.924E-08  1.244E-08  9.250E-09  1.454E-16  3.905E-16  1.00E-07
  7.750E-03 2.40207E-16  3.022E-08  1.244E-08  9.250E-09  1.502E-16  4.035E-16  1.00E-07
  8.000E-03 2.40207E-16  3.119E-08  1.244E-08  9.250E-09  1.551E-16  4.165E-16  1.00E-07
  8.250E-03 2.40207E-16  3.216E-08  1.244E-08  9.250E-09  1.599E-16  4.296E-16  1.00E-07
  8.500E-03 2.40207E-16  3.314E-08  1.244E-08  9.250E-09  1.647E-16  4.426E-16  1.00E-07
  8.750E-03 2.40207E-16  3.411E-08  1.244E-08  9.250E-09  1.696E-16  4.556E-16  1.00E-07
  9.000E-03 2.40207E-16  3.509E-08  1.244E-08  9.250E-09  1.744E-16  4.686E-16  1.00E-07
  9.250E-03 2.40207E-16  3.606E-08  1.244E-08  9.250E-09  1.793E-16  4.816E-16  1.00E-07
  9.500E-03 2.40207E-16  3.704E-08  1.244E-08  9.250E-09  1.841E-16  4.947E-16  1.00E-07
  9.750E-03 2.40207E-16  3.801E-08  1.244E-08  9.250E-09  1.890E-16  5.077E-16  1.00E-07
  1.000E-02 2.40207E-16  3.899E-08  1.244E-08  9.250E-09  1.938E-16  5.207E-16  1.00E-07
  1.250E-02 2.40207E-16  4.873E-08  1.244E-08  9.250E-09  2.423E-16  6.509E-16  1.00E-07
  1.500E-02 2.40207E-16  5.848E-08  1.244E-08  9.250E-09  2.907E-16  7.810E-16  1.00E-07
  1.750E-02 2.40207E-16  6.823E-08  1.244E-08  9.250E-09  3.392E-16  9.112E-16  1.00E-07
  2.000E-02 2.40207E-16  7.797E-08  1.244E-08  9.250E-09  3.876E-16  1.041E-15  1.00E-07
  2.250E-02 2.40207E-16  8.772E-08  1.244E-08  9.250E-09  4.361E-16  1.172E-15  1.00E-07
  2.500E-02 2.40207E-16  9.747E-08  1.244E-08  9.250E-09  4.845E-16  1.302E-15  1.00E-07
  2.750E-02 2.40207E-16  1.072E-07  1.244E-08  9.250E-09  5.330E-16  1.432E-15  1.00E-07
  3.000E-02 2.40207E-16  1.170E-07  1.244E-08  9.250E-09  5.815E-16  1.562E-15  1.00E-07
  3.250E-02 2.40207E-16  1.267E-07  1.244E-08  9.249E-09  6.299E-16  1.692E-15  1.00E-07
  3.500E-02 2.40207E-16  1.365E-07  1.244E-08  9.249E-09  6.784E-16  1.822E-15  1.00E-07
  3.750E-02 2.40206E-16  1.462E-07  1.244E-08  9.249E-09  7.268E-16  1.953E-15  1.00E-07
  4.000E-02 2.40206E-16  1.559E-07  1.244E-08  9.249E-09  7.753E-16  2.083E-15  1.00E-07
  4.250E-02 2.40206E-16  1.657E-07  1.244E-08  9.249E-09  8.237E-16  2.213E-15  1.00E-07
  4.500E-02 2.40206E-16  1.754E-07  1.244E-08  9.249E-09  8.722E-16  2.343E-15  1.00E-07
  4.750E-02 2.40206E-16  1.852E-07  1.244E-08  9.249E-09  9.206E-16  2.473E-15  1.00E-07
  5.000E-02 2.40206E-16  1.949E-07  1.244E-08  9.249E-09  9.691E-16  2.603E-15  1.00E-07
  5.250E-02 2.40205E-16  2.047E-07  1.244E-08  9.249E-09  1.018E-15  2.734E-15  1.00E-07
  5.500E-02 2.40205E-16  2.144E-07  1.244E-08  9.249E-09  1.066E-15  2.864E-15  1.00E-07
  5.750E-02 2.40205E-16  2.242E-07  1.244E-08  9.249E-09  1.114E-15  2.994E-15  1.00E-07
  6.000E-02 2.40205E-16  2.339E-07  1.244E-08  9.249E-09  1.163E-15  3.124E-15  1.00E-07
  6.250E-02 2.40205E-16  2.437E-07  1.244E-08  9.249E-09  1.211E-15  3.254E-15  1.00E-07
  6.500E-02 2.40204E-16  2.534E-07  1.244E-08  9.249E-09  1.260E-15  3.384E-15  1.00E-07
  6.750E-02 2.40204E-16  2.632E-07  1.244E-08  9.249E-09  1.308E-15  3.515E-15  1.00E-07
  7.000E-02 2.40204E-16  2.729E-07  1.244E-08  9.249E-09  1.357E-15  3.645E-15  1.00E-07
  7.250E-02 2.40204E-16  2.827E-07  1.244E-08  9.249E-09  1.405E-15  3.775E-15  1.00E-07
  7.500E-02 2.40203E-16  2.924E-07  1.244E-08  9.249E-09  1.454E-15  3.905E-15  1.00E-07
  7.750E-02 2.40203E-16  3.022E-07  1.244E-08  9.249E-09  1.502E-15  4.035E-15  1.00E-07
  8.000E-02 2.40203E-16  3.119E-07  1.244E-08  9.249E-09  1.551E-15  4.165E-15  1.00E-07
  8.250E-02 2.40203E-16  3.216E-07  1.244E-08  9.249E-09  1.599E-15  4.296E-15  1.00E-07
  8.500E-02 2.40202E-16  3.314E-07  1.244E-08  9.249E-09  1.647E-15  4.426E-15  1.00E-07
  8.750E-02 2.40202E-16  3.411E-07  1.244E-08  9.249E-09  1.696E-15  4.556E-15  1.00E-07
  9.000E-02 2.40202E-16  3.509E-07  1.244E-08  9.249E-09  1.744E-15  4.686E-15  1.00E-07
  9.250E-02 2.40201E-16  3.606E-07  1.244E-08  9.249E-09  1.793E-15  4.816E-15  1.00E-07
  9.500E-02 2.40201E-16  3.704E-07  1.244E-08  9.249E-09  1.841E-15  4.947E-15  1.00E-07
  9.750E-02 2.40201E-16  3.801E-07  1.244E-08  9.249E-09  1.890E-15  5.077E-15  1.00E-07
  1.000E-01 2.40200E-16  3.899E-07  1.244E-08  9.249E-09  1.938E-15  5.207E-15  1.00E-07
  1.250E-01 2.40196E-16  4.874E-07  1.244E-08  9.249E-09  2.423E-15  6.509E-15  1.00E-07
  1.500E-01 2.40192E-16  5.848E-07  1.244E-08  9.249E-09  2.907E-15  7.810E-15  1.00E-07
  1.750E-01 2.40186E-16  6.823E-07  1.244E-08  9.249E-09  3.391E-15  9.112E-15  1.00E-07
  2.000E-01 2.40179E-16  7.798E-07  1.244E-08  9.249E-09  3.876E-15  1.041E-14  1.00E-07
