

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.00000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -8.84679855E-02      0.00000000E+00
       1      1.54257831E+00      1.54360768E+00
       2      7.06194757E-01      7.06381688E-01
       3      3.26764478E-01      3.26827428E-01
       4      1.54140726E-01      1.54166777E-01
       5      7.42810503E-02      7.42927933E-02
       6      3.64243636E-02      3.64299009E-02
       7      1.81005825E-02      1.81032646E-02
       8      9.08862372E-03      9.08994584E-03
       9      4.60181014E-03      4.60247006E-03
      10      2.34618081E-03      2.34651336E-03
      11      1.20317089E-03      1.20333977E-03
      12      6.20082120E-04      6.20168434E-04
      13      3.20929037E-04      3.20973393E-04
      14      1.66698028E-04      1.66720929E-04
      15      8.68501887E-05      8.68620591E-05
      16      4.53645157E-05      4.53706894E-05
      17      2.37454204E-05      2.37486404E-05
      18      1.24508438E-05      1.24525273E-05
      19      6.53781597E-06      6.53869783E-06
      20      3.43685721E-06      3.43731990E-06
      21      1.80835299E-06      1.80859607E-06
      22      9.52164351E-07      9.52292191E-07
      23      5.01620849E-07      5.01688138E-07
      24      2.64371204E-07      2.64406641E-07
      25      1.39372837E-07      1.39391514E-07
      26      7.34897147E-08      7.34995597E-08
      27      3.87547622E-08      3.87599518E-08
      28      2.04384088E-08      2.04411424E-08
      29      1.07788340E-08      1.07802783E-08
      30      5.68432368E-09      5.68508473E-09
      31      2.99741908E-09      2.99782088E-09
      32      1.58040484E-09      1.58062039E-09
      33      8.33203465E-10      8.33316704E-10
      34      4.39213961E-10      4.39271824E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.79133E-16  0.000E+00  1.536E-08  1.196E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.79133E-16  2.436E-10  1.536E-08  1.196E-08  3.312E-19  3.264E-18  1.00E-07
  1.250E-04 3.79133E-16  3.045E-10  1.536E-08  1.196E-08  4.140E-19  4.079E-18  1.00E-07
  1.500E-04 3.79133E-16  3.654E-10  1.536E-08  1.196E-08  4.968E-19  4.895E-18  1.00E-07
  1.750E-04 3.79133E-16  4.262E-10  1.536E-08  1.196E-08  5.796E-19  5.711E-18  1.00E-07
  2.000E-04 3.79133E-16  4.871E-10  1.536E-08  1.196E-08  6.624E-19  6.527E-18  1.00E-07
  2.250E-04 3.79133E-16  5.480E-10  1.536E-08  1.196E-08  7.452E-19  7.343E-18  1.00E-07
  2.500E-04 3.79133E-16  6.089E-10  1.536E-08  1.196E-08  8.280E-19  8.159E-18  1.00E-07
  2.750E-04 3.79133E-16  6.698E-10  1.536E-08  1.196E-08  9.108E-19  8.975E-18  1.00E-07
  3.000E-04 3.79133E-16  7.307E-10  1.536E-08  1.196E-08  9.936E-19  9.791E-18  1.00E-07
  3.250E-04 3.79133E-16  7.916E-10  1.536E-08  1.196E-08  1.076E-18  1.061E-17  1.00E-07
  3.500E-04 3.79133E-16  8.525E-10  1.536E-08  1.196E-08  1.159E-18  1.142E-17  1.00E-07
  3.750E-04 3.79133E-16  9.134E-10  1.536E-08  1.196E-08  1.242E-18  1.224E-17  1.00E-07
  4.000E-04 3.79133E-16  9.743E-10  1.536E-08  1.196E-08  1.325E-18  1.305E-17  1.00E-07
  4.250E-04 3.79133E-16  1.035E-09  1.536E-08  1.196E-08  1.408E-18  1.387E-17  1.00E-07
  4.500E-04 3.79133E-16  1.096E-09  1.536E-08  1.196E-08  1.490E-18  1.469E-17  1.00E-07
