    
 E (eV)=   180.000000000000     
       0     -4.76476846E-01      0.00000000E+00
       1      1.40035002E+00      1.40146149E+00
       2      7.52827081E-01      7.53085703E-01
       3      4.23438481E-01      4.23546855E-01
       4      2.41043976E-01      2.41098779E-01
       5      1.38392863E-01      1.38422433E-01
       6      8.01562433E-02      8.01727198E-02
       7      4.68078552E-02      4.68172240E-02
       8      2.75319359E-02      2.75373396E-02
       9      1.62958133E-02      1.62989631E-02
      10      9.69803214E-03      9.69988341E-03
      11      5.79923741E-03      5.80033279E-03
      12      3.48257319E-03      3.48322498E-03
      13      2.09928285E-03      2.09967258E-03
      14      1.26972083E-03      1.26995486E-03
      15      7.70293281E-04      7.70434357E-04
      16      4.68568308E-04      4.68653635E-04
      17      2.85712245E-04      2.85764010E-04
      18      1.74584085E-04      1.74615574E-04
      19      1.06878613E-04      1.06897814E-04
      20      6.55370969E-05      6.55488297E-05
      21      4.02441472E-05      4.02513300E-05
      22      2.47431504E-05      2.47475550E-05
      23      1.52289474E-05      1.52316522E-05
      24      9.38169110E-06      9.38335412E-06
      25      5.78401972E-06      5.78504331E-06
      26      3.56831835E-06      3.56894895E-06
      27      2.20260505E-06      2.20299384E-06
      28      1.36021805E-06      1.36045791E-06
      29      8.40318600E-07      8.40466665E-07
      30      5.19292750E-07      5.19384189E-07
      31      3.20986489E-07      3.21042980E-07
      32      1.98446831E-07      1.98481745E-07
      33      1.22705676E-07      1.22727260E-07
      34      7.58807140E-08      7.58940586E-08
      35      4.69276718E-08      4.69359234E-08
      36      2.90231464E-08      2.90282450E-08
      37      1.79501868E-08      1.79533405E-08
      38      1.11017775E-08      1.11037310E-08
      39      6.86602634E-09      6.86723517E-09
      40      4.24617657E-09      4.24691917E-09
      41      2.62585704E-09      2.62631860E-09
      42      1.62377160E-09      1.62405621E-09
      43      1.00399550E-09      1.00417687E-09
      44      6.20680848E-10      6.20791762E-10
      45      3.83712272E-10      3.83781332E-10

  TOTAL ELASTIC CROSS SECTION = 1.995623E-16 cm**2
               FROM DCS TABLE = 1.995582E-16  (REL. DIF. = 2.02E-05)

  1ST TRANSPORT CROSS SECTION = 5.766467E-17 cm**2
               FROM DCS TABLE = 5.766468E-17  (REL. DIF. = 1.26E-07)

  2ND TRANSPORT CROSS SECTION = 8.446167E-17 cm**2
