    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  7.750E-04 2.45822E-16  3.048E-09  1.276E-08  9.107E-09  2.281E-17  4.563E-17  1.00E-07
  8.000E-04 2.45822E-16  3.146E-09  1.276E-08  9.107E-09  2.354E-17  4.710E-17  1.00E-07
  8.250E-04 2.45822E-16  3.245E-09  1.276E-08  9.107E-09  2.428E-17  4.857E-17  1.00E-07
  8.500E-04 2.45822E-16  3.343E-09  1.276E-08  9.107E-09  2.502E-17  5.004E-17  1.00E-07
  8.750E-04 2.45822E-16  3.441E-09  1.276E-08  9.107E-09  2.575E-17  5.152E-17  1.00E-07
  9.000E-04 2.45822E-16  3.540E-09  1.276E-08  9.107E-09  2.649E-17  5.299E-17  1.00E-07
  9.250E-04 2.45822E-16  3.638E-09  1.276E-08  9.107E-09  2.722E-17  5.446E-17  1.00E-07
  9.500E-04 2.45822E-16  3.736E-09  1.276E-08  9.107E-09  2.796E-17  5.593E-17  1.00E-07
  9.750E-04 2.45822E-16  3.835E-09  1.276E-08  9.107E-09  2.869E-17  5.740E-17  1.00E-07
  1.000E-03 2.45822E-16  3.933E-09  1.276E-08  9.107E-09  2.943E-17  5.888E-17  1.00E-07
  1.250E-03 2.45822E-16  4.916E-09  1.276E-08  9.107E-09  3.679E-17  7.360E-17  1.00E-07
  1.500E-03 2.45822E-16  5.899E-09  1.276E-08  9.107E-09  4.415E-17  8.831E-17  1.00E-07
  1.750E-03 2.45822E-16  6.883E-09  1.276E-08  9.107E-09  5.150E-17  1.030E-16  1.00E-07
  2.000E-03 2.45822E-16  7.866E-09  1.276E-08  9.107E-09  5.886E-17  1.178E-16  1.00E-07
  2.250E-03 2.45822E-16  8.849E-09  1.276E-08  9.107E-09  6.622E-17  1.325E-16  1.00E-07
  2.500E-03 2.45822E-16  9.832E-09  1.276E-08  9.107E-09  7.358E-17  1.472E-16  1.00E-07
  2.750E-03 2.45822E-16  1.082E-08  1.276E-08  9.107E-09  8.093E-17  1.619E-16  1.00E-07
  3.000E-03 2.45822E-16  1.180E-08  1.276E-08  9.107E-09  8.829E-17  1.766E-16  1.00E-07
  3.250E-03 2.45822E-16  1.278E-08  1.276E-08  9.107E-09  9.565E-17  1.913E-16  1.00E-07
  3.500E-03 2.45822E-16  1.377E-08  1.276E-08  9.107E-09  1.030E-16  2.061E-16  1.00E-07
  3.750E-03 2.45822E-16  1.475E-08  1.276E-08  9.107E-09  1.104E-16  2.208E-16  1.00E-07
  4.000E-03 2.45822E-16  1.573E-08  1.276E-08  9.107E-09  1.177E-16  2.355E-16  1.00E-07
  4.250E-03 2.45822E-16  1.672E-08  1.276E-08  9.107E-09  1.251E-16  2.502E-16  1.00E-07
  4.500E-03 2.45822E-16  1.770E-08  1.276E-08  9.107E-09  1.324E-16  2.649E-16  1.00E-07
  4.750E-03 2.45822E-16  1.868E-08  1.276E-08  9.107E-09  1.398E-16  2.797E-16  1.00E-07
  5.000E-03 2.45822E-16  1.966E-08  1.276E-08  9.107E-09  1.472E-16  2.944E-16  1.00E-07
  5.250E-03 2.45822E-16  2.065E-08  1.276E-08  9.107E-09  1.545E-16  3.091E-16  1.00E-07
