 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 1.78000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.63190E-09  9.43735E-10  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  5.63190E-09  9.43735E-10  1.80246E-18  2.66922E-19
  1.250E-04  1.18994E-12  5.63190E-09  9.43735E-10  2.25308E-18  3.33653E-19
  1.500E-04  1.71346E-12  5.63190E-09  9.43735E-10  2.70369E-18  4.00384E-19
  1.750E-04  2.33225E-12  5.63190E-09  9.43735E-10  3.15431E-18  4.67114E-19
  2.000E-04  3.04617E-12  5.63190E-09  9.43735E-10  3.60493E-18  5.33845E-19
  2.250E-04  3.85530E-12  5.63190E-09  9.43735E-10  4.05554E-18  6.00575E-19
  2.500E-04  4.75964E-12  5.63190E-09  9.43735E-10  4.50616E-18  6.67306E-19
  2.750E-04  5.75917E-12  5.63190E-09  9.43735E-10  4.95677E-18  7.34037E-19
  3.000E-04  6.85391E-12  5.63190E-09  9.43735E-10  5.40739E-18  8.00767E-19
  3.250E-04  8.04379E-12  5.63190E-09  9.43735E-10  5.85800E-18  8.67498E-19
  3.500E-04  9.32893E-12  5.63190E-09  9.43735E-10  6.30862E-18  9.34228E-19
  3.750E-04  1.07092E-11  5.63190E-09  9.43735E-10  6.75924E-18  1.00096E-18
  4.000E-04  1.21847E-11  5.63190E-09  9.43735E-10  7.20985E-18  1.06769E-18
  4.250E-04  1.37554E-11  5.63190E-09  9.43735E-10  7.66047E-18  1.13442E-18
  4.500E-04  1.54213E-11  5.63190E-09  9.43735E-10  8.11108E-18  1.20115E-18
  4.750E-04  1.71823E-11  5.63190E-09  9.43735E-10  8.56170E-18  1.26788E-18
  5.000E-04  1.90386E-11  5.63190E-09  9.43735E-10  9.01231E-18  1.33461E-18
  5.250E-04  2.09900E-11  5.63190E-09  9.43735E-10  9.46293E-18  1.40134E-18
  5.500E-04  2.30367E-11  5.63190E-09  9.43735E-10  9.91355E-18  1.46807E-18
  5.750E-04  2.51785E-11  5.63190E-09  9.43735E-10  1.03642E-17  1.53480E-18
  6.000E-04  2.74156E-11  5.63190E-09  9.43735E-10  1.08148E-17  1.60153E-18
  6.250E-04  2.97478E-11  5.63190E-09  9.43735E-10  1.12654E-17  1.66827E-18
  6.500E-04  3.21752E-11  5.63190E-09  9.43735E-10  1.17160E-17  1.73500E-18
  6.750E-04  3.46979E-11  5.63190E-09  9.43735E-10  1.21666E-17  1.80173E-18
  7.000E-04  3.73157E-11  5.63190E-09  9.43735E-10  1.26172E-17  1.86846E-18
  7.250E-04  4.00286E-11  5.63190E-09  9.43735E-10  1.30679E-17  1.93519E-18
  7.500E-04  4.28368E-11  5.63190E-09  9.43735E-10  1.35185E-17  2.00192E-18
  7.750E-04  4.57402E-11  5.63190E-09  9.43735E-10  1.39691E-17  2.06865E-18
  8.000E-04  4.87388E-11  5.63190E-09  9.43735E-10  1.44197E-17  2.13538E-18
  8.250E-04  5.18325E-11  5.63190E-09  9.43735E-10  1.48703E-17  2.20211E-18
  8.500E-04  5.50215E-11  5.63190E-09  9.43735E-10  1.53209E-17  2.26884E-18
  8.750E-04  5.83057E-11  5.63190E-09  9.43735E-10  1.57715E-17  2.33557E-18
  9.000E-04  6.16850E-11  5.63190E-09  9.43735E-10  1.62222E-17  2.40230E-18
  9.250E-04  6.51595E-11  5.63190E-09  9.43735E-10  1.66728E-17  2.46903E-18
  9.500E-04  6.87293E-11  5.63190E-09  9.43735E-10  1.71234E-17  2.53576E-18
  9.750E-04  7.23943E-11  5.63190E-09  9.43735E-10  1.75740E-17  2.60249E-18
  1.000E-03  7.61544E-11  5.63190E-09  9.43735E-10  1.80246E-17  2.66922E-18
  1.250E-03  1.18991E-10  5.63190E-09  9.43735E-10  2.25308E-17  3.33653E-18
  1.500E-03  1.71347E-10  5.63190E-09  9.43735E-10  2.70369E-17  4.00384E-18
  1.750E-03  2.33223E-10  5.63190E-09  9.43735E-10  3.15431E-17  4.67114E-18
  2.000E-03  3.04617E-10  5.63190E-09  9.43735E-10  3.60493E-17  5.33845E-18
  2.250E-03  3.85531E-10  5.63190E-09  9.43735E-10  4.05554E-17  6.00575E-18
  2.500E-03  4.75965E-10  5.63190E-09  9.43735E-10  4.50616E-17  6.67306E-18
  2.750E-03  5.75917E-10  5.63190E-09  9.43735E-10  4.95677E-17  7.34037E-18
  3.000E-03  6.85389E-10  5.63190E-09  9.43735E-10  5.40739E-17  8.00767E-18
  3.250E-03  8.04380E-10  5.63190E-09  9.43735E-10  5.85800E-17  8.67498E-18
  3.500E-03  9.32891E-10  5.63190E-09  9.43735E-10  6.30862E-17  9.34228E-18
  3.750E-03  1.07092E-09  5.63190E-09  9.43735E-10  6.75924E-17  1.00096E-17
  4.000E-03  1.21847E-09  5.63190E-09  9.43735E-10  7.20985E-17  1.06769E-17
  4.250E-03  1.37554E-09  5.63190E-09  9.43735E-10  7.66047E-17  1.13442E-17
  4.500E-03  1.54213E-09  5.63190E-09  9.43735E-10  8.11108E-17  1.20115E-17
  4.750E-03  1.71823E-09  5.63190E-09  9.43735E-10  8.56170E-17  1.26788E-17
  5.000E-03  1.90386E-09  5.63190E-09  9.43735E-10  9.01231E-17  1.33461E-17
  5.250E-03  2.09900E-09  5.63190E-09  9.43735E-10  9.46293E-17  1.40134E-17
  5.500E-03  2.30367E-09  5.63190E-09  9.43735E-10  9.91354E-17  1.46807E-17
  5.750E-03  2.51785E-09  5.63190E-09  9.43735E-10  1.03642E-16  1.53480E-17
  6.000E-03  2.74156E-09  5.63190E-09  9.43735E-10  1.08148E-16  1.60153E-17
  6.250E-03  2.97478E-09  5.63190E-09  9.43735E-10  1.12654E-16  1.66827E-17
  6.500E-03  3.21752E-09  5.63190E-09  9.43735E-10  1.17160E-16  1.73500E-17
  6.750E-03  3.46978E-09  5.63190E-09  9.43735E-10  1.21666E-16  1.80173E-17
  7.000E-03  3.73156E-09  5.63190E-09  9.43735E-10  1.26172E-16  1.86846E-17
  7.250E-03  4.00286E-09  5.63190E-09  9.43735E-10  1.30679E-16  1.93519E-17
  7.500E-03  4.28368E-09  5.63190E-09  9.43735E-10  1.35185E-16  2.00192E-17
  7.750E-03  4.57402E-09  5.63190E-09  9.43735E-10  1.39691E-16  2.06865E-17
  8.000E-03  4.87388E-09  5.63190E-09  9.43735E-10  1.44197E-16  2.13538E-17
  8.250E-03  5.18326E-09  5.63190E-09  9.43735E-10  1.48703E-16  2.20211E-17
  8.500E-03  5.50215E-09  5.63190E-09  9.43735E-10  1.53209E-16  2.26884E-17
  8.750E-03  5.83057E-09  5.63190E-09  9.43735E-10  1.57715E-16  2.33557E-17
  9.000E-03  6.16850E-09  5.63190E-09  9.43735E-10  1.62222E-16  2.40230E-17
  9.250E-03  6.51596E-09  5.63190E-09  9.43735E-10  1.66728E-16  2.46903E-17
  9.500E-03  6.87293E-09  5.63190E-09  9.43735E-10  1.71234E-16  2.53576E-17
  9.750E-03  7.23942E-09  5.63190E-09  9.43735E-10  1.75740E-16  2.60249E-17
  1.000E-02  7.61544E-09  5.63190E-09  9.43735E-10  1.80246E-16  2.66922E-17
  1.250E-02  1.18991E-08  5.63190E-09  9.43735E-10  2.25308E-16  3.33653E-17
  1.500E-02  1.71347E-08  5.63190E-09  9.43735E-10  2.70369E-16  4.00384E-17
  1.750E-02  2.33223E-08  5.63190E-09  9.43735E-10  3.15431E-16  4.67114E-17
