    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  9.500E-04 3.26601E-17 -1.156E-10  5.635E-09  9.500E-10  1.695E-17  2.523E-18  1.00E-07
  9.750E-04 3.26601E-17 -1.187E-10  5.635E-09  9.500E-10  1.740E-17  2.589E-18  1.00E-07
  1.000E-03 3.26601E-17 -1.217E-10  5.635E-09  9.500E-10  1.784E-17  2.655E-18  1.00E-07
  1.250E-03 3.26601E-17 -1.521E-10  5.635E-09  9.500E-10  2.230E-17  3.319E-18  1.00E-07
  1.500E-03 3.26601E-17 -1.826E-10  5.635E-09  9.500E-10  2.676E-17  3.983E-18  1.00E-07
  1.750E-03 3.26601E-17 -2.130E-10  5.635E-09  9.500E-10  3.123E-17  4.647E-18  1.00E-07
  2.000E-03 3.26601E-17 -2.434E-10  5.635E-09  9.500E-10  3.569E-17  5.311E-18  1.00E-07
  2.250E-03 3.26601E-17 -2.738E-10  5.635E-09  9.500E-10  4.015E-17  5.975E-18  1.00E-07
  2.500E-03 3.26601E-17 -3.043E-10  5.635E-09  9.500E-10  4.461E-17  6.638E-18  1.00E-07
  2.750E-03 3.26601E-17 -3.347E-10  5.635E-09  9.500E-10  4.907E-17  7.302E-18  1.00E-07
  3.000E-03 3.26601E-17 -3.651E-10  5.635E-09  9.500E-10  5.353E-17  7.966E-18  1.00E-07
  3.250E-03 3.26601E-17 -3.956E-10  5.635E-09  9.500E-10  5.799E-17  8.630E-18  1.00E-07
  3.500E-03 3.26601E-17 -4.260E-10  5.635E-09  9.500E-10  6.245E-17  9.294E-18  1.00E-07
  3.750E-03 3.26601E-17 -4.564E-10  5.635E-09  9.500E-10  6.691E-17  9.958E-18  1.00E-07
  4.000E-03 3.26601E-17 -4.868E-10  5.635E-09  9.500E-10  7.137E-17  1.062E-17  1.00E-07
  4.250E-03 3.26601E-17 -5.173E-10  5.635E-09  9.500E-10  7.583E-17  1.129E-17  1.00E-07
  4.500E-03 3.26601E-17 -5.477E-10  5.635E-09  9.500E-10  8.029E-17  1.195E-17  1.00E-07
  4.750E-03 3.26601E-17 -5.781E-10  5.635E-09  9.500E-10  8.476E-17  1.261E-17  1.00E-07
  5.000E-03 3.26601E-17 -6.086E-10  5.635E-09  9.500E-10  8.922E-17  1.328E-17  1.00E-07
  5.250E-03 3.26601E-17 -6.390E-10  5.635E-09  9.500E-10  9.368E-17  1.394E-17  1.00E-07
  5.500E-03 3.26601E-17 -6.694E-10  5.635E-09  9.500E-10  9.814E-17  1.460E-17  1.00E-07
  5.750E-03 3.26601E-17 -6.998E-10  5.635E-09  9.500E-10  1.026E-16  1.527E-17  1.00E-07
  6.000E-03 3.26601E-17 -7.303E-10  5.635E-09  9.500E-10  1.071E-16  1.593E-17  1.00E-07
  6.250E-03 3.26601E-17 -7.607E-10  5.635E-09  9.500E-10  1.115E-16  1.660E-17  1.00E-07
  6.500E-03 3.26601E-17 -7.911E-10  5.635E-09  9.500E-10  1.160E-16  1.726E-17  1.00E-07
  6.750E-03 3.26601E-17 -8.215E-10  5.635E-09  9.500E-10  1.204E-16  1.792E-17  1.00E-07
  7.000E-03 3.26601E-17 -8.520E-10  5.635E-09  9.500E-10  1.249E-16  1.859E-17  1.00E-07
  7.250E-03 3.26601E-17 -8.824E-10  5.635E-09  9.500E-10  1.294E-16  1.925E-17  1.00E-07
  7.500E-03 3.26601E-17 -9.128E-10  5.635E-09  9.500E-10  1.338E-16  1.992E-17  1.00E-07
  7.750E-03 3.26601E-17 -9.433E-10  5.635E-09  9.500E-10  1.383E-16  2.058E-17  1.00E-07
  8.000E-03 3.26601E-17 -9.737E-10  5.635E-09  9.500E-10  1.427E-16  2.124E-17  1.00E-07
  8.250E-03 3.26601E-17 -1.004E-09  5.635E-09  9.500E-10  1.472E-16  2.191E-17  1.00E-07
  8.500E-03 3.26601E-17 -1.035E-09  5.635E-09  9.500E-10  1.517E-16  2.257E-17  1.00E-07
  8.750E-03 3.26601E-17 -1.065E-09  5.635E-09  9.500E-10  1.561E-16  2.323E-17  1.00E-07
  9.000E-03 3.26601E-17 -1.095E-09  5.635E-09  9.500E-10  1.606E-16  2.390E-17  1.00E-07
  9.250E-03 3.26601E-17 -1.126E-09  5.635E-09  9.500E-10  1.650E-16  2.456E-17  1.00E-07
  9.500E-03 3.26601E-17 -1.156E-09  5.635E-09  9.500E-10  1.695E-16  2.523E-17  1.00E-07
  9.750E-03 3.26601E-17 -1.187E-09  5.635E-09  9.500E-10  1.740E-16  2.589E-17  1.00E-07
  1.000E-02 3.26601E-17 -1.217E-09  5.635E-09  9.500E-10  1.784E-16  2.655E-17  1.00E-07
