    
 E (eV)=   208.000000000000     
       0     -5.70661733E-01      0.00000000E+00
       1      1.36506541E+00      1.36620386E+00
       2      7.56993504E-01      7.57272221E-01
       3      4.42127514E-01      4.42248970E-01
       4      2.61680924E-01      2.61744872E-01
       5      1.55983901E-01      1.56019780E-01
       6      9.36400753E-02      9.36608145E-02
       7      5.66038678E-02      5.66160793E-02
       8      3.44333751E-02      3.44406599E-02
       9      2.10650063E-02      2.10693951E-02
      10      1.29512786E-02      1.29539433E-02
      11      7.99820767E-03      7.99983590E-03
      12      4.95905279E-03      4.96005303E-03
      13      3.08572483E-03      3.08634214E-03
      14      1.92626564E-03      1.92664818E-03
      15      1.20597900E-03      1.20621693E-03
      16      7.57014234E-04      7.57162701E-04
      17      4.76315736E-04      4.76408655E-04
      18      3.00335460E-04      3.00393769E-04
      19      1.89732159E-04      1.89768837E-04
      20      1.20062415E-04      1.20085537E-04
      21      7.60888782E-05      7.61034819E-05
      22      4.82843456E-05      4.82935852E-05
      23      3.06755498E-05      3.06814045E-05
      24      1.95081204E-05      1.95118352E-05
      25      1.24170365E-05      1.24193963E-05
      26      7.90948404E-06      7.91098463E-06
      27      5.04149881E-06      5.04245388E-06
      28      3.21522386E-06      3.21583220E-06
      29      2.05147447E-06      2.05186221E-06
      30      1.30945917E-06      1.30970645E-06
      31      8.36103810E-07      8.36261578E-07
      32      5.34005377E-07      5.34106078E-07
      33      3.41135001E-07      3.41199304E-07
      34      2.17963142E-07      2.18004209E-07
      35      1.39283296E-07      1.39309537E-07
      36      8.90142103E-08      8.90309787E-08
      37      5.68920770E-08      5.69027917E-08
      38      3.63634995E-08      3.63703427E-08
      39      2.32428897E-08      2.32472607E-08
      40      1.48565200E-08      1.48593138E-08
      41      9.49603521E-09      9.49782281E-09
      42      6.06956792E-09      6.07070928E-09
      43      3.87927498E-09      3.88000514E-09
      44      2.47930687E-09      2.47977452E-09
      45      1.58446812E-09      1.58476611E-09
      46      1.01255892E-09      1.01275005E-09
      47      6.47005884E-10      6.47127960E-10
      48      4.13347993E-10      4.13422634E-10

  TOTAL ELASTIC CROSS SECTION = 1.811563E-16 cm**2
               FROM DCS TABLE = 1.811525E-16  (REL. DIF. = 2.10E-05)

  1ST TRANSPORT CROSS SECTION = 4.689057E-17 cm**2
               FROM DCS TABLE = 4.689055E-17  (REL. DIF. = 4.01E-07)

  2ND TRANSPORT CROSS SECTION = 7.201367E-17 cm**2
