

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.88000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -5.04876962E-01      0.00000000E+00
       1      1.38974912E+00      1.39086840E+00
       2      7.54356498E-01      7.54621044E-01
       3      4.29301871E-01      4.29414099E-01
       4      2.47338333E-01      2.47395803E-01
       5      1.43651608E-01      1.43682991E-01
       6      8.41206305E-02      8.41383145E-02
       7      4.96457509E-02      4.96559142E-02
       8      2.95040821E-02      2.95100048E-02
       9      1.76409776E-02      1.76444650E-02
      10      1.06040774E-02      1.06061477E-02
      11      6.40410948E-03      6.40534660E-03
      12      3.88376571E-03      3.88450909E-03
      13      2.36408551E-03      2.36453435E-03
      14      1.44384789E-03      1.44412004E-03
      15      8.84459497E-04      8.84625134E-04
      16      5.43245936E-04      5.43347085E-04
      17      3.34466016E-04      3.34527971E-04
      18      2.06361769E-04      2.06399819E-04
      19      1.27562222E-04      1.27585647E-04
      20      7.89828960E-05      7.89973482E-05
      21      4.89748534E-05      4.89837866E-05
      22      3.04061510E-05      3.04116820E-05
      23      1.88983926E-05      1.89018222E-05
      24      1.17570325E-05      1.17591617E-05
      25      7.32017234E-06      7.32149571E-06
      26      4.56082505E-06      4.56164834E-06
      27      2.84326805E-06      2.84378065E-06
      28      1.77338795E-06      1.77370734E-06
      29      1.10653577E-06      1.10673489E-06
      30      6.90671524E-07      6.90795716E-07
      31      4.31215868E-07      4.31293359E-07
      32      2.69284476E-07      2.69332848E-07
      33      1.68190126E-07      1.68220325E-07
      34      1.05061715E-07      1.05080576E-07
      35      6.56339191E-08      6.56456997E-08
      36      4.10051317E-08      4.10124904E-08
      37      2.56189952E-08      2.56235929E-08
      38      1.60063412E-08      1.60092152E-08
      39      1.00004575E-08      1.00022519E-08
      40      6.24794430E-09      6.24906221E-09
      41      3.90330296E-09      3.90400137E-09
      42      2.43840887E-09      2.43884657E-09
      43      1.52322402E-09      1.52349887E-09
      44      9.51436813E-10      9.51609811E-10
      45      5.94188394E-10      5.94296518E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.22373E-16  0.000E+00  1.746E-08  1.084E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.22373E-16  2.252E-10  1.746E-08  1.084E-08  4.483E-18  5.506E-18  1.00E-07
  1.250E-04 4.22373E-16  2.815E-10  1.746E-08  1.084E-08  5.604E-18  6.882E-18  1.00E-07
  1.500E-04 4.22373E-16  3.378E-10  1.746E-08  1.084E-08  6.724E-18  8.259E-18  1.00E-07
  1.750E-04 4.22373E-16  3.941E-10  1.746E-08  1.084E-08  7.845E-18  9.635E-18  1.00E-07
  2.000E-04 4.22373E-16  4.504E-10  1.746E-08  1.084E-08  8.966E-18  1.101E-17  1.00E-07
  2.250E-04 4.22373E-16  5.067E-10  1.746E-08  1.084E-08  1.009E-17  1.239E-17  1.00E-07
  2.500E-04 4.22373E-16  5.630E-10  1.746E-08  1.084E-08  1.121E-17  1.376E-17  1.00E-07
  2.750E-04 4.22373E-16  6.193E-10  1.746E-08  1.084E-08  1.233E-17  1.514E-17  1.00E-07
  3.000E-04 4.22373E-16  6.756E-10  1.746E-08  1.084E-08  1.345E-17  1.652E-17  1.00E-07
  3.250E-04 4.22373E-16  7.319E-10  1.746E-08  1.084E-08  1.457E-17  1.789E-17  1.00E-07
  3.500E-04 4.22373E-16  7.882E-10  1.746E-08  1.084E-08  1.569E-17  1.927E-17  1.00E-07
  3.750E-04 4.22373E-16  8.445E-10  1.746E-08  1.084E-08  1.681E-17  2.065E-17  1.00E-07
  4.000E-04 4.22373E-16  9.008E-10  1.746E-08  1.084E-08  1.793E-17  2.202E-17  1.00E-07
  4.250E-04 4.22373E-16  9.571E-10  1.746E-08  1.084E-08  1.905E-17  2.340E-17  1.00E-07
  4.500E-04 4.22373E-16  1.013E-09  1.746E-08  1.084E-08  2.017E-17  2.478E-17  1.00E-07
  4.750E-04 4.22373E-16  1.070E-09  1.746E-08  1.084E-08  2.129E-17  2.615E-17  1.00E-07
  5.000E-04 4.22373E-16  1.126E-09  1.746E-08  1.084E-08  2.241E-17  2.753E-17  1.00E-07
  5.250E-04 4.22373E-16  1.182E-09  1.746E-08  1.084E-08  2.354E-17  2.891E-17  1.00E-07
  5.500E-04 4.22373E-16  1.239E-09  1.746E-08  1.084E-08  2.466E-17  3.028E-17  1.00E-07
