    
 E (eV)=   246.000000000000     
       0      4.85352969E-01      0.00000000E+00
       1      2.52780993E-01      2.52877080E-01
       2      1.48772592E-01      1.48814357E-01
       3      9.12135020E-02      9.12363905E-02
       4      5.69843877E-02      5.69979395E-02
       5      3.59581349E-02      3.59664431E-02
       6      2.28205038E-02      2.28256906E-02
       7      1.45317555E-02      1.45350270E-02
       8      9.27190301E-03      9.27397877E-03
       9      5.92242869E-03      5.92375049E-03
      10      3.78502793E-03      3.78587138E-03
      11      2.41946579E-03      2.42000464E-03
      12      1.54649504E-03      1.54683948E-03
      13      9.88302156E-04      9.88522372E-04
      14      6.31394389E-04      6.31535176E-04
      15      4.03232286E-04      4.03322274E-04
      16      2.57417645E-04      2.57475145E-04
      17      1.64263864E-04      1.64300591E-04
      18      1.04776467E-04      1.04799917E-04
      19      6.68042509E-05      6.68192170E-05
      20      4.25761056E-05      4.25856531E-05
      21      2.71239868E-05      2.71300749E-05
      22      1.72731687E-05      1.72770493E-05
      23      1.09958056E-05      1.09982781E-05
      24      6.99720394E-06      6.99877866E-06
      25      4.45113141E-06      4.45213395E-06
      26      2.83054868E-06      2.83118672E-06
      27      1.79941336E-06      1.79981927E-06
      28      1.14355485E-06      1.14381299E-06
      29      7.26531136E-07      7.26695259E-07
      30      4.61453327E-07      4.61557637E-07
      31      2.93010098E-07      2.93076371E-07
      32      1.86004533E-07      1.86046633E-07
      33      1.18047000E-07      1.18073735E-07
      34      7.48998510E-08      7.49168209E-08
      35      4.75123081E-08      4.75230795E-08
      36      3.01324288E-08      3.01392629E-08
      37      1.91058892E-08      1.91102211E-08
      38      1.21118389E-08      1.21145901E-08
      39      7.67658607E-09      7.67832951E-09
      40      4.86450682E-09      4.86561327E-09
      41      3.08198251E-09      3.08268587E-09
      42      1.95224912E-09      1.95269461E-09
      43      1.23644426E-09      1.23672613E-09
      44      7.82958813E-10      7.83142275E-10
      45      4.95674246E-10      4.95789346E-10

  TOTAL ELASTIC CROSS SECTION = 1.224535E-17 cm**2
               FROM DCS TABLE = 1.224500E-17  (REL. DIF. = 2.93E-05)

  1ST TRANSPORT CROSS SECTION = 1.817739E-18 cm**2
               FROM DCS TABLE = 1.817713E-18  (REL. DIF. = 1.44E-05)

  2ND TRANSPORT CROSS SECTION = 3.819842E-18 cm**2
