

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.14000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -1.11624103E-01      0.00000000E+00
       1     -1.52308643E+00     -1.52105294E+00
       2      7.87457403E-01      7.87880774E-01
       3      3.84740461E-01      3.84889470E-01
       4      1.92428135E-01      1.92492229E-01
       5      9.87898215E-02      9.88200883E-02
       6      5.18346045E-02      5.18496754E-02
       7      2.76659178E-02      2.76736784E-02
       8      1.49654953E-02      1.49695843E-02
       9      8.18239867E-03      8.18458941E-03
      10      4.51271674E-03      4.51390552E-03
      11      2.50665168E-03      2.50730331E-03
      12      1.40062425E-03      1.40098437E-03
      13      7.86496177E-04      7.86696546E-04
      14      4.43476990E-04      4.43589100E-04
      15      2.50932486E-04      2.50995510E-04
      16      1.42401227E-04      1.42436796E-04
      17      8.10103664E-05      8.10305077E-05
      18      4.61816106E-05      4.61930476E-05
      19      2.63729070E-05      2.63794167E-05
      20      1.50830458E-05      1.50867583E-05
      21      8.63700217E-06      8.63912305E-06
      22      4.95104421E-06      4.95225752E-06
      23      2.84066909E-06      2.84136404E-06
      24      1.63108296E-06      1.63148142E-06
      25      9.37160356E-07      9.37389010E-07
      26      5.38756907E-07      5.38888216E-07
      27      3.09868957E-07      3.09944408E-07
      28      1.78295475E-07      1.78338855E-07
      29      1.02625319E-07      1.02650273E-07
      30      5.90880231E-08      5.91023805E-08
      31      3.40296837E-08      3.40379541E-08
      32      1.96026391E-08      1.96073999E-08
      33      1.12941863E-08      1.12969255E-08
      34      6.50828681E-09      6.50986388E-09
      35      3.75097659E-09      3.75188439E-09
      36      2.16211503E-09      2.16263751E-09
      37      1.24637028E-09      1.24667442E-09
      38      7.18523233E-10      7.18696929E-10
      39      4.14270883E-10      4.14371334E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.37265E-16  0.000E+00  1.226E-08  9.328E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.37265E-16  3.866E-10  1.226E-08  9.328E-09  1.435E-18  4.834E-18  1.00E-07
  1.250E-04 2.37265E-16  4.833E-10  1.226E-08  9.328E-09  1.794E-18  6.042E-18  1.00E-07
  1.500E-04 2.37265E-16  5.799E-10  1.226E-08  9.328E-09  2.153E-18  7.251E-18  1.00E-07
  1.750E-04 2.37265E-16  6.766E-10  1.226E-08  9.328E-09  2.512E-18  8.459E-18  1.00E-07
  2.000E-04 2.37265E-16  7.733E-10  1.226E-08  9.328E-09  2.871E-18  9.668E-18  1.00E-07
  2.250E-04 2.37265E-16  8.699E-10  1.226E-08  9.328E-09  3.229E-18  1.088E-17  1.00E-07
  2.500E-04 2.37265E-16  9.666E-10  1.226E-08  9.328E-09  3.588E-18  1.208E-17  1.00E-07
  2.750E-04 2.37265E-16  1.063E-09  1.226E-08  9.328E-09  3.947E-18  1.329E-17  1.00E-07
  3.000E-04 2.37265E-16  1.160E-09  1.226E-08  9.328E-09  4.306E-18  1.450E-17  1.00E-07
  3.250E-04 2.37265E-16  1.257E-09  1.226E-08  9.328E-09  4.665E-18  1.571E-17  1.00E-07
  3.500E-04 2.37265E-16  1.353E-09  1.226E-08  9.328E-09  5.023E-18  1.692E-17  1.00E-07
  3.750E-04 2.37265E-16  1.450E-09  1.226E-08  9.328E-09  5.382E-18  1.813E-17  1.00E-07
  4.000E-04 2.37265E-16  1.547E-09  1.226E-08  9.328E-09  5.741E-18  1.934E-17  1.00E-07
  4.250E-04 2.37265E-16  1.643E-09  1.226E-08  9.328E-09  6.100E-18  2.054E-17  1.00E-07
  4.500E-04 2.37265E-16  1.740E-09  1.226E-08  9.328E-09  6.459E-18  2.175E-17  1.00E-07
  4.750E-04 2.37265E-16  1.836E-09  1.226E-08  9.328E-09  6.818E-18  2.296E-17  1.00E-07
  5.000E-04 2.37265E-16  1.933E-09  1.226E-08  9.328E-09  7.176E-18  2.417E-17  1.00E-07
  5.250E-04 2.37265E-16  2.030E-09  1.226E-08  9.328E-09  7.535E-18  2.538E-17  1.00E-07
  5.500E-04 2.37265E-16  2.126E-09  1.226E-08  9.328E-09  7.894E-18  2.659E-17  1.00E-07
  5.750E-04 2.37265E-16  2.223E-09  1.226E-08  9.328E-09  8.253E-18  2.779E-17  1.00E-07
  6.000E-04 2.37265E-16  2.320E-09  1.226E-08  9.328E-09  8.612E-18  2.900E-17  1.00E-07
  6.250E-04 2.37265E-16  2.416E-09  1.226E-08  9.328E-09  8.970E-18  3.021E-17  1.00E-07
  6.500E-04 2.37265E-16  2.513E-09  1.226E-08  9.328E-09  9.329E-18  3.142E-17  1.00E-07
  6.750E-04 2.37265E-16  2.610E-09  1.226E-08  9.328E-09  9.688E-18  3.263E-17  1.00E-07
  7.000E-04 2.37265E-16  2.706E-09  1.226E-08  9.328E-09  1.005E-17  3.384E-17  1.00E-07
  7.250E-04 2.37265E-16  2.803E-09  1.226E-08  9.328E-09  1.041E-17  3.505E-17  1.00E-07
  7.500E-04 2.37265E-16  2.900E-09  1.226E-08  9.328E-09  1.076E-17  3.625E-17  1.00E-07
