    
 E (eV)=   286.000000000000     
       0      4.63931969E-01      0.00000000E+00
       1      2.47962034E-01      2.48065296E-01
       2      1.50084818E-01      1.50130794E-01
       3      9.47370661E-02      9.47629079E-02
       4      6.09752501E-02      6.09909676E-02
       5      3.96581154E-02      3.96680257E-02
       6      2.59509249E-02      2.59572936E-02
       7      1.70438966E-02      1.70480342E-02
       8      1.12190660E-02      1.12217717E-02
       9      7.39478024E-03      7.39655668E-03
      10      4.87776743E-03      4.87893663E-03
      11      3.21866974E-03      3.21944042E-03
      12      2.12412016E-03      2.12462857E-03
      13      1.40169611E-03      1.40203165E-03
      14      9.24805981E-04      9.25027457E-04
      15      6.10009229E-04      6.10155409E-04
      16      4.02244520E-04      4.02340986E-04
      17      2.65154515E-04      2.65218157E-04
      18      1.74725394E-04      1.74767369E-04
      19      1.15095434E-04      1.15123108E-04
      20      7.57887805E-05      7.58070200E-05
      21      4.98882297E-05      4.99002466E-05
      22      3.28277010E-05      3.28356152E-05
      23      2.15941307E-05      2.15993411E-05
      24      1.41999910E-05      1.42034201E-05
      25      9.33473500E-06      9.33699102E-06
      26      6.13454214E-06      6.13602588E-06
      27      4.03026161E-06      4.03123712E-06
      28      2.64703621E-06      2.64767737E-06
      29      1.73806761E-06      1.73848889E-06
      30      1.14092743E-06      1.14120416E-06
      31      7.48752365E-07      7.48934083E-07
      32      4.91260030E-07      4.91379330E-07
      33      3.22241619E-07      3.22319916E-07
      34      2.11325774E-07      2.11377152E-07
      35      1.38556800E-07      1.38590504E-07
      36      9.08262051E-08      9.08483089E-08
      37      5.95257931E-08      5.95402837E-08
      38      3.90044341E-08      3.90139370E-08
      39      2.55528998E-08      2.55591244E-08
      40      1.67373510E-08      1.67414346E-08
      41      1.09611011E-08      1.09637756E-08
      42      7.17706233E-09      7.17881952E-09
      43      4.69862551E-09      4.69976786E-09
      44      3.07553565E-09      3.07628772E-09
      45      2.01276317E-09      2.01325285E-09
      46      1.31704672E-09      1.31736513E-09
      47      8.61705118E-10      8.61917878E-10
      48      5.63710004E-10      5.63846729E-10

  TOTAL ELASTIC CROSS SECTION = 1.043327E-17 cm**2
               FROM DCS TABLE = 1.043296E-17  (REL. DIF. = 3.03E-05)

  1ST TRANSPORT CROSS SECTION = 1.392985E-18 cm**2
               FROM DCS TABLE = 1.392965E-18  (REL. DIF. = 1.46E-05)

  2ND TRANSPORT CROSS SECTION = 2.971611E-18 cm**2
