 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.48000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.66506E-08  1.12624E-08  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.66506E-08  1.12624E-08  2.63859E-18  4.64264E-18
  1.250E-04  1.18994E-12  1.66506E-08  1.12624E-08  3.29824E-18  5.80331E-18
  1.500E-04  1.71346E-12  1.66506E-08  1.12624E-08  3.95788E-18  6.96397E-18
  1.750E-04  2.33225E-12  1.66506E-08  1.12624E-08  4.61753E-18  8.12463E-18
  2.000E-04  3.04617E-12  1.66506E-08  1.12624E-08  5.27718E-18  9.28529E-18
  2.250E-04  3.85530E-12  1.66506E-08  1.12624E-08  5.93682E-18  1.04460E-17
  2.500E-04  4.75964E-12  1.66506E-08  1.12624E-08  6.59647E-18  1.16066E-17
  2.750E-04  5.75917E-12  1.66506E-08  1.12624E-08  7.25612E-18  1.27673E-17
  3.000E-04  6.85391E-12  1.66506E-08  1.12624E-08  7.91577E-18  1.39279E-17
  3.250E-04  8.04379E-12  1.66506E-08  1.12624E-08  8.57541E-18  1.50886E-17
  3.500E-04  9.32893E-12  1.66506E-08  1.12624E-08  9.23506E-18  1.62493E-17
  3.750E-04  1.07092E-11  1.66506E-08  1.12624E-08  9.89471E-18  1.74099E-17
  4.000E-04  1.21847E-11  1.66506E-08  1.12624E-08  1.05544E-17  1.85706E-17
  4.250E-04  1.37554E-11  1.66506E-08  1.12624E-08  1.12140E-17  1.97312E-17
  4.500E-04  1.54213E-11  1.66506E-08  1.12624E-08  1.18736E-17  2.08919E-17
  4.750E-04  1.71823E-11  1.66506E-08  1.12624E-08  1.25333E-17  2.20526E-17
  5.000E-04  1.90386E-11  1.66506E-08  1.12624E-08  1.31929E-17  2.32132E-17
  5.250E-04  2.09900E-11  1.66506E-08  1.12624E-08  1.38526E-17  2.43739E-17
  5.500E-04  2.30367E-11  1.66506E-08  1.12624E-08  1.45122E-17  2.55345E-17
  5.750E-04  2.51785E-11  1.66506E-08  1.12624E-08  1.51719E-17  2.66952E-17
  6.000E-04  2.74156E-11  1.66506E-08  1.12624E-08  1.58315E-17  2.78559E-17
  6.250E-04  2.97478E-11  1.66506E-08  1.12624E-08  1.64912E-17  2.90165E-17
  6.500E-04  3.21752E-11  1.66506E-08  1.12624E-08  1.71508E-17  3.01772E-17
  6.750E-04  3.46979E-11  1.66506E-08  1.12624E-08  1.78105E-17  3.13379E-17
  7.000E-04  3.73157E-11  1.66506E-08  1.12624E-08  1.84701E-17  3.24985E-17
  7.250E-04  4.00286E-11  1.66506E-08  1.12624E-08  1.91298E-17  3.36592E-17
  7.500E-04  4.28368E-11  1.66506E-08  1.12624E-08  1.97894E-17  3.48198E-17
  7.750E-04  4.57402E-11  1.66506E-08  1.12624E-08  2.04491E-17  3.59805E-17
  8.000E-04  4.87388E-11  1.66506E-08  1.12624E-08  2.11087E-17  3.71412E-17
  8.250E-04  5.18325E-11  1.66506E-08  1.12624E-08  2.17684E-17  3.83018E-17
  8.500E-04  5.50215E-11  1.66506E-08  1.12624E-08  2.24280E-17  3.94625E-17
  8.750E-04  5.83057E-11  1.66506E-08  1.12624E-08  2.30877E-17  4.06231E-17
  9.000E-04  6.16850E-11  1.66506E-08  1.12624E-08  2.37473E-17  4.17838E-17
  9.250E-04  6.51595E-11  1.66506E-08  1.12624E-08  2.44069E-17  4.29445E-17
  9.500E-04  6.87293E-11  1.66506E-08  1.12624E-08  2.50666E-17  4.41051E-17
  9.750E-04  7.23943E-11  1.66506E-08  1.12624E-08  2.57262E-17  4.52658E-17
  1.000E-03  7.61544E-11  1.66506E-08  1.12624E-08  2.63859E-17  4.64264E-17
  1.250E-03  1.18991E-10  1.66506E-08  1.12624E-08  3.29824E-17  5.80331E-17
  1.500E-03  1.71347E-10  1.66506E-08  1.12624E-08  3.95788E-17  6.96397E-17
  1.750E-03  2.33223E-10  1.66506E-08  1.12624E-08  4.61753E-17  8.12463E-17
