

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.76000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.84079631E-01      0.00000000E+00
       1      1.54835025E+00      1.55043816E+00
       2      8.07884861E-01      8.08367941E-01
       3      4.29809014E-01      4.29997630E-01
       4      2.32609701E-01      2.32698288E-01
       5      1.28279760E-01      1.28324834E-01
       6      7.19763286E-02      7.20003381E-02
       7      4.09748235E-02      4.09880023E-02
       8      2.36054482E-02      2.36128369E-02
       9      1.37328342E-02      1.37370425E-02
      10      8.05456008E-03      8.05698637E-03
      11      4.75651677E-03      4.75792941E-03
      12      2.82517241E-03      2.82600151E-03
      13      1.68630161E-03      1.68679151E-03
      14      1.01076051E-03      1.01105161E-03
      15      6.08024993E-04      6.08198813E-04
      16      3.66886604E-04      3.66990821E-04
      17      2.21967515E-04      2.22030221E-04
      18      1.34595821E-04      1.34633665E-04
      19      8.17747461E-05      8.17976453E-05
      20      4.97660559E-05      4.97799431E-05
      21      3.03299519E-05      3.03383899E-05
      22      1.85074898E-05      1.85126253E-05
      23      1.13054032E-05      1.13085332E-05
      24      6.91231607E-06      6.91422611E-06
      25      4.22966145E-06      4.23082824E-06
      26      2.58991482E-06      2.59062824E-06
      27      1.58680416E-06      1.58724071E-06
      28      9.72713541E-07      9.72980853E-07
      29      5.96542044E-07      5.96705823E-07
      30      3.65987753E-07      3.66088152E-07
      31      2.24615497E-07      2.24677073E-07
      32      1.37892878E-07      1.37930655E-07
      33      8.46753907E-08      8.46985704E-08
      34      5.20081999E-08      5.20224339E-08
      35      3.19501663E-08      3.19589104E-08
      36      1.96313624E-08      1.96367330E-08
      37      1.20641339E-08      1.20674348E-08
      38      7.41483638E-09      7.41686303E-09
      39      4.55780084E-09      4.55904267E-09
      40      2.80190538E-09      2.80267201E-09
      41      1.72265686E-09      1.72313260E-09
      42      1.05919870E-09      1.05948610E-09
      43      6.51305031E-10      6.51485703E-10
      44      4.00479154E-10      4.00587278E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.49625E-16  0.000E+00  1.298E-08  9.013E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.49625E-16  3.939E-10  1.298E-08  9.013E-09  3.659E-18  6.331E-18  1.00E-07
  1.250E-04 2.49625E-16  4.924E-10  1.298E-08  9.013E-09  4.574E-18  7.913E-18  1.00E-07
  1.500E-04 2.49625E-16  5.909E-10  1.298E-08  9.013E-09  5.489E-18  9.496E-18  1.00E-07
  1.750E-04 2.49625E-16  6.894E-10  1.298E-08  9.013E-09  6.404E-18  1.108E-17  1.00E-07
  2.000E-04 2.49625E-16  7.878E-10  1.298E-08  9.013E-09  7.319E-18  1.266E-17  1.00E-07
  2.250E-04 2.49625E-16  8.863E-10  1.298E-08  9.013E-09  8.233E-18  1.424E-17  1.00E-07
  2.500E-04 2.49625E-16  9.848E-10  1.298E-08  9.013E-09  9.148E-18  1.583E-17  1.00E-07
  2.750E-04 2.49625E-16  1.083E-09  1.298E-08  9.013E-09  1.006E-17  1.741E-17  1.00E-07
  3.000E-04 2.49625E-16  1.182E-09  1.298E-08  9.013E-09  1.098E-17  1.899E-17  1.00E-07
  3.250E-04 2.49625E-16  1.280E-09  1.298E-08  9.013E-09  1.189E-17  2.057E-17  1.00E-07
  3.500E-04 2.49625E-16  1.379E-09  1.298E-08  9.013E-09  1.281E-17  2.216E-17  1.00E-07
  3.750E-04 2.49625E-16  1.477E-09  1.298E-08  9.013E-09  1.372E-17  2.374E-17  1.00E-07
  4.000E-04 2.49625E-16  1.576E-09  1.298E-08  9.013E-09  1.464E-17  2.532E-17  1.00E-07
  4.250E-04 2.49625E-16  1.674E-09  1.298E-08  9.013E-09  1.555E-17  2.691E-17  1.00E-07
  4.500E-04 2.49625E-16  1.773E-09  1.298E-08  9.013E-09  1.647E-17  2.849E-17  1.00E-07
  4.750E-04 2.49625E-16  1.871E-09  1.298E-08  9.013E-09  1.738E-17  3.007E-17  1.00E-07
  5.000E-04 2.49625E-16  1.970E-09  1.298E-08  9.013E-09  1.830E-17  3.165E-17  1.00E-07
  5.250E-04 2.49625E-16  2.068E-09  1.298E-08  9.013E-09  1.921E-17  3.324E-17  1.00E-07
  5.500E-04 2.49625E-16  2.167E-09  1.298E-08  9.013E-09  2.013E-17  3.482E-17  1.00E-07
