 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.78000E+02 eV = 1.02163E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.48362E-16 cm**2 = 5.29809E+00 a0**2
 # 1st transport cross section = 3.05839E-17 cm**2 = 1.09217E+00 a0**2
 # 2nd transport cross section = 5.10265E-17 cm**2 = 1.82219E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.55203E-16  1.62556E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.55203E-16  1.62556E+01  2.02493E-10  1.0E-07
  1.250E-04  1.18994E-12  4.55203E-16  1.62556E+01  2.53116E-10  1.0E-07
  1.500E-04  1.71346E-12  4.55203E-16  1.62556E+01  3.03739E-10  1.0E-07
  1.750E-04  2.33225E-12  4.55203E-16  1.62556E+01  3.54362E-10  1.0E-07
  2.000E-04  3.04617E-12  4.55203E-16  1.62556E+01  4.04985E-10  1.0E-07
  2.250E-04  3.85530E-12  4.55203E-16  1.62556E+01  4.55608E-10  1.0E-07
  2.500E-04  4.75964E-12  4.55203E-16  1.62556E+01  5.06231E-10  1.0E-07
  2.750E-04  5.75917E-12  4.55203E-16  1.62556E+01  5.56854E-10  1.0E-07
  3.000E-04  6.85391E-12  4.55203E-16  1.62556E+01  6.07478E-10  1.0E-07
  3.250E-04  8.04379E-12  4.55203E-16  1.62556E+01  6.58101E-10  1.0E-07
  3.500E-04  9.32893E-12  4.55203E-16  1.62556E+01  7.08724E-10  1.0E-07
  3.750E-04  1.07092E-11  4.55203E-16  1.62556E+01  7.59347E-10  1.0E-07
  4.000E-04  1.21847E-11  4.55203E-16  1.62556E+01  8.09970E-10  1.0E-07
  4.250E-04  1.37554E-11  4.55203E-16  1.62556E+01  8.60593E-10  1.0E-07
  4.500E-04  1.54213E-11  4.55203E-16  1.62556E+01  9.11216E-10  1.0E-07
  4.750E-04  1.71823E-11  4.55203E-16  1.62556E+01  9.61839E-10  1.0E-07
  5.000E-04  1.90386E-11  4.55203E-16  1.62556E+01  1.01246E-09  1.0E-07
  5.250E-04  2.09900E-11  4.55203E-16  1.62556E+01  1.06309E-09  1.0E-07
  5.500E-04  2.30367E-11  4.55203E-16  1.62556E+01  1.11371E-09  1.0E-07
  5.750E-04  2.51785E-11  4.55203E-16  1.62556E+01  1.16433E-09  1.0E-07
  6.000E-04  2.74156E-11  4.55203E-16  1.62556E+01  1.21496E-09  1.0E-07
  6.250E-04  2.97478E-11  4.55203E-16  1.62556E+01  1.26558E-09  1.0E-07
  6.500E-04  3.21752E-11  4.55203E-16  1.62556E+01  1.31620E-09  1.0E-07
  6.750E-04  3.46979E-11  4.55203E-16  1.62556E+01  1.36682E-09  1.0E-07
  7.000E-04  3.73157E-11  4.55203E-16  1.62556E+01  1.41745E-09  1.0E-07
  7.250E-04  4.00286E-11  4.55203E-16  1.62556E+01  1.46807E-09  1.0E-07
  7.500E-04  4.28368E-11  4.55203E-16  1.62556E+01  1.51869E-09  1.0E-07
  7.750E-04  4.57402E-11  4.55203E-16  1.62556E+01  1.56932E-09  1.0E-07
