    
 E (eV)=   168.000000000000     
       0     -4.31303864E-01      0.00000000E+00
       1      1.41714727E+00      1.41824687E+00
       2      7.49895893E-01      7.50145317E-01
       3      4.13720175E-01      4.13822573E-01
       4      2.30934985E-01      2.30985709E-01
       5      1.30134535E-01      1.30161377E-01
       6      7.40444358E-02      7.40591233E-02
       7      4.25033858E-02      4.25115946E-02
       8      2.45851967E-02      2.45898528E-02
       9      1.43143099E-02      1.43169798E-02
      10      8.38157602E-03      8.38312005E-03
      11      4.93205746E-03      4.93295652E-03
      12      2.91490024E-03      2.91542677E-03
      13      1.72941208E-03      1.72972197E-03
      14      1.02959513E-03      1.02977832E-03
      15      6.14839490E-04      6.14948198E-04
      16      3.68157748E-04      3.68222478E-04
      17      2.20976314E-04      2.21014975E-04
      18      1.32914229E-04      1.32937382E-04
      19      8.00933675E-05      8.01072664E-05
      20      4.83411306E-05      4.83494916E-05
      21      2.92171691E-05      2.92222080E-05
      22      1.76797474E-05      1.76827890E-05
      23      1.07091538E-05      1.07109923E-05
      24      6.49244828E-06      6.49356091E-06
      25      3.93891847E-06      3.93959247E-06
      26      2.39116057E-06      2.39156923E-06
      27      1.45230668E-06      1.45255463E-06
      28      8.82442118E-07      8.82592643E-07
      29      5.36362223E-07      5.36453655E-07
      30      3.26095244E-07      3.26150798E-07
      31      1.98298505E-07      1.98332272E-07
      32      1.20603926E-07      1.20624460E-07
      33      7.33586748E-08      7.33711600E-08
      34      4.46245074E-08      4.46320991E-08
      35      2.71464535E-08      2.71510735E-08
      36      1.65143153E-08      1.65171258E-08
      37      1.00462602E-08      1.00479713E-08
      38      6.11129066E-09      6.11232854E-09
      39      3.71742959E-09      3.71806200E-09
      40      2.26117747E-09      2.26156114E-09
      41      1.37527352E-09      1.37550651E-09
      42      8.36387378E-10      8.36529683E-10
      43      5.08568896E-10      5.08656790E-10

  TOTAL ELASTIC CROSS SECTION = 2.088941E-16 cm**2
               FROM DCS TABLE = 2.088900E-16  (REL. DIF. = 1.99E-05)

  1ST TRANSPORT CROSS SECTION = 6.355265E-17 cm**2
               FROM DCS TABLE = 6.355267E-17  (REL. DIF. = 3.61E-07)

  2ND TRANSPORT CROSS SECTION = 9.086516E-17 cm**2
