

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.84000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -8.68643820E-03      0.00000000E+00
       1     -1.48129711E+00     -1.47928928E+00
       2      7.70349452E-01      7.70739266E-01
       3      3.55598417E-01      3.55726191E-01
       4      1.69120018E-01      1.69172001E-01
       5      8.29808713E-02      8.30043090E-02
       6      4.17229797E-02      4.17341682E-02
       7      2.13688157E-02      2.13743483E-02
       8      1.10999977E-02      1.11027990E-02
       9      5.83019280E-03      5.83163562E-03
      10      3.08960038E-03      3.09035317E-03
      11      1.64914458E-03      1.64954135E-03
      12      8.85501519E-04      8.85712362E-04
      13      4.77798175E-04      4.77910967E-04
      14      2.58856634E-04      2.58917306E-04
      15      1.40713112E-04      1.40745898E-04
      16      7.67050121E-05      7.67227955E-05
      17      4.19105268E-05      4.19202032E-05
      18      2.29437405E-05      2.29490195E-05
      19      1.25807826E-05      1.25836689E-05
      20      6.90777315E-06      6.90935411E-06
      21      3.79716930E-06      3.79803658E-06
      22      2.08926851E-06      2.08974488E-06
      23      1.15047016E-06      1.15073210E-06
      24      6.33941002E-07      6.34085164E-07
      25      3.49517967E-07      3.49597373E-07
      26      1.92796697E-07      1.92840459E-07
      27      1.06391620E-07      1.06415750E-07
      28      5.87309323E-08      5.87442469E-08
      29      3.24306737E-08      3.24380235E-08
      30      1.79124415E-08      1.79164927E-08
      31      9.89572312E-09      9.89796510E-09
      32      5.46794190E-09      5.46918288E-09
      33      3.02181951E-09      3.02250383E-09
      34      1.67016722E-09      1.67054670E-09
      35      9.23231815E-10      9.23440390E-10
      36      5.10393051E-10      5.10506756E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.30620E-16  0.000E+00  1.184E-08  9.515E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.30620E-16  3.746E-10  1.184E-08  9.515E-09  3.591E-19  3.938E-18  1.00E-07
  1.250E-04 2.30620E-16  4.682E-10  1.184E-08  9.515E-09  4.488E-19  4.923E-18  1.00E-07
  1.500E-04 2.30620E-16  5.619E-10  1.184E-08  9.515E-09  5.386E-19  5.907E-18  1.00E-07
  1.750E-04 2.30620E-16  6.555E-10  1.184E-08  9.515E-09  6.283E-19  6.892E-18  1.00E-07
  2.000E-04 2.30620E-16  7.492E-10  1.184E-08  9.515E-09  7.181E-19  7.876E-18  1.00E-07
  2.250E-04 2.30620E-16  8.428E-10  1.184E-08  9.515E-09  8.079E-19  8.861E-18  1.00E-07
  2.500E-04 2.30620E-16  9.364E-10  1.184E-08  9.515E-09  8.976E-19  9.845E-18  1.00E-07
  2.750E-04 2.30620E-16  1.030E-09  1.184E-08  9.515E-09  9.874E-19  1.083E-17  1.00E-07
  3.000E-04 2.30620E-16  1.124E-09  1.184E-08  9.515E-09  1.077E-18  1.181E-17  1.00E-07
  3.250E-04 2.30620E-16  1.217E-09  1.184E-08  9.515E-09  1.167E-18  1.280E-17  1.00E-07
  3.500E-04 2.30620E-16  1.311E-09  1.184E-08  9.515E-09  1.257E-18  1.378E-17  1.00E-07
  3.750E-04 2.30620E-16  1.405E-09  1.184E-08  9.515E-09  1.346E-18  1.477E-17  1.00E-07
  4.000E-04 2.30620E-16  1.498E-09  1.184E-08  9.515E-09  1.436E-18  1.575E-17  1.00E-07
  4.250E-04 2.30620E-16  1.592E-09  1.184E-08  9.515E-09  1.526E-18  1.674E-17  1.00E-07
  4.500E-04 2.30620E-16  1.686E-09  1.184E-08  9.515E-09  1.616E-18  1.772E-17  1.00E-07
  4.750E-04 2.30620E-16  1.779E-09  1.184E-08  9.515E-09  1.706E-18  1.871E-17  1.00E-07
  5.000E-04 2.30620E-16  1.873E-09  1.184E-08  9.515E-09  1.795E-18  1.969E-17  1.00E-07
  5.250E-04 2.30620E-16  1.967E-09  1.184E-08  9.515E-09  1.885E-18  2.067E-17  1.00E-07
  5.500E-04 2.30620E-16  2.060E-09  1.184E-08  9.515E-09  1.975E-18  2.166E-17  1.00E-07
  5.750E-04 2.30620E-16  2.154E-09  1.184E-08  9.515E-09  2.065E-18  2.264E-17  1.00E-07
  6.000E-04 2.30620E-16  2.247E-09  1.184E-08  9.515E-09  2.154E-18  2.363E-17  1.00E-07
  6.250E-04 2.30620E-16  2.341E-09  1.184E-08  9.515E-09  2.244E-18  2.461E-17  1.00E-07
  6.500E-04 2.30620E-16  2.435E-09  1.184E-08  9.515E-09  2.334E-18  2.560E-17  1.00E-07
  6.750E-04 2.30620E-16  2.528E-09  1.184E-08  9.515E-09  2.424E-18  2.658E-17  1.00E-07
  7.000E-04 2.30620E-16  2.622E-09  1.184E-08  9.515E-09  2.513E-18  2.757E-17  1.00E-07
  7.250E-04 2.30620E-16  2.716E-09  1.184E-08  9.515E-09  2.603E-18  2.855E-17  1.00E-07
  7.500E-04 2.30620E-16  2.809E-09  1.184E-08  9.515E-09  2.693E-18  2.954E-17  1.00E-07
  7.750E-04 2.30620E-16  2.903E-09  1.184E-08  9.515E-09  2.783E-18  3.052E-17  1.00E-07
  8.000E-04 2.30620E-16  2.997E-09  1.184E-08  9.515E-09  2.872E-18  3.150E-17  1.00E-07
  8.250E-04 2.30620E-16  3.090E-09  1.184E-08  9.515E-09  2.962E-18  3.249E-17  1.00E-07
  8.500E-04 2.30620E-16  3.184E-09  1.184E-08  9.515E-09  3.052E-18  3.347E-17  1.00E-07
  8.750E-04 2.30620E-16  3.278E-09  1.184E-08  9.515E-09  3.142E-18  3.446E-17  1.00E-07
  9.000E-04 2.30620E-16  3.371E-09  1.184E-08  9.515E-09  3.232E-18  3.544E-17  1.00E-07
  9.250E-04 2.30620E-16  3.465E-09  1.184E-08  9.515E-09  3.321E-18  3.643E-17  1.00E-07
  9.500E-04 2.30620E-16  3.558E-09  1.184E-08  9.515E-09  3.411E-18  3.741E-17  1.00E-07
  9.750E-04 2.30620E-16  3.652E-09  1.184E-08  9.515E-09  3.501E-18  3.840E-17  1.00E-07
  1.000E-03 2.30620E-16  3.746E-09  1.184E-08  9.515E-09  3.591E-18  3.938E-17  1.00E-07
  1.250E-03 2.30620E-16  4.682E-09  1.184E-08  9.515E-09  4.488E-18  4.923E-17  1.00E-07
  1.500E-03 2.30620E-16  5.619E-09  1.184E-08  9.515E-09  5.386E-18  5.907E-17  1.00E-07
  1.750E-03 2.30620E-16  6.555E-09  1.184E-08  9.515E-09  6.283E-18  6.892E-17  1.00E-07
  2.000E-03 2.30620E-16  7.492E-09  1.184E-08  9.515E-09  7.181E-18  7.876E-17  1.00E-07
  2.250E-03 2.30620E-16  8.428E-09  1.184E-08  9.515E-09  8.079E-18  8.861E-17  1.00E-07
  2.500E-03 2.30620E-16  9.364E-09  1.184E-08  9.515E-09  8.976E-18  9.845E-17  1.00E-07
  2.750E-03 2.30620E-16  1.030E-08  1.184E-08  9.515E-09  9.874E-18  1.083E-16  1.00E-07
  3.000E-03 2.30620E-16  1.124E-08  1.184E-08  9.515E-09  1.077E-17  1.181E-16  1.00E-07
  3.250E-03 2.30620E-16  1.217E-08  1.184E-08  9.515E-09  1.167E-17  1.280E-16  1.00E-07
  3.500E-03 2.30620E-16  1.311E-08  1.184E-08  9.515E-09  1.257E-17  1.378E-16  1.00E-07
  3.750E-03 2.30620E-16  1.405E-08  1.184E-08  9.515E-09  1.346E-17  1.477E-16  1.00E-07
  4.000E-03 2.30620E-16  1.498E-08  1.184E-08  9.515E-09  1.436E-17  1.575E-16  1.00E-07
  4.250E-03 2.30620E-16  1.592E-08  1.184E-08  9.515E-09  1.526E-17  1.674E-16  1.00E-07
