

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.72000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.74222690E-01      0.00000000E+00
       1      1.55236937E+00      1.55445376E+00
       2      8.06984251E-01      8.07463783E-01
       3      4.27385645E-01      4.27571863E-01
       4      2.30302533E-01      2.30389574E-01
       5      1.26506916E-01      1.26551020E-01
       6      7.07198301E-02      7.07432347E-02
       7      4.01172513E-02      4.01300529E-02
       8      2.30318999E-02      2.30390527E-02
       9      1.33538525E-02      1.33579128E-02
      10      7.80608225E-03      7.80841549E-03
      11      4.59446647E-03      4.59582049E-03
      12      2.71989007E-03      2.72068218E-03
      13      1.61809675E-03      1.61856325E-03
      14      9.66675106E-04      9.66951415E-04
      15      5.79582511E-04      5.79746958E-04
      16      3.48565655E-04      3.48663931E-04
      17      2.10182986E-04      2.10241923E-04
      18      1.27025552E-04      1.27061005E-04
      19      7.69176112E-05      7.69389929E-05
      20      4.66533097E-05      4.66662336E-05
      21      2.83373491E-05      2.83451758E-05
      22      1.72333226E-05      1.72380701E-05
      23      1.04914975E-05      1.04943814E-05
      24      6.39294697E-06      6.39470089E-06
      25      3.89857252E-06      3.89964034E-06
      26      2.37905604E-06      2.37970674E-06
      27      1.45264217E-06      1.45303899E-06
      28      8.87428939E-07      8.87671098E-07
      29      5.42375999E-07      5.42523864E-07
      30      3.31615182E-07      3.31705512E-07
      31      2.02821426E-07      2.02876635E-07
      32      1.24085316E-07      1.24119072E-07
      33      7.59343875E-08      7.59550315E-08
      34      4.64787176E-08      4.64913506E-08
      35      2.84547460E-08      2.84624821E-08
      36      1.74233031E-08      1.74280354E-08
      37      1.06702323E-08      1.06731275E-08
      38      6.53542212E-09      6.53720017E-09
      39      4.00332455E-09      4.00440949E-09
      40      2.45253112E-09      2.45319710E-09
      41      1.50264072E-09      1.50304810E-09
      42      9.20689857E-10      9.20939588E-10
      43      5.64169705E-10      5.64325264E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.48877E-16  0.000E+00  1.293E-08  9.032E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.48877E-16  3.939E-10  1.293E-08  9.032E-09  3.516E-18  6.245E-18  1.00E-07
  1.250E-04 2.48877E-16  4.924E-10  1.293E-08  9.032E-09  4.395E-18  7.806E-18  1.00E-07
  1.500E-04 2.48877E-16  5.908E-10  1.293E-08  9.032E-09  5.274E-18  9.367E-18  1.00E-07
  1.750E-04 2.48877E-16  6.893E-10  1.293E-08  9.032E-09  6.153E-18  1.093E-17  1.00E-07
  2.000E-04 2.48877E-16  7.878E-10  1.293E-08  9.032E-09  7.032E-18  1.249E-17  1.00E-07
  2.250E-04 2.48877E-16  8.863E-10  1.293E-08  9.032E-09  7.911E-18  1.405E-17  1.00E-07
  2.500E-04 2.48877E-16  9.847E-10  1.293E-08  9.032E-09  8.790E-18  1.561E-17  1.00E-07
  2.750E-04 2.48877E-16  1.083E-09  1.293E-08  9.032E-09  9.669E-18  1.717E-17  1.00E-07
  3.000E-04 2.48877E-16  1.182E-09  1.293E-08  9.032E-09  1.055E-17  1.873E-17  1.00E-07
  3.250E-04 2.48877E-16  1.280E-09  1.293E-08  9.032E-09  1.143E-17  2.029E-17  1.00E-07
  3.500E-04 2.48877E-16  1.379E-09  1.293E-08  9.032E-09  1.231E-17  2.186E-17  1.00E-07
  3.750E-04 2.48877E-16  1.477E-09  1.293E-08  9.032E-09  1.319E-17  2.342E-17  1.00E-07
  4.000E-04 2.48877E-16  1.576E-09  1.293E-08  9.032E-09  1.406E-17  2.498E-17  1.00E-07
  4.250E-04 2.48877E-16  1.674E-09  1.293E-08  9.032E-09  1.494E-17  2.654E-17  1.00E-07
  4.500E-04 2.48877E-16  1.773E-09  1.293E-08  9.032E-09  1.582E-17  2.810E-17  1.00E-07
  4.750E-04 2.48877E-16  1.871E-09  1.293E-08  9.032E-09  1.670E-17  2.966E-17  1.00E-07
  5.000E-04 2.48877E-16  1.969E-09  1.293E-08  9.032E-09  1.758E-17  3.122E-17  1.00E-07
  5.250E-04 2.48877E-16  2.068E-09  1.293E-08  9.032E-09  1.846E-17  3.278E-17  1.00E-07
  5.500E-04 2.48877E-16  2.166E-09  1.293E-08  9.032E-09  1.934E-17  3.435E-17  1.00E-07
