

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.96000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -7.96840371E-01      0.00000000E+00
       1      1.27862993E+00      1.27984708E+00
       2      7.56957271E-01      7.57290412E-01
       3      4.77756535E-01      4.77913263E-01
       4      3.07214483E-01      3.07304042E-01
       5      1.98788465E-01      1.98843142E-01
       6      1.29190030E-01      1.29224328E-01
       7      8.43197894E-02      8.43416289E-02
       8      5.52685572E-02      5.52826074E-02
       9      3.63741668E-02      3.63832773E-02
      10      2.40301830E-02      2.40361280E-02
      11      1.59310781E-02      1.59349781E-02
      12      1.05958974E-02      1.05984676E-02
      13      7.06846338E-03      7.07016386E-03
      14      4.72832238E-03      4.72945145E-03
      15      3.17097348E-03      3.17172554E-03
      16      2.13155832E-03      2.13206073E-03
      17      1.43595929E-03      1.43629582E-03
      18      9.69288775E-04      9.69514741E-04
      19      6.55481210E-04      6.55633283E-04
      20      4.44014179E-04      4.44116735E-04
      21      3.01231219E-04      3.01300515E-04
      22      2.04649236E-04      2.04696141E-04
      23      1.39210242E-04      1.39242041E-04
      24      9.48048412E-05      9.48264313E-05
      25      6.46307082E-05      6.46453864E-05
      26      4.41012225E-05      4.41112136E-05
      27      3.01178018E-05      3.01246100E-05
      28      2.05834303E-05      2.05880741E-05
      29      1.40766128E-05      1.40797830E-05
      30      9.63233631E-06      9.63450226E-06
      31      6.59459616E-06      6.59607701E-06
      32      4.51690141E-06      4.51791450E-06
      33      3.09502500E-06      3.09571845E-06
      34      2.12146834E-06      2.12194323E-06
      35      1.45458009E-06      1.45490544E-06
      36      9.97583649E-07      9.97806631E-07
      37      6.84313993E-07      6.84466866E-07
      38      4.69506168E-07      4.69611000E-07
      39      3.22176585E-07      3.22248493E-07
      40      2.21106758E-07      2.21156092E-07
      41      1.51759143E-07      1.51792996E-07
      42      1.04170211E-07      1.04193444E-07
      43      7.15088189E-08      7.15247648E-08
      44      4.90903864E-08      4.91013294E-08
      45      3.37013216E-08      3.37088364E-08
      46      2.31368844E-08      2.31420391E-08
      47      1.58842613E-08      1.58878021E-08
      48      1.09050796E-08      1.09075135E-08
      49      7.48656183E-09      7.48823461E-09
      50      5.13955769E-09      5.14070031E-09
      51      3.52827964E-09      3.52906371E-09
      52      2.42206171E-09      2.42259920E-09
      53      1.66261981E-09      1.66299099E-09
      54      1.14119484E-09      1.14144899E-09
      55      7.83258828E-10      7.83431928E-10
      56      5.37591450E-10      5.37714920E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.60609E-16  0.000E+00  1.901E-08  9.956E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.60609E-16  1.984E-10  1.901E-08  9.956E-09  9.304E-18  7.276E-18  1.00E-07
  1.250E-04 4.60609E-16  2.480E-10  1.901E-08  9.956E-09  1.163E-17  9.095E-18  1.00E-07
  1.500E-04 4.60609E-16  2.976E-10  1.901E-08  9.956E-09  1.396E-17  1.091E-17  1.00E-07
  1.750E-04 4.60609E-16  3.472E-10  1.901E-08  9.956E-09  1.628E-17  1.273E-17  1.00E-07
  2.000E-04 4.60609E-16  3.968E-10  1.901E-08  9.956E-09  1.861E-17  1.455E-17  1.00E-07
  2.250E-04 4.60609E-16  4.464E-10  1.901E-08  9.956E-09  2.093E-17  1.637E-17  1.00E-07
  2.500E-04 4.60609E-16  4.961E-10  1.901E-08  9.956E-09  2.326E-17  1.819E-17  1.00E-07
  2.750E-04 4.60609E-16  5.457E-10  1.901E-08  9.956E-09  2.559E-17  2.001E-17  1.00E-07
  3.000E-04 4.60609E-16  5.953E-10  1.901E-08  9.956E-09  2.791E-17  2.183E-17  1.00E-07
  3.250E-04 4.60609E-16  6.449E-10  1.901E-08  9.956E-09  3.024E-17  2.365E-17  1.00E-07
  3.500E-04 4.60609E-16  6.945E-10  1.901E-08  9.956E-09  3.256E-17  2.547E-17  1.00E-07
  3.750E-04 4.60609E-16  7.441E-10  1.901E-08  9.956E-09  3.489E-17  2.728E-17  1.00E-07
  4.000E-04 4.60609E-16  7.937E-10  1.901E-08  9.956E-09  3.722E-17  2.910E-17  1.00E-07
  4.250E-04 4.60609E-16  8.433E-10  1.901E-08  9.956E-09  3.954E-17  3.092E-17  1.00E-07
  4.500E-04 4.60609E-16  8.929E-10  1.901E-08  9.956E-09  4.187E-17  3.274E-17  1.00E-07
  4.750E-04 4.60609E-16  9.425E-10  1.901E-08  9.956E-09  4.419E-17  3.456E-17  1.00E-07
  5.000E-04 4.60609E-16  9.921E-10  1.901E-08  9.956E-09  4.652E-17  3.638E-17  1.00E-07
  5.250E-04 4.60609E-16  1.042E-09  1.901E-08  9.956E-09  4.885E-17  3.820E-17  1.00E-07
  5.500E-04 4.60609E-16  1.091E-09  1.901E-08  9.956E-09  5.117E-17  4.002E-17  1.00E-07
  5.750E-04 4.60609E-16  1.141E-09  1.901E-08  9.956E-09  5.350E-17  4.184E-17  1.00E-07
  6.000E-04 4.60609E-16  1.191E-09  1.901E-08  9.956E-09  5.582E-17  4.365E-17  1.00E-07
  6.250E-04 4.60609E-16  1.240E-09  1.901E-08  9.956E-09  5.815E-17  4.547E-17  1.00E-07
  6.500E-04 4.60609E-16  1.290E-09  1.901E-08  9.956E-09  6.048E-17  4.729E-17  1.00E-07
