

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.24000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.31156846E-01      0.00000000E+00
       1      1.49074519E+00      1.49179977E+00
       2      7.29172443E-01      7.29384002E-01
       3      3.65408005E-01      3.65486116E-01
       4      1.85629518E-01      1.85664513E-01
       5      9.57752857E-02      9.57921909E-02
       6      5.01172369E-02      5.01257387E-02
       7      2.65305914E-02      2.65349747E-02
       8      1.41765934E-02      1.41788913E-02
       9      7.63377272E-03      7.63499192E-03
      10      4.13728479E-03      4.13793764E-03
      11      2.25472597E-03      2.25507816E-03
      12      1.23466299E-03      1.23485417E-03
      13      6.78899755E-04      6.79004086E-04
      14      3.74651380E-04      3.74708578E-04
      15      2.07396902E-04      2.07428386E-04
      16      1.15117552E-04      1.15134942E-04
      17      6.40436695E-05      6.40533036E-05
      18      3.56989728E-05      3.57043239E-05
      19      1.99318142E-05      1.99347930E-05
      20      1.11437772E-05      1.11454384E-05
      21      6.23749592E-06      6.23842383E-06
      22      3.49455439E-06      3.49507337E-06
      23      1.95929905E-06      1.95958962E-06
      24      1.09918727E-06      1.09935010E-06
      25      6.16948678E-07      6.17039998E-07
      26      3.46406241E-07      3.46457476E-07
      27      1.94554703E-07      1.94583464E-07
      28      1.09290801E-07      1.09306952E-07
      29      6.14021923E-08      6.14112643E-08
      30      3.44999992E-08      3.45050963E-08
      31      1.93851238E-08      1.93879870E-08
      32      1.08922178E-08      1.08938244E-08
      33      6.12001659E-09      6.12092093E-09
      34      3.43845447E-09      3.43896021E-09
      35      1.93164366E-09      1.93192548E-09
      36      1.08502706E-09      1.08518820E-09
      37      6.09439448E-10      6.09523854E-10
      38      3.42272341E-10      3.42325751E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.91957E-16  0.000E+00  1.606E-08  1.157E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.91957E-16  2.407E-10  1.606E-08  1.157E-08  1.502E-18  4.019E-18  1.00E-07
  1.250E-04 3.91957E-16  3.009E-10  1.606E-08  1.157E-08  1.878E-18  5.024E-18  1.00E-07
  1.500E-04 3.91957E-16  3.611E-10  1.606E-08  1.157E-08  2.254E-18  6.029E-18  1.00E-07
  1.750E-04 3.91957E-16  4.212E-10  1.606E-08  1.157E-08  2.629E-18  7.034E-18  1.00E-07
  2.000E-04 3.91957E-16  4.814E-10  1.606E-08  1.157E-08  3.005E-18  8.038E-18  1.00E-07
  2.250E-04 3.91957E-16  5.416E-10  1.606E-08  1.157E-08  3.380E-18  9.043E-18  1.00E-07
  2.500E-04 3.91957E-16  6.018E-10  1.606E-08  1.157E-08  3.756E-18  1.005E-17  1.00E-07
  2.750E-04 3.91957E-16  6.619E-10  1.606E-08  1.157E-08  4.132E-18  1.105E-17  1.00E-07
  3.000E-04 3.91957E-16  7.221E-10  1.606E-08  1.157E-08  4.507E-18  1.206E-17  1.00E-07
  3.250E-04 3.91957E-16  7.823E-10  1.606E-08  1.157E-08  4.883E-18  1.306E-17  1.00E-07
  3.500E-04 3.91957E-16  8.425E-10  1.606E-08  1.157E-08  5.258E-18  1.407E-17  1.00E-07
  3.750E-04 3.91957E-16  9.026E-10  1.606E-08  1.157E-08  5.634E-18  1.507E-17  1.00E-07
  4.000E-04 3.91957E-16  9.628E-10  1.606E-08  1.157E-08  6.010E-18  1.608E-17  1.00E-07
  4.250E-04 3.91957E-16  1.023E-09  1.606E-08  1.157E-08  6.385E-18  1.708E-17  1.00E-07
  4.500E-04 3.91957E-16  1.083E-09  1.606E-08  1.157E-08  6.761E-18  1.809E-17  1.00E-07
  4.750E-04 3.91957E-16  1.143E-09  1.606E-08  1.157E-08  7.136E-18  1.909E-17  1.00E-07
  5.000E-04 3.91957E-16  1.204E-09  1.606E-08  1.157E-08  7.512E-18  2.010E-17  1.00E-07
