

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.17177653E-01      0.00000000E+00
       1     -1.56598958E+00     -1.56392457E+00
       2      8.01147344E-01      8.01606681E-01
       3      4.12975661E-01      4.13148317E-01
       4      2.16948678E-01      2.17027122E-01
       5      1.16439698E-01      1.16478491E-01
       6      6.36944901E-02      6.37146293E-02
       7      3.53873990E-02      3.53981887E-02
       8      1.99082370E-02      1.99141459E-02
       9      1.13144985E-02      1.13177873E-02
      10      6.48446424E-03      6.48631767E-03
      11      3.74231245E-03      3.74336739E-03
      12      2.17244065E-03      2.17304600E-03
      13      1.26736848E-03      1.26771820E-03
      14      7.42468975E-04      7.42672154E-04
      15      4.36516520E-04      4.36635131E-04
      16      2.57418307E-04      2.57487832E-04
      17      1.52194619E-04      1.52235513E-04
      18      9.01809122E-05      9.02050368E-05
      19      5.35358547E-05      5.35501223E-05
      20      3.18324598E-05      3.18409160E-05
      21      1.89535074E-05      1.89585285E-05
      22      1.12983973E-05      1.13013834E-05
      23      6.74184727E-06      6.74362546E-06
      24      4.02637102E-06      4.02743114E-06
      25      2.40640577E-06      2.40703841E-06
      26      1.43912781E-06      1.43950567E-06
      27      8.61127181E-07      8.61353025E-07
      28      5.15513827E-07      5.15648898E-07
      29      3.08738485E-07      3.08819311E-07
      30      1.84967310E-07      1.85015699E-07
      31      1.10849299E-07      1.10878282E-07
      32      6.64488400E-08      6.64662047E-08
      33      3.98421578E-08      3.98525649E-08
      34      2.38938941E-08      2.39001318E-08
      35      1.43320883E-08      1.43358298E-08
      36      8.59801679E-09      8.60026456E-09
      37      5.15873929E-09      5.16008293E-09
      38      3.09559109E-09      3.09639578E-09
      39      1.85777549E-09      1.85826100E-09
      40      1.11501087E-09      1.11529967E-09
      41      6.69231978E-10      6.69405673E-10
      42      4.01681771E-10      4.01789197E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.44648E-16  0.000E+00  1.270E-08  9.136E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.44648E-16  3.928E-10  1.270E-08  9.136E-09  2.728E-18  5.748E-18  1.00E-07
  1.250E-04 2.44648E-16  4.911E-10  1.270E-08  9.136E-09  3.410E-18  7.185E-18  1.00E-07
  1.500E-04 2.44648E-16  5.893E-10  1.270E-08  9.136E-09  4.092E-18  8.622E-18  1.00E-07
  1.750E-04 2.44648E-16  6.875E-10  1.270E-08  9.136E-09  4.774E-18  1.006E-17  1.00E-07
  2.000E-04 2.44648E-16  7.857E-10  1.270E-08  9.136E-09  5.456E-18  1.150E-17  1.00E-07
  2.250E-04 2.44648E-16  8.839E-10  1.270E-08  9.136E-09  6.138E-18  1.293E-17  1.00E-07
  2.500E-04 2.44648E-16  9.821E-10  1.270E-08  9.136E-09  6.820E-18  1.437E-17  1.00E-07
  2.750E-04 2.44648E-16  1.080E-09  1.270E-08  9.136E-09  7.502E-18  1.581E-17  1.00E-07
  3.000E-04 2.44648E-16  1.179E-09  1.270E-08  9.136E-09  8.184E-18  1.724E-17  1.00E-07
  3.250E-04 2.44648E-16  1.277E-09  1.270E-08  9.136E-09  8.866E-18  1.868E-17  1.00E-07
  3.500E-04 2.44648E-16  1.375E-09  1.270E-08  9.136E-09  9.548E-18  2.012E-17  1.00E-07
  3.750E-04 2.44648E-16  1.473E-09  1.270E-08  9.136E-09  1.023E-17  2.156E-17  1.00E-07
  4.000E-04 2.44648E-16  1.571E-09  1.270E-08  9.136E-09  1.091E-17  2.299E-17  1.00E-07
  4.250E-04 2.44648E-16  1.670E-09  1.270E-08  9.136E-09  1.159E-17  2.443E-17  1.00E-07
  4.500E-04 2.44648E-16  1.768E-09  1.270E-08  9.136E-09  1.228E-17  2.587E-17  1.00E-07
  4.750E-04 2.44648E-16  1.866E-09  1.270E-08  9.136E-09  1.296E-17  2.730E-17  1.00E-07
  5.000E-04 2.44648E-16  1.964E-09  1.270E-08  9.136E-09  1.364E-17  2.874E-17  1.00E-07
  5.250E-04 2.44648E-16  2.062E-09  1.270E-08  9.136E-09  1.432E-17  3.018E-17  1.00E-07
