    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  9.250E-04 3.19962E-17 -1.073E-10  5.590E-09  8.668E-10  1.902E-17  2.642E-18  1.00E-07
  9.500E-04 3.19962E-17 -1.102E-10  5.590E-09  8.668E-10  1.954E-17  2.714E-18  1.00E-07
  9.750E-04 3.19962E-17 -1.131E-10  5.590E-09  8.668E-10  2.005E-17  2.785E-18  1.00E-07
  1.000E-03 3.19962E-17 -1.160E-10  5.590E-09  8.668E-10  2.056E-17  2.857E-18  1.00E-07
  1.250E-03 3.19962E-17 -1.450E-10  5.590E-09  8.668E-10  2.570E-17  3.571E-18  1.00E-07
  1.500E-03 3.19962E-17 -1.741E-10  5.590E-09  8.668E-10  3.084E-17  4.285E-18  1.00E-07
  1.750E-03 3.19962E-17 -2.031E-10  5.590E-09  8.668E-10  3.599E-17  4.999E-18  1.00E-07
  2.000E-03 3.19962E-17 -2.321E-10  5.590E-09  8.668E-10  4.113E-17  5.713E-18  1.00E-07
  2.250E-03 3.19962E-17 -2.611E-10  5.590E-09  8.668E-10  4.627E-17  6.427E-18  1.00E-07
  2.500E-03 3.19962E-17 -2.901E-10  5.590E-09  8.668E-10  5.141E-17  7.142E-18  1.00E-07
  2.750E-03 3.19962E-17 -3.191E-10  5.590E-09  8.668E-10  5.655E-17  7.856E-18  1.00E-07
  3.000E-03 3.19962E-17 -3.481E-10  5.590E-09  8.668E-10  6.169E-17  8.570E-18  1.00E-07
  3.250E-03 3.19962E-17 -3.771E-10  5.590E-09  8.668E-10  6.683E-17  9.284E-18  1.00E-07
  3.500E-03 3.19962E-17 -4.061E-10  5.590E-09  8.668E-10  7.197E-17  9.998E-18  1.00E-07
  3.750E-03 3.19962E-17 -4.351E-10  5.590E-09  8.668E-10  7.711E-17  1.071E-17  1.00E-07
  4.000E-03 3.19962E-17 -4.641E-10  5.590E-09  8.668E-10  8.225E-17  1.143E-17  1.00E-07
  4.250E-03 3.19962E-17 -4.931E-10  5.590E-09  8.668E-10  8.739E-17  1.214E-17  1.00E-07
  4.500E-03 3.19962E-17 -5.222E-10  5.590E-09  8.668E-10  9.253E-17  1.285E-17  1.00E-07
  4.750E-03 3.19962E-17 -5.512E-10  5.590E-09  8.668E-10  9.768E-17  1.357E-17  1.00E-07
  5.000E-03 3.19962E-17 -5.802E-10  5.590E-09  8.668E-10  1.028E-16  1.428E-17  1.00E-07
  5.250E-03 3.19962E-17 -6.092E-10  5.590E-09  8.668E-10  1.080E-16  1.500E-17  1.00E-07
  5.500E-03 3.19962E-17 -6.382E-10  5.590E-09  8.668E-10  1.131E-16  1.571E-17  1.00E-07
  5.750E-03 3.19962E-17 -6.672E-10  5.590E-09  8.668E-10  1.182E-16  1.643E-17  1.00E-07
  6.000E-03 3.19962E-17 -6.962E-10  5.590E-09  8.668E-10  1.234E-16  1.714E-17  1.00E-07
  6.250E-03 3.19962E-17 -7.252E-10  5.590E-09  8.668E-10  1.285E-16  1.785E-17  1.00E-07
  6.500E-03 3.19962E-17 -7.542E-10  5.590E-09  8.668E-10  1.337E-16  1.857E-17  1.00E-07
  6.750E-03 3.19962E-17 -7.832E-10  5.590E-09  8.668E-10  1.388E-16  1.928E-17  1.00E-07
  7.000E-03 3.19962E-17 -8.122E-10  5.590E-09  8.668E-10  1.439E-16  2.000E-17  1.00E-07
  7.250E-03 3.19962E-17 -8.413E-10  5.590E-09  8.668E-10  1.491E-16  2.071E-17  1.00E-07
  7.500E-03 3.19962E-17 -8.703E-10  5.590E-09  8.668E-10  1.542E-16  2.142E-17  1.00E-07
  7.750E-03 3.19962E-17 -8.993E-10  5.590E-09  8.668E-10  1.594E-16  2.214E-17  1.00E-07
  8.000E-03 3.19962E-17 -9.283E-10  5.590E-09  8.668E-10  1.645E-16  2.285E-17  1.00E-07
  8.250E-03 3.19962E-17 -9.573E-10  5.590E-09  8.668E-10  1.696E-16  2.357E-17  1.00E-07
  8.500E-03 3.19962E-17 -9.863E-10  5.590E-09  8.668E-10  1.748E-16  2.428E-17  1.00E-07
  8.750E-03 3.19962E-17 -1.015E-09  5.590E-09  8.668E-10  1.799E-16  2.500E-17  1.00E-07
  9.000E-03 3.19962E-17 -1.044E-09  5.590E-09  8.668E-10  1.851E-16  2.571E-17  1.00E-07
  9.250E-03 3.19962E-17 -1.073E-09  5.590E-09  8.668E-10  1.902E-16  2.642E-17  1.00E-07
  9.500E-03 3.19962E-17 -1.102E-09  5.590E-09  8.668E-10  1.954E-16  2.714E-17  1.00E-07
  9.750E-03 3.19962E-17 -1.131E-09  5.590E-09  8.668E-10  2.005E-16  2.785E-17  1.00E-07
  1.000E-02 3.19962E-17 -1.160E-09  5.590E-09  8.668E-10  2.056E-16  2.857E-17  1.00E-07
  1.250E-02 3.19962E-17 -1.450E-09  5.590E-09  8.668E-10  2.570E-16  3.571E-17  1.00E-07
  1.500E-02 3.19961E-17 -1.741E-09  5.590E-09  8.668E-10  3.084E-16  4.285E-17  1.00E-07
  1.750E-02 3.19961E-17 -2.031E-09  5.590E-09  8.668E-10  3.599E-16  4.999E-17  1.00E-07
  2.000E-02 3.19961E-17 -2.321E-09  5.590E-09  8.668E-10  4.113E-16  5.713E-17  1.00E-07
  2.250E-02 3.19961E-17 -2.611E-09  5.590E-09  8.668E-10  4.627E-16  6.427E-17  1.00E-07
  2.500E-02 3.19961E-17 -2.901E-09  5.590E-09  8.668E-10  5.141E-16  7.142E-17  1.00E-07
  2.750E-02 3.19961E-17 -3.191E-09  5.590E-09  8.668E-10  5.655E-16  7.856E-17  1.00E-07
  3.000E-02 3.19961E-17 -3.481E-09  5.590E-09  8.668E-10  6.169E-16  8.570E-17  1.00E-07
  3.250E-02 3.19960E-17 -3.771E-09  5.590E-09  8.668E-10  6.683E-16  9.284E-17  1.00E-07
  3.500E-02 3.19960E-17 -4.061E-09  5.590E-09  8.668E-10  7.197E-16  9.998E-17  1.00E-07
  3.750E-02 3.19960E-17 -4.351E-09  5.590E-09  8.668E-10  7.711E-16  1.071E-16  1.00E-07
  4.000E-02 3.19960E-17 -4.641E-09  5.590E-09  8.668E-10  8.225E-16  1.143E-16  1.00E-07
  4.250E-02 3.19960E-17 -4.931E-09  5.590E-09  8.668E-10  8.739E-16  1.214E-16  1.00E-07
  4.500E-02 3.19959E-17 -5.222E-09  5.590E-09  8.668E-10  9.253E-16  1.285E-16  1.00E-07
  4.750E-02 3.19959E-17 -5.512E-09  5.590E-09  8.668E-10  9.767E-16  1.357E-16  1.00E-07
  5.000E-02 3.19959E-17 -5.802E-09  5.590E-09  8.668E-10  1.028E-15  1.428E-16  1.00E-07
  5.250E-02 3.19959E-17 -6.092E-09  5.590E-09  8.668E-10  1.080E-15  1.500E-16  1.00E-07
  5.500E-02 3.19958E-17 -6.382E-09  5.590E-09  8.668E-10  1.131E-15  1.571E-16  1.00E-07
  5.750E-02 3.19958E-17 -6.672E-09  5.590E-09  8.668E-10  1.182E-15  1.643E-16  1.00E-07
  6.000E-02 3.19958E-17 -6.962E-09  5.590E-09  8.668E-10  1.234E-15  1.714E-16  1.00E-07
  6.250E-02 3.19957E-17 -7.252E-09  5.590E-09  8.668E-10  1.285E-15  1.785E-16  1.00E-07
  6.500E-02 3.19957E-17 -7.542E-09  5.590E-09  8.668E-10  1.337E-15  1.857E-16  1.00E-07
  6.750E-02 3.19957E-17 -7.832E-09  5.590E-09  8.668E-10  1.388E-15  1.928E-16  1.00E-07
  7.000E-02 3.19956E-17 -8.123E-09  5.590E-09  8.668E-10  1.439E-15  2.000E-16  1.00E-07
  7.250E-02 3.19956E-17 -8.413E-09  5.590E-09  8.668E-10  1.491E-15  2.071E-16  1.00E-07
  7.500E-02 3.19955E-17 -8.703E-09  5.590E-09  8.668E-10  1.542E-15  2.142E-16  1.00E-07
  7.750E-02 3.19955E-17 -8.993E-09  5.590E-09  8.668E-10  1.594E-15  2.214E-16  1.00E-07
  8.000E-02 3.19954E-17 -9.283E-09  5.590E-09  8.668E-10  1.645E-15  2.285E-16  1.00E-07
  8.250E-02 3.19954E-17 -9.573E-09  5.590E-09  8.668E-10  1.696E-15  2.357E-16  1.00E-07
  8.500E-02 3.19954E-17 -9.863E-09  5.590E-09  8.668E-10  1.748E-15  2.428E-16  1.00E-07
  8.750E-02 3.19953E-17 -1.015E-08  5.590E-09  8.668E-10  1.799E-15  2.500E-16  1.00E-07
  9.000E-02 3.19953E-17 -1.044E-08  5.590E-09  8.668E-10  1.851E-15  2.571E-16  1.00E-07
  9.250E-02 3.19952E-17 -1.073E-08  5.590E-09  8.668E-10  1.902E-15  2.642E-16  1.00E-07
  9.500E-02 3.19952E-17 -1.102E-08  5.590E-09  8.668E-10  1.953E-15  2.714E-16  1.00E-07
  9.750E-02 3.19951E-17 -1.131E-08  5.590E-09  8.668E-10  2.005E-15  2.785E-16  1.00E-07
  1.000E-01 3.19950E-17 -1.160E-08  5.590E-09  8.668E-10  2.056E-15  2.857E-16  1.00E-07
  1.250E-01 3.19944E-17 -1.450E-08  5.590E-09  8.668E-10  2.570E-15  3.571E-16  1.00E-07
  1.500E-01 3.19936E-17 -1.741E-08  5.589E-09  8.668E-10  3.084E-15  4.285E-16  1.00E-07
  1.750E-01 3.19927E-17 -2.031E-08  5.589E-09  8.668E-10  3.598E-15  4.999E-16  1.00E-07
  2.000E-01 3.19917E-17 -2.321E-08  5.589E-09  8.668E-10  4.112E-15  5.713E-16  1.00E-07
  2.250E-01 3.19905E-17 -2.611E-08  5.589E-09  8.668E-10  4.626E-15  6.427E-16  1.00E-07
  2.500E-01 3.19891E-17 -2.901E-08  5.589E-09  8.668E-10  5.140E-15  7.141E-16  1.00E-07
  2.750E-01 3.19877E-17 -3.191E-08  5.589E-09  8.668E-10  5.654E-15  7.855E-16  1.00E-07
  3.000E-01 3.19860E-17 -3.482E-08  5.589E-09  8.668E-10  6.168E-15  8.570E-16  1.00E-07
  3.250E-01 3.19843E-17 -3.772E-08  5.589E-09  8.668E-10  6.682E-15  9.284E-16  1.00E-07
  3.500E-01 3.19824E-17 -4.062E-08  5.588E-09  8.667E-10  7.196E-15  9.998E-16  1.00E-07
  3.750E-01 3.19803E-17 -4.352E-08  5.588E-09  8.667E-10  7.709E-15  1.071E-15  1.00E-07
  4.000E-01 3.19782E-17 -4.643E-08  5.588E-09  8.667E-10  8.223E-15  1.143E-15  1.00E-07
  4.250E-01 3.19758E-17 -4.933E-08  5.588E-09  8.667E-10  8.737E-15  1.214E-15  1.00E-07
  4.500E-01 3.19734E-17 -5.224E-08  5.588E-09  8.667E-10  9.250E-15  1.285E-15  1.00E-07
  4.750E-01 3.19708E-17 -5.514E-08  5.587E-09  8.667E-10  9.764E-15  1.357E-15  1.00E-07
  5.000E-01 3.19680E-17 -5.804E-08  5.587E-09  8.667E-10  1.028E-14  1.428E-15  1.00E-07
  5.250E-01 3.19652E-17 -6.095E-08  5.587E-09  8.667E-10  1.079E-14  1.500E-15  1.00E-07
  5.500E-01 3.19621E-17 -6.386E-08  5.587E-09  8.667E-10  1.130E-14  1.571E-15  1.00E-07
  5.750E-01 3.19590E-17 -6.676E-08  5.586E-09  8.667E-10  1.182E-14  1.642E-15  1.00E-07
  6.000E-01 3.19557E-17 -6.967E-08  5.586E-09  8.667E-10  1.233E-14  1.714E-15  1.00E-07
  6.250E-01 3.19522E-17 -7.258E-08  5.586E-09  8.667E-10  1.284E-14  1.785E-15  1.00E-07
  6.500E-01 3.19486E-17 -7.548E-08  5.585E-09  8.667E-10  1.336E-14  1.856E-15  1.00E-07
  6.750E-01 3.19449E-17 -7.839E-08  5.585E-09  8.666E-10  1.387E-14  1.928E-15  1.00E-07
  7.000E-01 3.19411E-17 -8.130E-08  5.585E-09  8.666E-10  1.438E-14  1.999E-15  1.00E-07
  7.250E-01 3.19371E-17 -8.421E-08  5.584E-09  8.666E-10  1.489E-14  2.071E-15  1.00E-07
  7.500E-01 3.19329E-17 -8.712E-08  5.584E-09  8.666E-10  1.541E-14  2.142E-15  1.00E-07
  7.750E-01 3.19286E-17 -9.003E-08  5.584E-09  8.666E-10  1.592E-14  2.213E-15  1.00E-07
