

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 9.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      4.82487229E-01      0.00000000E+00
       1     -1.28028342E+00     -1.27833951E+00
       2      6.35091616E-01      6.35336028E-01
       3      2.10986778E-01      2.11039188E-01
       4      7.66862086E-02      7.67023109E-02
       5      2.94567531E-02      2.94624741E-02
       6      1.16977826E-02      1.16999561E-02
       7      4.74860675E-03      4.74946379E-03
       8      1.95794257E-03      1.95828865E-03
       9      8.16678795E-04      8.16820909E-04
      10      3.43645827E-04      3.43704913E-04
      11      1.45578861E-04      1.45603659E-04
      12      6.19941920E-05      6.20046762E-05
      13      2.65072053E-05      2.65116628E-05
      14      1.13696949E-05      1.13715984E-05
      15      4.88884343E-06      4.88965910E-06
      16      2.10622387E-06      2.10657432E-06
      17      9.08792958E-07      9.08943846E-07
      18      3.92598368E-07      3.92663439E-07
      19      1.69764580E-07      1.69792677E-07
      20      7.34643481E-08      7.34764971E-08
      21      3.18105197E-08      3.18157774E-08
      22      1.37808530E-08      1.37831278E-08
      23      5.97245022E-09      5.97343868E-09
      24      2.58922732E-09      2.58965099E-09
      25      1.12278306E-09      1.12296487E-09
      26      4.86938904E-10      4.87021201E-10
      27      2.11191956E-10      2.11226353E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  5.000E-03 2.03787E-16  1.083E-08  9.679E-09  1.049E-08 -1.399E-16 -3.769E-17  1.00E-07
  5.250E-03 2.03787E-16  1.137E-08  9.679E-09  1.049E-08 -1.469E-16 -3.957E-17  1.00E-07
  5.500E-03 2.03787E-16  1.191E-08  9.679E-09  1.049E-08 -1.539E-16 -4.146E-17  1.00E-07
  5.750E-03 2.03787E-16  1.245E-08  9.679E-09  1.049E-08 -1.609E-16 -4.334E-17  1.00E-07
  6.000E-03 2.03787E-16  1.299E-08  9.679E-09  1.049E-08 -1.679E-16 -4.523E-17  1.00E-07
  6.250E-03 2.03787E-16  1.353E-08  9.679E-09  1.049E-08 -1.749E-16 -4.711E-17  1.00E-07
  6.500E-03 2.03786E-16  1.408E-08  9.679E-09  1.049E-08 -1.819E-16 -4.899E-17  1.00E-07
  6.750E-03 2.03786E-16  1.462E-08  9.679E-09  1.049E-08 -1.889E-16 -5.088E-17  1.00E-07
  7.000E-03 2.03786E-16  1.516E-08  9.679E-09  1.049E-08 -1.959E-16 -5.276E-17  1.00E-07
  7.250E-03 2.03786E-16  1.570E-08  9.679E-09  1.049E-08 -2.029E-16 -5.465E-17  1.00E-07
  7.500E-03 2.03786E-16  1.624E-08  9.679E-09  1.049E-08 -2.099E-16 -5.653E-17  1.00E-07
  7.750E-03 2.03786E-16  1.678E-08  9.679E-09  1.049E-08 -2.169E-16 -5.842E-17  1.00E-07
  8.000E-03 2.03786E-16  1.732E-08  9.679E-09  1.049E-08 -2.239E-16 -6.030E-17  1.00E-07
  8.250E-03 2.03786E-16  1.786E-08  9.679E-09  1.049E-08 -2.308E-16 -6.218E-17  1.00E-07
  8.500E-03 2.03786E-16  1.841E-08  9.679E-09  1.049E-08 -2.378E-16 -6.407E-17  1.00E-07
  8.750E-03 2.03786E-16  1.895E-08  9.679E-09  1.049E-08 -2.448E-16 -6.595E-17  1.00E-07
  9.000E-03 2.03786E-16  1.949E-08  9.679E-09  1.049E-08 -2.518E-16 -6.784E-17  1.00E-07
