    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  9.750E-04 3.35200E-17 -1.250E-10  5.693E-09  1.053E-09  1.492E-17  2.391E-18  1.00E-07
  1.000E-03 3.35200E-17 -1.282E-10  5.693E-09  1.053E-09  1.530E-17  2.453E-18  1.00E-07
  1.250E-03 3.35200E-17 -1.603E-10  5.693E-09  1.053E-09  1.913E-17  3.066E-18  1.00E-07
  1.500E-03 3.35200E-17 -1.923E-10  5.693E-09  1.053E-09  2.295E-17  3.679E-18  1.00E-07
  1.750E-03 3.35200E-17 -2.244E-10  5.693E-09  1.053E-09  2.678E-17  4.292E-18  1.00E-07
  2.000E-03 3.35200E-17 -2.565E-10  5.693E-09  1.053E-09  3.060E-17  4.906E-18  1.00E-07
  2.250E-03 3.35200E-17 -2.885E-10  5.693E-09  1.053E-09  3.443E-17  5.519E-18  1.00E-07
  2.500E-03 3.35200E-17 -3.206E-10  5.693E-09  1.053E-09  3.826E-17  6.132E-18  1.00E-07
  2.750E-03 3.35200E-17 -3.526E-10  5.693E-09  1.053E-09  4.208E-17  6.745E-18  1.00E-07
  3.000E-03 3.35200E-17 -3.847E-10  5.693E-09  1.053E-09  4.591E-17  7.358E-18  1.00E-07
  3.250E-03 3.35200E-17 -4.167E-10  5.693E-09  1.053E-09  4.973E-17  7.972E-18  1.00E-07
  3.500E-03 3.35200E-17 -4.488E-10  5.693E-09  1.053E-09  5.356E-17  8.585E-18  1.00E-07
  3.750E-03 3.35200E-17 -4.809E-10  5.693E-09  1.053E-09  5.738E-17  9.198E-18  1.00E-07
  4.000E-03 3.35200E-17 -5.129E-10  5.693E-09  1.053E-09  6.121E-17  9.811E-18  1.00E-07
  4.250E-03 3.35200E-17 -5.450E-10  5.693E-09  1.053E-09  6.504E-17  1.042E-17  1.00E-07
  4.500E-03 3.35200E-17 -5.770E-10  5.693E-09  1.053E-09  6.886E-17  1.104E-17  1.00E-07
