

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.46000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.39032213E-01      0.00000000E+00
       1      1.45123163E+00      1.45230899E+00
       2      7.41947887E-01      7.42179310E-01
       3      3.92449858E-01      3.92540620E-01
       4      2.10057473E-01      2.10100474E-01
       5      1.13778542E-01      1.13800381E-01
       6      6.23504064E-02      6.23619102E-02
       7      3.45151337E-02      3.45213340E-02
       8      1.92689503E-02      1.92723451E-02
       9      1.08341488E-02      1.08360291E-02
      10      6.12861324E-03      6.12966385E-03
      11      3.48500799E-03      3.48559924E-03
      12      1.99082092E-03      1.99115566E-03
      13      1.14184283E-03      1.14203332E-03
      14      6.57228745E-04      6.57337638E-04
      15      3.79468929E-04      3.79531422E-04
      16      2.19693412E-04      2.19729401E-04
      17      1.27493057E-04      1.27513846E-04
      18      7.41390149E-05      7.41510556E-05
      19      4.31890475E-05      4.31960376E-05
      20      2.51974006E-05      2.52014667E-05
      21      1.47195381E-05      1.47219074E-05
      22      8.60798435E-06      8.60936704E-06
      23      5.03849430E-06      5.03930220E-06
      24      2.95137890E-06      2.95185145E-06
      25      1.72987914E-06      1.73015579E-06
      26      1.01443166E-06      1.01459373E-06
      27      5.95117426E-07      5.95212433E-07
      28      3.49235304E-07      3.49291022E-07
      29      2.04992321E-07      2.05025017E-07
      30      1.20346664E-07      1.20365851E-07
      31      7.06617190E-08      7.06729813E-08
      32      4.14924504E-08      4.14990586E-08
      33      2.43653712E-08      2.43692538E-08
      34      1.43080531E-08      1.43103288E-08
      35      8.40192301E-09      8.40326199E-09
      36      4.93359492E-09      4.93438183E-09
      37      2.89685197E-09      2.89731376E-09
      38      1.70080117E-09      1.70107044E-09
      39      9.98443514E-10      9.98602561E-10
      40      5.86058173E-10      5.86153740E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.03106E-16  0.000E+00  1.661E-08  1.129E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.03106E-16  2.360E-10  1.661E-08  1.129E-08  2.545E-18  4.594E-18  1.00E-07
  1.250E-04 4.03106E-16  2.950E-10  1.661E-08  1.129E-08  3.181E-18  5.743E-18  1.00E-07
  1.500E-04 4.03106E-16  3.540E-10  1.661E-08  1.129E-08  3.817E-18  6.892E-18  1.00E-07
  1.750E-04 4.03106E-16  4.130E-10  1.661E-08  1.129E-08  4.454E-18  8.040E-18  1.00E-07
  2.000E-04 4.03106E-16  4.720E-10  1.661E-08  1.129E-08  5.090E-18  9.189E-18  1.00E-07
  2.250E-04 4.03106E-16  5.310E-10  1.661E-08  1.129E-08  5.726E-18  1.034E-17  1.00E-07
  2.500E-04 4.03106E-16  5.900E-10  1.661E-08  1.129E-08  6.362E-18  1.149E-17  1.00E-07
  2.750E-04 4.03106E-16  6.490E-10  1.661E-08  1.129E-08  6.999E-18  1.263E-17  1.00E-07
  3.000E-04 4.03106E-16  7.080E-10  1.661E-08  1.129E-08  7.635E-18  1.378E-17  1.00E-07
  3.250E-04 4.03106E-16  7.670E-10  1.661E-08  1.129E-08  8.271E-18  1.493E-17  1.00E-07
  3.500E-04 4.03106E-16  8.260E-10  1.661E-08  1.129E-08  8.907E-18  1.608E-17  1.00E-07
  3.750E-04 4.03106E-16  8.850E-10  1.661E-08  1.129E-08  9.543E-18  1.723E-17  1.00E-07
  4.000E-04 4.03106E-16  9.440E-10  1.661E-08  1.129E-08  1.018E-17  1.838E-17  1.00E-07
  4.250E-04 4.03106E-16  1.003E-09  1.661E-08  1.129E-08  1.082E-17  1.953E-17  1.00E-07
  4.500E-04 4.03106E-16  1.062E-09  1.661E-08  1.129E-08  1.145E-17  2.067E-17  1.00E-07
  4.750E-04 4.03106E-16  1.121E-09  1.661E-08  1.129E-08  1.209E-17  2.182E-17  1.00E-07
  5.000E-04 4.03106E-16  1.180E-09  1.661E-08  1.129E-08  1.272E-17  2.297E-17  1.00E-07
  5.250E-04 4.03106E-16  1.239E-09  1.661E-08  1.129E-08  1.336E-17  2.412E-17  1.00E-07
  5.500E-04 4.03106E-16  1.298E-09  1.661E-08  1.129E-08  1.400E-17  2.527E-17  1.00E-07
