    
 E (eV)=   266.000000000000     
       0     -7.28987207E-01      0.00000000E+00
       1      1.30483912E+00      1.30603041E+00
       2      7.58389549E-01      7.58705321E-01
       3      4.68477754E-01      4.68623268E-01
       4      2.94300227E-01      2.94381542E-01
       5      1.86021456E-01      1.86069930E-01
       6      1.18164453E-01      1.18194153E-01
       7      7.54355302E-02      7.54540178E-02
       8      4.83917912E-02      4.84034276E-02
       9      3.11844544E-02      3.11918408E-02
      10      2.01796415E-02      2.01843623E-02
      11      1.31080834E-02      1.31111175E-02
      12      8.54419435E-03      8.54615380E-03
      13      5.58702386E-03      5.58829461E-03
      14      3.66397353E-03      3.66480071E-03
      15      2.40925253E-03      2.40979277E-03
      16      1.58808894E-03      1.58844286E-03
      17      1.04915798E-03      1.04939047E-03
      18      6.94539866E-04      6.94692987E-04
      19      4.60643851E-04      4.60744930E-04
      20      3.06035154E-04      3.06102021E-04
      21      2.03631900E-04      2.03676220E-04
      22      1.35682430E-04      1.35711858E-04
      23      9.05198572E-05      9.05394280E-05
      24      6.04574699E-05      6.04705042E-05
      25      4.04193728E-05      4.04280651E-05
      26      2.70467088E-05      2.70525122E-05
      27      1.81125790E-05      1.81164577E-05
      28      1.21379901E-05      1.21405848E-05
      29      8.13911406E-06      8.14085126E-06
      30      5.46057114E-06      5.46173507E-06
      31      3.66521561E-06      3.66599595E-06
      32      2.46112928E-06      2.46165273E-06
      33      1.65317369E-06      1.65352499E-06
      34      1.11078495E-06      1.11102082E-06
      35      7.46533832E-07      7.46692255E-07
      36      5.01833514E-07      5.01939958E-07
      37      3.37400110E-07      3.37471643E-07
      38      2.26878077E-07      2.26926162E-07
      39      1.52577087E-07      1.52609417E-07
      40      1.02618382E-07      1.02640114E-07
      41      6.90225232E-08      6.90371388E-08
      42      4.64277094E-08      4.64375414E-08
      43      3.12303885E-08      3.12370037E-08
      44      2.10080715E-08      2.10125220E-08
      45      1.41317688E-08      1.41347607E-08
      46      9.50606418E-09      9.50808017E-09
      47      6.39438953E-09      6.39574073E-09
      48      4.30120804E-09      4.30212325E-09
      49      2.89312978E-09      2.89374322E-09
      50      1.94588836E-09      1.94629660E-09
      51      1.30869180E-09      1.30896891E-09
      52      8.80132527E-10      8.80318567E-10
      53      5.91896167E-10      5.92020335E-10

  TOTAL ELASTIC CROSS SECTION = 1.530268E-16 cm**2
               FROM DCS TABLE = 1.530233E-16  (REL. DIF. = 2.28E-05)

  1ST TRANSPORT CROSS SECTION = 3.267226E-17 cm**2
               FROM DCS TABLE = 3.267221E-17  (REL. DIF. = 1.41E-06)

  2ND TRANSPORT CROSS SECTION = 5.388130E-17 cm**2
