 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 9.40000E+01 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.88635E-09  1.39386E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  5.88635E-09  1.39386E-09  1.03919E-18  2.00505E-19
  1.250E-04  1.18994E-12  5.88635E-09  1.39386E-09  1.29898E-18  2.50631E-19
  1.500E-04  1.71346E-12  5.88635E-09  1.39386E-09  1.55878E-18  3.00757E-19
  1.750E-04  2.33225E-12  5.88635E-09  1.39386E-09  1.81858E-18  3.50883E-19
  2.000E-04  3.04617E-12  5.88635E-09  1.39386E-09  2.07838E-18  4.01009E-19
  2.250E-04  3.85530E-12  5.88635E-09  1.39386E-09  2.33817E-18  4.51136E-19
  2.500E-04  4.75964E-12  5.88635E-09  1.39386E-09  2.59797E-18  5.01262E-19
  2.750E-04  5.75917E-12  5.88635E-09  1.39386E-09  2.85777E-18  5.51388E-19
  3.000E-04  6.85391E-12  5.88635E-09  1.39386E-09  3.11756E-18  6.01514E-19
  3.250E-04  8.04379E-12  5.88635E-09  1.39386E-09  3.37736E-18  6.51640E-19
  3.500E-04  9.32893E-12  5.88635E-09  1.39386E-09  3.63716E-18  7.01767E-19
  3.750E-04  1.07092E-11  5.88635E-09  1.39386E-09  3.89695E-18  7.51893E-19
  4.000E-04  1.21847E-11  5.88635E-09  1.39386E-09  4.15675E-18  8.02019E-19
  4.250E-04  1.37554E-11  5.88635E-09  1.39386E-09  4.41655E-18  8.52145E-19
  4.500E-04  1.54213E-11  5.88635E-09  1.39386E-09  4.67634E-18  9.02271E-19
  4.750E-04  1.71823E-11  5.88635E-09  1.39386E-09  4.93614E-18  9.52397E-19
  5.000E-04  1.90386E-11  5.88635E-09  1.39386E-09  5.19594E-18  1.00252E-18
  5.250E-04  2.09900E-11  5.88635E-09  1.39386E-09  5.45573E-18  1.05265E-18
  5.500E-04  2.30367E-11  5.88635E-09  1.39386E-09  5.71553E-18  1.10278E-18
  5.750E-04  2.51785E-11  5.88635E-09  1.39386E-09  5.97533E-18  1.15290E-18
