    
 E (eV)=   262.000000000000     
       0     -7.19316121E-01      0.00000000E+00
       1      1.30855414E+00      1.30974191E+00
       2      7.58497100E-01      7.58810475E-01
       3      4.67055860E-01      4.67199823E-01
       4      2.92401915E-01      2.92482095E-01
       5      1.84190072E-01      1.84237703E-01
       6      1.16613210E-01      1.16642293E-01
       7      7.42063102E-02      7.42243544E-02
       8      4.74546261E-02      4.74659474E-02
       9      3.04871143E-02      3.04942786E-02
      10      1.96691479E-02      1.96737128E-02
      11      1.27386370E-02      1.27415622E-02
      12      8.27905427E-03      8.28093790E-03
      13      5.39793243E-03      5.39915045E-03
      14      3.52976522E-03      3.53055579E-03
      15      2.31435400E-03      2.31486886E-03
      16      1.52118491E-03      1.52152125E-03
      17      1.00210231E-03      1.00232263E-03
      18      6.61508271E-04      6.61652964E-04
      19      4.37493933E-04      4.37589180E-04
      20      2.89832716E-04      2.89895548E-04
      21      1.92305187E-04      1.92346716E-04
      22      1.27772346E-04      1.27799844E-04
      23      8.50008986E-05      8.50191342E-05
      24      5.66100875E-05      5.66221984E-05
      25      3.77394023E-05      3.77474560E-05
      26      2.51813227E-05      2.51866846E-05
      27      1.68151183E-05      1.68186918E-05
      28      1.12361790E-05      1.12385627E-05
      29      7.51273159E-06      7.51432301E-06
      30      5.02578951E-06      5.02685273E-06
      31      3.36362735E-06      3.36433812E-06
      32      2.25206845E-06      2.25254387E-06
      33      1.50834699E-06      1.50866513E-06
      34      1.01052081E-06      1.01073380E-06
      35      6.77164622E-07      6.77307264E-07
      36      4.53869597E-07      4.53965159E-07
      37      3.04257048E-07      3.04321082E-07
      38      2.03990194E-07      2.04033110E-07
      39      1.36780757E-07      1.36809530E-07
      40      9.17228792E-08      9.17421677E-08
      41      6.15117040E-08      6.15246372E-08
      42      4.12530863E-08      4.12617585E-08
      43      2.76673549E-08      2.76731716E-08
      44      1.85560511E-08      1.85599464E-08
      45      1.24451940E-08      1.24478106E-08
      46      8.34663322E-09      8.34838762E-09
      47      5.59779733E-09      5.59897623E-09
      48      3.75414941E-09      3.75493454E-09
      49      2.51759868E-09      2.51812828E-09
      50      1.68822715E-09      1.68857673E-09
      51      1.13201739E-09      1.13225429E-09
      52      7.59051567E-10      7.59211312E-10
      53      5.08923263E-10      5.09031387E-10

  TOTAL ELASTIC CROSS SECTION = 1.546533E-16 cm**2
               FROM DCS TABLE = 1.546498E-16  (REL. DIF. = 2.27E-05)

  1ST TRANSPORT CROSS SECTION = 3.341889E-17 cm**2
               FROM DCS TABLE = 3.341885E-17  (REL. DIF. = 1.34E-06)

  2ND TRANSPORT CROSS SECTION = 5.488899E-17 cm**2
