

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.04000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -7.90479445E-02      0.00000000E+00
       1     -1.50985948E+00     -1.50783464E+00
       2      7.82452092E-01      7.82864693E-01
       3      3.75667815E-01      3.75809907E-01
       4      1.84967418E-01      1.85027482E-01
       5      9.36283155E-02      9.36562706E-02
       6      4.84788672E-02      4.84926048E-02
       7      2.55452440E-02      2.55522293E-02
       8      1.36456744E-02      1.36493098E-02
       9      7.36857575E-03      7.37049976E-03
      10      4.01395892E-03      4.01499035E-03
      11      2.20229905E-03      2.20285761E-03
      12      1.21550009E-03      1.21580505E-03
      13      6.74180569E-04      6.74348201E-04
      14      3.75479615E-04      3.75572275E-04
      15      2.09842454E-04      2.09893911E-04
      16      1.17612800E-04      1.17641487E-04
      17      6.60796713E-05      6.60957171E-05
      18      3.72018469E-05      3.72108465E-05
      19      2.09799105E-05      2.09849696E-05
      20      1.18486175E-05      1.18514671E-05
      21      6.69974827E-06      6.70135590E-06
      22      3.79222473E-06      3.79313294E-06
      23      2.14835440E-06      2.14886808E-06
      24      1.21797062E-06      1.21826144E-06
      25      6.90937459E-07      6.91102243E-07
      26      3.92167414E-07      3.92260851E-07
      27      2.22690373E-07      2.22743385E-07
      28      1.26502736E-07      1.26532829E-07
      29      7.18857557E-08      7.19028455E-08
      30      4.08611476E-08      4.08708558E-08
      31      2.32319444E-08      2.32374634E-08
      32      1.32114942E-08      1.32146318E-08
      33      7.51444060E-09      7.51622500E-09
      34      4.27476742E-09      4.27578190E-09
      35      2.43213883E-09      2.43271643E-09
      36      1.38388926E-09      1.38421712E-09
      37      7.87493740E-10      7.87676504E-10
      38      4.48175058E-10      4.48281787E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.35103E-16  0.000E+00  1.212E-08  9.387E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.35103E-16  3.835E-10  1.212E-08  9.387E-09  1.076E-18  4.551E-18  1.00E-07
  1.250E-04 2.35103E-16  4.794E-10  1.212E-08  9.387E-09  1.345E-18  5.689E-18  1.00E-07
  1.500E-04 2.35103E-16  5.752E-10  1.212E-08  9.387E-09  1.614E-18  6.827E-18  1.00E-07
  1.750E-04 2.35103E-16  6.711E-10  1.212E-08  9.387E-09  1.883E-18  7.965E-18  1.00E-07
  2.000E-04 2.35103E-16  7.670E-10  1.212E-08  9.387E-09  2.152E-18  9.103E-18  1.00E-07
  2.250E-04 2.35103E-16  8.628E-10  1.212E-08  9.387E-09  2.421E-18  1.024E-17  1.00E-07
  2.500E-04 2.35103E-16  9.587E-10  1.212E-08  9.387E-09  2.690E-18  1.138E-17  1.00E-07
  2.750E-04 2.35103E-16  1.055E-09  1.212E-08  9.387E-09  2.959E-18  1.252E-17  1.00E-07
  3.000E-04 2.35103E-16  1.150E-09  1.212E-08  9.387E-09  3.228E-18  1.365E-17  1.00E-07
  3.250E-04 2.35103E-16  1.246E-09  1.212E-08  9.387E-09  3.497E-18  1.479E-17  1.00E-07
  3.500E-04 2.35103E-16  1.342E-09  1.212E-08  9.387E-09  3.766E-18  1.593E-17  1.00E-07
  3.750E-04 2.35103E-16  1.438E-09  1.212E-08  9.387E-09  4.035E-18  1.707E-17  1.00E-07
  4.000E-04 2.35103E-16  1.534E-09  1.212E-08  9.387E-09  4.305E-18  1.821E-17  1.00E-07
  4.250E-04 2.35103E-16  1.630E-09  1.212E-08  9.387E-09  4.574E-18  1.934E-17  1.00E-07
  4.500E-04 2.35103E-16  1.726E-09  1.212E-08  9.387E-09  4.843E-18  2.048E-17  1.00E-07
  4.750E-04 2.35103E-16  1.822E-09  1.212E-08  9.387E-09  5.112E-18  2.162E-17  1.00E-07
  5.000E-04 2.35103E-16  1.917E-09  1.212E-08  9.387E-09  5.381E-18  2.276E-17  1.00E-07
