

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.58000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.38501167E-01      0.00000000E+00
       1      1.56692315E+00      1.56899520E+00
       2      8.03454844E-01      8.03921664E-01
       3      4.18437275E-01      4.18614936E-01
       4      2.21938378E-01      2.22019966E-01
       5      1.20162975E-01      1.20203692E-01
       6      6.62709383E-02      6.62922521E-02
       7      3.71090371E-02      3.71205455E-02
       8      2.10372878E-02      2.10436382E-02
       9      1.20466760E-02      1.20502369E-02
      10      6.95584476E-03      6.95786634E-03
      11      4.04428184E-03      4.04544094E-03
      12      2.36518704E-03      2.36585702E-03
      13      1.39006043E-03      1.39045031E-03
      14      8.20396806E-04      8.20624982E-04
      15      4.85921624E-04      4.86055804E-04
      16      2.88690313E-04      2.88769541E-04
      17      1.71960295E-04      1.72007240E-04
      18      1.02657186E-04      1.02685085E-04
      19      6.14010009E-05      6.14176236E-05
      20      3.67846857E-05      3.67946112E-05
      21      2.20679759E-05      2.20739135E-05
      22      1.32548651E-05      1.32584228E-05
      23      7.96951525E-06      7.97164982E-06
      24      4.79589510E-06      4.79717733E-06
      25      2.88825384E-06      2.88902485E-06
      26      1.74053840E-06      1.74100241E-06
      27      1.04948382E-06      1.04976328E-06
      28      6.33109543E-07      6.33277956E-07
      29      3.82089224E-07      3.82190773E-07
      30      2.30679723E-07      2.30740989E-07
      31      1.39313125E-07      1.39350099E-07
      32      8.41579487E-08      8.41802718E-08
      33      5.08514470E-08      5.08649269E-08
      34      3.07328458E-08      3.07409907E-08
      35      1.85773223E-08      1.85822422E-08
      36      1.12314274E-08      1.12343991E-08
      37      6.79119119E-09      6.79299152E-09
      38      4.10684935E-09      4.10793512E-09
      39      2.48383853E-09      2.48449474E-09
      40      1.50239517E-09      1.50278790E-09
      41      9.08808782E-10      9.09051537E-10
      42      5.49750159E-10      5.49897347E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.46210E-16  0.000E+00  1.278E-08  9.097E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.46210E-16  3.934E-10  1.278E-08  9.097E-09  3.015E-18  5.933E-18  1.00E-07
  1.250E-04 2.46210E-16  4.918E-10  1.278E-08  9.097E-09  3.768E-18  7.417E-18  1.00E-07
  1.500E-04 2.46210E-16  5.901E-10  1.278E-08  9.097E-09  4.522E-18  8.900E-18  1.00E-07
  1.750E-04 2.46210E-16  6.885E-10  1.278E-08  9.097E-09  5.276E-18  1.038E-17  1.00E-07
  2.000E-04 2.46210E-16  7.868E-10  1.278E-08  9.097E-09  6.030E-18  1.187E-17  1.00E-07
  2.250E-04 2.46210E-16  8.852E-10  1.278E-08  9.097E-09  6.783E-18  1.335E-17  1.00E-07
  2.500E-04 2.46210E-16  9.835E-10  1.278E-08  9.097E-09  7.537E-18  1.483E-17  1.00E-07
  2.750E-04 2.46210E-16  1.082E-09  1.278E-08  9.097E-09  8.291E-18  1.632E-17  1.00E-07
  3.000E-04 2.46210E-16  1.180E-09  1.278E-08  9.097E-09  9.044E-18  1.780E-17  1.00E-07
  3.250E-04 2.46210E-16  1.279E-09  1.278E-08  9.097E-09  9.798E-18  1.928E-17  1.00E-07
  3.500E-04 2.46210E-16  1.377E-09  1.278E-08  9.097E-09  1.055E-17  2.077E-17  1.00E-07
  3.750E-04 2.46210E-16  1.475E-09  1.278E-08  9.097E-09  1.131E-17  2.225E-17  1.00E-07
  4.000E-04 2.46210E-16  1.574E-09  1.278E-08  9.097E-09  1.206E-17  2.373E-17  1.00E-07
  4.250E-04 2.46210E-16  1.672E-09  1.278E-08  9.097E-09  1.281E-17  2.522E-17  1.00E-07
  4.500E-04 2.46210E-16  1.770E-09  1.278E-08  9.097E-09  1.357E-17  2.670E-17  1.00E-07
  4.750E-04 2.46210E-16  1.869E-09  1.278E-08  9.097E-09  1.432E-17  2.818E-17  1.00E-07
  5.000E-04 2.46210E-16  1.967E-09  1.278E-08  9.097E-09  1.507E-17  2.967E-17  1.00E-07
  5.250E-04 2.46210E-16  2.065E-09  1.278E-08  9.097E-09  1.583E-17  3.115E-17  1.00E-07
