

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.46000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.06250259E-01      0.00000000E+00
       1     -1.56154349E+00     -1.55948200E+00
       2      7.99906060E-01      8.00361592E-01
       3      4.10143315E-01      4.10313436E-01
       4      2.14394180E-01      2.14471046E-01
       5      1.14551046E-01      1.14588879E-01
       6      6.23974121E-02      6.24169698E-02
       7      3.45264634E-02      3.45368996E-02
       8      1.93471585E-02      1.93528516E-02
       9      1.09528224E-02      1.09559789E-02
      10      6.25297296E-03      6.25474506E-03
      11      3.59486903E-03      3.59587387E-03
      12      2.07886314E-03      2.07943757E-03
      13      1.20813921E-03      1.20846981E-03
      14      7.05061981E-04      7.05253331E-04
      15      4.12935019E-04      4.13046303E-04
      16      2.42576372E-04      2.42641355E-04
      17      1.42866912E-04      1.42904990E-04
      18      8.43267040E-05      8.43490813E-05
      19      4.98664063E-05      4.98795898E-05
      20      2.95352781E-05      2.95430617E-05
      21      1.75171258E-05      1.75217296E-05
      22      1.04012992E-05      1.04040266E-05
      23      6.18219263E-06      6.18381044E-06
      24      3.67761285E-06      3.67857359E-06
      25      2.18930219E-06      2.18987328E-06
      26      1.30411901E-06      1.30445877E-06
      27      7.77253860E-07      7.77456132E-07
      28      4.63458247E-07      4.63578748E-07
      29      2.76460460E-07      2.76532283E-07
      30      1.64970689E-07      1.65013514E-07
      31      9.84718644E-08      9.84974165E-08
      32      5.87938360E-08      5.88090822E-08
      33      3.51115996E-08      3.51206980E-08
      34      2.09728245E-08      2.09782614E-08
      35      1.25296765E-08      1.25329209E-08
      36      7.48663290E-09      7.48857260E-09
      37      4.47393389E-09      4.47509044E-09
      38      2.67392919E-09      2.67462110E-09
      39      1.59829202E-09      1.59870359E-09
      40      9.55415076E-10      9.55659226E-10
      41      5.71128700E-10      5.71278679E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.43857E-16  0.000E+00  1.265E-08  9.156E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.43857E-16  3.925E-10  1.265E-08  9.156E-09  2.584E-18  5.653E-18  1.00E-07
  1.250E-04 2.43857E-16  4.906E-10  1.265E-08  9.156E-09  3.231E-18  7.067E-18  1.00E-07
  1.500E-04 2.43857E-16  5.887E-10  1.265E-08  9.156E-09  3.877E-18  8.480E-18  1.00E-07
  1.750E-04 2.43857E-16  6.868E-10  1.265E-08  9.156E-09  4.523E-18  9.893E-18  1.00E-07
  2.000E-04 2.43857E-16  7.849E-10  1.265E-08  9.156E-09  5.169E-18  1.131E-17  1.00E-07
  2.250E-04 2.43857E-16  8.831E-10  1.265E-08  9.156E-09  5.815E-18  1.272E-17  1.00E-07
  2.500E-04 2.43857E-16  9.812E-10  1.265E-08  9.156E-09  6.461E-18  1.413E-17  1.00E-07
  2.750E-04 2.43857E-16  1.079E-09  1.265E-08  9.156E-09  7.107E-18  1.555E-17  1.00E-07
  3.000E-04 2.43857E-16  1.177E-09  1.265E-08  9.156E-09  7.753E-18  1.696E-17  1.00E-07
  3.250E-04 2.43857E-16  1.276E-09  1.265E-08  9.156E-09  8.399E-18  1.837E-17  1.00E-07
  3.500E-04 2.43857E-16  1.374E-09  1.265E-08  9.156E-09  9.045E-18  1.979E-17  1.00E-07
  3.750E-04 2.43857E-16  1.472E-09  1.265E-08  9.156E-09  9.692E-18  2.120E-17  1.00E-07
  4.000E-04 2.43857E-16  1.570E-09  1.265E-08  9.156E-09  1.034E-17  2.261E-17  1.00E-07
  4.250E-04 2.43857E-16  1.668E-09  1.265E-08  9.156E-09  1.098E-17  2.403E-17  1.00E-07
  4.500E-04 2.43857E-16  1.766E-09  1.265E-08  9.156E-09  1.163E-17  2.544E-17  1.00E-07
  4.750E-04 2.43857E-16  1.864E-09  1.265E-08  9.156E-09  1.228E-17  2.685E-17  1.00E-07
  5.000E-04 2.43857E-16  1.962E-09  1.265E-08  9.156E-09  1.292E-17  2.827E-17  1.00E-07
  5.250E-04 2.43857E-16  2.060E-09  1.265E-08  9.156E-09  1.357E-17  2.968E-17  1.00E-07
