 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.82000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.73508E-08  1.08966E-08  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.73508E-08  1.08966E-08  4.20920E-18  5.38687E-18
  1.250E-04  1.18994E-12  1.73508E-08  1.08966E-08  5.26150E-18  6.73359E-18
  1.500E-04  1.71346E-12  1.73508E-08  1.08966E-08  6.31380E-18  8.08031E-18
  1.750E-04  2.33225E-12  1.73508E-08  1.08966E-08  7.36611E-18  9.42703E-18
  2.000E-04  3.04617E-12  1.73508E-08  1.08966E-08  8.41841E-18  1.07737E-17
  2.250E-04  3.85530E-12  1.73508E-08  1.08966E-08  9.47071E-18  1.21205E-17
  2.500E-04  4.75964E-12  1.73508E-08  1.08966E-08  1.05230E-17  1.34672E-17
  2.750E-04  5.75917E-12  1.73508E-08  1.08966E-08  1.15753E-17  1.48139E-17
  3.000E-04  6.85391E-12  1.73508E-08  1.08966E-08  1.26276E-17  1.61606E-17
  3.250E-04  8.04379E-12  1.73508E-08  1.08966E-08  1.36799E-17  1.75073E-17
  3.500E-04  9.32893E-12  1.73508E-08  1.08966E-08  1.47322E-17  1.88541E-17
  3.750E-04  1.07092E-11  1.73508E-08  1.08966E-08  1.57845E-17  2.02008E-17
  4.000E-04  1.21847E-11  1.73508E-08  1.08966E-08  1.68368E-17  2.15475E-17
  4.250E-04  1.37554E-11  1.73508E-08  1.08966E-08  1.78891E-17  2.28942E-17
  4.500E-04  1.54213E-11  1.73508E-08  1.08966E-08  1.89414E-17  2.42409E-17
  4.750E-04  1.71823E-11  1.73508E-08  1.08966E-08  1.99937E-17  2.55876E-17
  5.000E-04  1.90386E-11  1.73508E-08  1.08966E-08  2.10460E-17  2.69344E-17
  5.250E-04  2.09900E-11  1.73508E-08  1.08966E-08  2.20983E-17  2.82811E-17
  5.500E-04  2.30367E-11  1.73508E-08  1.08966E-08  2.31506E-17  2.96278E-17
  5.750E-04  2.51785E-11  1.73508E-08  1.08966E-08  2.42029E-17  3.09745E-17
  6.000E-04  2.74156E-11  1.73508E-08  1.08966E-08  2.52552E-17  3.23212E-17
  6.250E-04  2.97478E-11  1.73508E-08  1.08966E-08  2.63075E-17  3.36680E-17
  6.500E-04  3.21752E-11  1.73508E-08  1.08966E-08  2.73598E-17  3.50147E-17
  6.750E-04  3.46979E-11  1.73508E-08  1.08966E-08  2.84121E-17  3.63614E-17
  7.000E-04  3.73157E-11  1.73508E-08  1.08966E-08  2.94644E-17  3.77081E-17
  7.250E-04  4.00286E-11  1.73508E-08  1.08966E-08  3.05167E-17  3.90548E-17
  7.500E-04  4.28368E-11  1.73508E-08  1.08966E-08  3.15690E-17  4.04016E-17
  7.750E-04  4.57402E-11  1.73508E-08  1.08966E-08  3.26213E-17  4.17483E-17
  8.000E-04  4.87388E-11  1.73508E-08  1.08966E-08  3.36736E-17  4.30950E-17
  8.250E-04  5.18325E-11  1.73508E-08  1.08966E-08  3.47259E-17  4.44417E-17
  8.500E-04  5.50215E-11  1.73508E-08  1.08966E-08  3.57782E-17  4.57884E-17
  8.750E-04  5.83057E-11  1.73508E-08  1.08966E-08  3.68305E-17  4.71351E-17
  9.000E-04  6.16850E-11  1.73508E-08  1.08966E-08  3.78828E-17  4.84819E-17
  9.250E-04  6.51595E-11  1.73508E-08  1.08966E-08  3.89351E-17  4.98286E-17
  9.500E-04  6.87293E-11  1.73508E-08  1.08966E-08  3.99874E-17  5.11753E-17
  9.750E-04  7.23943E-11  1.73508E-08  1.08966E-08  4.10397E-17  5.25220E-17
  1.000E-03  7.61544E-11  1.73508E-08  1.08966E-08  4.20920E-17  5.38687E-17
  1.250E-03  1.18991E-10  1.73508E-08  1.08966E-08  5.26150E-17  6.73359E-17
  1.500E-03  1.71347E-10  1.73508E-08  1.08966E-08  6.31380E-17  8.08031E-17
  1.750E-03  2.33223E-10  1.73508E-08  1.08966E-08  7.36611E-17  9.42703E-17
  2.000E-03  3.04617E-10  1.73508E-08  1.08966E-08  8.41841E-17  1.07737E-16
  2.250E-03  3.85531E-10  1.73508E-08  1.08966E-08  9.47071E-17  1.21205E-16
  2.500E-03  4.75965E-10  1.73508E-08  1.08966E-08  1.05230E-16  1.34672E-16
  2.750E-03  5.75917E-10  1.73508E-08  1.08966E-08  1.15753E-16  1.48139E-16
  3.000E-03  6.85389E-10  1.73508E-08  1.08966E-08  1.26276E-16  1.61606E-16
  3.250E-03  8.04380E-10  1.73508E-08  1.08966E-08  1.36799E-16  1.75073E-16
  3.500E-03  9.32891E-10  1.73508E-08  1.08966E-08  1.47322E-16  1.88541E-16
  3.750E-03  1.07092E-09  1.73508E-08  1.08966E-08  1.57845E-16  2.02008E-16
  4.000E-03  1.21847E-09  1.73508E-08  1.08966E-08  1.68368E-16  2.15475E-16
  4.250E-03  1.37554E-09  1.73508E-08  1.08966E-08  1.78891E-16  2.28942E-16
  4.500E-03  1.54213E-09  1.73508E-08  1.08966E-08  1.89414E-16  2.42409E-16
  4.750E-03  1.71823E-09  1.73508E-08  1.08966E-08  1.99937E-16  2.55876E-16
  5.000E-03  1.90386E-09  1.73508E-08  1.08966E-08  2.10460E-16  2.69344E-16
  5.250E-03  2.09900E-09  1.73508E-08  1.08966E-08  2.20983E-16  2.82811E-16
  5.500E-03  2.30367E-09  1.73508E-08  1.08966E-08  2.31506E-16  2.96278E-16
  5.750E-03  2.51785E-09  1.73508E-08  1.08966E-08  2.42029E-16  3.09745E-16
  6.000E-03  2.74156E-09  1.73508E-08  1.08966E-08  2.52552E-16  3.23212E-16
  6.250E-03  2.97478E-09  1.73508E-08  1.08966E-08  2.63075E-16  3.36680E-16
  6.500E-03  3.21752E-09  1.73508E-08  1.08966E-08  2.73598E-16  3.50147E-16
