 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.78000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.72750E-08  1.09365E-08  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.72750E-08  1.09365E-08  4.02625E-18  5.30571E-18
  1.250E-04  1.18994E-12  1.72750E-08  1.09365E-08  5.03281E-18  6.63213E-18
  1.500E-04  1.71346E-12  1.72750E-08  1.09365E-08  6.03937E-18  7.95856E-18
  1.750E-04  2.33225E-12  1.72750E-08  1.09365E-08  7.04593E-18  9.28499E-18
  2.000E-04  3.04617E-12  1.72750E-08  1.09365E-08  8.05249E-18  1.06114E-17
  2.250E-04  3.85530E-12  1.72750E-08  1.09365E-08  9.05906E-18  1.19378E-17
  2.500E-04  4.75964E-12  1.72750E-08  1.09365E-08  1.00656E-17  1.32643E-17
  2.750E-04  5.75917E-12  1.72750E-08  1.09365E-08  1.10722E-17  1.45907E-17
  3.000E-04  6.85391E-12  1.72750E-08  1.09365E-08  1.20787E-17  1.59171E-17
  3.250E-04  8.04379E-12  1.72750E-08  1.09365E-08  1.30853E-17  1.72435E-17
  3.500E-04  9.32893E-12  1.72750E-08  1.09365E-08  1.40919E-17  1.85700E-17
  3.750E-04  1.07092E-11  1.72750E-08  1.09365E-08  1.50984E-17  1.98964E-17
  4.000E-04  1.21847E-11  1.72750E-08  1.09365E-08  1.61050E-17  2.12228E-17
  4.250E-04  1.37554E-11  1.72750E-08  1.09365E-08  1.71115E-17  2.25493E-17
  4.500E-04  1.54213E-11  1.72750E-08  1.09365E-08  1.81181E-17  2.38757E-17
  4.750E-04  1.71823E-11  1.72750E-08  1.09365E-08  1.91247E-17  2.52021E-17
  5.000E-04  1.90386E-11  1.72750E-08  1.09365E-08  2.01312E-17  2.65285E-17
  5.250E-04  2.09900E-11  1.72750E-08  1.09365E-08  2.11378E-17  2.78550E-17
  5.500E-04  2.30367E-11  1.72750E-08  1.09365E-08  2.21444E-17  2.91814E-17
  5.750E-04  2.51785E-11  1.72750E-08  1.09365E-08  2.31509E-17  3.05078E-17
  6.000E-04  2.74156E-11  1.72750E-08  1.09365E-08  2.41575E-17  3.18342E-17
  6.250E-04  2.97478E-11  1.72750E-08  1.09365E-08  2.51640E-17  3.31607E-17
  6.500E-04  3.21752E-11  1.72750E-08  1.09365E-08  2.61706E-17  3.44871E-17
  6.750E-04  3.46979E-11  1.72750E-08  1.09365E-08  2.71772E-17  3.58135E-17
  7.000E-04  3.73157E-11  1.72750E-08  1.09365E-08  2.81837E-17  3.71400E-17
  7.250E-04  4.00286E-11  1.72750E-08  1.09365E-08  2.91903E-17  3.84664E-17
  7.500E-04  4.28368E-11  1.72750E-08  1.09365E-08  3.01969E-17  3.97928E-17
  7.750E-04  4.57402E-11  1.72750E-08  1.09365E-08  3.12034E-17  4.11192E-17
  8.000E-04  4.87388E-11  1.72750E-08  1.09365E-08  3.22100E-17  4.24457E-17
  8.250E-04  5.18325E-11  1.72750E-08  1.09365E-08  3.32165E-17  4.37721E-17
  8.500E-04  5.50215E-11  1.72750E-08  1.09365E-08  3.42231E-17  4.50985E-17
  8.750E-04  5.83057E-11  1.72750E-08  1.09365E-08  3.52297E-17  4.64249E-17
  9.000E-04  6.16850E-11  1.72750E-08  1.09365E-08  3.62362E-17  4.77514E-17
  9.250E-04  6.51595E-11  1.72750E-08  1.09365E-08  3.72428E-17  4.90778E-17
  9.500E-04  6.87293E-11  1.72750E-08  1.09365E-08  3.82493E-17  5.04042E-17
  9.750E-04  7.23943E-11  1.72750E-08  1.09365E-08  3.92559E-17  5.17306E-17
  1.000E-03  7.61544E-11  1.72750E-08  1.09365E-08  4.02625E-17  5.30571E-17
  1.250E-03  1.18991E-10  1.72750E-08  1.09365E-08  5.03281E-17  6.63213E-17
  1.500E-03  1.71347E-10  1.72750E-08  1.09365E-08  6.03937E-17  7.95856E-17
  1.750E-03  2.33223E-10  1.72750E-08  1.09365E-08  7.04593E-17  9.28499E-17
  2.000E-03  3.04617E-10  1.72750E-08  1.09365E-08  8.05249E-17  1.06114E-16
  2.250E-03  3.85531E-10  1.72750E-08  1.09365E-08  9.05906E-17  1.19378E-16
  2.500E-03  4.75965E-10  1.72750E-08  1.09365E-08  1.00656E-16  1.32643E-16
  2.750E-03  5.75917E-10  1.72750E-08  1.09365E-08  1.10722E-16  1.45907E-16
  3.000E-03  6.85389E-10  1.72750E-08  1.09365E-08  1.20787E-16  1.59171E-16
  3.250E-03  8.04380E-10  1.72750E-08  1.09365E-08  1.30853E-16  1.72435E-16
  3.500E-03  9.32891E-10  1.72750E-08  1.09365E-08  1.40919E-16  1.85700E-16
  3.750E-03  1.07092E-09  1.72750E-08  1.09365E-08  1.50984E-16  1.98964E-16
  4.000E-03  1.21847E-09  1.72750E-08  1.09365E-08  1.61050E-16  2.12228E-16
  4.250E-03  1.37554E-09  1.72750E-08  1.09365E-08  1.71115E-16  2.25493E-16
  4.500E-03  1.54213E-09  1.72750E-08  1.09365E-08  1.81181E-16  2.38757E-16
  4.750E-03  1.71823E-09  1.72750E-08  1.09365E-08  1.91247E-16  2.52021E-16
  5.000E-03  1.90386E-09  1.72750E-08  1.09365E-08  2.01312E-16  2.65285E-16
  5.250E-03  2.09900E-09  1.72750E-08  1.09365E-08  2.11378E-16  2.78550E-16
  5.500E-03  2.30367E-09  1.72750E-08  1.09365E-08  2.21444E-16  2.91814E-16
  5.750E-03  2.51785E-09  1.72750E-08  1.09365E-08  2.31509E-16  3.05078E-16
  6.000E-03  2.74156E-09  1.72750E-08  1.09365E-08  2.41575E-16  3.18342E-16
  6.250E-03  2.97478E-09  1.72750E-08  1.09365E-08  2.51640E-16  3.31607E-16
  6.500E-03  3.21752E-09  1.72750E-08  1.09365E-08  2.61706E-16  3.44871E-16
  6.750E-03  3.46978E-09  1.72750E-08  1.09365E-08  2.71772E-16  3.58135E-16
  7.000E-03  3.73156E-09  1.72750E-08  1.09365E-08  2.81837E-16  3.71400E-16
  7.250E-03  4.00286E-09  1.72750E-08  1.09365E-08  2.91903E-16  3.84664E-16
  7.500E-03  4.28368E-09  1.72750E-08  1.09365E-08  3.01968E-16  3.97928E-16
  7.750E-03  4.57402E-09  1.72750E-08  1.09365E-08  3.12034E-16  4.11192E-16
  8.000E-03  4.87388E-09  1.72750E-08  1.09365E-08  3.22100E-16  4.24457E-16
  8.250E-03  5.18326E-09  1.72750E-08  1.09365E-08  3.32165E-16  4.37721E-16
  8.500E-03  5.50215E-09  1.72750E-08  1.09365E-08  3.42231E-16  4.50985E-16
  8.750E-03  5.83057E-09  1.72750E-08  1.09365E-08  3.52297E-16  4.64249E-16
  9.000E-03  6.16850E-09  1.72750E-08  1.09365E-08  3.62362E-16  4.77514E-16
  9.250E-03  6.51596E-09  1.72750E-08  1.09365E-08  3.72428E-16  4.90778E-16
  9.500E-03  6.87293E-09  1.72750E-08  1.09365E-08  3.82493E-16  5.04042E-16
  9.750E-03  7.23942E-09  1.72750E-08  1.09365E-08  3.92559E-16  5.17306E-16
  1.000E-02  7.61544E-09  1.72750E-08  1.09365E-08  4.02625E-16  5.30571E-16
  1.250E-02  1.18991E-08  1.72750E-08  1.09365E-08  5.03281E-16  6.63213E-16
  1.500E-02  1.71347E-08  1.72750E-08  1.09365E-08  6.03937E-16  7.95856E-16
  1.750E-02  2.33223E-08  1.72750E-08  1.09365E-08  7.04592E-16  9.28499E-16
  2.000E-02  3.04617E-08  1.72750E-08  1.09365E-08  8.05248E-16  1.06114E-15
  2.250E-02  3.85531E-08  1.72750E-08  1.09365E-08  9.05904E-16  1.19378E-15
  2.500E-02  4.75965E-08  1.72750E-08  1.09365E-08  1.00656E-15  1.32643E-15
  2.750E-02  5.75917E-08  1.72750E-08  1.09365E-08  1.10722E-15  1.45907E-15
  3.000E-02  6.85389E-08  1.72750E-08  1.09365E-08  1.20787E-15  1.59171E-15
  3.250E-02  8.04380E-08  1.72750E-08  1.09365E-08  1.30853E-15  1.72435E-15
  3.500E-02  9.32891E-08  1.72750E-08  1.09365E-08  1.40918E-15  1.85700E-15
  3.750E-02  1.07092E-07  1.72749E-08  1.09365E-08  1.50984E-15  1.98964E-15
  4.000E-02  1.21847E-07  1.72749E-08  1.09365E-08  1.61049E-15  2.12228E-15
  4.250E-02  1.37554E-07  1.72749E-08  1.09365E-08  1.71114E-15  2.25492E-15
  4.500E-02  1.54213E-07  1.72749E-08  1.09365E-08  1.81180E-15  2.38757E-15
  4.750E-02  1.71823E-07  1.72749E-08  1.09365E-08  1.91245E-15  2.52021E-15
  5.000E-02  1.90386E-07  1.72749E-08  1.09365E-08  2.01311E-15  2.65285E-15
  5.250E-02  2.09900E-07  1.72749E-08  1.09365E-08  2.11376E-15  2.78549E-15
  5.500E-02  2.30367E-07  1.72749E-08  1.09365E-08  2.21441E-15  2.91814E-15
  5.750E-02  2.51785E-07  1.72749E-08  1.09364E-08  2.31507E-15  3.05078E-15
  6.000E-02  2.74156E-07  1.72749E-08  1.09364E-08  2.41572E-15  3.18342E-15
  6.250E-02  2.97478E-07  1.72748E-08  1.09364E-08  2.51637E-15  3.31606E-15
  6.500E-02  3.21752E-07  1.72748E-08  1.09364E-08  2.61702E-15  3.44870E-15
  6.750E-02  3.46978E-07  1.72748E-08  1.09364E-08  2.71768E-15  3.58135E-15
  7.000E-02  3.73156E-07  1.72748E-08  1.09364E-08  2.81833E-15  3.71399E-15
  7.250E-02  4.00286E-07  1.72748E-08  1.09364E-08  2.91898E-15  3.84663E-15
  7.500E-02  4.28368E-07  1.72748E-08  1.09364E-08  3.01963E-15  3.97927E-15
  7.750E-02  4.57402E-07  1.72748E-08  1.09364E-08  3.12028E-15  4.11191E-15
  8.000E-02  4.87388E-07  1.72747E-08  1.09364E-08  3.22093E-15  4.24455E-15
  8.250E-02  5.18325E-07  1.72747E-08  1.09364E-08  3.32158E-15  4.37720E-15
  8.500E-02  5.50215E-07  1.72747E-08  1.09364E-08  3.42223E-15  4.50984E-15
  8.750E-02  5.83057E-07  1.72747E-08  1.09364E-08  3.52288E-15  4.64248E-15
  9.000E-02  6.16850E-07  1.72747E-08  1.09364E-08  3.62353E-15  4.77512E-15
  9.250E-02  6.51596E-07  1.72747E-08  1.09364E-08  3.72418E-15  4.90776E-15
  9.500E-02  6.87293E-07  1.72746E-08  1.09364E-08  3.82482E-15  5.04040E-15
  9.750E-02  7.23942E-07  1.72746E-08  1.09364E-08  3.92547E-15  5.17304E-15
  1.000E-01  7.61543E-07  1.72746E-08  1.09364E-08  4.02612E-15  5.30568E-15
  1.250E-01  1.18991E-06  1.72744E-08  1.09364E-08  5.03255E-15  6.63209E-15
  1.500E-01  1.71347E-06  1.72741E-08  1.09363E-08  6.03893E-15  7.95848E-15
  1.750E-01  2.33223E-06  1.72738E-08  1.09363E-08  7.04523E-15  9.28487E-15
  2.000E-01  3.04617E-06  1.72734E-08  1.09362E-08  8.05145E-15  1.06112E-14
  2.250E-01  3.85531E-06  1.72729E-08  1.09361E-08  9.05757E-15  1.19376E-14
  2.500E-01  4.75964E-06  1.72725E-08  1.09361E-08  1.00636E-14  1.32639E-14
  2.750E-01  5.75916E-06  1.72719E-08  1.09360E-08  1.10695E-14  1.45902E-14
  3.000E-01  6.85388E-06  1.72713E-08  1.09359E-08  1.20752E-14  1.59165E-14
  3.250E-01  8.04378E-06  1.72707E-08  1.09358E-08  1.30808E-14  1.72428E-14
  3.500E-01  9.32888E-06  1.72700E-08  1.09357E-08  1.40863E-14  1.85690E-14
  3.750E-01  1.07092E-05  1.72693E-08  1.09356E-08  1.50916E-14  1.98952E-14
  4.000E-01  1.21846E-05  1.72685E-08  1.09355E-08  1.60967E-14  2.12214E-14
  4.250E-01  1.37553E-05  1.72677E-08  1.09353E-08  1.71016E-14  2.25475E-14
  4.500E-01  1.54212E-05  1.72668E-08  1.09352E-08  1.81063E-14  2.38736E-14
  4.750E-01  1.71822E-05  1.72658E-08  1.09350E-08  1.91107E-14  2.51997E-14
  5.000E-01  1.90385E-05  1.72648E-08  1.09349E-08  2.01150E-14  2.65257E-14
  5.250E-01  2.09899E-05  1.72638E-08  1.09347E-08  2.11190E-14  2.78517E-14
  5.500E-01  2.30365E-05  1.72627E-08  1.09345E-08  2.21227E-14  2.91776E-14
  5.750E-01  2.51783E-05  1.72616E-08  1.09344E-08  2.31262E-14  3.05035E-14
  6.000E-01  2.74153E-05  1.72604E-08  1.09342E-08  2.41294E-14  3.18293E-14
  6.250E-01  2.97475E-05  1.72591E-08  1.09340E-08  2.51323E-14  3.31551E-14
  6.500E-01  3.21749E-05  1.72578E-08  1.09338E-08  2.61349E-14  3.44809E-14
  6.750E-01  3.46974E-05  1.72565E-08  1.09336E-08  2.71372E-14  3.58065E-14
  7.000E-01  3.73152E-05  1.72551E-08  1.09334E-08  2.81391E-14  3.71322E-14
  7.250E-01  4.00281E-05  1.72536E-08  1.09331E-08  2.91407E-14  3.84577E-14
  7.500E-01  4.28362E-05  1.72521E-08  1.09329E-08  3.01420E-14  3.97832E-14
  7.750E-01  4.57395E-05  1.72506E-08  1.09326E-08  3.11429E-14  4.11086E-14
  8.000E-01  4.87380E-05  1.72490E-08  1.09324E-08  3.21434E-14  4.24340E-14
  8.250E-01  5.18317E-05  1.72474E-08  1.09321E-08  3.31435E-14  4.37593E-14
  8.500E-01  5.50205E-05  1.72457E-08  1.09319E-08  3.41433E-14  4.50845E-14
  8.750E-01  5.83045E-05  1.72439E-08  1.09316E-08  3.51426E-14  4.64097E-14
  9.000E-01  6.16838E-05  1.72421E-08  1.09313E-08  3.61415E-14  4.77348E-14
  9.250E-01  6.51582E-05  1.72403E-08  1.09310E-08  3.71399E-14  4.90598E-14
  9.500E-01  6.87277E-05  1.72384E-08  1.09307E-08  3.81379E-14  5.03847E-14
  9.750E-01  7.23925E-05  1.72364E-08  1.09304E-08  3.91354E-14  5.17096E-14
  1.000E+00  7.61524E-05  1.72344E-08  1.09301E-08  4.01325E-14  5.30343E-14
  1.100E+00  9.21439E-05  1.72259E-08  1.09288E-08  4.41158E-14  5.83325E-14
  1.200E+00  1.09658E-04  1.72166E-08  1.09273E-08  4.80905E-14  6.36292E-14
  1.300E+00  1.28695E-04  1.72064E-08  1.09257E-08  5.20560E-14  6.89243E-14
  1.400E+00  1.49255E-04  1.71955E-08  1.09240E-08  5.60113E-14  7.42175E-14
  1.500E+00  1.71338E-04  1.71838E-08  1.09222E-08  5.99559E-14  7.95089E-14
  1.600E+00  1.94942E-04  1.71713E-08  1.09202E-08  6.38888E-14  8.47982E-14
  1.700E+00  2.20070E-04  1.71580E-08  1.09181E-08  6.78094E-14  9.00854E-14
  1.800E+00  2.46720E-04  1.71439E-08  1.09159E-08  7.17169E-14  9.53702E-14
  1.900E+00  2.74892E-04  1.71290E-08  1.09135E-08  7.56106E-14  1.00653E-13
  2.000E+00  3.04586E-04  1.71133E-08  1.09110E-08  7.94897E-14  1.05932E-13
  2.100E+00  3.35803E-04  1.70968E-08  1.09084E-08  8.33534E-14  1.11210E-13
  2.200E+00  3.68542E-04  1.70796E-08  1.09057E-08  8.72012E-14  1.16484E-13
  2.300E+00  4.02802E-04  1.70615E-08  1.09029E-08  9.10321E-14  1.21755E-13
  2.400E+00  4.38585E-04  1.70427E-08  1.08999E-08  9.48455E-14  1.27023E-13
  2.500E+00  4.75889E-04  1.70231E-08  1.08968E-08  9.86407E-14  1.32288E-13
  2.600E+00  5.14715E-04  1.70028E-08  1.08935E-08  1.02417E-13  1.37549E-13
  2.700E+00  5.55063E-04  1.69817E-08  1.08902E-08  1.06173E-13  1.42807E-13
  2.800E+00  5.96931E-04  1.69598E-08  1.08867E-08  1.09910E-13  1.48062E-13
  2.900E+00  6.40321E-04  1.69371E-08  1.08831E-08  1.13625E-13  1.53312E-13
  3.000E+00  6.85233E-04  1.69138E-08  1.08794E-08  1.17318E-13  1.58559E-13
  3.100E+00  7.31665E-04  1.68896E-08  1.08755E-08  1.20989E-13  1.63801E-13
  3.200E+00  7.79618E-04  1.68647E-08  1.08715E-08  1.24637E-13  1.69040E-13
  3.300E+00  8.29092E-04  1.68391E-08  1.08674E-08  1.28261E-13  1.74274E-13
  3.400E+00  8.80086E-04  1.68127E-08  1.08632E-08  1.31861E-13  1.79503E-13
  3.500E+00  9.32601E-04  1.67856E-08  1.08588E-08  1.35435E-13  1.84728E-13
  3.600E+00  9.86636E-04  1.67577E-08  1.08543E-08  1.38984E-13  1.89949E-13
  3.700E+00  1.04219E-03  1.67292E-08  1.08497E-08  1.42506E-13  1.95164E-13
  3.800E+00  1.09927E-03  1.66999E-08  1.08450E-08  1.46001E-13  2.00374E-13
  3.900E+00  1.15786E-03  1.66699E-08  1.08402E-08  1.49468E-13  2.05580E-13
  4.000E+00  1.21797E-03  1.66392E-08  1.08352E-08  1.52908E-13  2.10780E-13
  4.100E+00  1.27961E-03  1.66077E-08  1.08301E-08  1.56318E-13  2.15975E-13
  4.200E+00  1.34276E-03  1.65756E-08  1.08249E-08  1.59698E-13  2.21164E-13
  4.300E+00  1.40743E-03  1.65428E-08  1.08195E-08  1.63049E-13  2.26347E-13
  4.400E+00  1.47362E-03  1.65093E-08  1.08140E-08  1.66368E-13  2.31525E-13
  4.500E+00  1.54133E-03  1.64751E-08  1.08085E-08  1.69657E-13  2.36697E-13
  4.600E+00  1.61056E-03  1.64402E-08  1.08027E-08  1.72913E-13  2.41863E-13
  4.700E+00  1.68131E-03  1.64047E-08  1.07969E-08  1.76137E-13  2.47023E-13
  4.800E+00  1.75357E-03  1.63685E-08  1.07909E-08  1.79328E-13  2.52176E-13
  4.900E+00  1.82735E-03  1.63316E-08  1.07849E-08  1.82485E-13  2.57324E-13
  5.000E+00  1.90265E-03  1.62941E-08  1.07787E-08  1.85608E-13  2.62464E-13
  5.100E+00  1.97947E-03  1.62559E-08  1.07724E-08  1.88697E-13  2.67598E-13
  5.200E+00  2.05780E-03  1.62171E-08  1.07659E-08  1.91750E-13  2.72725E-13
  5.300E+00  2.13765E-03  1.61776E-08  1.07594E-08  1.94767E-13  2.77846E-13
  5.400E+00  2.21902E-03  1.61375E-08  1.07527E-08  1.97749E-13  2.82959E-13
  5.500E+00  2.30190E-03  1.60968E-08  1.07459E-08  2.00693E-13  2.88065E-13
  5.600E+00  2.38630E-03  1.60554E-08  1.07389E-08  2.03600E-13  2.93164E-13
  5.700E+00  2.47222E-03  1.60135E-08  1.07319E-08  2.06470E-13  2.98255E-13
  5.800E+00  2.55965E-03  1.59709E-08  1.07247E-08  2.09301E-13  3.03339E-13
  5.900E+00  2.64859E-03  1.59277E-08  1.07175E-08  2.12094E-13  3.08415E-13
  6.000E+00  2.73905E-03  1.58840E-08  1.07101E-08  2.14847E-13  3.13484E-13
  6.100E+00  2.83103E-03  1.58396E-08  1.07026E-08  2.17561E-13  3.18544E-13
  6.200E+00  2.92452E-03  1.57947E-08  1.06949E-08  2.20235E-13  3.23597E-13
  6.300E+00  3.01952E-03  1.57492E-08  1.06872E-08  2.22869E-13  3.28641E-13
  6.400E+00  3.11604E-03  1.57031E-08  1.06793E-08  2.25462E-13  3.33678E-13
  6.500E+00  3.21407E-03  1.56565E-08  1.06713E-08  2.28013E-13  3.38705E-13
  6.600E+00  3.31362E-03  1.56093E-08  1.06632E-08  2.30523E-13  3.43725E-13
  6.700E+00  3.41468E-03  1.55616E-08  1.06550E-08  2.32991E-13  3.48736E-13
  6.800E+00  3.51725E-03  1.55133E-08  1.06467E-08  2.35417E-13  3.53738E-13
  6.900E+00  3.62133E-03  1.54645E-08  1.06382E-08  2.37799E-13  3.58731E-13
  7.000E+00  3.72692E-03  1.54152E-08  1.06297E-08  2.40139E-13  3.63715E-13
  7.100E+00  3.83403E-03  1.53654E-08  1.06210E-08  2.42435E-13  3.68690E-13
  7.200E+00  3.94265E-03  1.53150E-08  1.06122E-08  2.44688E-13  3.73656E-13
  7.300E+00  4.05278E-03  1.52641E-08  1.06033E-08  2.46896E-13  3.78612E-13
  7.400E+00  4.16442E-03  1.52128E-08  1.05942E-08  2.49060E-13  3.83560E-13
  7.500E+00  4.27757E-03  1.51609E-08  1.05851E-08  2.51179E-13  3.88497E-13
  7.600E+00  4.39223E-03  1.51086E-08  1.05758E-08  2.53253E-13  3.93425E-13
  7.700E+00  4.50840E-03  1.50558E-08  1.05665E-08  2.55281E-13  3.98343E-13
