    
 E (eV)=   196.000000000000     
       0     -5.32036738E-01      0.00000000E+00
       1      1.37958051E+00      1.38070752E+00
       2      7.55596965E-01      7.55867284E-01
       3      4.34726576E-01      4.34842563E-01
       4      2.53303683E-01      2.53363776E-01
       5      1.48720723E-01      1.48753912E-01
       6      8.79956465E-02      8.80145472E-02
       7      5.24538795E-02      5.24648522E-02
       8      3.14776801E-02      3.14841372E-02
       9      1.90015850E-02      1.90054235E-02
      10      1.15300017E-02      1.15323019E-02
      11      7.02847735E-03      7.02986470E-03
      12      4.30197862E-03      4.30281999E-03
      13      2.64280829E-03      2.64332097E-03
      14      1.62889210E-03      1.62920580E-03
      15      1.00694131E-03      1.00713397E-03
      16      6.24122893E-04      6.24241611E-04
      17      3.87765929E-04      3.87839302E-04
      18      2.41430099E-04      2.41475570E-04
      19      1.50602623E-04      1.50630869E-04
      20      9.41018654E-05      9.41194499E-05
      21      5.88845767E-05      5.88955446E-05
      22      3.68946311E-05      3.69014836E-05
      23      2.31425430E-05      2.31468307E-05
      24      1.45304914E-05      1.45331778E-05
      25      9.13087719E-06      9.13256214E-06
      26      5.74189922E-06      5.74295713E-06
      27      3.61295994E-06      3.61362471E-06
      28      2.27454318E-06      2.27496121E-06
      29      1.43255898E-06      1.43282201E-06
      30      9.02581203E-07      9.02746797E-07
      31      5.68836655E-07      5.68940953E-07
      32      3.58584937E-07      3.58650648E-07
      33      2.26088564E-07      2.26129978E-07
      34      1.42570136E-07      1.42596241E-07
      35      8.99137204E-08      8.99301828E-08
      36      5.67097237E-08      5.67201029E-08
      37      3.57693237E-08      3.57758732E-08
      38      2.25618353E-08      2.25659677E-08
      39      1.42312038E-08      1.42338092E-08
      40      8.97647050E-09      8.97811220E-09
      41      5.66178905E-09      5.66282969E-09
      42      3.57097830E-09      3.57163319E-09
      43      2.25213679E-09      2.25254907E-09
      44      1.42031656E-09      1.42057256E-09
      45      8.95651844E-10      8.95818564E-10
      46      5.64702651E-10      5.64806590E-10

  TOTAL ELASTIC CROSS SECTION = 1.885408E-16 cm**2
               FROM DCS TABLE = 1.885369E-16  (REL. DIF. = 2.06E-05)

  1ST TRANSPORT CROSS SECTION = 5.107661E-17 cm**2
               FROM DCS TABLE = 5.107660E-17  (REL. DIF. = 1.79E-07)

  2ND TRANSPORT CROSS SECTION = 7.696936E-17 cm**2
