

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 9.40000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -4.73237593E-02      0.00000000E+00
       1      1.55745634E+00      1.55847942E+00
       2      6.98236097E-01      6.98416227E-01
       3      3.15172851E-01      3.15231768E-01
       4      1.45382370E-01      1.45406179E-01
       5      6.86366395E-02      6.86471531E-02
       6      3.30026694E-02      3.30075322E-02
       7      1.60888323E-02      1.60911437E-02
       8      7.92710361E-03      7.92822189E-03
       9      3.93911806E-03      3.93966595E-03
      10      1.97120521E-03      1.97147624E-03
      11      9.92262337E-04      9.92397456E-04
      12      5.01985448E-04      5.02053247E-04
      13      2.55031962E-04      2.55066168E-04
      14      1.30031883E-04      1.30049221E-04
      15      6.64975296E-05      6.65063527E-05
      16      3.40911536E-05      3.40956583E-05
      17      1.75132653E-05      1.75155717E-05
      18      9.01190782E-06      9.01309137E-06
      19      4.64354117E-06      4.64414966E-06
      20      2.39521748E-06      2.39553080E-06
      21      1.23652473E-06      1.23668626E-06
      22      6.38761096E-07      6.38844451E-07
      23      3.30127545E-07      3.30170591E-07
      24      1.70677011E-07      1.70699249E-07
      25      8.82613412E-08      8.82728385E-08
      26      4.56487921E-08      4.56547428E-08
      27      2.36112825E-08      2.36143580E-08
      28      1.22128622E-08      1.22144520E-08
      29      6.31683886E-09      6.31765851E-09
      30      3.26696295E-09      3.26738707E-09
      31      1.68944398E-09      1.68966232E-09
      32      8.73585495E-10      8.73695712E-10
      33      4.51650516E-10      4.51704564E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.75858E-16  0.000E+00  1.516E-08  1.208E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.75858E-16  2.436E-10  1.516E-08  1.208E-08  3.087E-20  3.044E-18  1.00E-07
  1.250E-04 3.75858E-16  3.045E-10  1.516E-08  1.208E-08  3.859E-20  3.805E-18  1.00E-07
  1.500E-04 3.75858E-16  3.654E-10  1.516E-08  1.208E-08  4.631E-20  4.566E-18  1.00E-07
  1.750E-04 3.75858E-16  4.263E-10  1.516E-08  1.208E-08  5.403E-20  5.327E-18  1.00E-07
  2.000E-04 3.75858E-16  4.873E-10  1.516E-08  1.208E-08  6.175E-20  6.089E-18  1.00E-07
  2.250E-04 3.75858E-16  5.482E-10  1.516E-08  1.208E-08  6.947E-20  6.850E-18  1.00E-07
  2.500E-04 3.75858E-16  6.091E-10  1.516E-08  1.208E-08  7.718E-20  7.611E-18  1.00E-07
  2.750E-04 3.75858E-16  6.700E-10  1.516E-08  1.208E-08  8.490E-20  8.372E-18  1.00E-07
  3.000E-04 3.75858E-16  7.309E-10  1.516E-08  1.208E-08  9.262E-20  9.133E-18  1.00E-07
  3.250E-04 3.75858E-16  7.918E-10  1.516E-08  1.208E-08  1.003E-19  9.894E-18  1.00E-07
  3.500E-04 3.75858E-16  8.527E-10  1.516E-08  1.208E-08  1.081E-19  1.065E-17  1.00E-07
  3.750E-04 3.75858E-16  9.136E-10  1.516E-08  1.208E-08  1.158E-19  1.142E-17  1.00E-07
  4.000E-04 3.75858E-16  9.745E-10  1.516E-08  1.208E-08  1.235E-19  1.218E-17  1.00E-07
  4.250E-04 3.75858E-16  1.035E-09  1.516E-08  1.208E-08  1.312E-19  1.294E-17  1.00E-07
  4.500E-04 3.75858E-16  1.096E-09  1.516E-08  1.208E-08  1.389E-19  1.370E-17  1.00E-07
  4.750E-04 3.75858E-16  1.157E-09  1.516E-08  1.208E-08  1.467E-19  1.446E-17  1.00E-07
  5.000E-04 3.75858E-16  1.218E-09  1.516E-08  1.208E-08  1.544E-19  1.522E-17  1.00E-07
  5.250E-04 3.75858E-16  1.279E-09  1.516E-08  1.208E-08  1.621E-19  1.598E-17  1.00E-07
  5.500E-04 3.75858E-16  1.340E-09  1.516E-08  1.208E-08  1.698E-19  1.674E-17  1.00E-07
  5.750E-04 3.75858E-16  1.401E-09  1.516E-08  1.208E-08  1.775E-19  1.750E-17  1.00E-07
  6.000E-04 3.75858E-16  1.462E-09  1.516E-08  1.208E-08  1.852E-19  1.827E-17  1.00E-07
  6.250E-04 3.75858E-16  1.523E-09  1.516E-08  1.208E-08  1.930E-19  1.903E-17  1.00E-07
  6.500E-04 3.75858E-16  1.584E-09  1.516E-08  1.208E-08  2.007E-19  1.979E-17  1.00E-07
  6.750E-04 3.75858E-16  1.644E-09  1.516E-08  1.208E-08  2.084E-19  2.055E-17  1.00E-07
  7.000E-04 3.75858E-16  1.705E-09  1.516E-08  1.208E-08  2.161E-19  2.131E-17  1.00E-07
  7.250E-04 3.75858E-16  1.766E-09  1.516E-08  1.208E-08  2.238E-19  2.207E-17  1.00E-07
  7.500E-04 3.75858E-16  1.827E-09  1.516E-08  1.208E-08  2.316E-19  2.283E-17  1.00E-07
  7.750E-04 3.75858E-16  1.888E-09  1.516E-08  1.208E-08  2.393E-19  2.359E-17  1.00E-07
  8.000E-04 3.75858E-16  1.949E-09  1.516E-08  1.208E-08  2.470E-19  2.435E-17  1.00E-07
  8.250E-04 3.75858E-16  2.010E-09  1.516E-08  1.208E-08  2.547E-19  2.512E-17  1.00E-07
  8.500E-04 3.75858E-16  2.071E-09  1.516E-08  1.208E-08  2.624E-19  2.588E-17  1.00E-07
  8.750E-04 3.75858E-16  2.132E-09  1.516E-08  1.208E-08  2.701E-19  2.664E-17  1.00E-07
  9.000E-04 3.75858E-16  2.193E-09  1.516E-08  1.208E-08  2.779E-19  2.740E-17  1.00E-07
  9.250E-04 3.75858E-16  2.254E-09  1.516E-08  1.208E-08  2.856E-19  2.816E-17  1.00E-07
  9.500E-04 3.75858E-16  2.314E-09  1.516E-08  1.208E-08  2.933E-19  2.892E-17  1.00E-07
  9.750E-04 3.75858E-16  2.375E-09  1.516E-08  1.208E-08  3.010E-19  2.968E-17  1.00E-07
  1.000E-03 3.75858E-16  2.436E-09  1.516E-08  1.208E-08  3.087E-19  3.044E-17  1.00E-07
  1.250E-03 3.75858E-16  3.045E-09  1.516E-08  1.208E-08  3.859E-19  3.805E-17  1.00E-07
  1.500E-03 3.75858E-16  3.654E-09  1.516E-08  1.208E-08  4.631E-19  4.566E-17  1.00E-07
  1.750E-03 3.75858E-16  4.263E-09  1.516E-08  1.208E-08  5.403E-19  5.327E-17  1.00E-07
  2.000E-03 3.75858E-16  4.873E-09  1.516E-08  1.208E-08  6.175E-19  6.089E-17  1.00E-07
  2.250E-03 3.75858E-16  5.482E-09  1.516E-08  1.208E-08  6.947E-19  6.850E-17  1.00E-07
  2.500E-03 3.75858E-16  6.091E-09  1.516E-08  1.208E-08  7.718E-19  7.611E-17  1.00E-07
  2.750E-03 3.75858E-16  6.700E-09  1.516E-08  1.208E-08  8.490E-19  8.372E-17  1.00E-07
  3.000E-03 3.75858E-16  7.309E-09  1.516E-08  1.208E-08  9.262E-19  9.133E-17  1.00E-07
