

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.02000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -7.23367088E-02      0.00000000E+00
       1     -1.50713493E+00     -1.50511180E+00
       2      7.81374263E-01      7.81784664E-01
       3      3.73780242E-01      3.73920931E-01
       4      1.83439081E-01      1.83498338E-01
       5      9.25827942E-02      9.26102908E-02
       6      4.78054692E-02      4.78189446E-02
       7      2.51232872E-02      2.51301212E-02
       8      1.33851715E-02      1.33887190E-02
       9      7.20919580E-03      7.21106854E-03
      10      3.91702960E-03      3.91803100E-03
      11      2.14359975E-03      2.14414068E-03
      12      1.18006598E-03      1.18036057E-03
      13      6.52845104E-04      6.53006624E-04
      14      3.62660694E-04      3.62749748E-04
      15      2.02155011E-04      2.02204340E-04
      16      1.13010595E-04      1.13038026E-04
      17      6.33289145E-05      6.33442180E-05
      18      3.55602185E-05      3.55687796E-05
      19      2.00016372E-05      2.00064374E-05
      20      1.12664738E-05      1.12691705E-05
      21      6.35380509E-06      6.35532251E-06
      22      3.58691793E-06      3.58777294E-06
      23      2.02666723E-06      2.02714955E-06
      24      1.14593479E-06      1.14620713E-06
      25      6.48344853E-07      6.48498764E-07
      26      3.67012630E-07      3.67099666E-07
      27      2.07850578E-07      2.07899827E-07
      28      1.17757417E-07      1.17785299E-07
      29      6.67372525E-08      6.67530484E-08
      30      3.78330947E-08      3.78420501E-08
      31      2.14526711E-08      2.14577467E-08
      32      1.21669279E-08      1.21698028E-08
      33      6.90173373E-09      6.90336270E-09
      34      3.91567510E-09      3.91659938E-09
      35      2.22183362E-09      2.22235819E-09
      36      1.26081424E-09      1.26111210E-09
      37      7.15527851E-10      7.15698757E-10
      38      4.06126013E-10      4.06225068E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.34665E-16  0.000E+00  1.210E-08  9.399E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.34665E-16  3.828E-10  1.210E-08  9.399E-09  1.004E-18  4.493E-18  1.00E-07
  1.250E-04 2.34665E-16  4.785E-10  1.210E-08  9.399E-09  1.255E-18  5.616E-18  1.00E-07
  1.500E-04 2.34665E-16  5.741E-10  1.210E-08  9.399E-09  1.506E-18  6.740E-18  1.00E-07
  1.750E-04 2.34665E-16  6.698E-10  1.210E-08  9.399E-09  1.758E-18  7.863E-18  1.00E-07
  2.000E-04 2.34665E-16  7.655E-10  1.210E-08  9.399E-09  2.009E-18  8.986E-18  1.00E-07
  2.250E-04 2.34665E-16  8.612E-10  1.210E-08  9.399E-09  2.260E-18  1.011E-17  1.00E-07
  2.500E-04 2.34665E-16  9.569E-10  1.210E-08  9.399E-09  2.511E-18  1.123E-17  1.00E-07
  2.750E-04 2.34665E-16  1.053E-09  1.210E-08  9.399E-09  2.762E-18  1.236E-17  1.00E-07
  3.000E-04 2.34665E-16  1.148E-09  1.210E-08  9.399E-09  3.013E-18  1.348E-17  1.00E-07
  3.250E-04 2.34665E-16  1.244E-09  1.210E-08  9.399E-09  3.264E-18  1.460E-17  1.00E-07
  3.500E-04 2.34665E-16  1.340E-09  1.210E-08  9.399E-09  3.515E-18  1.573E-17  1.00E-07
  3.750E-04 2.34665E-16  1.435E-09  1.210E-08  9.399E-09  3.766E-18  1.685E-17  1.00E-07
  4.000E-04 2.34665E-16  1.531E-09  1.210E-08  9.399E-09  4.017E-18  1.797E-17  1.00E-07
  4.250E-04 2.34665E-16  1.627E-09  1.210E-08  9.399E-09  4.268E-18  1.910E-17  1.00E-07
  4.500E-04 2.34665E-16  1.722E-09  1.210E-08  9.399E-09  4.519E-18  2.022E-17  1.00E-07
  4.750E-04 2.34665E-16  1.818E-09  1.210E-08  9.399E-09  4.771E-18  2.134E-17  1.00E-07
  5.000E-04 2.34665E-16  1.914E-09  1.210E-08  9.399E-09  5.022E-18  2.247E-17  1.00E-07
  5.250E-04 2.34665E-16  2.010E-09  1.210E-08  9.399E-09  5.273E-18  2.359E-17  1.00E-07
  5.500E-04 2.34665E-16  2.105E-09  1.210E-08  9.399E-09  5.524E-18  2.471E-17  1.00E-07
  5.750E-04 2.34665E-16  2.201E-09  1.210E-08  9.399E-09  5.775E-18  2.584E-17  1.00E-07
  6.000E-04 2.34665E-16  2.297E-09  1.210E-08  9.399E-09  6.026E-18  2.696E-17  1.00E-07
  6.250E-04 2.34665E-16  2.392E-09  1.210E-08  9.399E-09  6.277E-18  2.808E-17  1.00E-07
  6.500E-04 2.34665E-16  2.488E-09  1.210E-08  9.399E-09  6.528E-18  2.920E-17  1.00E-07
  6.750E-04 2.34665E-16  2.584E-09  1.210E-08  9.399E-09  6.779E-18  3.033E-17  1.00E-07
  7.000E-04 2.34665E-16  2.679E-09  1.210E-08  9.399E-09  7.030E-18  3.145E-17  1.00E-07
  7.250E-04 2.34665E-16  2.775E-09  1.210E-08  9.399E-09  7.281E-18  3.257E-17  1.00E-07
  7.500E-04 2.34665E-16  2.871E-09  1.210E-08  9.399E-09  7.532E-18  3.370E-17  1.00E-07
  7.750E-04 2.34665E-16  2.966E-09  1.210E-08  9.399E-09  7.784E-18  3.482E-17  1.00E-07
  8.000E-04 2.34665E-16  3.062E-09  1.210E-08  9.399E-09  8.035E-18  3.594E-17  1.00E-07
  8.250E-04 2.34665E-16  3.158E-09  1.210E-08  9.399E-09  8.286E-18  3.707E-17  1.00E-07
  8.500E-04 2.34665E-16  3.254E-09  1.210E-08  9.399E-09  8.537E-18  3.819E-17  1.00E-07
  8.750E-04 2.34665E-16  3.349E-09  1.210E-08  9.399E-09  8.788E-18  3.931E-17  1.00E-07
  9.000E-04 2.34665E-16  3.445E-09  1.210E-08  9.399E-09  9.039E-18  4.044E-17  1.00E-07
