    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  9.500E-04 3.21537E-17 -1.116E-10  5.601E-09  8.869E-10  1.885E-17  2.664E-18  1.00E-07
  9.750E-04 3.21537E-17 -1.145E-10  5.601E-09  8.869E-10  1.934E-17  2.734E-18  1.00E-07
  1.000E-03 3.21537E-17 -1.174E-10  5.601E-09  8.869E-10  1.984E-17  2.804E-18  1.00E-07
  1.250E-03 3.21537E-17 -1.468E-10  5.601E-09  8.869E-10  2.480E-17  3.505E-18  1.00E-07
  1.500E-03 3.21537E-17 -1.762E-10  5.601E-09  8.869E-10  2.976E-17  4.206E-18  1.00E-07
  1.750E-03 3.21537E-17 -2.055E-10  5.601E-09  8.869E-10  3.472E-17  4.908E-18  1.00E-07
  2.000E-03 3.21537E-17 -2.349E-10  5.601E-09  8.869E-10  3.968E-17  5.609E-18  1.00E-07
  2.250E-03 3.21537E-17 -2.642E-10  5.601E-09  8.869E-10  4.464E-17  6.310E-18  1.00E-07
  2.500E-03 3.21537E-17 -2.936E-10  5.601E-09  8.869E-10  4.960E-17  7.011E-18  1.00E-07
  2.750E-03 3.21537E-17 -3.230E-10  5.601E-09  8.869E-10  5.455E-17  7.712E-18  1.00E-07
  3.000E-03 3.21537E-17 -3.523E-10  5.601E-09  8.869E-10  5.951E-17  8.413E-18  1.00E-07
  3.250E-03 3.21537E-17 -3.817E-10  5.601E-09  8.869E-10  6.447E-17  9.114E-18  1.00E-07
  3.500E-03 3.21537E-17 -4.110E-10  5.601E-09  8.869E-10  6.943E-17  9.815E-18  1.00E-07
  3.750E-03 3.21537E-17 -4.404E-10  5.601E-09  8.869E-10  7.439E-17  1.052E-17  1.00E-07
  4.000E-03 3.21537E-17 -4.698E-10  5.601E-09  8.869E-10  7.935E-17  1.122E-17  1.00E-07
  4.250E-03 3.21537E-17 -4.991E-10  5.601E-09  8.869E-10  8.431E-17  1.192E-17  1.00E-07
  4.500E-03 3.21537E-17 -5.285E-10  5.601E-09  8.869E-10  8.927E-17  1.262E-17  1.00E-07
  4.750E-03 3.21537E-17 -5.578E-10  5.601E-09  8.869E-10  9.423E-17  1.332E-17  1.00E-07
  5.000E-03 3.21537E-17 -5.872E-10  5.601E-09  8.869E-10  9.919E-17  1.402E-17  1.00E-07
  5.250E-03 3.21537E-17 -6.166E-10  5.601E-09  8.869E-10  1.041E-16  1.472E-17  1.00E-07
  5.500E-03 3.21537E-17 -6.459E-10  5.601E-09  8.869E-10  1.091E-16  1.542E-17  1.00E-07
  5.750E-03 3.21537E-17 -6.753E-10  5.601E-09  8.869E-10  1.141E-16  1.612E-17  1.00E-07
  6.000E-03 3.21537E-17 -7.046E-10  5.601E-09  8.869E-10  1.190E-16  1.683E-17  1.00E-07
  6.250E-03 3.21537E-17 -7.340E-10  5.601E-09  8.869E-10  1.240E-16  1.753E-17  1.00E-07
  6.500E-03 3.21537E-17 -7.634E-10  5.601E-09  8.869E-10  1.289E-16  1.823E-17  1.00E-07
  6.750E-03 3.21537E-17 -7.927E-10  5.601E-09  8.869E-10  1.339E-16  1.893E-17  1.00E-07
  7.000E-03 3.21537E-17 -8.221E-10  5.601E-09  8.869E-10  1.389E-16  1.963E-17  1.00E-07
  7.250E-03 3.21537E-17 -8.514E-10  5.601E-09  8.869E-10  1.438E-16  2.033E-17  1.00E-07
  7.500E-03 3.21537E-17 -8.808E-10  5.601E-09  8.869E-10  1.488E-16  2.103E-17  1.00E-07
  7.750E-03 3.21537E-17 -9.102E-10  5.601E-09  8.869E-10  1.537E-16  2.173E-17  1.00E-07
  8.000E-03 3.21537E-17 -9.395E-10  5.601E-09  8.869E-10  1.587E-16  2.243E-17  1.00E-07
  8.250E-03 3.21537E-17 -9.689E-10  5.601E-09  8.869E-10  1.637E-16  2.314E-17  1.00E-07
  8.500E-03 3.21537E-17 -9.982E-10  5.601E-09  8.869E-10  1.686E-16  2.384E-17  1.00E-07
  8.750E-03 3.21537E-17 -1.028E-09  5.601E-09  8.869E-10  1.736E-16  2.454E-17  1.00E-07
  9.000E-03 3.21537E-17 -1.057E-09  5.601E-09  8.869E-10  1.785E-16  2.524E-17  1.00E-07
  9.250E-03 3.21537E-17 -1.086E-09  5.601E-09  8.869E-10  1.835E-16  2.594E-17  1.00E-07
  9.500E-03 3.21537E-17 -1.116E-09  5.601E-09  8.869E-10  1.885E-16  2.664E-17  1.00E-07
  9.750E-03 3.21537E-17 -1.145E-09  5.601E-09  8.869E-10  1.934E-16  2.734E-17  1.00E-07
  1.000E-02 3.21537E-17 -1.174E-09  5.601E-09  8.869E-10  1.984E-16  2.804E-17  1.00E-07
  1.250E-02 3.21537E-17 -1.468E-09  5.601E-09  8.869E-10  2.480E-16  3.505E-17  1.00E-07
  1.500E-02 3.21537E-17 -1.762E-09  5.601E-09  8.869E-10  2.976E-16  4.206E-17  1.00E-07
  1.750E-02 3.21537E-17 -2.055E-09  5.601E-09  8.869E-10  3.472E-16  4.908E-17  1.00E-07
  2.000E-02 3.21536E-17 -2.349E-09  5.601E-09  8.869E-10  3.968E-16  5.609E-17  1.00E-07
  2.250E-02 3.21536E-17 -2.642E-09  5.601E-09  8.869E-10  4.464E-16  6.310E-17  1.00E-07
  2.500E-02 3.21536E-17 -2.936E-09  5.601E-09  8.869E-10  4.960E-16  7.011E-17  1.00E-07
  2.750E-02 3.21536E-17 -3.230E-09  5.601E-09  8.869E-10  5.455E-16  7.712E-17  1.00E-07
  3.000E-02 3.21536E-17 -3.523E-09  5.601E-09  8.869E-10  5.951E-16  8.413E-17  1.00E-07
  3.250E-02 3.21536E-17 -3.817E-09  5.601E-09  8.869E-10  6.447E-16  9.114E-17  1.00E-07
  3.500E-02 3.21536E-17 -4.110E-09  5.601E-09  8.869E-10  6.943E-16  9.815E-17  1.00E-07
  3.750E-02 3.21535E-17 -4.404E-09  5.601E-09  8.869E-10  7.439E-16  1.052E-16  1.00E-07
  4.000E-02 3.21535E-17 -4.698E-09  5.601E-09  8.869E-10  7.935E-16  1.122E-16  1.00E-07
  4.250E-02 3.21535E-17 -4.991E-09  5.601E-09  8.869E-10  8.431E-16  1.192E-16  1.00E-07
  4.500E-02 3.21535E-17 -5.285E-09  5.601E-09  8.869E-10  8.927E-16  1.262E-16  1.00E-07
  4.750E-02 3.21534E-17 -5.578E-09  5.601E-09  8.869E-10  9.423E-16  1.332E-16  1.00E-07
  5.000E-02 3.21534E-17 -5.872E-09  5.601E-09  8.869E-10  9.919E-16  1.402E-16  1.00E-07
  5.250E-02 3.21534E-17 -6.166E-09  5.601E-09  8.869E-10  1.041E-15  1.472E-16  1.00E-07
  5.500E-02 3.21534E-17 -6.459E-09  5.601E-09  8.869E-10  1.091E-15  1.542E-16  1.00E-07
  5.750E-02 3.21533E-17 -6.753E-09  5.601E-09  8.869E-10  1.141E-15  1.612E-16  1.00E-07
  6.000E-02 3.21533E-17 -7.047E-09  5.601E-09  8.869E-10  1.190E-15  1.683E-16  1.00E-07
  6.250E-02 3.21533E-17 -7.340E-09  5.601E-09  8.869E-10  1.240E-15  1.753E-16  1.00E-07
  6.500E-02 3.21532E-17 -7.634E-09  5.601E-09  8.869E-10  1.289E-15  1.823E-16  1.00E-07
  6.750E-02 3.21532E-17 -7.927E-09  5.601E-09  8.869E-10  1.339E-15  1.893E-16  1.00E-07
  7.000E-02 3.21532E-17 -8.221E-09  5.601E-09  8.869E-10  1.389E-15  1.963E-16  1.00E-07
  7.250E-02 3.21531E-17 -8.515E-09  5.601E-09  8.869E-10  1.438E-15  2.033E-16  1.00E-07
  7.500E-02 3.21531E-17 -8.808E-09  5.601E-09  8.869E-10  1.488E-15  2.103E-16  1.00E-07
  7.750E-02 3.21530E-17 -9.102E-09  5.601E-09  8.869E-10  1.537E-15  2.173E-16  1.00E-07
  8.000E-02 3.21530E-17 -9.395E-09  5.601E-09  8.869E-10  1.587E-15  2.243E-16  1.00E-07
  8.250E-02 3.21530E-17 -9.689E-09  5.601E-09  8.869E-10  1.637E-15  2.314E-16  1.00E-07
  8.500E-02 3.21529E-17 -9.983E-09  5.601E-09  8.869E-10  1.686E-15  2.384E-16  1.00E-07
  8.750E-02 3.21529E-17 -1.028E-08  5.601E-09  8.869E-10  1.736E-15  2.454E-16  1.00E-07
  9.000E-02 3.21528E-17 -1.057E-08  5.601E-09  8.869E-10  1.785E-15  2.524E-16  1.00E-07
  9.250E-02 3.21528E-17 -1.086E-08  5.601E-09  8.869E-10  1.835E-15  2.594E-16  1.00E-07
  9.500E-02 3.21527E-17 -1.116E-08  5.601E-09  8.869E-10  1.885E-15  2.664E-16  1.00E-07
  9.750E-02 3.21527E-17 -1.145E-08  5.601E-09  8.869E-10  1.934E-15  2.734E-16  1.00E-07
  1.000E-01 3.21526E-17 -1.174E-08  5.601E-09  8.869E-10  1.984E-15  2.804E-16  1.00E-07
  1.250E-01 3.21520E-17 -1.468E-08  5.600E-09  8.869E-10  2.480E-15  3.505E-16  1.00E-07
  1.500E-01 3.21512E-17 -1.762E-08  5.600E-09  8.869E-10  2.976E-15  4.206E-16  1.00E-07
  1.750E-01 3.21504E-17 -2.055E-08  5.600E-09  8.869E-10  3.471E-15  4.908E-16  1.00E-07
  2.000E-01 3.21493E-17 -2.349E-08  5.600E-09  8.869E-10  3.967E-15  5.609E-16  1.00E-07
  2.250E-01 3.21482E-17 -2.643E-08  5.600E-09  8.869E-10  4.463E-15  6.310E-16  1.00E-07
  2.500E-01 3.21469E-17 -2.936E-08  5.600E-09  8.869E-10  4.959E-15  7.011E-16  1.00E-07
  2.750E-01 3.21455E-17 -3.230E-08  5.600E-09  8.869E-10  5.455E-15  7.712E-16  1.00E-07
  3.000E-01 3.21439E-17 -3.524E-08  5.600E-09  8.869E-10  5.951E-15  8.413E-16  1.00E-07
  3.250E-01 3.21422E-17 -3.818E-08  5.600E-09  8.869E-10  6.446E-15  9.114E-16  1.00E-07
  3.500E-01 3.21404E-17 -4.111E-08  5.599E-09  8.868E-10  6.942E-15  9.815E-16  1.00E-07
  3.750E-01 3.21384E-17 -4.405E-08  5.599E-09  8.868E-10  7.437E-15  1.052E-15  1.00E-07
  4.000E-01 3.21363E-17 -4.699E-08  5.599E-09  8.868E-10  7.933E-15  1.122E-15  1.00E-07
  4.250E-01 3.21340E-17 -4.993E-08  5.599E-09  8.868E-10  8.429E-15  1.192E-15  1.00E-07
  4.500E-01 3.21317E-17 -5.287E-08  5.599E-09  8.868E-10  8.924E-15  1.262E-15  1.00E-07
  4.750E-01 3.21291E-17 -5.581E-08  5.598E-09  8.868E-10  9.419E-15  1.332E-15  1.00E-07
  5.000E-01 3.21265E-17 -5.875E-08  5.598E-09  8.868E-10  9.915E-15  1.402E-15  1.00E-07
  5.250E-01 3.21237E-17 -6.169E-08  5.598E-09  8.868E-10  1.041E-14  1.472E-15  1.00E-07
  5.500E-01 3.21208E-17 -6.463E-08  5.598E-09  8.868E-10  1.091E-14  1.542E-15  1.00E-07
  5.750E-01 3.21177E-17 -6.757E-08  5.597E-09  8.868E-10  1.140E-14  1.612E-15  1.00E-07
  6.000E-01 3.21145E-17 -7.051E-08  5.597E-09  8.868E-10  1.190E-14  1.682E-15  1.00E-07
  6.250E-01 3.21112E-17 -7.345E-08  5.597E-09  8.868E-10  1.239E-14  1.752E-15  1.00E-07
  6.500E-01 3.21078E-17 -7.640E-08  5.597E-09  8.868E-10  1.289E-14  1.823E-15  1.00E-07
  6.750E-01 3.21042E-17 -7.934E-08  5.596E-09  8.868E-10  1.338E-14  1.893E-15  1.00E-07
  7.000E-01 3.21004E-17 -8.228E-08  5.596E-09  8.867E-10  1.388E-14  1.963E-15  1.00E-07
  7.250E-01 3.20966E-17 -8.523E-08  5.596E-09  8.867E-10  1.437E-14  2.033E-15  1.00E-07
  7.500E-01 3.20926E-17 -8.817E-08  5.595E-09  8.867E-10  1.486E-14  2.103E-15  1.00E-07
  7.750E-01 3.20884E-17 -9.112E-08  5.595E-09  8.867E-10  1.536E-14  2.173E-15  1.00E-07
  8.000E-01 3.20841E-17 -9.406E-08  5.594E-09  8.867E-10  1.585E-14  2.243E-15  1.00E-07
  8.250E-01 3.20797E-17 -9.701E-08  5.594E-09  8.867E-10  1.635E-14  2.313E-15  1.00E-07
  8.500E-01 3.20752E-17 -9.996E-08  5.594E-09  8.867E-10  1.684E-14  2.383E-15  1.00E-07
  8.750E-01 3.20705E-17 -1.029E-07  5.593E-09  8.867E-10  1.734E-14  2.453E-15  1.00E-07
  9.000E-01 3.20657E-17 -1.059E-07  5.593E-09  8.866E-10  1.783E-14  2.523E-15  1.00E-07
  9.250E-01 3.20608E-17 -1.088E-07  5.592E-09  8.866E-10  1.832E-14  2.593E-15  1.00E-07
  9.500E-01 3.20557E-17 -1.118E-07  5.592E-09  8.866E-10  1.882E-14  2.663E-15  1.00E-07
  9.750E-01 3.20505E-17 -1.147E-07  5.591E-09  8.866E-10  1.931E-14  2.733E-15  1.00E-07
  1.000E+00 3.20451E-17 -1.177E-07  5.591E-09  8.866E-10  1.980E-14  2.803E-15  1.00E-07
  1.100E+00 3.20224E-17 -1.295E-07  5.589E-09  8.865E-10  2.178E-14  3.083E-15  1.00E-07
