2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000355e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 -3.613046338470573993e+00 4.209253820581991157e+00
5.200000000000000000e+01 -3.353837316917956723e+00 3.905686249448329317e+00
5.400000000000000000e+01 -2.991122154938765654e+00 3.755099258955906016e+00
5.600000000000000000e+01 -2.565152695317507003e+00 3.712438479346294784e+00
5.799999999999999289e+01 -2.109210324214288779e+00 3.740111956722472097e+00
6.000000000000000711e+01 -1.649789572461916709e+00 3.807769685809745841e+00
6.200000000000000000e+01 -1.207088688689717415e+00 3.891660109669389911e+00
6.400000000000000000e+01 -7.957735112397570365e-01 3.974022934092109161e+00
6.600000000000000000e+01 -4.257125559180252594e-01 4.042148621293783606e+00
6.800000000000000000e+01 -1.028011521791281219e-01 4.087580439159856027e+00
7.000000000000000000e+01 1.702759870957927246e-01 4.105361878648797536e+00
7.200000000000000000e+01 3.933525851541731511e-01 4.093273621798808826e+00
7.400000000000000000e+01 5.681594720019552680e-01 4.051190184465250255e+00
7.600000000000000000e+01 6.977999457465913213e-01 3.980578072292346725e+00
7.800000000000000000e+01 7.862902424764195430e-01 3.883937006279921444e+00
8.000000000000000000e+01 8.382054245286433281e-01 3.764501409594712467e+00
8.200000000000000000e+01 8.583842343113557982e-01 3.625901285312450817e+00
8.400000000000000000e+01 8.516974734689138904e-01 3.471909303190797491e+00
8.600000000000000000e+01 8.228812688321411883e-01 3.306273595877388782e+00
8.800000000000000000e+01 7.764130935358366514e-01 3.132582029334520790e+00
9.000000000000000000e+01 7.164250287029597652e-01 2.954153246307686498e+00
9.200000000000000000e+01 6.466579705503061604e-01 2.774006563961385119e+00
9.400000000000000000e+01 5.704276214611859741e-01 2.594793325250581706e+00
9.600000000000000000e+01 4.906218711768827734e-01 2.418802981155596221e+00
9.800000000000000000e+01 4.097069943505536882e-01 2.247952819476935371e+00
1.000000000000000000e+02 3.297472531393109696e-01 2.083808982577515234e+00
1.020000000000000000e+02 2.524337589884880217e-01 1.927619021269107780e+00
1.040000000000000000e+02 1.791100415905217125e-01 1.780320438188495391e+00
1.060000000000000000e+02 1.108074726568625268e-01 1.642567210714862558e+00
1.080000000000000000e+02 4.828059991977876747e-02 1.514770428338241270e+00
