    
 E (eV)=   230.000000000000     
       0     -6.35705258E-01      0.00000000E+00
       1      1.34047090E+00      1.34162986E+00
       2      7.58393219E-01      7.58686619E-01
       3      4.53738677E-01      4.53869683E-01
       4      2.75452040E-01      2.75522814E-01
       5      1.68308735E-01      1.68349478E-01
       6      1.03469459E-01      1.03493593E-01
       7      6.39966977E-02      6.40112432E-02
       8      3.98092686E-02      3.98181431E-02
       9      2.48922724E-02      2.48977375E-02
      10      1.56375615E-02      1.56409520E-02
      11      9.86487106E-03      9.86698725E-03
      12      6.24673193E-03      6.24805958E-03
      13      3.96915760E-03      3.96999428E-03
      14      2.52982978E-03      2.53035912E-03
      15      1.61699674E-03      1.61733283E-03
      16      1.03619116E-03      1.03640523E-03
      17      6.65548865E-04      6.65685612E-04
      18      4.28383655E-04      4.28471238E-04
      19      2.76254061E-04      2.76310289E-04
      20      1.78452763E-04      1.78488938E-04
      21      1.15451228E-04      1.15474548E-04
      22      7.47932013E-05      7.48082605E-05
      23      4.85117822E-05      4.85215220E-05
      24      3.14987020E-05      3.15050102E-05
      25      2.04711640E-05      2.04752547E-05
      26      1.33151516E-05      1.33178072E-05
      27      8.66677494E-06      8.66850054E-06
      28      5.64462949E-06      5.64575174E-06
      29      3.67826345E-06      3.67899384E-06
      30      2.39798585E-06      2.39846150E-06
      31      1.56393005E-06      1.56423998E-06
      32      1.02030205E-06      1.02050409E-06
      33      6.65821516E-07      6.65953280E-07
      34      4.34594336E-07      4.34680294E-07
      35      2.83719604E-07      2.83775698E-07
      36      1.85249929E-07      1.85286539E-07
      37      1.20969617E-07      1.20993524E-07
      38      7.90008025E-08      7.90164112E-08
      39      5.15956932E-08      5.16058874E-08
      40      3.36987474E-08      3.37054035E-08
      41      2.20101752E-08      2.20145231E-08
      42      1.43758659E-08      1.43787064E-08
      43      9.38946544E-09      9.39131819E-09
      44      6.13255535E-09      6.13376788E-09
      45      4.00522894E-09      4.00601984E-09
      46      2.61568869E-09      2.61620551E-09
      47      1.70814302E-09      1.70847911E-09
      48      1.11545941E-09      1.11567566E-09
      49      7.28382042E-10      7.28525044E-10
      50      4.75562499E-10      4.75658764E-10

  TOTAL ELASTIC CROSS SECTION = 1.692010E-16 cm**2
               FROM DCS TABLE = 1.691973E-16  (REL. DIF. = 2.17E-05)

  1ST TRANSPORT CROSS SECTION = 4.051020E-17 cm**2
               FROM DCS TABLE = 4.051017E-17  (REL. DIF. = 7.96E-07)

  2ND TRANSPORT CROSS SECTION = 6.414078E-17 cm**2
