

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.86000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.08087579E-01      0.00000000E+00
       1      1.53855482E+00      1.54065151E+00
       2      8.09947350E-01      8.10439149E-01
       3      4.35625847E-01      4.35820374E-01
       4      2.38223886E-01      2.38316314E-01
       5      1.32635772E-01      1.32683277E-01
       6      7.50881153E-02      7.51136504E-02
       7      4.31134765E-02      4.31276130E-02
       8      2.50450292E-02      2.50530204E-02
       9      1.46899180E-02      1.46945063E-02
      10      8.68581631E-03      8.68848290E-03
      11      5.17061666E-03      5.17218154E-03
      12      3.09576625E-03      3.09669197E-03
      13      1.86260775E-03      1.86315904E-03
      14      1.12537189E-03      1.12570206E-03
      15      6.82391745E-04      6.82590446E-04
      16      4.15063587E-04      4.15183663E-04
      17      2.53134105E-04      2.53206926E-04
      18      1.54732187E-04      1.54776485E-04
      19      9.47690022E-05      9.47960205E-05
      20      5.81418504E-05      5.81583667E-05
      21      3.57228726E-05      3.57329888E-05
      22      2.19761423E-05      2.19823489E-05
      23      1.35340921E-05      1.35379056E-05
      24      8.34286291E-06      8.34520893E-06
      25      5.14700158E-06      5.14844640E-06
      26      3.17760170E-06      3.17849234E-06
      27      1.96295369E-06      1.96350315E-06
      28      1.21325285E-06      1.21359208E-06
      29      7.50228121E-07      7.50437672E-07
      30      4.64098757E-07      4.64228276E-07
      31      2.87197381E-07      2.87277468E-07
      32      1.77780567E-07      1.77830105E-07
      33      1.10079207E-07      1.10109867E-07
      34      6.81757031E-08      6.81946785E-08
      35      4.22322971E-08      4.22440449E-08
      36      2.61661030E-08      2.61733842E-08
      37      1.62144930E-08      1.62189979E-08
      38      1.00491825E-08      1.00519777E-08
      39      6.22892609E-09      6.23065404E-09
      40      3.86134796E-09      3.86242086E-09
      41      2.39390494E-09      2.39456768E-09
      42      1.48429243E-09      1.48470958E-09
      43      9.20366880E-10      9.20619402E-10
      44      5.70680161E-10      5.70835022E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.51465E-16  0.000E+00  1.308E-08  8.969E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.51465E-16  3.938E-10  1.308E-08  8.969E-09  4.017E-18  6.541E-18  1.00E-07
  1.250E-04 2.51465E-16  4.923E-10  1.308E-08  8.969E-09  5.021E-18  8.176E-18  1.00E-07
  1.500E-04 2.51465E-16  5.907E-10  1.308E-08  8.969E-09  6.025E-18  9.812E-18  1.00E-07
  1.750E-04 2.51465E-16  6.892E-10  1.308E-08  8.969E-09  7.029E-18  1.145E-17  1.00E-07
  2.000E-04 2.51465E-16  7.876E-10  1.308E-08  8.969E-09  8.034E-18  1.308E-17  1.00E-07
  2.250E-04 2.51465E-16  8.861E-10  1.308E-08  8.969E-09  9.038E-18  1.472E-17  1.00E-07
  2.500E-04 2.51465E-16  9.845E-10  1.308E-08  8.969E-09  1.004E-17  1.635E-17  1.00E-07
  2.750E-04 2.51465E-16  1.083E-09  1.308E-08  8.969E-09  1.105E-17  1.799E-17  1.00E-07
  3.000E-04 2.51465E-16  1.181E-09  1.308E-08  8.969E-09  1.205E-17  1.962E-17  1.00E-07
  3.250E-04 2.51465E-16  1.280E-09  1.308E-08  8.969E-09  1.305E-17  2.126E-17  1.00E-07
  3.500E-04 2.51465E-16  1.378E-09  1.308E-08  8.969E-09  1.406E-17  2.289E-17  1.00E-07
  3.750E-04 2.51465E-16  1.477E-09  1.308E-08  8.969E-09  1.506E-17  2.453E-17  1.00E-07
  4.000E-04 2.51465E-16  1.575E-09  1.308E-08  8.969E-09  1.607E-17  2.616E-17  1.00E-07
  4.250E-04 2.51465E-16  1.674E-09  1.308E-08  8.969E-09  1.707E-17  2.780E-17  1.00E-07
  4.500E-04 2.51465E-16  1.772E-09  1.308E-08  8.969E-09  1.808E-17  2.943E-17  1.00E-07
  4.750E-04 2.51465E-16  1.871E-09  1.308E-08  8.969E-09  1.908E-17  3.107E-17  1.00E-07
  5.000E-04 2.51465E-16  1.969E-09  1.308E-08  8.969E-09  2.008E-17  3.271E-17  1.00E-07
  5.250E-04 2.51465E-16  2.068E-09  1.308E-08  8.969E-09  2.109E-17  3.434E-17  1.00E-07
  5.500E-04 2.51465E-16  2.166E-09  1.308E-08  8.969E-09  2.209E-17  3.598E-17  1.00E-07
