 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.00000E+02 eV = 1.10248E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.40572E-16 cm**2 = 5.01992E+00 a0**2
 # 1st transport cross section = 2.72648E-17 cm**2 = 9.73645E-01 a0**2
 # 2nd transport cross section = 4.63740E-17 cm**2 = 1.65605E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.250E-03  2.97478E-09  4.61766E-16  1.64899E+01  1.23462E-08  1.0E-07
  6.500E-03  3.21752E-09  4.61766E-16  1.64899E+01  1.28401E-08  1.0E-07
  6.750E-03  3.46978E-09  4.61766E-16  1.64899E+01  1.33339E-08  1.0E-07
  7.000E-03  3.73156E-09  4.61766E-16  1.64899E+01  1.38278E-08  1.0E-07
  7.250E-03  4.00286E-09  4.61766E-16  1.64899E+01  1.43216E-08  1.0E-07
  7.500E-03  4.28368E-09  4.61765E-16  1.64899E+01  1.48155E-08  1.0E-07
  7.750E-03  4.57402E-09  4.61765E-16  1.64899E+01  1.53093E-08  1.0E-07
  8.000E-03  4.87388E-09  4.61765E-16  1.64899E+01  1.58031E-08  1.0E-07
  8.250E-03  5.18326E-09  4.61765E-16  1.64899E+01  1.62970E-08  1.0E-07
  8.500E-03  5.50215E-09  4.61765E-16  1.64899E+01  1.67908E-08  1.0E-07
  8.750E-03  5.83057E-09  4.61765E-16  1.64899E+01  1.72847E-08  1.0E-07
  9.000E-03  6.16850E-09  4.61765E-16  1.64899E+01  1.77785E-08  1.0E-07
  9.250E-03  6.51596E-09  4.61765E-16  1.64899E+01  1.82724E-08  1.0E-07
  9.500E-03  6.87293E-09  4.61765E-16  1.64899E+01  1.87662E-08  1.0E-07
  9.750E-03  7.23942E-09  4.61765E-16  1.64899E+01  1.92601E-08  1.0E-07
  1.000E-02  7.61544E-09  4.61765E-16  1.64899E+01  1.97539E-08  1.0E-07
  1.250E-02  1.18991E-08  4.61765E-16  1.64899E+01  2.46924E-08  1.0E-07
  1.500E-02  1.71347E-08  4.61765E-16  1.64899E+01  2.96309E-08  1.0E-07
  1.750E-02  2.33223E-08  4.61765E-16  1.64899E+01  3.45694E-08  1.0E-07
  2.000E-02  3.04617E-08  4.61765E-16  1.64899E+01  3.95079E-08  1.0E-07
  2.250E-02  3.85531E-08  4.61764E-16  1.64899E+01  4.44464E-08  1.0E-07
  2.500E-02  4.75965E-08  4.61764E-16  1.64899E+01  4.93849E-08  1.0E-07
  2.750E-02  5.75917E-08  4.61764E-16  1.64899E+01  5.43234E-08  1.0E-07
  3.000E-02  6.85389E-08  4.61763E-16  1.64899E+01  5.92619E-08  1.0E-07
  3.250E-02  8.04380E-08  4.61763E-16  1.64898E+01  6.42005E-08  1.0E-07
  3.500E-02  9.32891E-08  4.61762E-16  1.64898E+01  6.91390E-08  1.0E-07
  3.750E-02  1.07092E-07  4.61762E-16  1.64898E+01  7.40775E-08  1.0E-07
  4.000E-02  1.21847E-07  4.61761E-16  1.64898E+01  7.90161E-08  1.0E-07
  4.250E-02  1.37554E-07  4.61761E-16  1.64898E+01  8.39546E-08  1.0E-07
  4.500E-02  1.54213E-07  4.61760E-16  1.64898E+01  8.88932E-08  1.0E-07
  4.750E-02  1.71823E-07  4.61760E-16  1.64897E+01  9.38317E-08  1.0E-07
  5.000E-02  1.90386E-07  4.61759E-16  1.64897E+01  9.87703E-08  1.0E-07
  5.250E-02  2.09900E-07  4.61758E-16  1.64897E+01  1.03709E-07  1.0E-07
  5.500E-02  2.30367E-07  4.61758E-16  1.64897E+01  1.08647E-07  1.0E-07
  5.750E-02  2.51785E-07  4.61757E-16  1.64896E+01  1.13586E-07  1.0E-07
  6.000E-02  2.74156E-07  4.61756E-16  1.64896E+01  1.18525E-07  1.0E-07
  6.250E-02  2.97478E-07  4.61755E-16  1.64896E+01  1.23463E-07  1.0E-07
  6.500E-02  3.21752E-07  4.61754E-16  1.64895E+01  1.28402E-07  1.0E-07
  6.750E-02  3.46978E-07  4.61753E-16  1.64895E+01  1.33341E-07  1.0E-07
  7.000E-02  3.73156E-07  4.61752E-16  1.64895E+01  1.38279E-07  1.0E-07
  7.250E-02  4.00286E-07  4.61752E-16  1.64894E+01  1.43218E-07  1.0E-07
  7.500E-02  4.28368E-07  4.61751E-16  1.64894E+01  1.48157E-07  1.0E-07
  7.750E-02  4.57402E-07  4.61750E-16  1.64894E+01  1.53095E-07  1.0E-07
  8.000E-02  4.87388E-07  4.61748E-16  1.64893E+01  1.58034E-07  1.0E-07
  8.250E-02  5.18325E-07  4.61747E-16  1.64893E+01  1.62973E-07  1.0E-07
  8.500E-02  5.50215E-07  4.61746E-16  1.64893E+01  1.67912E-07  1.0E-07
  8.750E-02  5.83057E-07  4.61745E-16  1.64892E+01  1.72850E-07  1.0E-07
  9.000E-02  6.16850E-07  4.61744E-16  1.64892E+01  1.77789E-07  1.0E-07
  9.250E-02  6.51596E-07  4.61743E-16  1.64891E+01  1.82728E-07  1.0E-07
  9.500E-02  6.87293E-07  4.61741E-16  1.64891E+01  1.87667E-07  1.0E-07
  9.750E-02  7.23942E-07  4.61740E-16  1.64890E+01  1.92606E-07  1.0E-07
  1.000E-01  7.61543E-07  4.61739E-16  1.64890E+01  1.97544E-07  1.0E-07
  1.250E-01  1.18991E-06  4.61724E-16  1.64885E+01  2.46934E-07  1.0E-07
  1.500E-01  1.71347E-06  4.61705E-16  1.64878E+01  2.96326E-07  1.0E-07
  1.750E-01  2.33223E-06  4.61683E-16  1.64870E+01  3.45721E-07  1.0E-07
  2.000E-01  3.04617E-06  4.61658E-16  1.64861E+01  3.95119E-07  1.0E-07
  2.250E-01  3.85531E-06  4.61630E-16  1.64851E+01  4.44521E-07  1.0E-07
  2.500E-01  4.75964E-06  4.61598E-16  1.64840E+01  4.93928E-07  1.0E-07
  2.750E-01  5.75916E-06  4.61562E-16  1.64827E+01  5.43339E-07  1.0E-07
  3.000E-01  6.85388E-06  4.61524E-16  1.64813E+01  5.92755E-07  1.0E-07
  3.250E-01  8.04378E-06  4.61482E-16  1.64798E+01  6.42177E-07  1.0E-07
  3.500E-01  9.32888E-06  4.61437E-16  1.64782E+01  6.91605E-07  1.0E-07
  3.750E-01  1.07092E-05  4.61388E-16  1.64765E+01  7.41040E-07  1.0E-07
