    
 E (eV)=   292.000000000000     
       0     -7.88237485E-01      0.00000000E+00
       1      1.28196725E+00      1.28318101E+00
       2      7.57203763E-01      7.57534646E-01
       3      4.76647862E-01      4.76803135E-01
       4      3.05617933E-01      3.05706418E-01
       5      1.97179783E-01      1.97233645E-01
       6      1.27780048E-01      1.27813736E-01
       7      8.31692015E-02      8.31905920E-02
       8      5.43678343E-02      5.43815581E-02
       9      3.56872886E-02      3.56961638E-02
      10      2.35155146E-02      2.35212910E-02
      11      1.55501890E-02      1.55539688E-02
      12      1.03165489E-02      1.03190334E-02
      13      6.86496946E-03      6.86660921E-03
      14      4.58085331E-03      4.58193937E-03
      15      3.06453667E-03      3.06525831E-03
      16      2.05498251E-03      2.05546342E-03
      17      1.38100821E-03      1.38132956E-03
      18      9.29937848E-04      9.30153100E-04
      19      6.27350050E-04      6.27494565E-04
      20      4.23932676E-04      4.24029902E-04
      21      2.86913499E-04      2.86979036E-04
      22      1.94451789E-04      1.94496043E-04
      23      1.31954152E-04      1.31984083E-04
      24      8.96460517E-05      8.96663245E-05
      25      6.09658512E-05      6.09796008E-05
      26      4.14995497E-05      4.15088863E-05
      27      2.82721441E-05      2.82784910E-05
      28      1.92749582E-05      1.92792768E-05
      29      1.31495664E-05      1.31525076E-05
      30      8.97593639E-06      8.97794100E-06
      31      6.13011244E-06      6.13147965E-06
      32      4.18841973E-06      4.18935278E-06
      33      2.86286178E-06      2.86349889E-06
      34      1.95747730E-06      1.95791253E-06
      35      1.33881070E-06      1.33910815E-06
      36      9.15903529E-07      9.16106891E-07
      37      6.26718163E-07      6.26857237E-07
      38      4.28916028E-07      4.29011165E-07
      39      2.93587085E-07      2.93652176E-07
      40      2.00980936E-07      2.01025483E-07
      41      1.37599155E-07      1.37629643E-07
      42      9.42128738E-08      9.42337466E-08
      43      6.45105513E-08      6.45248418E-08
      44      4.41743637E-08      4.41841466E-08
      45      3.02497250E-08      3.02564239E-08
      46      2.07147267E-08      2.07193138E-08
      47      1.41853606E-08      1.41885004E-08
      48      9.71400463E-09      9.71615245E-09
      49      6.65190583E-09      6.65338259E-09
      50      4.55497488E-09      4.55598427E-09
      51      3.11902636E-09      3.11971663E-09
      52      2.13564169E-09      2.13611140E-09
      53      1.46225625E-09      1.46257901E-09
      54      1.00110315E-09      1.00132414E-09
      55      6.85371301E-10      6.85524754E-10
      56      4.69211788E-10      4.69312936E-10

  TOTAL ELASTIC CROSS SECTION = 1.433033E-16 cm**2
               FROM DCS TABLE = 1.432999E-16  (REL. DIF. = 2.36E-05)

  1ST TRANSPORT CROSS SECTION = 2.840295E-17 cm**2
               FROM DCS TABLE = 2.840290E-17  (REL. DIF. = 1.82E-06)

  2ND TRANSPORT CROSS SECTION = 4.798577E-17 cm**2
