    
 E (eV)=   286.000000000000     
       0     -7.75088778E-01      0.00000000E+00
       1      1.28705985E+00      1.28826848E+00
       2      7.57544372E-01      7.57871837E-01
       3      4.74915286E-01      4.75068354E-01
       4      3.03154267E-01      3.03241129E-01
       5      1.94714682E-01      1.94767316E-01
       6      1.25631168E-01      1.25663939E-01
       7      8.14238102E-02      8.14445282E-02
       8      5.30071882E-02      5.30204247E-02
       9      3.46536961E-02      3.46622212E-02
      10      2.27438930E-02      2.27494194E-02
      11      1.49811432E-02      1.49847451E-02
      12      9.90062449E-03      9.90298303E-03
      13      6.56299217E-03      6.56454279E-03
      14      4.36272784E-03      4.36375096E-03
      15      2.90760816E-03      2.90828543E-03
      16      1.94243817E-03      1.94288781E-03
      17      1.30049924E-03      1.30079858E-03
      18      8.72464009E-04      8.72663775E-04
      19      5.86390175E-04      5.86523798E-04
      20      3.94783288E-04      3.94872855E-04
      21      2.66194252E-04      2.66254404E-04
      22      1.79740136E-04      1.79780604E-04
      23      1.21517906E-04      1.21545176E-04
      24      8.22489498E-05      8.22673526E-05
      25      5.57269220E-05      5.57393572E-05
      26      3.77918150E-05      3.78002279E-05
      27      2.56498843E-05      2.56555821E-05
      28      1.74216174E-05      1.74254801E-05
      29      1.18405179E-05      1.18431388E-05
      30      8.05191248E-06      8.05369208E-06
      31      5.47827023E-06      5.47947944E-06
      32      3.72886518E-06      3.72968731E-06
      33      2.53906692E-06      2.53962617E-06
      34      1.72947247E-06      1.72985307E-06
      35      1.17835263E-06      1.17861176E-06
      36      8.03047430E-07      8.03223920E-07
      37      5.47388100E-07      5.47508337E-07
      38      3.73184394E-07      3.73266336E-07
      39      2.54456189E-07      2.54512036E-07
      40      1.73521212E-07      1.73559285E-07
      41      1.18340085E-07      1.18366045E-07
      42      8.07127587E-08      8.07304617E-08
      43      5.50523790E-08      5.50644496E-08
      44      3.75513683E-08      3.75596005E-08
      45      2.56144353E-08      2.56200543E-08
      46      1.74722780E-08      1.74761068E-08
      47      1.19183033E-08      1.19209178E-08
      48      8.12964734E-09      8.13143034E-09
      49      5.54523934E-09      5.54645661E-09
      50      3.78235339E-09      3.78318953E-09
      51      2.57981082E-09      2.58037853E-09
      52      1.75953889E-09      1.75992663E-09
      53      1.19997488E-09      1.20023147E-09
      54      8.18324786E-10      8.18507611E-10
      55      5.58061750E-10      5.58183825E-10

  TOTAL ELASTIC CROSS SECTION = 1.454258E-16 cm**2
               FROM DCS TABLE = 1.454224E-16  (REL. DIF. = 2.35E-05)

  1ST TRANSPORT CROSS SECTION = 2.930656E-17 cm**2
               FROM DCS TABLE = 2.930651E-17  (REL. DIF. = 1.73E-06)

  2ND TRANSPORT CROSS SECTION = 4.925312E-17 cm**2
