

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.52000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.65554675E-01      0.00000000E+00
       1      1.44146374E+00      1.44254723E+00
       2      7.44507421E-01      7.44743916E-01
       3      3.98751013E-01      3.98845042E-01
       4      2.16076562E-01      2.16121700E-01
       5      1.18399929E-01      1.18423130E-01
       6      6.55990768E-02      6.56114340E-02
       7      3.67007559E-02      3.67074870E-02
       8      2.07028211E-02      2.07065448E-02
       9      1.17599359E-02      1.17620193E-02
      10      6.71990837E-03      6.72108429E-03
      11      3.85976584E-03      3.86043426E-03
      12      2.22699891E-03      2.22738112E-03
      13      1.29005206E-03      1.29027173E-03
      14      7.49928561E-04      7.50055369E-04
      15      4.37297850E-04      4.37371343E-04
      16      2.55691581E-04      2.55734321E-04
      17      1.49861125E-04      1.49886057E-04
      18      8.80157769E-05      8.80303602E-05
      19      5.17856485E-05      5.17941983E-05
      20      3.05159069E-05      3.05209298E-05
      21      1.80058391E-05      1.80087951E-05
      22      1.06361356E-05      1.06378778E-05
      23      6.28870423E-06      6.28973244E-06
      24      3.72115766E-06      3.72176514E-06
      25      2.20331141E-06      2.20367063E-06
      26      1.30527992E-06      1.30549251E-06
      27      7.73601618E-07      7.73727512E-07
      28      4.58647455E-07      4.58722043E-07
      29      2.71991956E-07      2.72036164E-07
      30      1.61332093E-07      1.61358307E-07
      31      9.57082625E-08      9.57238128E-08
      32      5.67834099E-08      5.67926290E-08
      33      3.36914951E-08      3.36969669E-08
      34      1.99908946E-08      1.99941389E-08
      35      1.18615857E-08      1.18635120E-08
      36      7.03786039E-09      7.03900244E-09
      37      4.17563937E-09      4.17631837E-09
      38      2.47732975E-09      2.47773016E-09
      39      1.46962246E-09      1.46986173E-09
      40      8.71701349E-10      8.71845049E-10
      41      5.16987215E-10      5.17072319E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.06025E-16  0.000E+00  1.674E-08  1.122E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.06025E-16  2.345E-10  1.674E-08  1.122E-08  2.825E-18  4.737E-18  1.00E-07
  1.250E-04 4.06025E-16  2.932E-10  1.674E-08  1.122E-08  3.532E-18  5.922E-18  1.00E-07
  1.500E-04 4.06025E-16  3.518E-10  1.674E-08  1.122E-08  4.238E-18  7.106E-18  1.00E-07
  1.750E-04 4.06025E-16  4.105E-10  1.674E-08  1.122E-08  4.944E-18  8.290E-18  1.00E-07
  2.000E-04 4.06025E-16  4.691E-10  1.674E-08  1.122E-08  5.651E-18  9.475E-18  1.00E-07
  2.250E-04 4.06025E-16  5.277E-10  1.674E-08  1.122E-08  6.357E-18  1.066E-17  1.00E-07
  2.500E-04 4.06025E-16  5.864E-10  1.674E-08  1.122E-08  7.064E-18  1.184E-17  1.00E-07
  2.750E-04 4.06025E-16  6.450E-10  1.674E-08  1.122E-08  7.770E-18  1.303E-17  1.00E-07
  3.000E-04 4.06025E-16  7.036E-10  1.674E-08  1.122E-08  8.476E-18  1.421E-17  1.00E-07
  3.250E-04 4.06025E-16  7.623E-10  1.674E-08  1.122E-08  9.183E-18  1.540E-17  1.00E-07
  3.500E-04 4.06025E-16  8.209E-10  1.674E-08  1.122E-08  9.889E-18  1.658E-17  1.00E-07
  3.750E-04 4.06025E-16  8.796E-10  1.674E-08  1.122E-08  1.060E-17  1.777E-17  1.00E-07
  4.000E-04 4.06025E-16  9.382E-10  1.674E-08  1.122E-08  1.130E-17  1.895E-17  1.00E-07
  4.250E-04 4.06025E-16  9.968E-10  1.674E-08  1.122E-08  1.201E-17  2.013E-17  1.00E-07
  4.500E-04 4.06025E-16  1.055E-09  1.674E-08  1.122E-08  1.271E-17  2.132E-17  1.00E-07
  4.750E-04 4.06025E-16  1.114E-09  1.674E-08  1.122E-08  1.342E-17  2.250E-17  1.00E-07
  5.000E-04 4.06025E-16  1.173E-09  1.674E-08  1.122E-08  1.413E-17  2.369E-17  1.00E-07
  5.250E-04 4.06025E-16  1.231E-09  1.674E-08  1.122E-08  1.483E-17  2.487E-17  1.00E-07
