

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.70000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -2.69237730E-01      0.00000000E+00
       1      1.55440142E+00      1.55648404E+00
       2      8.06516778E-01      8.06994522E-01
       3      4.26152415E-01      4.26337425E-01
       4      2.29135440E-01      2.29221706E-01
       5      1.25613914E-01      1.25657533E-01
       6      7.00891033E-02      7.01122066E-02
       7      3.96880858E-02      3.97007000E-02
       8      2.27456822E-02      2.27527180E-02
       9      1.31652384E-02      1.31692256E-02
      10      7.68274126E-03      7.68502864E-03
      11      4.51423317E-03      4.51555836E-03
      12      2.66789543E-03      2.66866938E-03
      13      1.58449789E-03      1.58495295E-03
      14      9.45012334E-04      9.45281419E-04
      15      5.65641376E-04      5.65801258E-04
      16      3.39608101E-04      3.39703490E-04
      17      2.04435701E-04      2.04492813E-04
      18      1.23342839E-04      1.23377136E-04
      19      7.45607202E-05      7.45813701E-05
      20      4.51466954E-05      4.51591560E-05
      21      2.73753510E-05      2.73828843E-05
      22      1.66197425E-05      1.66243044E-05
      23      1.01005608E-05      1.01033272E-05
      24      6.14412294E-06      6.14580251E-06
      25      3.74035984E-06      3.74138064E-06
      26      2.27855617E-06      2.27917715E-06
      27      1.38886319E-06      1.38924123E-06
      28      8.46990898E-07      8.47221199E-07
      29      5.16759757E-07      5.16900139E-07
      30      3.15402044E-07      3.15487654E-07
      31      1.92568266E-07      1.92620499E-07
      32      1.17606489E-07      1.17638372E-07
      33      7.18436317E-08      7.18630946E-08
      34      4.38977284E-08      4.39096130E-08
      35      2.68274872E-08      2.68347490E-08
      36      1.63980707E-08      1.64025086E-08
      37      1.00247185E-08      1.00274343E-08
      38      6.12924476E-09      6.13090240E-09
      39      3.74790707E-09      3.74891978E-09
      40      2.29202606E-09      2.29263830E-09
      41      1.40182109E-09      1.40219289E-09
      42      8.57428991E-10      8.57657795E-10
      43      5.24447766E-10      5.24591466E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.48501E-16  0.000E+00  1.291E-08  9.041E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.48501E-16  3.939E-10  1.291E-08  9.041E-09  3.445E-18  6.201E-18  1.00E-07
  1.250E-04 2.48501E-16  4.923E-10  1.291E-08  9.041E-09  4.306E-18  7.751E-18  1.00E-07
  1.500E-04 2.48501E-16  5.908E-10  1.291E-08  9.041E-09  5.167E-18  9.302E-18  1.00E-07
  1.750E-04 2.48501E-16  6.893E-10  1.291E-08  9.041E-09  6.028E-18  1.085E-17  1.00E-07
  2.000E-04 2.48501E-16  7.877E-10  1.291E-08  9.041E-09  6.889E-18  1.240E-17  1.00E-07
  2.250E-04 2.48501E-16  8.862E-10  1.291E-08  9.041E-09  7.750E-18  1.395E-17  1.00E-07
  2.500E-04 2.48501E-16  9.847E-10  1.291E-08  9.041E-09  8.611E-18  1.550E-17  1.00E-07
  2.750E-04 2.48501E-16  1.083E-09  1.291E-08  9.041E-09  9.473E-18  1.705E-17  1.00E-07
  3.000E-04 2.48501E-16  1.182E-09  1.291E-08  9.041E-09  1.033E-17  1.860E-17  1.00E-07
  3.250E-04 2.48501E-16  1.280E-09  1.291E-08  9.041E-09  1.119E-17  2.015E-17  1.00E-07
  3.500E-04 2.48501E-16  1.379E-09  1.291E-08  9.041E-09  1.206E-17  2.170E-17  1.00E-07
  3.750E-04 2.48501E-16  1.477E-09  1.291E-08  9.041E-09  1.292E-17  2.325E-17  1.00E-07
  4.000E-04 2.48501E-16  1.575E-09  1.291E-08  9.041E-09  1.378E-17  2.480E-17  1.00E-07
  4.250E-04 2.48501E-16  1.674E-09  1.291E-08  9.041E-09  1.464E-17  2.635E-17  1.00E-07
  4.500E-04 2.48501E-16  1.772E-09  1.291E-08  9.041E-09  1.550E-17  2.790E-17  1.00E-07
  4.750E-04 2.48501E-16  1.871E-09  1.291E-08  9.041E-09  1.636E-17  2.946E-17  1.00E-07
  5.000E-04 2.48501E-16  1.969E-09  1.291E-08  9.041E-09  1.722E-17  3.101E-17  1.00E-07
  5.250E-04 2.48501E-16  2.068E-09  1.291E-08  9.041E-09  1.808E-17  3.256E-17  1.00E-07
  5.500E-04 2.48501E-16  2.166E-09  1.291E-08  9.041E-09  1.895E-17  3.411E-17  1.00E-07
  5.750E-04 2.48501E-16  2.265E-09  1.291E-08  9.041E-09  1.981E-17  3.566E-17  1.00E-07
  6.000E-04 2.48501E-16  2.363E-09  1.291E-08  9.041E-09  2.067E-17  3.721E-17  1.00E-07
  6.250E-04 2.48501E-16  2.462E-09  1.291E-08  9.041E-09  2.153E-17  3.876E-17  1.00E-07
  6.500E-04 2.48501E-16  2.560E-09  1.291E-08  9.041E-09  2.239E-17  4.031E-17  1.00E-07
  6.750E-04 2.48501E-16  2.659E-09  1.291E-08  9.041E-09  2.325E-17  4.186E-17  1.00E-07
  7.000E-04 2.48501E-16  2.757E-09  1.291E-08  9.041E-09  2.411E-17  4.341E-17  1.00E-07
  7.250E-04 2.48501E-16  2.856E-09  1.291E-08  9.041E-09  2.497E-17  4.496E-17  1.00E-07
  7.500E-04 2.48501E-16  2.954E-09  1.291E-08  9.041E-09  2.583E-17  4.651E-17  1.00E-07
  7.750E-04 2.48501E-16  3.052E-09  1.291E-08  9.041E-09  2.670E-17  4.806E-17  1.00E-07
  8.000E-04 2.48501E-16  3.151E-09  1.291E-08  9.041E-09  2.756E-17  4.961E-17  1.00E-07
  8.250E-04 2.48501E-16  3.249E-09  1.291E-08  9.041E-09  2.842E-17  5.116E-17  1.00E-07
  8.500E-04 2.48501E-16  3.348E-09  1.291E-08  9.041E-09  2.928E-17  5.271E-17  1.00E-07
  8.750E-04 2.48501E-16  3.446E-09  1.291E-08  9.041E-09  3.014E-17  5.426E-17  1.00E-07
  9.000E-04 2.48501E-16  3.545E-09  1.291E-08  9.041E-09  3.100E-17  5.581E-17  1.00E-07
  9.250E-04 2.48501E-16  3.643E-09  1.291E-08  9.041E-09  3.186E-17  5.736E-17  1.00E-07
  9.500E-04 2.48501E-16  3.742E-09  1.291E-08  9.041E-09  3.272E-17  5.891E-17  1.00E-07
  9.750E-04 2.48501E-16  3.840E-09  1.291E-08  9.041E-09  3.358E-17  6.046E-17  1.00E-07
  1.000E-03 2.48501E-16  3.939E-09  1.291E-08  9.041E-09  3.445E-17  6.201E-17  1.00E-07
