 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.80000E+01 eV = 2.49895E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 3.79488E-16 cm**2 = 1.35518E+01 a0**2
 # 1st transport cross section = 2.06867E-16 cm**2 = 7.38736E+00 a0**2
 # 2nd transport cross section = 1.98333E-16 cm**2 = 7.08258E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.000E-03  2.74156E-09  3.61646E-16  1.29146E+01  1.42822E-08  1.0E-07
  6.250E-03  2.97478E-09  3.61646E-16  1.29146E+01  1.48773E-08  1.0E-07
  6.500E-03  3.21752E-09  3.61646E-16  1.29146E+01  1.54723E-08  1.0E-07
  6.750E-03  3.46978E-09  3.61646E-16  1.29146E+01  1.60674E-08  1.0E-07
  7.000E-03  3.73156E-09  3.61646E-16  1.29146E+01  1.66625E-08  1.0E-07
  7.250E-03  4.00286E-09  3.61646E-16  1.29146E+01  1.72576E-08  1.0E-07
  7.500E-03  4.28368E-09  3.61646E-16  1.29146E+01  1.78527E-08  1.0E-07
  7.750E-03  4.57402E-09  3.61646E-16  1.29146E+01  1.84478E-08  1.0E-07
  8.000E-03  4.87388E-09  3.61646E-16  1.29146E+01  1.90429E-08  1.0E-07
  8.250E-03  5.18326E-09  3.61646E-16  1.29146E+01  1.96380E-08  1.0E-07
  8.500E-03  5.50215E-09  3.61646E-16  1.29146E+01  2.02331E-08  1.0E-07
  8.750E-03  5.83057E-09  3.61646E-16  1.29146E+01  2.08282E-08  1.0E-07
  9.000E-03  6.16850E-09  3.61646E-16  1.29146E+01  2.14233E-08  1.0E-07
  9.250E-03  6.51596E-09  3.61646E-16  1.29146E+01  2.20183E-08  1.0E-07
  9.500E-03  6.87293E-09  3.61646E-16  1.29146E+01  2.26134E-08  1.0E-07
  9.750E-03  7.23942E-09  3.61646E-16  1.29146E+01  2.32085E-08  1.0E-07
  1.000E-02  7.61544E-09  3.61646E-16  1.29146E+01  2.38036E-08  1.0E-07
  1.250E-02  1.18991E-08  3.61646E-16  1.29146E+01  2.97545E-08  1.0E-07
  1.500E-02  1.71347E-08  3.61646E-16  1.29146E+01  3.57054E-08  1.0E-07
  1.750E-02  2.33223E-08  3.61646E-16  1.29146E+01  4.16563E-08  1.0E-07
