

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.12000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -1.63715519E-01      0.00000000E+00
       1      1.51529603E+00      1.51633803E+00
       2      7.19195478E-01      7.19395183E-01
       3      3.47490382E-01      3.47561103E-01
       4      1.70568930E-01      1.70599469E-01
       5      8.52588501E-02      8.52731334E-02
       6      4.32898554E-02      4.32968265E-02
       7      2.22552550E-02      2.22587465E-02
       8      1.15548208E-02      1.15565998E-02
       9      6.04752614E-03      6.04844376E-03
      10      3.18638906E-03      3.18686684E-03
      11      1.68845570E-03      1.68870636E-03
      12      8.99084279E-04      8.99216613E-04
      13      4.80768947E-04      4.80839191E-04
      14      2.58012963E-04      2.58050423E-04
      15      1.38895874E-04      1.38915930E-04
      16      7.49684922E-05      7.49792677E-05
      17      4.05538050E-05      4.05596112E-05
      18      2.19781335E-05      2.19812699E-05
      19      1.19294111E-05      1.19311088E-05
      20      6.48331238E-06      6.48423302E-06
      21      3.52713351E-06      3.52763347E-06
      22      1.92046289E-06      1.92073472E-06
      23      1.04634344E-06      1.04649137E-06
      24      5.70379315E-07      5.70459883E-07
      25      3.11043611E-07      3.11087516E-07
      26      1.69668887E-07      1.69692825E-07
      27      9.25698932E-08      9.25829490E-08
      28      5.05118600E-08      5.05189833E-08
      29      2.75642745E-08      2.75681639E-08
      30      1.50421139E-08      1.50442364E-08
      31      8.20853595E-09      8.20969393E-09
      32      4.47918978E-09      4.47982039E-09
      33      2.44398294E-09      2.44432893E-09
      34      1.33334376E-09      1.33353490E-09
      35      7.27357306E-10      7.27459152E-10
      36      3.96738577E-10      3.96798737E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.85614E-16  0.000E+00  1.573E-08  1.176E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.85614E-16  2.426E-10  1.573E-08  1.176E-08  9.222E-19  3.662E-18  1.00E-07
  1.250E-04 3.85614E-16  3.032E-10  1.573E-08  1.176E-08  1.153E-18  4.578E-18  1.00E-07
  1.500E-04 3.85614E-16  3.638E-10  1.573E-08  1.176E-08  1.383E-18  5.493E-18  1.00E-07
  1.750E-04 3.85614E-16  4.245E-10  1.573E-08  1.176E-08  1.614E-18  6.409E-18  1.00E-07
  2.000E-04 3.85614E-16  4.851E-10  1.573E-08  1.176E-08  1.844E-18  7.325E-18  1.00E-07
  2.250E-04 3.85614E-16  5.458E-10  1.573E-08  1.176E-08  2.075E-18  8.240E-18  1.00E-07
  2.500E-04 3.85614E-16  6.064E-10  1.573E-08  1.176E-08  2.305E-18  9.156E-18  1.00E-07
  2.750E-04 3.85614E-16  6.670E-10  1.573E-08  1.176E-08  2.536E-18  1.007E-17  1.00E-07
  3.000E-04 3.85614E-16  7.277E-10  1.573E-08  1.176E-08  2.766E-18  1.099E-17  1.00E-07
  3.250E-04 3.85614E-16  7.883E-10  1.573E-08  1.176E-08  2.997E-18  1.190E-17  1.00E-07
  3.500E-04 3.85614E-16  8.490E-10  1.573E-08  1.176E-08  3.228E-18  1.282E-17  1.00E-07
  3.750E-04 3.85614E-16  9.096E-10  1.573E-08  1.176E-08  3.458E-18  1.373E-17  1.00E-07
  4.000E-04 3.85614E-16  9.702E-10  1.573E-08  1.176E-08  3.689E-18  1.465E-17  1.00E-07
  4.250E-04 3.85614E-16  1.031E-09  1.573E-08  1.176E-08  3.919E-18  1.556E-17  1.00E-07
  4.500E-04 3.85614E-16  1.092E-09  1.573E-08  1.176E-08  4.150E-18  1.648E-17  1.00E-07
  4.750E-04 3.85614E-16  1.152E-09  1.573E-08  1.176E-08  4.380E-18  1.740E-17  1.00E-07
  5.000E-04 3.85614E-16  1.213E-09  1.573E-08  1.176E-08  4.611E-18  1.831E-17  1.00E-07
  5.250E-04 3.85614E-16  1.273E-09  1.573E-08  1.176E-08  4.841E-18  1.923E-17  1.00E-07
  5.500E-04 3.85614E-16  1.334E-09  1.573E-08  1.176E-08  5.072E-18  2.014E-17  1.00E-07
  5.750E-04 3.85614E-16  1.395E-09  1.573E-08  1.176E-08  5.302E-18  2.106E-17  1.00E-07
  6.000E-04 3.85614E-16  1.455E-09  1.573E-08  1.176E-08  5.533E-18  2.197E-17  1.00E-07
  6.250E-04 3.85614E-16  1.516E-09  1.573E-08  1.176E-08  5.763E-18  2.289E-17  1.00E-07
  6.500E-04 3.85614E-16  1.577E-09  1.573E-08  1.176E-08  5.994E-18  2.381E-17  1.00E-07
  6.750E-04 3.85614E-16  1.637E-09  1.573E-08  1.176E-08  6.225E-18  2.472E-17  1.00E-07
  7.000E-04 3.85614E-16  1.698E-09  1.573E-08  1.176E-08  6.455E-18  2.564E-17  1.00E-07
  7.250E-04 3.85614E-16  1.759E-09  1.573E-08  1.176E-08  6.686E-18  2.655E-17  1.00E-07
  7.500E-04 3.85614E-16  1.819E-09  1.573E-08  1.176E-08  6.916E-18  2.747E-17  1.00E-07
  7.750E-04 3.85614E-16  1.880E-09  1.573E-08  1.176E-08  7.147E-18  2.838E-17  1.00E-07
  8.000E-04 3.85614E-16  1.940E-09  1.573E-08  1.176E-08  7.377E-18  2.930E-17  1.00E-07
  8.250E-04 3.85614E-16  2.001E-09  1.573E-08  1.176E-08  7.608E-18  3.021E-17  1.00E-07
  8.500E-04 3.85614E-16  2.062E-09  1.573E-08  1.176E-08  7.838E-18  3.113E-17  1.00E-07
  8.750E-04 3.85614E-16  2.122E-09  1.573E-08  1.176E-08  8.069E-18  3.205E-17  1.00E-07
  9.000E-04 3.85614E-16  2.183E-09  1.573E-08  1.176E-08  8.299E-18  3.296E-17  1.00E-07
  9.250E-04 3.85614E-16  2.244E-09  1.573E-08  1.176E-08  8.530E-18  3.388E-17  1.00E-07
  9.500E-04 3.85614E-16  2.304E-09  1.573E-08  1.176E-08  8.760E-18  3.479E-17  1.00E-07
  9.750E-04 3.85614E-16  2.365E-09  1.573E-08  1.176E-08  8.991E-18  3.571E-17  1.00E-07
  1.000E-03 3.85614E-16  2.426E-09  1.573E-08  1.176E-08  9.222E-18  3.662E-17  1.00E-07
  1.250E-03 3.85614E-16  3.032E-09  1.573E-08  1.176E-08  1.153E-17  4.578E-17  1.00E-07
  1.500E-03 3.85614E-16  3.638E-09  1.573E-08  1.176E-08  1.383E-17  5.493E-17  1.00E-07
  1.750E-03 3.85614E-16  4.245E-09  1.573E-08  1.176E-08  1.614E-17  6.409E-17  1.00E-07
  2.000E-03 3.85614E-16  4.851E-09  1.573E-08  1.176E-08  1.844E-17  7.325E-17  1.00E-07
  2.250E-03 3.85614E-16  5.458E-09  1.573E-08  1.176E-08  2.075E-17  8.240E-17  1.00E-07
  2.500E-03 3.85614E-16  6.064E-09  1.573E-08  1.176E-08  2.305E-17  9.156E-17  1.00E-07
  2.750E-03 3.85614E-16  6.670E-09  1.573E-08  1.176E-08  2.536E-17  1.007E-16  1.00E-07
  3.000E-03 3.85614E-16  7.277E-09  1.573E-08  1.176E-08  2.766E-17  1.099E-16  1.00E-07
  3.250E-03 3.85614E-16  7.883E-09  1.573E-08  1.176E-08  2.997E-17  1.190E-16  1.00E-07
  3.500E-03 3.85614E-16  8.490E-09  1.573E-08  1.176E-08  3.228E-17  1.282E-16  1.00E-07
  3.750E-03 3.85614E-16  9.096E-09  1.573E-08  1.176E-08  3.458E-17  1.373E-16  1.00E-07
  4.000E-03 3.85614E-16  9.702E-09  1.573E-08  1.176E-08  3.689E-17  1.465E-16  1.00E-07
  4.250E-03 3.85614E-16  1.031E-08  1.573E-08  1.176E-08  3.919E-17  1.556E-16  1.00E-07
  4.500E-03 3.85614E-16  1.092E-08  1.573E-08  1.176E-08  4.150E-17  1.648E-16  1.00E-07
  4.750E-03 3.85614E-16  1.152E-08  1.573E-08  1.176E-08  4.380E-17  1.740E-16  1.00E-07
  5.000E-03 3.85614E-16  1.213E-08  1.573E-08  1.176E-08  4.611E-17  1.831E-16  1.00E-07
  5.250E-03 3.85614E-16  1.273E-08  1.573E-08  1.176E-08  4.841E-17  1.923E-16  1.00E-07
  5.500E-03 3.85614E-16  1.334E-08  1.573E-08  1.176E-08  5.072E-17  2.014E-16  1.00E-07
  5.750E-03 3.85614E-16  1.395E-08  1.573E-08  1.176E-08  5.302E-17  2.106E-16  1.00E-07
  6.000E-03 3.85614E-16  1.455E-08  1.573E-08  1.176E-08  5.533E-17  2.197E-16  1.00E-07
  6.250E-03 3.85614E-16  1.516E-08  1.573E-08  1.176E-08  5.763E-17  2.289E-16  1.00E-07
  6.500E-03 3.85614E-16  1.577E-08  1.573E-08  1.176E-08  5.994E-17  2.381E-16  1.00E-07
  6.750E-03 3.85614E-16  1.637E-08  1.573E-08  1.176E-08  6.225E-17  2.472E-16  1.00E-07
  7.000E-03 3.85614E-16  1.698E-08  1.573E-08  1.176E-08  6.455E-17  2.564E-16  1.00E-07
  7.250E-03 3.85614E-16  1.759E-08  1.573E-08  1.176E-08  6.686E-17  2.655E-16  1.00E-07
