    
 E (eV)=   220.000000000000     
       0     -6.06998419E-01      0.00000000E+00
       1      1.35134981E+00      1.35249953E+00
       2      7.57920689E-01      7.58207522E-01
       3      4.48747383E-01      4.48874120E-01
       4      2.69430785E-01      2.69498495E-01
       5      1.62859163E-01      1.62897707E-01
       6      9.90839491E-02      9.91065376E-02
       7      6.06724567E-02      6.06859324E-02
       8      3.73748107E-02      3.73829519E-02
       9      2.31476319E-02      2.31525975E-02
      10      1.44053186E-02      1.44083703E-02
      11      9.00340383E-03      9.00529097E-03
      12      5.64896226E-03      5.65013538E-03
      13      3.55668551E-03      3.55741808E-03
      14      2.24643490E-03      2.24689420E-03
      15      1.42293597E-03      1.42322498E-03
      16      9.03655406E-04      9.03837843E-04
      17      5.75225472E-04      5.75340975E-04
      18      3.66936213E-04      3.67009533E-04
      19      2.34512834E-04      2.34559489E-04
      20      1.50134037E-04      1.50163788E-04
      21      9.62603693E-05      9.62793777E-05
      22      6.18012472E-05      6.18134131E-05
      23      3.97246391E-05      3.97324377E-05
      24      2.55607308E-05      2.55657367E-05
      25      1.64619182E-05      1.64651354E-05
      26      1.06103619E-05      1.06124317E-05
      27      6.84347030E-06      6.84480315E-06
      28      4.41649385E-06      4.41735284E-06
      29      2.85165521E-06      2.85220920E-06
      30      1.84205113E-06      1.84240863E-06
      31      1.19031659E-06      1.19054741E-06
      32      7.69402774E-07      7.69551873E-07
      33      4.97453777E-07      4.97550117E-07
      34      3.21691385E-07      3.21753660E-07
      35      2.08063813E-07      2.08104076E-07
      36      1.34588735E-07      1.34614771E-07
      37      8.70687929E-08      8.70856334E-08
      38      5.63308172E-08      5.63417117E-08
      39      3.64460148E-08      3.64530644E-08
      40      2.35811586E-08      2.35857144E-08
      41      1.52574616E-08      1.52604103E-08
      42      9.87181393E-09      9.87371901E-09
      43      6.38711926E-09      6.38835636E-09
      44      4.13233647E-09      4.13312964E-09
      45      2.67337759E-09      2.67389081E-09
      46      1.72944759E-09      1.72978348E-09
      47      1.11877909E-09      1.11899136E-09
      48      7.23683185E-10      7.23822700E-10
      49      4.68039166E-10      4.68130549E-10

  TOTAL ELASTIC CROSS SECTION = 1.744056E-16 cm**2
               FROM DCS TABLE = 1.744018E-16  (REL. DIF. = 2.14E-05)

  1ST TRANSPORT CROSS SECTION = 4.322697E-17 cm**2
               FROM DCS TABLE = 4.322695E-17  (REL. DIF. = 6.18E-07)

  2ND TRANSPORT CROSS SECTION = 6.754231E-17 cm**2
