

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.58000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -3.91016458E-01      0.00000000E+00
       1      1.43206476E+00      1.43315433E+00
       2      7.46754410E-01      7.46995851E-01
       3      4.04660397E-01      4.04757621E-01
       4      2.21844930E-01      2.21892182E-01
       5      1.22899723E-01      1.22924288E-01
       6      6.88043302E-02      6.88175526E-02
       7      3.88827502E-02      3.88900254E-02
       8      2.21501493E-02      2.21542135E-02
       9      1.27043058E-02      1.27066017E-02
      10      7.32927517E-03      7.33058343E-03
      11      4.24986937E-03      4.25062006E-03
      12      2.47528948E-03      2.47572277E-03
      13      1.44739325E-03      1.44764461E-03
      14      8.49299737E-04      8.49446197E-04
      15      4.99889987E-04      4.99975660E-04
      16      2.95031705E-04      2.95081992E-04
      17      1.74541920E-04      1.74571527E-04
      18      1.03475253E-04      1.03492732E-04
      19      6.14553837E-05      6.14657268E-05
      20      3.65563310E-05      3.65624642E-05
      21      2.17744934E-05      2.17781367E-05
      22      1.29846515E-05      1.29868191E-05
      23      7.75055967E-06      7.75185096E-06
      24      4.63008704E-06      4.63085718E-06
      25      2.76783162E-06      2.76829137E-06
      26      1.65551519E-06      1.65578987E-06
      27      9.90660967E-07      9.90825183E-07
      28      5.93030082E-07      5.93128315E-07
      29      3.55103379E-07      3.55162165E-07
      30      2.12682035E-07      2.12717229E-07
      31      1.27403243E-07      1.27424318E-07
      32      7.63278001E-08      7.63404234E-08
      33      4.57319126E-08      4.57394764E-08
      34      2.74016113E-08      2.74061462E-08
      35      1.64187757E-08      1.64214902E-08
      36      9.83784115E-09      9.83946882E-09
      37      5.89445236E-09      5.89542707E-09
      38      3.53159347E-09      3.53217766E-09
      39      2.11578846E-09      2.11614004E-09
      40      1.26747607E-09      1.26768813E-09
      41      7.59172945E-10      7.59299903E-10
      42      4.54670864E-10      4.54744109E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.08888E-16  0.000E+00  1.687E-08  1.115E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.08888E-16  2.330E-10  1.687E-08  1.115E-08  3.105E-18  4.876E-18  1.00E-07
  1.250E-04 4.08888E-16  2.913E-10  1.687E-08  1.115E-08  3.881E-18  6.094E-18  1.00E-07
  1.500E-04 4.08888E-16  3.496E-10  1.687E-08  1.115E-08  4.657E-18  7.313E-18  1.00E-07
  1.750E-04 4.08888E-16  4.078E-10  1.687E-08  1.115E-08  5.433E-18  8.532E-18  1.00E-07
  2.000E-04 4.08888E-16  4.661E-10  1.687E-08  1.115E-08  6.209E-18  9.751E-18  1.00E-07
  2.250E-04 4.08888E-16  5.244E-10  1.687E-08  1.115E-08  6.985E-18  1.097E-17  1.00E-07
  2.500E-04 4.08888E-16  5.826E-10  1.687E-08  1.115E-08  7.761E-18  1.219E-17  1.00E-07
  2.750E-04 4.08888E-16  6.409E-10  1.687E-08  1.115E-08  8.537E-18  1.341E-17  1.00E-07
  3.000E-04 4.08888E-16  6.991E-10  1.687E-08  1.115E-08  9.314E-18  1.463E-17  1.00E-07
  3.250E-04 4.08888E-16  7.574E-10  1.687E-08  1.115E-08  1.009E-17  1.585E-17  1.00E-07
  3.500E-04 4.08888E-16  8.157E-10  1.687E-08  1.115E-08  1.087E-17  1.706E-17  1.00E-07
  3.750E-04 4.08888E-16  8.739E-10  1.687E-08  1.115E-08  1.164E-17  1.828E-17  1.00E-07
  4.000E-04 4.08888E-16  9.322E-10  1.687E-08  1.115E-08  1.242E-17  1.950E-17  1.00E-07
  4.250E-04 4.08888E-16  9.905E-10  1.687E-08  1.115E-08  1.319E-17  2.072E-17  1.00E-07
  4.500E-04 4.08888E-16  1.049E-09  1.687E-08  1.115E-08  1.397E-17  2.194E-17  1.00E-07
  4.750E-04 4.08888E-16  1.107E-09  1.687E-08  1.115E-08  1.475E-17  2.316E-17  1.00E-07
  5.000E-04 4.08888E-16  1.165E-09  1.687E-08  1.115E-08  1.552E-17  2.438E-17  1.00E-07
  5.250E-04 4.08888E-16  1.224E-09  1.687E-08  1.115E-08  1.630E-17  2.560E-17  1.00E-07
