

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.06000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -1.27176015E-01      0.00000000E+00
       1      1.52855699E+00      1.52959267E+00
       2      7.13131607E-01      7.13325052E-01
       3      3.37511710E-01      3.37578594E-01
       4      1.62532376E-01      1.62560672E-01
       5      7.98247347E-02      7.98377358E-02
       6      3.98572528E-02      3.98634937E-02
       7      2.01590122E-02      2.01620881E-02
       8      1.02997287E-02      1.03012712E-02
       9      5.30563033E-03      5.30641354E-03
      10      2.75171188E-03      2.75211333E-03
      11      1.43539401E-03      1.43560135E-03
      12      7.52451359E-04      7.52559139E-04
      13      3.96112794E-04      3.96169123E-04
      14      2.09279406E-04      2.09308982E-04
      15      1.10909012E-04      1.10924603E-04
      16      5.89294718E-05      5.89377192E-05
      17      3.13791289E-05      3.13835041E-05
      18      1.67390889E-05      1.67414156E-05
      19      8.94265148E-06      8.94389132E-06
      20      4.78326560E-06      4.78392739E-06
      21      2.56096608E-06      2.56131981E-06
      22      1.37219926E-06      1.37238855E-06
      23      7.35683505E-07      7.35784882E-07
      24      3.94605924E-07      3.94660257E-07
      25      2.11730435E-07      2.11759570E-07
      26      1.13633785E-07      1.13649418E-07
      27      6.09959269E-08      6.10043147E-08
      28      3.27441193E-08      3.27486215E-08
      29      1.75784907E-08      1.75809042E-08
      30      9.43686976E-09      9.43817213E-09
      31      5.06588135E-09      5.06657753E-09
      32      2.71920994E-09      2.71958245E-09
      33      1.45941905E-09      1.45962204E-09
      34      7.83210637E-10      7.83322249E-10
      35      4.20265261E-10      4.20324366E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  8.500E-04 3.82387E-16  2.067E-09  1.555E-08  1.186E-08  5.339E-18  2.949E-17  1.00E-07
  8.750E-04 3.82387E-16  2.128E-09  1.555E-08  1.186E-08  5.496E-18  3.035E-17  1.00E-07
  9.000E-04 3.82387E-16  2.189E-09  1.555E-08  1.186E-08  5.654E-18  3.122E-17  1.00E-07
  9.250E-04 3.82387E-16  2.250E-09  1.555E-08  1.186E-08  5.811E-18  3.209E-17  1.00E-07
  9.500E-04 3.82387E-16  2.310E-09  1.555E-08  1.186E-08  5.968E-18  3.295E-17  1.00E-07
  9.750E-04 3.82387E-16  2.371E-09  1.555E-08  1.186E-08  6.125E-18  3.382E-17  1.00E-07
  1.000E-03 3.82387E-16  2.432E-09  1.555E-08  1.186E-08  6.282E-18  3.469E-17  1.00E-07
  1.250E-03 3.82387E-16  3.040E-09  1.555E-08  1.186E-08  7.852E-18  4.336E-17  1.00E-07
  1.500E-03 3.82387E-16  3.648E-09  1.555E-08  1.186E-08  9.423E-18  5.203E-17  1.00E-07
  1.750E-03 3.82387E-16  4.256E-09  1.555E-08  1.186E-08  1.099E-17  6.071E-17  1.00E-07
  2.000E-03 3.82387E-16  4.864E-09  1.555E-08  1.186E-08  1.256E-17  6.938E-17  1.00E-07
  2.250E-03 3.82387E-16  5.472E-09  1.555E-08  1.186E-08  1.413E-17  7.805E-17  1.00E-07
  2.500E-03 3.82387E-16  6.080E-09  1.555E-08  1.186E-08  1.570E-17  8.672E-17  1.00E-07
  2.750E-03 3.82387E-16  6.688E-09  1.555E-08  1.186E-08  1.727E-17  9.540E-17  1.00E-07
  3.000E-03 3.82387E-16  7.296E-09  1.555E-08  1.186E-08  1.885E-17  1.041E-16  1.00E-07
  3.250E-03 3.82387E-16  7.904E-09  1.555E-08  1.186E-08  2.042E-17  1.127E-16  1.00E-07
  3.500E-03 3.82387E-16  8.512E-09  1.555E-08  1.186E-08  2.199E-17  1.214E-16  1.00E-07
  3.750E-03 3.82387E-16  9.120E-09  1.555E-08  1.186E-08  2.356E-17  1.301E-16  1.00E-07
  4.000E-03 3.82387E-16  9.728E-09  1.555E-08  1.186E-08  2.513E-17  1.388E-16  1.00E-07
  4.250E-03 3.82387E-16  1.034E-08  1.555E-08  1.186E-08  2.670E-17  1.474E-16  1.00E-07
  4.500E-03 3.82387E-16  1.094E-08  1.555E-08  1.186E-08  2.827E-17  1.561E-16  1.00E-07
  4.750E-03 3.82387E-16  1.155E-08  1.555E-08  1.186E-08  2.984E-17  1.648E-16  1.00E-07
  5.000E-03 3.82387E-16  1.216E-08  1.555E-08  1.186E-08  3.141E-17  1.734E-16  1.00E-07
  5.250E-03 3.82387E-16  1.277E-08  1.555E-08  1.186E-08  3.298E-17  1.821E-16  1.00E-07
  5.500E-03 3.82387E-16  1.338E-08  1.555E-08  1.186E-08  3.455E-17  1.908E-16  1.00E-07
  5.750E-03 3.82387E-16  1.398E-08  1.555E-08  1.186E-08  3.612E-17  1.995E-16  1.00E-07
  6.000E-03 3.82387E-16  1.459E-08  1.555E-08  1.186E-08  3.769E-17  2.081E-16  1.00E-07
  6.250E-03 3.82387E-16  1.520E-08  1.555E-08  1.186E-08  3.926E-17  2.168E-16  1.00E-07
  6.500E-03 3.82387E-16  1.581E-08  1.555E-08  1.186E-08  4.083E-17  2.255E-16  1.00E-07
  6.750E-03 3.82387E-16  1.642E-08  1.555E-08  1.186E-08  4.240E-17  2.342E-16  1.00E-07
  7.000E-03 3.82387E-16  1.702E-08  1.555E-08  1.186E-08  4.397E-17  2.428E-16  1.00E-07
  7.250E-03 3.82387E-16  1.763E-08  1.555E-08  1.186E-08  4.554E-17  2.515E-16  1.00E-07
  7.500E-03 3.82387E-16  1.824E-08  1.555E-08  1.186E-08  4.711E-17  2.602E-16  1.00E-07
  7.750E-03 3.82387E-16  1.885E-08  1.555E-08  1.186E-08  4.868E-17  2.688E-16  1.00E-07
  8.000E-03 3.82387E-16  1.946E-08  1.555E-08  1.186E-08  5.025E-17  2.775E-16  1.00E-07
  8.250E-03 3.82387E-16  2.006E-08  1.555E-08  1.186E-08  5.182E-17  2.862E-16  1.00E-07
  8.500E-03 3.82387E-16  2.067E-08  1.555E-08  1.186E-08  5.339E-17  2.949E-16  1.00E-07
  8.750E-03 3.82387E-16  2.128E-08  1.555E-08  1.186E-08  5.496E-17  3.035E-16  1.00E-07
  9.000E-03 3.82387E-16  2.189E-08  1.555E-08  1.186E-08  5.654E-17  3.122E-16  1.00E-07
  9.250E-03 3.82387E-16  2.250E-08  1.555E-08  1.186E-08  5.811E-17  3.209E-16  1.00E-07
  9.500E-03 3.82387E-16  2.310E-08  1.555E-08  1.186E-08  5.968E-17  3.295E-16  1.00E-07
  9.750E-03 3.82387E-16  2.371E-08  1.555E-08  1.186E-08  6.125E-17  3.382E-16  1.00E-07
  1.000E-02 3.82387E-16  2.432E-08  1.555E-08  1.186E-08  6.282E-17  3.469E-16  1.00E-07
  1.250E-02 3.82387E-16  3.040E-08  1.555E-08  1.186E-08  7.852E-17  4.336E-16  1.00E-07
  1.500E-02 3.82387E-16  3.648E-08  1.555E-08  1.186E-08  9.423E-17  5.203E-16  1.00E-07
  1.750E-02 3.82387E-16  4.256E-08  1.555E-08  1.186E-08  1.099E-16  6.071E-16  1.00E-07
  2.000E-02 3.82387E-16  4.864E-08  1.555E-08  1.186E-08  1.256E-16  6.938E-16  1.00E-07
  2.250E-02 3.82387E-16  5.472E-08  1.555E-08  1.186E-08  1.413E-16  7.805E-16  1.00E-07
  2.500E-02 3.82387E-16  6.080E-08  1.555E-08  1.186E-08  1.570E-16  8.672E-16  1.00E-07
  2.750E-02 3.82387E-16  6.688E-08  1.555E-08  1.186E-08  1.727E-16  9.540E-16  1.00E-07
  3.000E-02 3.82387E-16  7.296E-08  1.555E-08  1.186E-08  1.884E-16  1.041E-15  1.00E-07
  3.250E-02 3.82387E-16  7.904E-08  1.555E-08  1.186E-08  2.042E-16  1.127E-15  1.00E-07
  3.500E-02 3.82386E-16  8.512E-08  1.555E-08  1.186E-08  2.199E-16  1.214E-15  1.00E-07
  3.750E-02 3.82386E-16  9.120E-08  1.555E-08  1.186E-08  2.356E-16  1.301E-15  1.00E-07
  4.000E-02 3.82386E-16  9.728E-08  1.555E-08  1.186E-08  2.513E-16  1.388E-15  1.00E-07
  4.250E-02 3.82386E-16  1.034E-07  1.555E-08  1.186E-08  2.670E-16  1.474E-15  1.00E-07
  4.500E-02 3.82386E-16  1.094E-07  1.555E-08  1.186E-08  2.827E-16  1.561E-15  1.00E-07
  4.750E-02 3.82385E-16  1.155E-07  1.555E-08  1.186E-08  2.984E-16  1.648E-15  1.00E-07
  5.000E-02 3.82385E-16  1.216E-07  1.555E-08  1.186E-08  3.141E-16  1.734E-15  1.00E-07
  5.250E-02 3.82385E-16  1.277E-07  1.555E-08  1.186E-08  3.298E-16  1.821E-15  1.00E-07
  5.500E-02 3.82385E-16  1.338E-07  1.555E-08  1.186E-08  3.455E-16  1.908E-15  1.00E-07
  5.750E-02 3.82384E-16  1.398E-07  1.555E-08  1.186E-08  3.612E-16  1.995E-15  1.00E-07
  6.000E-02 3.82384E-16  1.459E-07  1.555E-08  1.186E-08  3.769E-16  2.081E-15  1.00E-07
  6.250E-02 3.82384E-16  1.520E-07  1.555E-08  1.186E-08  3.926E-16  2.168E-15  1.00E-07
  6.500E-02 3.82384E-16  1.581E-07  1.555E-08  1.186E-08  4.083E-16  2.255E-15  1.00E-07
  6.750E-02 3.82383E-16  1.642E-07  1.555E-08  1.186E-08  4.240E-16  2.342E-15  1.00E-07
  7.000E-02 3.82383E-16  1.702E-07  1.555E-08  1.186E-08  4.397E-16  2.428E-15  1.00E-07
  7.250E-02 3.82383E-16  1.763E-07  1.555E-08  1.186E-08  4.554E-16  2.515E-15  1.00E-07
  7.500E-02 3.82382E-16  1.824E-07  1.555E-08  1.186E-08  4.711E-16  2.602E-15  1.00E-07
  7.750E-02 3.82382E-16  1.885E-07  1.555E-08  1.186E-08  4.868E-16  2.688E-15  1.00E-07
  8.000E-02 3.82382E-16  1.946E-07  1.555E-08  1.186E-08  5.025E-16  2.775E-15  1.00E-07
  8.250E-02 3.82381E-16  2.006E-07  1.555E-08  1.186E-08  5.182E-16  2.862E-15  1.00E-07
  8.500E-02 3.82381E-16  2.067E-07  1.555E-08  1.186E-08  5.339E-16  2.949E-15  1.00E-07
  8.750E-02 3.82381E-16  2.128E-07  1.555E-08  1.186E-08  5.496E-16  3.035E-15  1.00E-07
  9.000E-02 3.82380E-16  2.189E-07  1.555E-08  1.186E-08  5.653E-16  3.122E-15  1.00E-07
  9.250E-02 3.82380E-16  2.250E-07  1.555E-08  1.186E-08  5.810E-16  3.209E-15  1.00E-07
  9.500E-02 3.82379E-16  2.310E-07  1.555E-08  1.186E-08  5.967E-16  3.295E-15  1.00E-07
  9.750E-02 3.82379E-16  2.371E-07  1.555E-08  1.186E-08  6.124E-16  3.382E-15  1.00E-07
  1.000E-01 3.82378E-16  2.432E-07  1.555E-08  1.186E-08  6.281E-16  3.469E-15  1.00E-07
  1.250E-01 3.82373E-16  3.040E-07  1.555E-08  1.186E-08  7.851E-16  4.336E-15  1.00E-07
  1.500E-01 3.82367E-16  3.648E-07  1.555E-08  1.186E-08  9.421E-16  5.203E-15  1.00E-07
  1.750E-01 3.82360E-16  4.256E-07  1.555E-08  1.186E-08  1.099E-15  6.071E-15  1.00E-07
  2.000E-01 3.82351E-16  4.864E-07  1.555E-08  1.186E-08  1.256E-15  6.938E-15  1.00E-07
  2.250E-01 3.82341E-16  5.472E-07  1.555E-08  1.186E-08  1.413E-15  7.805E-15  1.00E-07
  2.500E-01 3.82330E-16  6.080E-07  1.555E-08  1.186E-08  1.570E-15  8.672E-15  1.00E-07
  2.750E-01 3.82318E-16  6.689E-07  1.555E-08  1.186E-08  1.726E-15  9.539E-15  1.00E-07
  3.000E-01 3.82305E-16  7.297E-07  1.555E-08  1.186E-08  1.883E-15  1.041E-14  1.00E-07
  3.250E-01 3.82291E-16  7.905E-07  1.555E-08  1.186E-08  2.040E-15  1.127E-14  1.00E-07
  3.500E-01 3.82276E-16  8.513E-07  1.555E-08  1.186E-08  2.196E-15  1.214E-14  1.00E-07
  3.750E-01 3.82259E-16  9.122E-07  1.555E-08  1.186E-08  2.353E-15  1.301E-14  1.00E-07
  4.000E-01 3.82241E-16  9.730E-07  1.555E-08  1.185E-08  2.510E-15  1.387E-14  1.00E-07
  4.250E-01 3.82223E-16  1.034E-06  1.555E-08  1.185E-08  2.666E-15  1.474E-14  1.00E-07
  4.500E-01 3.82203E-16  1.095E-06  1.555E-08  1.185E-08  2.822E-15  1.561E-14  1.00E-07
  4.750E-01 3.82181E-16  1.156E-06  1.555E-08  1.185E-08  2.979E-15  1.648E-14  1.00E-07
  5.000E-01 3.82159E-16  1.216E-06  1.554E-08  1.185E-08  3.135E-15  1.734E-14  1.00E-07
  5.250E-01 3.82136E-16  1.277E-06  1.554E-08  1.185E-08  3.291E-15  1.821E-14  1.00E-07
  5.500E-01 3.82111E-16  1.338E-06  1.554E-08  1.185E-08  3.447E-15  1.908E-14  1.00E-07
  5.750E-01 3.82086E-16  1.399E-06  1.554E-08  1.185E-08  3.603E-15  1.994E-14  1.00E-07
  6.000E-01 3.82059E-16  1.460E-06  1.554E-08  1.185E-08  3.758E-15  2.081E-14  1.00E-07
  6.250E-01 3.82031E-16  1.521E-06  1.554E-08  1.185E-08  3.914E-15  2.168E-14  1.00E-07
  6.500E-01 3.82002E-16  1.582E-06  1.554E-08  1.185E-08  4.070E-15  2.254E-14  1.00E-07
  6.750E-01 3.81972E-16  1.643E-06  1.554E-08  1.185E-08  4.225E-15  2.341E-14  1.00E-07
  7.000E-01 3.81940E-16  1.704E-06  1.554E-08  1.185E-08  4.380E-15  2.428E-14  1.00E-07
  7.250E-01 3.81908E-16  1.764E-06  1.554E-08  1.185E-08  4.535E-15  2.515E-14  1.00E-07
  7.500E-01 3.81874E-16  1.825E-06  1.554E-08  1.185E-08  4.690E-15  2.601E-14  1.00E-07
