    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  9.750E-04 3.29343E-17 -1.208E-10  5.654E-09  9.834E-10  1.651E-17  2.520E-18  1.00E-07
  1.000E-03 3.29343E-17 -1.239E-10  5.654E-09  9.834E-10  1.694E-17  2.585E-18  1.00E-07
  1.250E-03 3.29343E-17 -1.548E-10  5.654E-09  9.834E-10  2.117E-17  3.231E-18  1.00E-07
  1.500E-03 3.29343E-17 -1.858E-10  5.654E-09  9.834E-10  2.540E-17  3.877E-18  1.00E-07
  1.750E-03 3.29343E-17 -2.168E-10  5.654E-09  9.834E-10  2.964E-17  4.523E-18  1.00E-07
  2.000E-03 3.29343E-17 -2.478E-10  5.654E-09  9.834E-10  3.387E-17  5.170E-18  1.00E-07
  2.250E-03 3.29343E-17 -2.787E-10  5.654E-09  9.834E-10  3.811E-17  5.816E-18  1.00E-07
  2.500E-03 3.29343E-17 -3.097E-10  5.654E-09  9.834E-10  4.234E-17  6.462E-18  1.00E-07
  2.750E-03 3.29343E-17 -3.407E-10  5.654E-09  9.834E-10  4.657E-17  7.108E-18  1.00E-07
  3.000E-03 3.29343E-17 -3.716E-10  5.654E-09  9.834E-10  5.081E-17  7.754E-18  1.00E-07
  3.250E-03 3.29343E-17 -4.026E-10  5.654E-09  9.834E-10  5.504E-17  8.401E-18  1.00E-07
  3.500E-03 3.29343E-17 -4.336E-10  5.654E-09  9.834E-10  5.928E-17  9.047E-18  1.00E-07
  3.750E-03 3.29343E-17 -4.645E-10  5.654E-09  9.834E-10  6.351E-17  9.693E-18  1.00E-07
  4.000E-03 3.29343E-17 -4.955E-10  5.654E-09  9.834E-10  6.774E-17  1.034E-17  1.00E-07
  4.250E-03 3.29343E-17 -5.265E-10  5.654E-09  9.834E-10  7.198E-17  1.099E-17  1.00E-07
  4.500E-03 3.29343E-17 -5.575E-10  5.654E-09  9.834E-10  7.621E-17  1.163E-17  1.00E-07
  4.750E-03 3.29343E-17 -5.884E-10  5.654E-09  9.834E-10  8.045E-17  1.228E-17  1.00E-07
  5.000E-03 3.29343E-17 -6.194E-10  5.654E-09  9.834E-10  8.468E-17  1.292E-17  1.00E-07
  5.250E-03 3.29343E-17 -6.504E-10  5.654E-09  9.834E-10  8.891E-17  1.357E-17  1.00E-07
  5.500E-03 3.29343E-17 -6.813E-10  5.654E-09  9.834E-10  9.315E-17  1.422E-17  1.00E-07
  5.750E-03 3.29343E-17 -7.123E-10  5.654E-09  9.834E-10  9.738E-17  1.486E-17  1.00E-07
  6.000E-03 3.29343E-17 -7.433E-10  5.654E-09  9.834E-10  1.016E-16  1.551E-17  1.00E-07
  6.250E-03 3.29343E-17 -7.742E-10  5.654E-09  9.834E-10  1.059E-16  1.616E-17  1.00E-07
  6.500E-03 3.29343E-17 -8.052E-10  5.654E-09  9.834E-10  1.101E-16  1.680E-17  1.00E-07
  6.750E-03 3.29343E-17 -8.362E-10  5.654E-09  9.834E-10  1.143E-16  1.745E-17  1.00E-07
  7.000E-03 3.29343E-17 -8.672E-10  5.654E-09  9.834E-10  1.186E-16  1.809E-17  1.00E-07
  7.250E-03 3.29343E-17 -8.981E-10  5.654E-09  9.834E-10  1.228E-16  1.874E-17  1.00E-07
  7.500E-03 3.29343E-17 -9.291E-10  5.654E-09  9.834E-10  1.270E-16  1.939E-17  1.00E-07
  7.750E-03 3.29343E-17 -9.601E-10  5.654E-09  9.834E-10  1.313E-16  2.003E-17  1.00E-07
  8.000E-03 3.29343E-17 -9.910E-10  5.654E-09  9.834E-10  1.355E-16  2.068E-17  1.00E-07
  8.250E-03 3.29343E-17 -1.022E-09  5.654E-09  9.834E-10  1.397E-16  2.132E-17  1.00E-07
  8.500E-03 3.29343E-17 -1.053E-09  5.654E-09  9.834E-10  1.440E-16  2.197E-17  1.00E-07
  8.750E-03 3.29343E-17 -1.084E-09  5.654E-09  9.834E-10  1.482E-16  2.262E-17  1.00E-07
  9.000E-03 3.29343E-17 -1.115E-09  5.654E-09  9.834E-10  1.524E-16  2.326E-17  1.00E-07
  9.250E-03 3.29343E-17 -1.146E-09  5.654E-09  9.834E-10  1.567E-16  2.391E-17  1.00E-07
  9.500E-03 3.29343E-17 -1.177E-09  5.654E-09  9.834E-10  1.609E-16  2.456E-17  1.00E-07
  9.750E-03 3.29343E-17 -1.208E-09  5.654E-09  9.834E-10  1.651E-16  2.520E-17  1.00E-07
  1.000E-02 3.29343E-17 -1.239E-09  5.654E-09  9.834E-10  1.694E-16  2.585E-17  1.00E-07
  1.250E-02 3.29343E-17 -1.548E-09  5.654E-09  9.834E-10  2.117E-16  3.231E-17  1.00E-07
  1.500E-02 3.29343E-17 -1.858E-09  5.654E-09  9.834E-10  2.540E-16  3.877E-17  1.00E-07
  1.750E-02 3.29343E-17 -2.168E-09  5.654E-09  9.834E-10  2.964E-16  4.523E-17  1.00E-07
  2.000E-02 3.29343E-17 -2.478E-09  5.654E-09  9.834E-10  3.387E-16  5.170E-17  1.00E-07
  2.250E-02 3.29342E-17 -2.787E-09  5.654E-09  9.834E-10  3.811E-16  5.816E-17  1.00E-07
  2.500E-02 3.29342E-17 -3.097E-09  5.654E-09  9.834E-10  4.234E-16  6.462E-17  1.00E-07
  2.750E-02 3.29342E-17 -3.407E-09  5.654E-09  9.834E-10  4.657E-16  7.108E-17  1.00E-07
  3.000E-02 3.29342E-17 -3.716E-09  5.654E-09  9.834E-10  5.081E-16  7.754E-17  1.00E-07
  3.250E-02 3.29342E-17 -4.026E-09  5.654E-09  9.834E-10  5.504E-16  8.401E-17  1.00E-07
  3.500E-02 3.29342E-17 -4.336E-09  5.654E-09  9.834E-10  5.928E-16  9.047E-17  1.00E-07
  3.750E-02 3.29342E-17 -4.645E-09  5.654E-09  9.834E-10  6.351E-16  9.693E-17  1.00E-07
  4.000E-02 3.29341E-17 -4.955E-09  5.654E-09  9.834E-10  6.774E-16  1.034E-16  1.00E-07
  4.250E-02 3.29341E-17 -5.265E-09  5.654E-09  9.834E-10  7.198E-16  1.099E-16  1.00E-07
  4.500E-02 3.29341E-17 -5.575E-09  5.654E-09  9.834E-10  7.621E-16  1.163E-16  1.00E-07
