

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 9.80000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      4.23727112E-01      0.00000000E+00
       1     -1.30464091E+00     -1.30269377E+00
       2      6.55859014E-01      6.56119760E-01
       3      2.27609867E-01      2.27669018E-01
       4      8.56272858E-02      8.56460884E-02
       5      3.39634712E-02      3.39703576E-02
       6      1.39189794E-02      1.39216759E-02
       7      5.83021412E-03      5.83131034E-03
       8      2.48045656E-03      2.48091305E-03
       9      1.06763732E-03      1.06783066E-03
      10      4.63627297E-04      4.63710215E-04
      11      2.02720052E-04      2.02755958E-04
      12      8.91147696E-05      8.91304338E-05
      13      3.93389918E-05      3.93458653E-05
      14      1.74231409E-05      1.74261708E-05
      15      7.73669520E-06      7.73803562E-06
      16      3.44249745E-06      3.44309212E-06
      17      1.53425028E-06      1.53451470E-06
      18      6.84666340E-07      6.84784116E-07
      19      3.05850281E-07      3.05902814E-07
      20      1.36740466E-07      1.36763925E-07
      21      6.11749637E-08      6.11854502E-08
      22      2.73831528E-08      2.73878440E-08
      23      1.22625448E-08      1.22646438E-08
      24      5.49325894E-09      5.49419508E-09
      25      2.46154113E-09      2.46196559E-09
      26      1.10328065E-09      1.10347245E-09
      27      4.94566461E-10      4.94653212E-10
      28      2.21702170E-10      2.21740624E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.06927E-16  0.000E+00  9.971E-09  1.037E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.06927E-16  2.448E-10  9.971E-09  1.037E-08 -2.569E-18 -1.313E-19  1.00E-07
  1.250E-04 2.06927E-16  3.060E-10  9.971E-09  1.037E-08 -3.212E-18 -1.641E-19  1.00E-07
  1.500E-04 2.06927E-16  3.672E-10  9.971E-09  1.037E-08 -3.854E-18 -1.969E-19  1.00E-07
  1.750E-04 2.06927E-16  4.285E-10  9.971E-09  1.037E-08 -4.496E-18 -2.297E-19  1.00E-07
  2.000E-04 2.06927E-16  4.897E-10  9.971E-09  1.037E-08 -5.139E-18 -2.625E-19  1.00E-07
  2.250E-04 2.06927E-16  5.509E-10  9.971E-09  1.037E-08 -5.781E-18 -2.954E-19  1.00E-07
  2.500E-04 2.06927E-16  6.121E-10  9.971E-09  1.037E-08 -6.423E-18 -3.282E-19  1.00E-07
  2.750E-04 2.06927E-16  6.733E-10  9.971E-09  1.037E-08 -7.066E-18 -3.610E-19  1.00E-07
  3.000E-04 2.06927E-16  7.345E-10  9.971E-09  1.037E-08 -7.708E-18 -3.938E-19  1.00E-07
  3.250E-04 2.06927E-16  7.957E-10  9.971E-09  1.037E-08 -8.350E-18 -4.266E-19  1.00E-07
  3.500E-04 2.06927E-16  8.569E-10  9.971E-09  1.037E-08 -8.993E-18 -4.595E-19  1.00E-07
  3.750E-04 2.06927E-16  9.181E-10  9.971E-09  1.037E-08 -9.635E-18 -4.923E-19  1.00E-07
  4.000E-04 2.06927E-16  9.793E-10  9.971E-09  1.037E-08 -1.028E-17 -5.251E-19  1.00E-07
  4.250E-04 2.06927E-16  1.041E-09  9.971E-09  1.037E-08 -1.092E-17 -5.579E-19  1.00E-07
  4.500E-04 2.06927E-16  1.102E-09  9.971E-09  1.037E-08 -1.156E-17 -5.907E-19  1.00E-07
  4.750E-04 2.06927E-16  1.163E-09  9.971E-09  1.037E-08 -1.220E-17 -6.235E-19  1.00E-07
  5.000E-04 2.06927E-16  1.224E-09  9.971E-09  1.037E-08 -1.285E-17 -6.564E-19  1.00E-07
  5.250E-04 2.06927E-16  1.285E-09  9.971E-09  1.037E-08 -1.349E-17 -6.892E-19  1.00E-07
  5.500E-04 2.06927E-16  1.347E-09  9.971E-09  1.037E-08 -1.413E-17 -7.220E-19  1.00E-07
  5.750E-04 2.06927E-16  1.408E-09  9.971E-09  1.037E-08 -1.477E-17 -7.548E-19  1.00E-07
  6.000E-04 2.06927E-16  1.469E-09  9.971E-09  1.037E-08 -1.542E-17 -7.876E-19  1.00E-07
  6.250E-04 2.06927E-16  1.530E-09  9.971E-09  1.037E-08 -1.606E-17 -8.205E-19  1.00E-07
  6.500E-04 2.06927E-16  1.591E-09  9.971E-09  1.037E-08 -1.670E-17 -8.533E-19  1.00E-07
  6.750E-04 2.06927E-16  1.653E-09  9.971E-09  1.037E-08 -1.734E-17 -8.861E-19  1.00E-07
  7.000E-04 2.06927E-16  1.714E-09  9.971E-09  1.037E-08 -1.799E-17 -9.189E-19  1.00E-07
  7.250E-04 2.06927E-16  1.775E-09  9.971E-09  1.037E-08 -1.863E-17 -9.517E-19  1.00E-07
  7.500E-04 2.06927E-16  1.836E-09  9.971E-09  1.037E-08 -1.927E-17 -9.846E-19  1.00E-07
  7.750E-04 2.06927E-16  1.897E-09  9.971E-09  1.037E-08 -1.991E-17 -1.017E-18  1.00E-07
  8.000E-04 2.06927E-16  1.959E-09  9.971E-09  1.037E-08 -2.056E-17 -1.050E-18  1.00E-07
  8.250E-04 2.06927E-16  2.020E-09  9.971E-09  1.037E-08 -2.120E-17 -1.083E-18  1.00E-07
  8.500E-04 2.06927E-16  2.081E-09  9.971E-09  1.037E-08 -2.184E-17 -1.116E-18  1.00E-07
  8.750E-04 2.06927E-16  2.142E-09  9.971E-09  1.037E-08 -2.248E-17 -1.149E-18  1.00E-07
  9.000E-04 2.06927E-16  2.203E-09  9.971E-09  1.037E-08 -2.312E-17 -1.181E-18  1.00E-07
  9.250E-04 2.06927E-16  2.265E-09  9.971E-09  1.037E-08 -2.377E-17 -1.214E-18  1.00E-07
  9.500E-04 2.06927E-16  2.326E-09  9.971E-09  1.037E-08 -2.441E-17 -1.247E-18  1.00E-07
  9.750E-04 2.06927E-16  2.387E-09  9.971E-09  1.037E-08 -2.505E-17 -1.280E-18  1.00E-07
  1.000E-03 2.06927E-16  2.448E-09  9.971E-09  1.037E-08 -2.569E-17 -1.313E-18  1.00E-07
  1.250E-03 2.06927E-16  3.060E-09  9.971E-09  1.037E-08 -3.212E-17 -1.641E-18  1.00E-07
