    
 E (eV)=   256.000000000000     
       0     -7.04506255E-01      0.00000000E+00
       1      1.31423356E+00      1.31541601E+00
       2      7.58614335E-01      7.58924075E-01
       3      4.64830587E-01      4.64972196E-01
       4      2.89468642E-01      2.89547104E-01
       5      1.81381870E-01      1.81428227E-01
       6      1.14249041E-01      1.14277198E-01
       7      7.23427579E-02      7.23601391E-02
       8      4.60405819E-02      4.60514341E-02
       9      2.94395772E-02      2.94464121E-02
      10      1.89055068E-02      1.89098417E-02
      11      1.21882198E-02      1.21909849E-02
      12      7.88558881E-03      7.88736128E-03
      13      5.11840087E-03      5.11954189E-03
      14      3.33211613E-03      3.33285344E-03
      15      2.17511728E-03      2.17559534E-03
      16      1.42338394E-03      1.42369486E-03
      17      9.33567164E-04      9.33769952E-04
      18      6.13573325E-04      6.13705926E-04
      19      4.04020417E-04      4.04107326E-04
      20      2.66489162E-04      2.66546245E-04
      21      1.76044875E-04      1.76082442E-04
      22      1.16457563E-04      1.16482329E-04
      23      7.71347366E-05      7.71510898E-05
      24      5.11460848E-05      5.11568984E-05
      25      3.39470066E-05      3.39541664E-05
      26      2.25511278E-05      2.25558738E-05
      27      1.49922897E-05      1.49954389E-05
      28      9.97378123E-06      9.97587275E-06
      29      6.63906574E-06      6.64045594E-06
      30      4.42156526E-06      4.42248994E-06
      31      2.94602915E-06      2.94664458E-06
      32      1.96364554E-06      1.96405537E-06
      33      1.30927281E-06      1.30954583E-06
      34      8.73206049E-07      8.73388018E-07
      35      5.82510457E-07      5.82631776E-07
      36      3.88663958E-07      3.88744868E-07
      37      2.59366169E-07      2.59420144E-07
      38      1.73104145E-07      1.73140154E-07
      39      1.15543425E-07      1.15567458E-07
      40      7.71287740E-08      7.71448128E-08
      41      5.14886209E-08      5.14993238E-08
      42      3.43733781E-08      3.43805232E-08
      43      2.29479235E-08      2.29526977E-08
      44      1.53202823E-08      1.53234688E-08
      45      1.02278758E-08      1.02300083E-08
      46      6.82812271E-09      6.82954088E-09
      47      4.55833649E-09      4.55928240E-09
      48      3.04296470E-09      3.04359721E-09
      49      2.03122903E-09      2.03165268E-09
      50      1.35580180E-09      1.35607920E-09
      51      9.04950485E-10      9.05136677E-10
      52      6.03994885E-10      6.04116263E-10

  TOTAL ELASTIC CROSS SECTION = 1.571662E-16 cm**2
               FROM DCS TABLE = 1.571627E-16  (REL. DIF. = 2.25E-05)

  1ST TRANSPORT CROSS SECTION = 3.459068E-17 cm**2
               FROM DCS TABLE = 3.459063E-17  (REL. DIF. = 1.24E-06)

  2ND TRANSPORT CROSS SECTION = 5.645706E-17 cm**2
