

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.50000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      4.83020655E-01      0.00000000E+00
       1      2.52284221E-01      2.52381053E-01
       2      1.48941944E-01      1.48984146E-01
       3      9.16125781E-02      9.16357717E-02
       4      5.74229345E-02      5.74367082E-02
       5      3.63564760E-02      3.63649466E-02
       6      2.31516424E-02      2.31569476E-02
       7      1.47931562E-02      1.47965133E-02
       8      9.47131542E-03      9.47345269E-03
       9      6.07087056E-03      6.07223615E-03
      10      3.89349572E-03      3.89437011E-03
      11      2.49757283E-03      2.49813337E-03
      12      1.60207469E-03      1.60243426E-03
      13      1.02746263E-03      1.02769333E-03
      14      6.58756214E-04      6.58904224E-04
      15      4.22213298E-04      4.22308239E-04
      16      2.70502800E-04      2.70563683E-04
      17      1.73235148E-04      1.73274176E-04
      18      1.10897426E-04      1.10922434E-04
      19      7.09624112E-05      7.09784293E-05
      20      4.53898993E-05      4.54001548E-05
      21      2.90213768E-05      2.90279401E-05
      22      1.85485362E-05      1.85527348E-05
      23      1.18505784E-05      1.18532633E-05
      24      7.56856326E-06      7.57027942E-06
      25      4.83211358E-06      4.83321015E-06
      26      3.08401450E-06      3.08471491E-06
      27      1.96769117E-06      1.96813839E-06
      28      1.25505924E-06      1.25534470E-06
      29      8.00283093E-07      8.00465235E-07
      30      5.10152795E-07      5.10268987E-07
      31      3.25116443E-07      3.25190533E-07
      32      2.07140209E-07      2.07187444E-07
      33      1.31941429E-07      1.31971533E-07
      34      8.40220183E-08      8.40411981E-08
      35      5.34939324E-08      5.35061549E-08
      36      3.40502007E-08      3.40579843E-08
      37      2.16690993E-08      2.16740507E-08
      38      1.37870433E-08      1.37901963E-08
      39      8.77034646E-09      8.77235757E-09
      40      5.57800355E-09      5.57928450E-09
      41      3.54693105E-09      3.54774236E-09
      42      2.25504208E-09      2.25555939E-09
      43      1.43343259E-09      1.43376101E-09
      44      9.11041017E-10      9.11240524E-10
      45      5.78898974E-10      5.79031513E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 3.13093E-17  0.000E+00  5.541E-09  7.760E-10  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 3.13093E-17 -1.094E-11  5.541E-09  7.760E-10  2.455E-18  3.129E-19  1.00E-07
  1.250E-04 3.13093E-17 -1.367E-11  5.541E-09  7.760E-10  3.069E-18  3.911E-19  1.00E-07
  1.500E-04 3.13093E-17 -1.641E-11  5.541E-09  7.760E-10  3.682E-18  4.693E-19  1.00E-07
  1.750E-04 3.13093E-17 -1.914E-11  5.541E-09  7.760E-10  4.296E-18  5.475E-19  1.00E-07
  2.000E-04 3.13093E-17 -2.187E-11  5.541E-09  7.760E-10  4.910E-18  6.258E-19  1.00E-07
  2.250E-04 3.13093E-17 -2.461E-11  5.541E-09  7.760E-10  5.524E-18  7.040E-19  1.00E-07
  2.500E-04 3.13093E-17 -2.734E-11  5.541E-09  7.760E-10  6.137E-18  7.822E-19  1.00E-07
  2.750E-04 3.13093E-17 -3.008E-11  5.541E-09  7.760E-10  6.751E-18  8.604E-19  1.00E-07
  3.000E-04 3.13093E-17 -3.281E-11  5.541E-09  7.760E-10  7.365E-18  9.386E-19  1.00E-07
  3.250E-04 3.13093E-17 -3.555E-11  5.541E-09  7.760E-10  7.979E-18  1.017E-18  1.00E-07
  3.500E-04 3.13093E-17 -3.828E-11  5.541E-09  7.760E-10  8.592E-18  1.095E-18  1.00E-07
  3.750E-04 3.13093E-17 -4.102E-11  5.541E-09  7.760E-10  9.206E-18  1.173E-18  1.00E-07
  4.000E-04 3.13093E-17 -4.375E-11  5.541E-09  7.760E-10  9.820E-18  1.252E-18  1.00E-07
  4.250E-04 3.13093E-17 -4.648E-11  5.541E-09  7.760E-10  1.043E-17  1.330E-18  1.00E-07
  4.500E-04 3.13093E-17 -4.922E-11  5.541E-09  7.760E-10  1.105E-17  1.408E-18  1.00E-07
  4.750E-04 3.13093E-17 -5.195E-11  5.541E-09  7.760E-10  1.166E-17  1.486E-18  1.00E-07
  5.000E-04 3.13093E-17 -5.469E-11  5.541E-09  7.760E-10  1.227E-17  1.564E-18  1.00E-07
