 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 5.80000E+01 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.16521E-09  1.91438E-09  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  6.16521E-09  1.91438E-09  7.09943E-19  1.63635E-19
  1.250E-04  1.18994E-12  6.16521E-09  1.91438E-09  8.87429E-19  2.04543E-19
  1.500E-04  1.71346E-12  6.16521E-09  1.91438E-09  1.06492E-18  2.45452E-19
  1.750E-04  2.33225E-12  6.16521E-09  1.91438E-09  1.24240E-18  2.86361E-19
  2.000E-04  3.04617E-12  6.16521E-09  1.91438E-09  1.41989E-18  3.27269E-19
  2.250E-04  3.85530E-12  6.16521E-09  1.91438E-09  1.59737E-18  3.68178E-19
  2.500E-04  4.75964E-12  6.16521E-09  1.91438E-09  1.77486E-18  4.09087E-19
  2.750E-04  5.75917E-12  6.16521E-09  1.91438E-09  1.95234E-18  4.49995E-19
  3.000E-04  6.85391E-12  6.16521E-09  1.91438E-09  2.12983E-18  4.90904E-19
  3.250E-04  8.04379E-12  6.16521E-09  1.91438E-09  2.30732E-18  5.31813E-19
  3.500E-04  9.32893E-12  6.16521E-09  1.91438E-09  2.48480E-18  5.72721E-19
  3.750E-04  1.07092E-11  6.16521E-09  1.91438E-09  2.66229E-18  6.13630E-19
  4.000E-04  1.21847E-11  6.16521E-09  1.91438E-09  2.83977E-18  6.54539E-19
  4.250E-04  1.37554E-11  6.16521E-09  1.91438E-09  3.01726E-18  6.95447E-19
  4.500E-04  1.54213E-11  6.16521E-09  1.91438E-09  3.19475E-18  7.36356E-19
  4.750E-04  1.71823E-11  6.16521E-09  1.91438E-09  3.37223E-18  7.77265E-19
  5.000E-04  1.90386E-11  6.16521E-09  1.91438E-09  3.54972E-18  8.18173E-19
  5.250E-04  2.09900E-11  6.16521E-09  1.91438E-09  3.72720E-18  8.59082E-19
  5.500E-04  2.30367E-11  6.16521E-09  1.91438E-09  3.90469E-18  8.99991E-19
  5.750E-04  2.51785E-11  6.16521E-09  1.91438E-09  4.08217E-18  9.40899E-19
  6.000E-04  2.74156E-11  6.16521E-09  1.91438E-09  4.25966E-18  9.81808E-19
  6.250E-04  2.97478E-11  6.16521E-09  1.91438E-09  4.43715E-18  1.02272E-18
  6.500E-04  3.21752E-11  6.16521E-09  1.91438E-09  4.61463E-18  1.06363E-18
  6.750E-04  3.46979E-11  6.16521E-09  1.91438E-09  4.79212E-18  1.10453E-18
  7.000E-04  3.73157E-11  6.16521E-09  1.91438E-09  4.96960E-18  1.14544E-18
  7.250E-04  4.00286E-11  6.16521E-09  1.91438E-09  5.14709E-18  1.18635E-18
  7.500E-04  4.28368E-11  6.16521E-09  1.91438E-09  5.32458E-18  1.22726E-18
  7.750E-04  4.57402E-11  6.16521E-09  1.91438E-09  5.50206E-18  1.26817E-18
  8.000E-04  4.87388E-11  6.16521E-09  1.91438E-09  5.67955E-18  1.30908E-18
  8.250E-04  5.18325E-11  6.16521E-09  1.91438E-09  5.85703E-18  1.34999E-18
  8.500E-04  5.50215E-11  6.16521E-09  1.91438E-09  6.03452E-18  1.39089E-18
  8.750E-04  5.83057E-11  6.16521E-09  1.91438E-09  6.21200E-18  1.43180E-18
  9.000E-04  6.16850E-11  6.16521E-09  1.91438E-09  6.38949E-18  1.47271E-18
  9.250E-04  6.51595E-11  6.16521E-09  1.91438E-09  6.56698E-18  1.51362E-18
  9.500E-04  6.87293E-11  6.16521E-09  1.91438E-09  6.74446E-18  1.55453E-18
  9.750E-04  7.23943E-11  6.16521E-09  1.91438E-09  6.92195E-18  1.59544E-18
  1.000E-03  7.61544E-11  6.16521E-09  1.91438E-09  7.09943E-18  1.63635E-18
  1.250E-03  1.18991E-10  6.16521E-09  1.91438E-09  8.87429E-18  2.04543E-18
  1.500E-03  1.71347E-10  6.16521E-09  1.91438E-09  1.06492E-17  2.45452E-18
