

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.18000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -1.24219805E-01      0.00000000E+00
       1     -1.52820189E+00     -1.52616492E+00
       2      7.89292750E-01      7.89720325E-01
       3      3.88206550E-01      3.88358282E-01
       4      1.95329762E-01      1.95395465E-01
       5      1.00823240E-01      1.00854440E-01
       6      5.31708038E-02      5.31864180E-02
       7      2.85184868E-02      2.85265660E-02
       8      1.55009272E-02      1.55052043E-02
       9      8.51545708E-03      8.51775929E-03
      10      4.71859208E-03      4.71984716E-03
      11      2.63334983E-03      2.63404099E-03
      12      1.47833997E-03      1.47872371E-03
      13      8.34043394E-04      8.34257891E-04
      14      4.72504621E-04      4.72625194E-04
      15      2.68621002E-04      2.68689099E-04
      16      1.53162014E-04      1.53200626E-04
      17      8.75465198E-05      8.75684866E-05
      18      5.01458721E-05      5.01584046E-05
      19      2.87739012E-05      2.87810682E-05
      20      1.65352587E-05      1.65393656E-05
      21      9.51420243E-06      9.51655976E-06
      22      5.48023737E-06      5.48159242E-06
      23      3.15952480E-06      3.16030466E-06
      24      1.82297457E-06      1.82342387E-06
      25      1.05251027E-06      1.05276934E-06
      26      6.08019063E-07      6.08168555E-07
      27      3.51413073E-07      3.51499395E-07
      28      2.03188387E-07      2.03238256E-07
      29      1.17526248E-07      1.17555078E-07
      30      6.79992568E-08      6.80159295E-08
      31      3.93540160E-08      3.93636586E-08
      32      2.27810846E-08      2.27866649E-08
      33      1.31900447E-08      1.31932720E-08
      34      7.63820174E-09      7.64007321E-09
      35      4.42386245E-09      4.42494129E-09
      36      2.56254814E-09      2.56317666E-09
      37      1.48452124E-09      1.48488188E-09
      38      8.60049078E-10      8.60256955E-10
      39      4.98303401E-10      4.98423384E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.38115E-16  0.000E+00  1.231E-08  9.305E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.38115E-16  3.877E-10  1.231E-08  9.305E-09  1.579E-18  4.943E-18  1.00E-07
  1.250E-04 2.38115E-16  4.846E-10  1.231E-08  9.305E-09  1.974E-18  6.179E-18  1.00E-07
  1.500E-04 2.38115E-16  5.815E-10  1.231E-08  9.305E-09  2.368E-18  7.414E-18  1.00E-07
  1.750E-04 2.38115E-16  6.784E-10  1.231E-08  9.305E-09  2.763E-18  8.650E-18  1.00E-07
  2.000E-04 2.38115E-16  7.754E-10  1.231E-08  9.305E-09  3.158E-18  9.886E-18  1.00E-07
  2.250E-04 2.38115E-16  8.723E-10  1.231E-08  9.305E-09  3.553E-18  1.112E-17  1.00E-07
  2.500E-04 2.38115E-16  9.692E-10  1.231E-08  9.305E-09  3.947E-18  1.236E-17  1.00E-07
  2.750E-04 2.38115E-16  1.066E-09  1.231E-08  9.305E-09  4.342E-18  1.359E-17  1.00E-07
  3.000E-04 2.38115E-16  1.163E-09  1.231E-08  9.305E-09  4.737E-18  1.483E-17  1.00E-07
  3.250E-04 2.38115E-16  1.260E-09  1.231E-08  9.305E-09  5.132E-18  1.606E-17  1.00E-07
  3.500E-04 2.38115E-16  1.357E-09  1.231E-08  9.305E-09  5.526E-18  1.730E-17  1.00E-07
  3.750E-04 2.38115E-16  1.454E-09  1.231E-08  9.305E-09  5.921E-18  1.854E-17  1.00E-07
  4.000E-04 2.38115E-16  1.551E-09  1.231E-08  9.305E-09  6.316E-18  1.977E-17  1.00E-07
  4.250E-04 2.38115E-16  1.648E-09  1.231E-08  9.305E-09  6.711E-18  2.101E-17  1.00E-07
  4.500E-04 2.38115E-16  1.745E-09  1.231E-08  9.305E-09  7.105E-18  2.224E-17  1.00E-07
  4.750E-04 2.38115E-16  1.841E-09  1.231E-08  9.305E-09  7.500E-18  2.348E-17  1.00E-07
  5.000E-04 2.38115E-16  1.938E-09  1.231E-08  9.305E-09  7.895E-18  2.471E-17  1.00E-07
  5.250E-04 2.38115E-16  2.035E-09  1.231E-08  9.305E-09  8.290E-18  2.595E-17  1.00E-07
  5.500E-04 2.38115E-16  2.132E-09  1.231E-08  9.305E-09  8.684E-18  2.719E-17  1.00E-07
  5.750E-04 2.38115E-16  2.229E-09  1.231E-08  9.305E-09  9.079E-18  2.842E-17  1.00E-07
  6.000E-04 2.38115E-16  2.326E-09  1.231E-08  9.305E-09  9.474E-18  2.966E-17  1.00E-07
  6.250E-04 2.38115E-16  2.423E-09  1.231E-08  9.305E-09  9.869E-18  3.089E-17  1.00E-07
  6.500E-04 2.38115E-16  2.520E-09  1.231E-08  9.305E-09  1.026E-17  3.213E-17  1.00E-07
