    
 E (eV)=   236.000000000000     
       0     -6.52297259E-01      0.00000000E+00
       1      1.33416510E+00      1.33532955E+00
       2      7.58563253E-01      7.58860515E-01
       3      4.56526528E-01      4.56660043E-01
       4      2.78887923E-01      2.78960507E-01
       5      1.71462150E-01      1.71504203E-01
       6      1.06035935E-01      1.06060998E-01
       7      6.59612711E-02      6.59764647E-02
       8      4.12608784E-02      4.12702006E-02
       9      2.59412824E-02      2.59470548E-02
      10      1.63844101E-02      1.63880106E-02
      11      1.03910381E-02      1.03932973E-02
      12      6.61459355E-03      6.61601841E-03
      13      4.22486802E-03      4.22577064E-03
      14      2.70680028E-03      2.70737431E-03
      15      1.73905413E-03      1.73942047E-03
      16      1.12014638E-03      1.12038091E-03
      17      7.23169898E-04      7.23320480E-04
      18      4.67859760E-04      4.67956694E-04
      19      3.03258422E-04      3.03320970E-04
      20      1.96901784E-04      1.96942230E-04
      21      1.28041097E-04      1.28067303E-04
      22      8.33759739E-05      8.33929826E-05
      23      5.43573760E-05      5.43684328E-05
      24      3.54765685E-05      3.54837662E-05
      25      2.31758117E-05      2.31805031E-05
      26      1.51526344E-05      1.51556956E-05
      27      9.91415035E-06      9.91614979E-06
      28      6.49076386E-06      6.49207092E-06
      29      4.25179196E-06      4.25264704E-06
      30      2.78644767E-06      2.78700742E-06
      31      1.82684984E-06      1.82721647E-06
      32      1.19812323E-06      1.19836349E-06
      33      7.86001517E-07      7.86159026E-07
      34      5.15760292E-07      5.15863588E-07
      35      3.38498432E-07      3.38566201E-07
      36      2.22194603E-07      2.22239068E-07
      37      1.45869512E-07      1.45898695E-07
      38      9.57716847E-08      9.57908421E-08
      39      6.28839784E-08      6.28965526E-08
      40      4.12918578E-08      4.13001162E-08
      41      2.71145597E-08      2.71199834E-08
      42      1.78051710E-08      1.78087244E-08
      43      1.16919553E-08      1.16942929E-08
      44      7.67754565E-09      7.67908170E-09
      45      5.04138979E-09      5.04239997E-09
      46      3.31023648E-09      3.31090058E-09
      47      2.17340059E-09      2.17382913E-09
      48      1.42693098E-09      1.42721173E-09
      49      9.36816366E-10      9.37006803E-10
      50      6.15015852E-10      6.15137928E-10

  TOTAL ELASTIC CROSS SECTION = 1.662430E-16 cm**2
               FROM DCS TABLE = 1.662394E-16  (REL. DIF. = 2.19E-05)

  1ST TRANSPORT CROSS SECTION = 3.900821E-17 cm**2
               FROM DCS TABLE = 3.900817E-17  (REL. DIF. = 9.00E-07)

  2ND TRANSPORT CROSS SECTION = 6.222739E-17 cm**2
