 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.90000E+02 eV = 6.98237E+00 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.68589E-16 cm**2 = 6.02042E+00 a0**2
 # 1st transport cross section = 7.17133E-17 cm**2 = 2.56093E+00 a0**2
 # 2nd transport cross section = 8.43048E-17 cm**2 = 3.01058E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.31989E-16  8.28447E+00  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  2.31989E-16  8.28447E+00  3.77671E-10  1.0E-07
  1.250E-04  1.18994E-12  2.31989E-16  8.28447E+00  4.72089E-10  1.0E-07
  1.500E-04  1.71346E-12  2.31989E-16  8.28447E+00  5.66507E-10  1.0E-07
  1.750E-04  2.33225E-12  2.31989E-16  8.28447E+00  6.60925E-10  1.0E-07
  2.000E-04  3.04617E-12  2.31989E-16  8.28447E+00  7.55342E-10  1.0E-07
  2.250E-04  3.85530E-12  2.31989E-16  8.28447E+00  8.49760E-10  1.0E-07
  2.500E-04  4.75964E-12  2.31989E-16  8.28447E+00  9.44178E-10  1.0E-07
  2.750E-04  5.75917E-12  2.31989E-16  8.28447E+00  1.03860E-09  1.0E-07
  3.000E-04  6.85391E-12  2.31989E-16  8.28447E+00  1.13301E-09  1.0E-07
  3.250E-04  8.04379E-12  2.31989E-16  8.28447E+00  1.22743E-09  1.0E-07
  3.500E-04  9.32893E-12  2.31989E-16  8.28447E+00  1.32185E-09  1.0E-07
  3.750E-04  1.07092E-11  2.31989E-16  8.28447E+00  1.41627E-09  1.0E-07
  4.000E-04  1.21847E-11  2.31989E-16  8.28447E+00  1.51068E-09  1.0E-07
  4.250E-04  1.37554E-11  2.31989E-16  8.28447E+00  1.60510E-09  1.0E-07
  4.500E-04  1.54213E-11  2.31989E-16  8.28447E+00  1.69952E-09  1.0E-07
  4.750E-04  1.71823E-11  2.31989E-16  8.28447E+00  1.79394E-09  1.0E-07
  5.000E-04  1.90386E-11  2.31989E-16  8.28447E+00  1.88836E-09  1.0E-07
  5.250E-04  2.09900E-11  2.31989E-16  8.28447E+00  1.98277E-09  1.0E-07
  5.500E-04  2.30367E-11  2.31989E-16  8.28447E+00  2.07719E-09  1.0E-07
  5.750E-04  2.51785E-11  2.31989E-16  8.28447E+00  2.17161E-09  1.0E-07
  6.000E-04  2.74156E-11  2.31989E-16  8.28447E+00  2.26603E-09  1.0E-07
  6.250E-04  2.97478E-11  2.31989E-16  8.28447E+00  2.36045E-09  1.0E-07
  6.500E-04  3.21752E-11  2.31989E-16  8.28447E+00  2.45486E-09  1.0E-07
  6.750E-04  3.46979E-11  2.31989E-16  8.28447E+00  2.54928E-09  1.0E-07
  7.000E-04  3.73157E-11  2.31989E-16  8.28447E+00  2.64370E-09  1.0E-07
  7.250E-04  4.00286E-11  2.31989E-16  8.28447E+00  2.73812E-09  1.0E-07
  7.500E-04  4.28368E-11  2.31989E-16  8.28447E+00  2.83253E-09  1.0E-07
  7.750E-04  4.57402E-11  2.31989E-16  8.28447E+00  2.92695E-09  1.0E-07
  8.000E-04  4.87388E-11  2.31989E-16  8.28447E+00  3.02137E-09  1.0E-07
  8.250E-04  5.18325E-11  2.31989E-16  8.28447E+00  3.11579E-09  1.0E-07
  8.500E-04  5.50215E-11  2.31989E-16  8.28447E+00  3.21021E-09  1.0E-07
  8.750E-04  5.83057E-11  2.31989E-16  8.28447E+00  3.30462E-09  1.0E-07
  9.000E-04  6.16850E-11  2.31989E-16  8.28447E+00  3.39904E-09  1.0E-07
  9.250E-04  6.51595E-11  2.31989E-16  8.28447E+00  3.49346E-09  1.0E-07
  9.500E-04  6.87293E-11  2.31989E-16  8.28447E+00  3.58788E-09  1.0E-07
  9.750E-04  7.23943E-11  2.31989E-16  8.28447E+00  3.68229E-09  1.0E-07
  1.000E-03  7.61544E-11  2.31989E-16  8.28447E+00  3.77671E-09  1.0E-07
  1.250E-03  1.18991E-10  2.31989E-16  8.28447E+00  4.72089E-09  1.0E-07
  1.500E-03  1.71347E-10  2.31989E-16  8.28447E+00  5.66507E-09  1.0E-07
  1.750E-03  2.33223E-10  2.31989E-16  8.28447E+00  6.60925E-09  1.0E-07
  2.000E-03  3.04617E-10  2.31989E-16  8.28447E+00  7.55342E-09  1.0E-07
  2.250E-03  3.85531E-10  2.31989E-16  8.28447E+00  8.49760E-09  1.0E-07
  2.500E-03  4.75965E-10  2.31989E-16  8.28447E+00  9.44178E-09  1.0E-07
  2.750E-03  5.75917E-10  2.31989E-16  8.28447E+00  1.03860E-08  1.0E-07
