

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.20000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -1.30429030E-01      0.00000000E+00
       1     -1.53072394E+00     -1.52868523E+00
       2      7.90177137E-01      7.90606793E-01
       3      3.89906202E-01      3.90059286E-01
       4      1.96763249E-01      1.96829755E-01
       5      1.01833212E-01      1.01864879E-01
       6      5.38374303E-02      5.38533181E-02
       7      2.89455339E-02      2.89537742E-02
       8      1.57701332E-02      1.57745056E-02
       9      8.68352278E-03      8.68588173E-03
      10      4.82285003E-03      4.82413897E-03
      11      2.69773748E-03      2.69844889E-03
      12      1.51797310E-03      1.51836898E-03
      13      8.58375900E-04      8.58597687E-04
      14      4.87411423E-04      4.87536377E-04
      15      2.77736426E-04      2.77807157E-04
      16      1.58726757E-04      1.58766955E-04
      17      9.09384186E-05      9.09613402E-05
      18      5.22103356E-05      5.22234429E-05
      19      3.00286740E-05      3.00361871E-05
      20      1.72968784E-05      1.73011936E-05
      21      9.97588675E-06      9.97836944E-06
      22      5.75975127E-06      5.76118172E-06
      23      3.32854170E-06      3.32936689E-06
      24      1.92505495E-06      1.92553149E-06
      25      1.11409272E-06      1.11436815E-06
      26      6.45129150E-07      6.45288461E-07
      27      3.73752106E-07      3.73844317E-07
      28      2.16621945E-07      2.16675346E-07
      29      1.25596574E-07      1.25627513E-07
      30      7.28429879E-08      7.28609183E-08
      31      4.22585210E-08      4.22689225E-08
      32      2.45212404E-08      2.45272706E-08
      33      1.42317060E-08      1.42352082E-08
      34      8.26129349E-09      8.26331899E-09
      35      4.79625993E-09      4.79743944E-09
      36      2.78496115E-09      2.78563989E-09
      37      1.61727021E-09      1.61766225E-09
      38      9.39220205E-10      9.39450404E-10
      39      5.45482403E-10      5.45614942E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.38537E-16  0.000E+00  1.234E-08  9.293E-09  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 2.38537E-16  3.882E-10  1.234E-08  9.293E-09  1.651E-18  4.997E-18  1.00E-07
  1.250E-04 2.38537E-16  4.852E-10  1.234E-08  9.293E-09  2.064E-18  6.246E-18  1.00E-07
  1.500E-04 2.38537E-16  5.823E-10  1.234E-08  9.293E-09  2.476E-18  7.495E-18  1.00E-07
  1.750E-04 2.38537E-16  6.793E-10  1.234E-08  9.293E-09  2.889E-18  8.744E-18  1.00E-07
  2.000E-04 2.38537E-16  7.763E-10  1.234E-08  9.293E-09  3.302E-18  9.993E-18  1.00E-07
  2.250E-04 2.38537E-16  8.734E-10  1.234E-08  9.293E-09  3.714E-18  1.124E-17  1.00E-07
  2.500E-04 2.38537E-16  9.704E-10  1.234E-08  9.293E-09  4.127E-18  1.249E-17  1.00E-07
  2.750E-04 2.38537E-16  1.067E-09  1.234E-08  9.293E-09  4.540E-18  1.374E-17  1.00E-07
  3.000E-04 2.38537E-16  1.165E-09  1.234E-08  9.293E-09  4.952E-18  1.499E-17  1.00E-07
  3.250E-04 2.38537E-16  1.262E-09  1.234E-08  9.293E-09  5.365E-18  1.624E-17  1.00E-07
  3.500E-04 2.38537E-16  1.359E-09  1.234E-08  9.293E-09  5.778E-18  1.749E-17  1.00E-07
  3.750E-04 2.38537E-16  1.456E-09  1.234E-08  9.293E-09  6.191E-18  1.874E-17  1.00E-07
  4.000E-04 2.38537E-16  1.553E-09  1.234E-08  9.293E-09  6.603E-18  1.999E-17  1.00E-07
  4.250E-04 2.38537E-16  1.650E-09  1.234E-08  9.293E-09  7.016E-18  2.124E-17  1.00E-07
  4.500E-04 2.38537E-16  1.747E-09  1.234E-08  9.293E-09  7.429E-18  2.249E-17  1.00E-07
  4.750E-04 2.38537E-16  1.844E-09  1.234E-08  9.293E-09  7.841E-18  2.373E-17  1.00E-07
  5.000E-04 2.38537E-16  1.941E-09  1.234E-08  9.293E-09  8.254E-18  2.498E-17  1.00E-07
  5.250E-04 2.38537E-16  2.038E-09  1.234E-08  9.293E-09  8.667E-18  2.623E-17  1.00E-07
  5.500E-04 2.38537E-16  2.135E-09  1.234E-08  9.293E-09  9.079E-18  2.748E-17  1.00E-07
  5.750E-04 2.38537E-16  2.232E-09  1.234E-08  9.293E-09  9.492E-18  2.873E-17  1.00E-07
  6.000E-04 2.38537E-16  2.329E-09  1.234E-08  9.293E-09  9.905E-18  2.998E-17  1.00E-07
  6.250E-04 2.38537E-16  2.426E-09  1.234E-08  9.293E-09  1.032E-17  3.123E-17  1.00E-07
