 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 2.82000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.88491E-08  1.00571E-08  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  1.88491E-08  1.00571E-08  8.68713E-18  7.07567E-18
  1.250E-04  1.18994E-12  1.88491E-08  1.00571E-08  1.08589E-17  8.84459E-18
  1.500E-04  1.71346E-12  1.88491E-08  1.00571E-08  1.30307E-17  1.06135E-17
  1.750E-04  2.33225E-12  1.88491E-08  1.00571E-08  1.52025E-17  1.23824E-17
  2.000E-04  3.04617E-12  1.88491E-08  1.00571E-08  1.73743E-17  1.41513E-17
  2.250E-04  3.85530E-12  1.88491E-08  1.00571E-08  1.95460E-17  1.59203E-17
  2.500E-04  4.75964E-12  1.88491E-08  1.00571E-08  2.17178E-17  1.76892E-17
  2.750E-04  5.75917E-12  1.88491E-08  1.00571E-08  2.38896E-17  1.94581E-17
  3.000E-04  6.85391E-12  1.88491E-08  1.00571E-08  2.60614E-17  2.12270E-17
  3.250E-04  8.04379E-12  1.88491E-08  1.00571E-08  2.82332E-17  2.29959E-17
  3.500E-04  9.32893E-12  1.88491E-08  1.00571E-08  3.04050E-17  2.47649E-17
  3.750E-04  1.07092E-11  1.88491E-08  1.00571E-08  3.25767E-17  2.65338E-17
  4.000E-04  1.21847E-11  1.88491E-08  1.00571E-08  3.47485E-17  2.83027E-17
  4.250E-04  1.37554E-11  1.88491E-08  1.00571E-08  3.69203E-17  3.00716E-17
  4.500E-04  1.54213E-11  1.88491E-08  1.00571E-08  3.90921E-17  3.18405E-17
  4.750E-04  1.71823E-11  1.88491E-08  1.00571E-08  4.12639E-17  3.36094E-17
  5.000E-04  1.90386E-11  1.88491E-08  1.00571E-08  4.34357E-17  3.53784E-17
  5.250E-04  2.09900E-11  1.88491E-08  1.00571E-08  4.56074E-17  3.71473E-17
  5.500E-04  2.30367E-11  1.88491E-08  1.00571E-08  4.77792E-17  3.89162E-17
  5.750E-04  2.51785E-11  1.88491E-08  1.00571E-08  4.99510E-17  4.06851E-17
  6.000E-04  2.74156E-11  1.88491E-08  1.00571E-08  5.21228E-17  4.24540E-17
  6.250E-04  2.97478E-11  1.88491E-08  1.00571E-08  5.42946E-17  4.42230E-17
  6.500E-04  3.21752E-11  1.88491E-08  1.00571E-08  5.64664E-17  4.59919E-17
  6.750E-04  3.46979E-11  1.88491E-08  1.00571E-08  5.86381E-17  4.77608E-17
  7.000E-04  3.73157E-11  1.88491E-08  1.00571E-08  6.08099E-17  4.95297E-17
  7.250E-04  4.00286E-11  1.88491E-08  1.00571E-08  6.29817E-17  5.12986E-17
  7.500E-04  4.28368E-11  1.88491E-08  1.00571E-08  6.51535E-17  5.30675E-17
  7.750E-04  4.57402E-11  1.88491E-08  1.00571E-08  6.73253E-17  5.48365E-17
  8.000E-04  4.87388E-11  1.88491E-08  1.00571E-08  6.94971E-17  5.66054E-17
  8.250E-04  5.18325E-11  1.88491E-08  1.00571E-08  7.16688E-17  5.83743E-17
  8.500E-04  5.50215E-11  1.88491E-08  1.00571E-08  7.38406E-17  6.01432E-17
  8.750E-04  5.83057E-11  1.88491E-08  1.00571E-08  7.60124E-17  6.19121E-17
  9.000E-04  6.16850E-11  1.88491E-08  1.00571E-08  7.81842E-17  6.36811E-17
  9.250E-04  6.51595E-11  1.88491E-08  1.00571E-08  8.03560E-17  6.54500E-17
  9.500E-04  6.87293E-11  1.88491E-08  1.00571E-08  8.25278E-17  6.72189E-17
  9.750E-04  7.23943E-11  1.88491E-08  1.00571E-08  8.46995E-17  6.89878E-17
  1.000E-03  7.61544E-11  1.88491E-08  1.00571E-08  8.68713E-17  7.07567E-17
  1.250E-03  1.18991E-10  1.88491E-08  1.00571E-08  1.08589E-16  8.84459E-17
  1.500E-03  1.71347E-10  1.88491E-08  1.00571E-08  1.30307E-16  1.06135E-16
  1.750E-03  2.33223E-10  1.88491E-08  1.00571E-08  1.52025E-16  1.23824E-16
  2.000E-03  3.04617E-10  1.88491E-08  1.00571E-08  1.73743E-16  1.41513E-16
  2.250E-03  3.85531E-10  1.88491E-08  1.00571E-08  1.95460E-16  1.59203E-16
  2.500E-03  4.75965E-10  1.88491E-08  1.00571E-08  2.17178E-16  1.76892E-16
  2.750E-03  5.75917E-10  1.88491E-08  1.00571E-08  2.38896E-16  1.94581E-16
  3.000E-03  6.85389E-10  1.88491E-08  1.00571E-08  2.60614E-16  2.12270E-16
  3.250E-03  8.04380E-10  1.88491E-08  1.00571E-08  2.82332E-16  2.29959E-16
  3.500E-03  9.32891E-10  1.88491E-08  1.00571E-08  3.04050E-16  2.47649E-16
  3.750E-03  1.07092E-09  1.88491E-08  1.00571E-08  3.25767E-16  2.65338E-16
  4.000E-03  1.21847E-09  1.88491E-08  1.00571E-08  3.47485E-16  2.83027E-16
  4.250E-03  1.37554E-09  1.88491E-08  1.00571E-08  3.69203E-16  3.00716E-16
  4.500E-03  1.54213E-09  1.88491E-08  1.00571E-08  3.90921E-16  3.18405E-16
  4.750E-03  1.71823E-09  1.88491E-08  1.00571E-08  4.12639E-16  3.36094E-16
  5.000E-03  1.90386E-09  1.88491E-08  1.00571E-08  4.34357E-16  3.53784E-16
  5.250E-03  2.09900E-09  1.88491E-08  1.00571E-08  4.56074E-16  3.71473E-16
  5.500E-03  2.30367E-09  1.88491E-08  1.00571E-08  4.77792E-16  3.89162E-16
  5.750E-03  2.51785E-09  1.88491E-08  1.00571E-08  4.99510E-16  4.06851E-16
  6.000E-03  2.74156E-09  1.88491E-08  1.00571E-08  5.21228E-16  4.24540E-16
  6.250E-03  2.97478E-09  1.88491E-08  1.00571E-08  5.42946E-16  4.42230E-16
  6.500E-03  3.21752E-09  1.88491E-08  1.00571E-08  5.64664E-16  4.59919E-16
  6.750E-03  3.46978E-09  1.88491E-08  1.00571E-08  5.86381E-16  4.77608E-16
  7.000E-03  3.73156E-09  1.88491E-08  1.00571E-08  6.08099E-16  4.95297E-16
  7.250E-03  4.00286E-09  1.88491E-08  1.00571E-08  6.29817E-16  5.12986E-16
  7.500E-03  4.28368E-09  1.88491E-08  1.00571E-08  6.51535E-16  5.30675E-16
  7.750E-03  4.57402E-09  1.88491E-08  1.00571E-08  6.73253E-16  5.48365E-16
  8.000E-03  4.87388E-09  1.88491E-08  1.00571E-08  6.94970E-16  5.66054E-16
  8.250E-03  5.18326E-09  1.88491E-08  1.00571E-08  7.16688E-16  5.83743E-16
  8.500E-03  5.50215E-09  1.88491E-08  1.00571E-08  7.38406E-16  6.01432E-16
  8.750E-03  5.83057E-09  1.88491E-08  1.00571E-08  7.60124E-16  6.19121E-16
  9.000E-03  6.16850E-09  1.88491E-08  1.00571E-08  7.81842E-16  6.36810E-16
  9.250E-03  6.51596E-09  1.88491E-08  1.00571E-08  8.03560E-16  6.54500E-16
  9.500E-03  6.87293E-09  1.88491E-08  1.00571E-08  8.25277E-16  6.72189E-16
  9.750E-03  7.23942E-09  1.88491E-08  1.00571E-08  8.46995E-16  6.89878E-16
  1.000E-02  7.61544E-09  1.88491E-08  1.00571E-08  8.68713E-16  7.07567E-16
  1.250E-02  1.18991E-08  1.88491E-08  1.00571E-08  1.08589E-15  8.84459E-16
  1.500E-02  1.71347E-08  1.88491E-08  1.00571E-08  1.30307E-15  1.06135E-15
  1.750E-02  2.33223E-08  1.88490E-08  1.00571E-08  1.52025E-15  1.23824E-15
  2.000E-02  3.04617E-08  1.88490E-08  1.00571E-08  1.73742E-15  1.41513E-15
  2.250E-02  3.85531E-08  1.88490E-08  1.00571E-08  1.95460E-15  1.59203E-15
  2.500E-02  4.75965E-08  1.88490E-08  1.00571E-08  2.17178E-15  1.76892E-15
  2.750E-02  5.75917E-08  1.88490E-08  1.00571E-08  2.38895E-15  1.94581E-15
  3.000E-02  6.85389E-08  1.88490E-08  1.00571E-08  2.60613E-15  2.12270E-15
  3.250E-02  8.04380E-08  1.88490E-08  1.00571E-08  2.82331E-15  2.29959E-15
  3.500E-02  9.32891E-08  1.88490E-08  1.00571E-08  3.04048E-15  2.47648E-15
  3.750E-02  1.07092E-07  1.88490E-08  1.00571E-08  3.25766E-15  2.65337E-15
  4.000E-02  1.21847E-07  1.88490E-08  1.00571E-08  3.47483E-15  2.83027E-15
  4.250E-02  1.37554E-07  1.88490E-08  1.00571E-08  3.69201E-15  3.00716E-15
  4.500E-02  1.54213E-07  1.88489E-08  1.00571E-08  3.90918E-15  3.18405E-15
  4.750E-02  1.71823E-07  1.88489E-08  1.00571E-08  4.12635E-15  3.36094E-15
  5.000E-02  1.90386E-07  1.88489E-08  1.00571E-08  4.34353E-15  3.53783E-15
  5.250E-02  2.09900E-07  1.88489E-08  1.00571E-08  4.56070E-15  3.71472E-15
  5.500E-02  2.30367E-07  1.88489E-08  1.00571E-08  4.77787E-15  3.89161E-15
  5.750E-02  2.51785E-07  1.88489E-08  1.00571E-08  4.99504E-15  4.06850E-15
  6.000E-02  2.74156E-07  1.88488E-08  1.00571E-08  5.21221E-15  4.24539E-15
  6.250E-02  2.97478E-07  1.88488E-08  1.00571E-08  5.42938E-15  4.42229E-15
  6.500E-02  3.21752E-07  1.88488E-08  1.00571E-08  5.64655E-15  4.59918E-15
  6.750E-02  3.46978E-07  1.88488E-08  1.00571E-08  5.86372E-15  4.77607E-15
  7.000E-02  3.73156E-07  1.88488E-08  1.00571E-08  6.08089E-15  4.95296E-15
  7.250E-02  4.00286E-07  1.88487E-08  1.00571E-08  6.29805E-15  5.12985E-15
  7.500E-02  4.28368E-07  1.88487E-08  1.00571E-08  6.51522E-15  5.30674E-15
  7.750E-02  4.57402E-07  1.88487E-08  1.00571E-08  6.73238E-15  5.48363E-15
  8.000E-02  4.87388E-07  1.88487E-08  1.00571E-08  6.94955E-15  5.66052E-15
  8.250E-02  5.18325E-07  1.88486E-08  1.00571E-08  7.16671E-15  5.83741E-15
  8.500E-02  5.50215E-07  1.88486E-08  1.00571E-08  7.38387E-15  6.01430E-15
  8.750E-02  5.83057E-07  1.88486E-08  1.00571E-08  7.60103E-15  6.19119E-15
  9.000E-02  6.16850E-07  1.88486E-08  1.00571E-08  7.81819E-15  6.36807E-15
  9.250E-02  6.51596E-07  1.88485E-08  1.00571E-08  8.03535E-15  6.54496E-15
  9.500E-02  6.87293E-07  1.88485E-08  1.00571E-08  8.25251E-15  6.72185E-15
  9.750E-02  7.23942E-07  1.88485E-08  1.00571E-08  8.46966E-15  6.89874E-15
  1.000E-01  7.61543E-07  1.88484E-08  1.00571E-08  8.68682E-15  7.07563E-15
  1.250E-01  1.18991E-06  1.88481E-08  1.00570E-08  1.08583E-14  8.84451E-15
  1.500E-01  1.71347E-06  1.88477E-08  1.00570E-08  1.30296E-14  1.06134E-14
  1.750E-01  2.33223E-06  1.88471E-08  1.00569E-08  1.52008E-14  1.23822E-14
  2.000E-01  3.04617E-06  1.88466E-08  1.00568E-08  1.73718E-14  1.41510E-14
  2.250E-01  3.85531E-06  1.88459E-08  1.00567E-08  1.95425E-14  1.59198E-14
  2.500E-01  4.75964E-06  1.88452E-08  1.00566E-08  2.17129E-14  1.76885E-14
  2.750E-01  5.75916E-06  1.88443E-08  1.00565E-08  2.38831E-14  1.94572E-14
  3.000E-01  6.85388E-06  1.88434E-08  1.00564E-08  2.60530E-14  2.12259E-14
  3.250E-01  8.04378E-06  1.88425E-08  1.00563E-08  2.82225E-14  2.29945E-14
  3.500E-01  9.32888E-06  1.88414E-08  1.00562E-08  3.03916E-14  2.47631E-14
  3.750E-01  1.07092E-05  1.88403E-08  1.00560E-08  3.25603E-14  2.65316E-14
  4.000E-01  1.21846E-05  1.88391E-08  1.00559E-08  3.47285E-14  2.83000E-14
  4.250E-01  1.37553E-05  1.88378E-08  1.00557E-08  3.68963E-14  3.00684E-14
  4.500E-01  1.54212E-05  1.88364E-08  1.00556E-08  3.90636E-14  3.18368E-14
  4.750E-01  1.71822E-05  1.88349E-08  1.00554E-08  4.12304E-14  3.36050E-14
  5.000E-01  1.90385E-05  1.88334E-08  1.00552E-08  4.33966E-14  3.53732E-14
  5.250E-01  2.09899E-05  1.88318E-08  1.00550E-08  4.55623E-14  3.71413E-14
  5.500E-01  2.30365E-05  1.88301E-08  1.00548E-08  4.77273E-14  3.89093E-14
  5.750E-01  2.51783E-05  1.88284E-08  1.00546E-08  4.98917E-14  4.06772E-14
  6.000E-01  2.74153E-05  1.88265E-08  1.00544E-08  5.20554E-14  4.24451E-14
  6.250E-01  2.97475E-05  1.88246E-08  1.00541E-08  5.42184E-14  4.42129E-14
  6.500E-01  3.21749E-05  1.88226E-08  1.00539E-08  5.63806E-14  4.59805E-14
  6.750E-01  3.46974E-05  1.88206E-08  1.00536E-08  5.85421E-14  4.77481E-14
  7.000E-01  3.73152E-05  1.88184E-08  1.00534E-08  6.07029E-14  4.95155E-14
  7.250E-01  4.00281E-05  1.88162E-08  1.00531E-08  6.28628E-14  5.12829E-14
  7.500E-01  4.28362E-05  1.88139E-08  1.00528E-08  6.50218E-14  5.30501E-14
  7.750E-01  4.57395E-05  1.88115E-08  1.00525E-08  6.71800E-14  5.48172E-14
  8.000E-01  4.87380E-05  1.88090E-08  1.00522E-08  6.93373E-14  5.65842E-14
  8.250E-01  5.18317E-05  1.88065E-08  1.00519E-08  7.14937E-14  5.83511E-14
  8.500E-01  5.50205E-05  1.88039E-08  1.00516E-08  7.36490E-14  6.01178E-14
  8.750E-01  5.83045E-05  1.88012E-08  1.00512E-08  7.58034E-14  6.18844E-14
  9.000E-01  6.16838E-05  1.87984E-08  1.00509E-08  7.79568E-14  6.36509E-14
  9.250E-01  6.51582E-05  1.87956E-08  1.00506E-08  8.01091E-14  6.54172E-14
  9.500E-01  6.87277E-05  1.87927E-08  1.00502E-08  8.22604E-14  6.71834E-14
  9.750E-01  7.23925E-05  1.87897E-08  1.00498E-08  8.44105E-14  6.89495E-14
  1.000E+00  7.61524E-05  1.87866E-08  1.00494E-08  8.65596E-14  7.07154E-14
  1.100E+00  9.21439E-05  1.87735E-08  1.00478E-08  9.51437E-14  7.77773E-14
  1.200E+00  1.09658E-04  1.87592E-08  1.00461E-08  1.03707E-13  8.48366E-14
  1.300E+00  1.28695E-04  1.87436E-08  1.00441E-08  1.12249E-13  9.18929E-14
  1.400E+00  1.49255E-04  1.87269E-08  1.00421E-08  1.20766E-13  9.89460E-14
  1.500E+00  1.71338E-04  1.87089E-08  1.00398E-08  1.29258E-13  1.05996E-13
  1.600E+00  1.94942E-04  1.86897E-08  1.00375E-08  1.37722E-13  1.13041E-13
  1.700E+00  2.20070E-04  1.86693E-08  1.00349E-08  1.46156E-13  1.20083E-13
  1.800E+00  2.46720E-04  1.86477E-08  1.00323E-08  1.54559E-13  1.27121E-13
  1.900E+00  2.74892E-04  1.86248E-08  1.00294E-08  1.62929E-13  1.34154E-13
  2.000E+00  3.04586E-04  1.86008E-08  1.00264E-08  1.71265E-13  1.41183E-13
  2.100E+00  3.35803E-04  1.85756E-08  1.00233E-08  1.79564E-13  1.48207E-13
  2.200E+00  3.68542E-04  1.85493E-08  1.00200E-08  1.87825E-13  1.55225E-13
  2.300E+00  4.02802E-04  1.85217E-08  1.00166E-08  1.96047E-13  1.62238E-13
  2.400E+00  4.38585E-04  1.84930E-08  1.00130E-08  2.04227E-13  1.69246E-13
  2.500E+00  4.75889E-04  1.84631E-08  1.00092E-08  2.12363E-13  1.76247E-13
  2.600E+00  5.14715E-04  1.84321E-08  1.00053E-08  2.20455E-13  1.83243E-13
  2.700E+00  5.55063E-04  1.84000E-08  1.00013E-08  2.28501E-13  1.90231E-13
  2.800E+00  5.96931E-04  1.83667E-08  9.99709E-09  2.36499E-13  1.97214E-13
  2.900E+00  6.40321E-04  1.83323E-08  9.99274E-09  2.44447E-13  2.04189E-13
  3.000E+00  6.85233E-04  1.82967E-08  9.98825E-09  2.52344E-13  2.11158E-13
  3.100E+00  7.31665E-04  1.82601E-08  9.98360E-09  2.60188E-13  2.18119E-13
  3.200E+00  7.79618E-04  1.82224E-08  9.97881E-09  2.67979E-13  2.25072E-13
  3.300E+00  8.29092E-04  1.81835E-08  9.97387E-09  2.75713E-13  2.32018E-13
  3.400E+00  8.80086E-04  1.81436E-08  9.96877E-09  2.83391E-13  2.38955E-13
  3.500E+00  9.32601E-04  1.81027E-08  9.96353E-09  2.91010E-13  2.45885E-13
  3.600E+00  9.86636E-04  1.80606E-08  9.95814E-09  2.98569E-13  2.52805E-13
  3.700E+00  1.04219E-03  1.80175E-08  9.95261E-09  3.06067E-13  2.59718E-13
  3.800E+00  1.09927E-03  1.79734E-08  9.94692E-09  3.13502E-13  2.66621E-13
  3.900E+00  1.15786E-03  1.79283E-08  9.94109E-09  3.20873E-13  2.73514E-13
  4.000E+00  1.21797E-03  1.78821E-08  9.93512E-09  3.28179E-13  2.80399E-13
  4.100E+00  1.27961E-03  1.78350E-08  9.92899E-09  3.35418E-13  2.87273E-13
  4.200E+00  1.34276E-03  1.77868E-08  9.92272E-09  3.42589E-13  2.94138E-13
  4.300E+00  1.40743E-03  1.77377E-08  9.91631E-09  3.49691E-13  3.00993E-13
  4.400E+00  1.47362E-03  1.76876E-08  9.90975E-09  3.56723E-13  3.07837E-13
  4.500E+00  1.54133E-03  1.76366E-08  9.90304E-09  3.63683E-13  3.14671E-13
  4.600E+00  1.61056E-03  1.75846E-08  9.89619E-09  3.70570E-13  3.21494E-13
  4.700E+00  1.68131E-03  1.75317E-08  9.88920E-09  3.77384E-13  3.28306E-13
  4.800E+00  1.75357E-03  1.74778E-08  9.88206E-09  3.84122E-13  3.35106E-13
  4.900E+00  1.82735E-03  1.74231E-08  9.87478E-09  3.90785E-13  3.41895E-13
  5.000E+00  1.90265E-03  1.73674E-08  9.86736E-09  3.97370E-13  3.48673E-13
  5.100E+00  1.97947E-03  1.73109E-08  9.85980E-09  4.03877E-13  3.55438E-13
  5.200E+00  2.05780E-03  1.72535E-08  9.85209E-09  4.10306E-13  3.62192E-13
  5.300E+00  2.13765E-03  1.71953E-08  9.84424E-09  4.16654E-13  3.68933E-13
  5.400E+00  2.21902E-03  1.71362E-08  9.83626E-09  4.22921E-13  3.75661E-13
  5.500E+00  2.30190E-03  1.70763E-08  9.82813E-09  4.29106E-13  3.82377E-13
  5.600E+00  2.38630E-03  1.70155E-08  9.81986E-09  4.35209E-13  3.89079E-13
  5.700E+00  2.47222E-03  1.69540E-08  9.81145E-09  4.41228E-13  3.95768E-13
  5.800E+00  2.55965E-03  1.68917E-08  9.80290E-09  4.47163E-13  4.02444E-13
  5.900E+00  2.64859E-03  1.68286E-08  9.79422E-09  4.53012E-13  4.09107E-13
  6.000E+00  2.73905E-03  1.67648E-08  9.78540E-09  4.58776E-13  4.15755E-13
  6.100E+00  2.83103E-03  1.67002E-08  9.77644E-09  4.64453E-13  4.22390E-13
  6.200E+00  2.92452E-03  1.66348E-08  9.76734E-09  4.70043E-13  4.29010E-13
  6.300E+00  3.01952E-03  1.65688E-08  9.75811E-09  4.75544E-13  4.35615E-13
  6.400E+00  3.11604E-03  1.65021E-08  9.74874E-09  4.80957E-13  4.42206E-13
  6.500E+00  3.21407E-03  1.64346E-08  9.73923E-09  4.86281E-13  4.48782E-13
  6.600E+00  3.31362E-03  1.63665E-08  9.72959E-09  4.91515E-13  4.55343E-13
  6.700E+00  3.41468E-03  1.62977E-08  9.71982E-09  4.96658E-13  4.61889E-13
  6.800E+00  3.51725E-03  1.62283E-08  9.70991E-09  5.01710E-13  4.68419E-13
  6.900E+00  3.62133E-03  1.61583E-08  9.69987E-09  5.06672E-13  4.74934E-13
  7.000E+00  3.72692E-03  1.60876E-08  9.68970E-09  5.11541E-13  4.81433E-13
  7.100E+00  3.83403E-03  1.60163E-08  9.67940E-09  5.16318E-13  4.87915E-13
  7.200E+00  3.94265E-03  1.59444E-08  9.66897E-09  5.21002E-13  4.94382E-13
  7.300E+00  4.05278E-03  1.58720E-08  9.65840E-09  5.25593E-13  5.00832E-13
  7.400E+00  4.16442E-03  1.57990E-08  9.64771E-09  5.30090E-13  5.07265E-13
  7.500E+00  4.27757E-03  1.57254E-08  9.63688E-09  5.34494E-13  5.13681E-13
  7.600E+00  4.39223E-03  1.56513E-08  9.62593E-09  5.38804E-13  5.20081E-13
  7.700E+00  4.50840E-03  1.55767E-08  9.61485E-09  5.43019E-13  5.26463E-13
  7.800E+00  4.62608E-03  1.55016E-08  9.60364E-09  5.47140E-13  5.32828E-13
  7.900E+00  4.74527E-03  1.54260E-08  9.59231E-09  5.51166E-13  5.39175E-13
  8.000E+00  4.86597E-03  1.53499E-08  9.58085E-09  5.55096E-13  5.45505E-13
  8.100E+00  4.98817E-03  1.52734E-08  9.56926E-09  5.58932E-13  5.51816E-13
  8.200E+00  5.11188E-03  1.51964E-08  9.55755E-09  5.62672E-13  5.58110E-13
  8.300E+00  5.23711E-03  1.51189E-08  9.54571E-09  5.66317E-13  5.64385E-13
  8.400E+00  5.36383E-03  1.50411E-08  9.53375E-09  5.69866E-13  5.70642E-13
  8.500E+00  5.49207E-03  1.49628E-08  9.52167E-09  5.73320E-13  5.76880E-13
  8.600E+00  5.62181E-03  1.48841E-08  9.50947E-09  5.76678E-13  5.83099E-13
  8.700E+00  5.75306E-03  1.48051E-08  9.49714E-09  5.79940E-13  5.89299E-13
  8.800E+00  5.88581E-03  1.47256E-08  9.48470E-09  5.83107E-13  5.95481E-13
  8.900E+00  6.02007E-03  1.46459E-08  9.47213E-09  5.86178E-13  6.01642E-13
