    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  9.250E-04 3.15890E-17 -1.038E-10  5.561E-09  8.136E-10  2.103E-17  2.782E-18  1.00E-07
  9.500E-04 3.15890E-17 -1.066E-10  5.561E-09  8.136E-10  2.160E-17  2.858E-18  1.00E-07
  9.750E-04 3.15890E-17 -1.094E-10  5.561E-09  8.136E-10  2.217E-17  2.933E-18  1.00E-07
  1.000E-03 3.15890E-17 -1.122E-10  5.561E-09  8.136E-10  2.274E-17  3.008E-18  1.00E-07
  1.250E-03 3.15890E-17 -1.402E-10  5.561E-09  8.136E-10  2.842E-17  3.760E-18  1.00E-07
  1.500E-03 3.15890E-17 -1.683E-10  5.561E-09  8.136E-10  3.411E-17  4.512E-18  1.00E-07
  1.750E-03 3.15890E-17 -1.963E-10  5.561E-09  8.136E-10  3.979E-17  5.264E-18  1.00E-07
  2.000E-03 3.15890E-17 -2.244E-10  5.561E-09  8.136E-10  4.548E-17  6.016E-18  1.00E-07
  2.250E-03 3.15890E-17 -2.524E-10  5.561E-09  8.136E-10  5.116E-17  6.768E-18  1.00E-07
  2.500E-03 3.15890E-17 -2.805E-10  5.561E-09  8.136E-10  5.685E-17  7.520E-18  1.00E-07
  2.750E-03 3.15890E-17 -3.085E-10  5.561E-09  8.136E-10  6.253E-17  8.272E-18  1.00E-07
  3.000E-03 3.15890E-17 -3.366E-10  5.561E-09  8.136E-10  6.821E-17  9.024E-18  1.00E-07
  3.250E-03 3.15890E-17 -3.646E-10  5.561E-09  8.136E-10  7.390E-17  9.776E-18  1.00E-07
  3.500E-03 3.15890E-17 -3.927E-10  5.561E-09  8.136E-10  7.958E-17  1.053E-17  1.00E-07
  3.750E-03 3.15890E-17 -4.207E-10  5.561E-09  8.136E-10  8.527E-17  1.128E-17  1.00E-07
  4.000E-03 3.15890E-17 -4.488E-10  5.561E-09  8.136E-10  9.095E-17  1.203E-17  1.00E-07
  4.250E-03 3.15890E-17 -4.768E-10  5.561E-09  8.136E-10  9.664E-17  1.278E-17  1.00E-07
  4.500E-03 3.15890E-17 -5.049E-10  5.561E-09  8.136E-10  1.023E-16  1.354E-17  1.00E-07
  4.750E-03 3.15890E-17 -5.329E-10  5.561E-09  8.136E-10  1.080E-16  1.429E-17  1.00E-07
  5.000E-03 3.15890E-17 -5.610E-10  5.561E-09  8.136E-10  1.137E-16  1.504E-17  1.00E-07
  5.250E-03 3.15890E-17 -5.890E-10  5.561E-09  8.136E-10  1.194E-16  1.579E-17  1.00E-07
  5.500E-03 3.15890E-17 -6.171E-10  5.561E-09  8.136E-10  1.251E-16  1.654E-17  1.00E-07
  5.750E-03 3.15890E-17 -6.451E-10  5.561E-09  8.136E-10  1.307E-16  1.730E-17  1.00E-07
  6.000E-03 3.15890E-17 -6.732E-10  5.561E-09  8.136E-10  1.364E-16  1.805E-17  1.00E-07
  6.250E-03 3.15890E-17 -7.012E-10  5.561E-09  8.136E-10  1.421E-16  1.880E-17  1.00E-07
  6.500E-03 3.15890E-17 -7.293E-10  5.561E-09  8.136E-10  1.478E-16  1.955E-17  1.00E-07
  6.750E-03 3.15890E-17 -7.573E-10  5.561E-09  8.136E-10  1.535E-16  2.030E-17  1.00E-07
  7.000E-03 3.15890E-17 -7.854E-10  5.561E-09  8.136E-10  1.592E-16  2.106E-17  1.00E-07
  7.250E-03 3.15890E-17 -8.134E-10  5.561E-09  8.136E-10  1.649E-16  2.181E-17  1.00E-07
  7.500E-03 3.15890E-17 -8.415E-10  5.561E-09  8.136E-10  1.705E-16  2.256E-17  1.00E-07
  7.750E-03 3.15890E-17 -8.695E-10  5.561E-09  8.136E-10  1.762E-16  2.331E-17  1.00E-07
  8.000E-03 3.15890E-17 -8.976E-10  5.561E-09  8.136E-10  1.819E-16  2.406E-17  1.00E-07
  8.250E-03 3.15890E-17 -9.256E-10  5.561E-09  8.136E-10  1.876E-16  2.482E-17  1.00E-07
  8.500E-03 3.15890E-17 -9.537E-10  5.561E-09  8.136E-10  1.933E-16  2.557E-17  1.00E-07
  8.750E-03 3.15890E-17 -9.817E-10  5.561E-09  8.136E-10  1.990E-16  2.632E-17  1.00E-07
  9.000E-03 3.15890E-17 -1.010E-09  5.561E-09  8.136E-10  2.046E-16  2.707E-17  1.00E-07
  9.250E-03 3.15890E-17 -1.038E-09  5.561E-09  8.136E-10  2.103E-16  2.782E-17  1.00E-07
  9.500E-03 3.15890E-17 -1.066E-09  5.561E-09  8.136E-10  2.160E-16  2.858E-17  1.00E-07
  9.750E-03 3.15890E-17 -1.094E-09  5.561E-09  8.136E-10  2.217E-16  2.933E-17  1.00E-07
  1.000E-02 3.15890E-17 -1.122E-09  5.561E-09  8.136E-10  2.274E-16  3.008E-17  1.00E-07
  1.250E-02 3.15890E-17 -1.402E-09  5.561E-09  8.136E-10  2.842E-16  3.760E-17  1.00E-07
  1.500E-02 3.15890E-17 -1.683E-09  5.561E-09  8.136E-10  3.411E-16  4.512E-17  1.00E-07
  1.750E-02 3.15890E-17 -1.963E-09  5.561E-09  8.136E-10  3.979E-16  5.264E-17  1.00E-07
  2.000E-02 3.15890E-17 -2.244E-09  5.561E-09  8.136E-10  4.548E-16  6.016E-17  1.00E-07
  2.250E-02 3.15890E-17 -2.524E-09  5.561E-09  8.136E-10  5.116E-16  6.768E-17  1.00E-07
  2.500E-02 3.15890E-17 -2.805E-09  5.561E-09  8.136E-10  5.685E-16  7.520E-17  1.00E-07
  2.750E-02 3.15889E-17 -3.085E-09  5.561E-09  8.136E-10  6.253E-16  8.272E-17  1.00E-07
  3.000E-02 3.15889E-17 -3.366E-09  5.561E-09  8.136E-10  6.821E-16  9.024E-17  1.00E-07
  3.250E-02 3.15889E-17 -3.646E-09  5.561E-09  8.136E-10  7.390E-16  9.776E-17  1.00E-07
  3.500E-02 3.15889E-17 -3.927E-09  5.561E-09  8.136E-10  7.958E-16  1.053E-16  1.00E-07
  3.750E-02 3.15889E-17 -4.207E-09  5.561E-09  8.136E-10  8.527E-16  1.128E-16  1.00E-07
  4.000E-02 3.15888E-17 -4.488E-09  5.561E-09  8.136E-10  9.095E-16  1.203E-16  1.00E-07
  4.250E-02 3.15888E-17 -4.769E-09  5.561E-09  8.136E-10  9.664E-16  1.278E-16  1.00E-07
  4.500E-02 3.15888E-17 -5.049E-09  5.561E-09  8.136E-10  1.023E-15  1.354E-16  1.00E-07
  4.750E-02 3.15887E-17 -5.330E-09  5.561E-09  8.136E-10  1.080E-15  1.429E-16  1.00E-07
  5.000E-02 3.15887E-17 -5.610E-09  5.561E-09  8.136E-10  1.137E-15  1.504E-16  1.00E-07
  5.250E-02 3.15887E-17 -5.891E-09  5.561E-09  8.136E-10  1.194E-15  1.579E-16  1.00E-07
  5.500E-02 3.15887E-17 -6.171E-09  5.561E-09  8.136E-10  1.251E-15  1.654E-16  1.00E-07
  5.750E-02 3.15886E-17 -6.452E-09  5.561E-09  8.136E-10  1.307E-15  1.730E-16  1.00E-07
  6.000E-02 3.15886E-17 -6.732E-09  5.561E-09  8.136E-10  1.364E-15  1.805E-16  1.00E-07
  6.250E-02 3.15885E-17 -7.013E-09  5.561E-09  8.136E-10  1.421E-15  1.880E-16  1.00E-07
  6.500E-02 3.15885E-17 -7.293E-09  5.561E-09  8.136E-10  1.478E-15  1.955E-16  1.00E-07
  6.750E-02 3.15885E-17 -7.574E-09  5.561E-09  8.136E-10  1.535E-15  2.030E-16  1.00E-07
  7.000E-02 3.15884E-17 -7.854E-09  5.561E-09  8.136E-10  1.592E-15  2.106E-16  1.00E-07
  7.250E-02 3.15884E-17 -8.135E-09  5.561E-09  8.136E-10  1.648E-15  2.181E-16  1.00E-07
  7.500E-02 3.15883E-17 -8.415E-09  5.561E-09  8.136E-10  1.705E-15  2.256E-16  1.00E-07
  7.750E-02 3.15883E-17 -8.696E-09  5.561E-09  8.136E-10  1.762E-15  2.331E-16  1.00E-07
  8.000E-02 3.15882E-17 -8.976E-09  5.561E-09  8.136E-10  1.819E-15  2.406E-16  1.00E-07
  8.250E-02 3.15882E-17 -9.257E-09  5.561E-09  8.136E-10  1.876E-15  2.482E-16  1.00E-07
  8.500E-02 3.15881E-17 -9.537E-09  5.561E-09  8.136E-10  1.933E-15  2.557E-16  1.00E-07
  8.750E-02 3.15881E-17 -9.818E-09  5.561E-09  8.136E-10  1.990E-15  2.632E-16  1.00E-07
  9.000E-02 3.15880E-17 -1.010E-08  5.561E-09  8.136E-10  2.046E-15  2.707E-16  1.00E-07
  9.250E-02 3.15880E-17 -1.038E-08  5.561E-09  8.136E-10  2.103E-15  2.782E-16  1.00E-07
  9.500E-02 3.15879E-17 -1.066E-08  5.561E-09  8.136E-10  2.160E-15  2.858E-16  1.00E-07
  9.750E-02 3.15878E-17 -1.094E-08  5.561E-09  8.136E-10  2.217E-15  2.933E-16  1.00E-07
  1.000E-01 3.15878E-17 -1.122E-08  5.561E-09  8.136E-10  2.274E-15  3.008E-16  1.00E-07
  1.250E-01 3.15871E-17 -1.403E-08  5.561E-09  8.136E-10  2.842E-15  3.760E-16  1.00E-07
  1.500E-01 3.15862E-17 -1.683E-08  5.561E-09  8.136E-10  3.411E-15  4.512E-16  1.00E-07
  1.750E-01 3.15852E-17 -1.964E-08  5.561E-09  8.136E-10  3.979E-15  5.264E-16  1.00E-07
  2.000E-01 3.15841E-17 -2.244E-08  5.561E-09  8.136E-10  4.547E-15  6.016E-16  1.00E-07
  2.250E-01 3.15828E-17 -2.525E-08  5.561E-09  8.136E-10  5.116E-15  6.768E-16  1.00E-07
