 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 2.84000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.51384E-09  7.22265E-10  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  5.51384E-09  7.22265E-10  2.76288E-18  3.32420E-19
  1.250E-04  1.18994E-12  5.51384E-09  7.22265E-10  3.45360E-18  4.15525E-19
  1.500E-04  1.71346E-12  5.51384E-09  7.22265E-10  4.14432E-18  4.98630E-19
  1.750E-04  2.33225E-12  5.51384E-09  7.22265E-10  4.83505E-18  5.81735E-19
  2.000E-04  3.04617E-12  5.51384E-09  7.22265E-10  5.52577E-18  6.64840E-19
  2.250E-04  3.85530E-12  5.51384E-09  7.22265E-10  6.21649E-18  7.47945E-19
  2.500E-04  4.75964E-12  5.51384E-09  7.22265E-10  6.90721E-18  8.31050E-19
  2.750E-04  5.75917E-12  5.51384E-09  7.22265E-10  7.59793E-18  9.14155E-19
  3.000E-04  6.85391E-12  5.51384E-09  7.22265E-10  8.28865E-18  9.97260E-19
  3.250E-04  8.04379E-12  5.51384E-09  7.22265E-10  8.97937E-18  1.08036E-18
  3.500E-04  9.32893E-12  5.51384E-09  7.22265E-10  9.67009E-18  1.16347E-18
  3.750E-04  1.07092E-11  5.51384E-09  7.22265E-10  1.03608E-17  1.24657E-18
  4.000E-04  1.21847E-11  5.51384E-09  7.22265E-10  1.10515E-17  1.32968E-18
  4.250E-04  1.37554E-11  5.51384E-09  7.22265E-10  1.17423E-17  1.41278E-18
  4.500E-04  1.54213E-11  5.51384E-09  7.22265E-10  1.24330E-17  1.49589E-18
  4.750E-04  1.71823E-11  5.51384E-09  7.22265E-10  1.31237E-17  1.57899E-18
  5.000E-04  1.90386E-11  5.51384E-09  7.22265E-10  1.38144E-17  1.66210E-18
  5.250E-04  2.09900E-11  5.51384E-09  7.22265E-10  1.45051E-17  1.74520E-18
  5.500E-04  2.30367E-11  5.51384E-09  7.22265E-10  1.51959E-17  1.82831E-18
  5.750E-04  2.51785E-11  5.51384E-09  7.22265E-10  1.58866E-17  1.91141E-18
  6.000E-04  2.74156E-11  5.51384E-09  7.22265E-10  1.65773E-17  1.99452E-18
  6.250E-04  2.97478E-11  5.51384E-09  7.22265E-10  1.72680E-17  2.07762E-18
  6.500E-04  3.21752E-11  5.51384E-09  7.22265E-10  1.79587E-17  2.16073E-18
  6.750E-04  3.46979E-11  5.51384E-09  7.22265E-10  1.86495E-17  2.24383E-18
  7.000E-04  3.73157E-11  5.51384E-09  7.22265E-10  1.93402E-17  2.32694E-18
  7.250E-04  4.00286E-11  5.51384E-09  7.22265E-10  2.00309E-17  2.41004E-18
  7.500E-04  4.28368E-11  5.51384E-09  7.22265E-10  2.07216E-17  2.49315E-18
  7.750E-04  4.57402E-11  5.51384E-09  7.22265E-10  2.14123E-17  2.57625E-18
  8.000E-04  4.87388E-11  5.51384E-09  7.22265E-10  2.21031E-17  2.65936E-18
  8.250E-04  5.18325E-11  5.51384E-09  7.22265E-10  2.27938E-17  2.74246E-18
  8.500E-04  5.50215E-11  5.51384E-09  7.22265E-10  2.34845E-17  2.82557E-18
  8.750E-04  5.83057E-11  5.51384E-09  7.22265E-10  2.41752E-17  2.90867E-18
  9.000E-04  6.16850E-11  5.51384E-09  7.22265E-10  2.48659E-17  2.99178E-18
  9.250E-04  6.51595E-11  5.51384E-09  7.22265E-10  2.55567E-17  3.07488E-18
  9.500E-04  6.87293E-11  5.51384E-09  7.22265E-10  2.62474E-17  3.15799E-18
  9.750E-04  7.23943E-11  5.51384E-09  7.22265E-10  2.69381E-17  3.24109E-18
  1.000E-03  7.61544E-11  5.51384E-09  7.22265E-10  2.76288E-17  3.32420E-18
  1.250E-03  1.18991E-10  5.51384E-09  7.22265E-10  3.45360E-17  4.15525E-18
  1.500E-03  1.71347E-10  5.51384E-09  7.22265E-10  4.14432E-17  4.98630E-18
