

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 1.24000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      5.94048050E-01      0.00000000E+00
       1      2.68832719E-01      2.68901588E-01
       2      1.35026804E-01      1.35052737E-01
       3      7.02029739E-02      7.02152169E-02
       4      3.70751802E-02      3.70813823E-02
       5      1.97344210E-02      1.97376579E-02
       6      1.05456804E-02      1.05473940E-02
       7      5.64540796E-03      5.64632151E-03
       8      3.02380157E-03      3.02429023E-03
       9      1.61936765E-03      1.61962938E-03
      10      8.66769782E-04      8.66910002E-04
      11      4.63596337E-04      4.63671433E-04
      12      2.47749712E-04      2.47789903E-04
      13      1.32284763E-04      1.32306256E-04
      14      7.05719868E-05      7.05834707E-05
      15      3.76176595E-05      3.76237900E-05
      16      2.00356591E-05      2.00389290E-05
      17      1.06631484E-05      1.06648910E-05
      18      5.67094335E-06      5.67187127E-06
      19      3.01391504E-06      3.01440878E-06
      20      1.60077254E-06      1.60103508E-06
      21      8.49703414E-07      8.49842917E-07
      22      4.50774547E-07      4.50848628E-07
      23      2.39011997E-07      2.39051315E-07
      24      1.26666438E-07      1.26687293E-07
      25      6.70960973E-08      6.71071518E-08
      26      3.55252589E-08      3.55311179E-08
      27      1.88014822E-08      1.88045871E-08
      28      9.94657221E-09      9.94821569E-09
      29      5.26003494E-09      5.26090691E-09
      30      2.78060759E-09      2.78106799E-09
      31      1.46937064E-09      1.46961897E-09
      32      7.76230017E-10      7.76359766E-10
      33      4.09939029E-10      4.10006187E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  3.500E-01 3.45520E-17 -4.732E-08  5.760E-09  1.172E-09  4.592E-15  7.927E-16  1.00E-07
  3.750E-01 3.45507E-17 -5.070E-08  5.760E-09  1.172E-09  4.920E-15  8.493E-16  1.00E-07
  4.000E-01 3.45493E-17 -5.408E-08  5.760E-09  1.172E-09  5.248E-15  9.059E-16  1.00E-07
  4.250E-01 3.45477E-17 -5.746E-08  5.760E-09  1.172E-09  5.576E-15  9.625E-16  1.00E-07
  4.500E-01 3.45461E-17 -6.084E-08  5.760E-09  1.172E-09  5.904E-15  1.019E-15  1.00E-07
  4.750E-01 3.45444E-17 -6.422E-08  5.759E-09  1.172E-09  6.232E-15  1.076E-15  1.00E-07
  5.000E-01 3.45426E-17 -6.761E-08  5.759E-09  1.172E-09  6.559E-15  1.132E-15  1.00E-07
  5.250E-01 3.45407E-17 -7.099E-08  5.759E-09  1.172E-09  6.887E-15  1.189E-15  1.00E-07
  5.500E-01 3.45387E-17 -7.437E-08  5.759E-09  1.172E-09  7.215E-15  1.246E-15  1.00E-07
  5.750E-01 3.45366E-17 -7.775E-08  5.759E-09  1.172E-09  7.543E-15  1.302E-15  1.00E-07
  6.000E-01 3.45345E-17 -8.114E-08  5.759E-09  1.172E-09  7.870E-15  1.359E-15  1.00E-07
  6.250E-01 3.45322E-17 -8.452E-08  5.758E-09  1.172E-09  8.198E-15  1.415E-15  1.00E-07
  6.500E-01 3.45298E-17 -8.790E-08  5.758E-09  1.172E-09  8.526E-15  1.472E-15  1.00E-07
  6.750E-01 3.45274E-17 -9.129E-08  5.758E-09  1.172E-09  8.853E-15  1.529E-15  1.00E-07
  7.000E-01 3.45248E-17 -9.467E-08  5.758E-09  1.172E-09  9.181E-15  1.585E-15  1.00E-07
  7.250E-01 3.45222E-17 -9.806E-08  5.757E-09  1.172E-09  9.508E-15  1.642E-15  1.00E-07
  7.500E-01 3.45195E-17 -1.014E-07  5.757E-09  1.172E-09  9.836E-15  1.698E-15  1.00E-07
  7.750E-01 3.45167E-17 -1.048E-07  5.757E-09  1.172E-09  1.016E-14  1.755E-15  1.00E-07
  8.000E-01 3.45137E-17 -1.082E-07  5.757E-09  1.172E-09  1.049E-14  1.812E-15  1.00E-07
  8.250E-01 3.45107E-17 -1.116E-07  5.756E-09  1.172E-09  1.082E-14  1.868E-15  1.00E-07
  8.500E-01 3.45077E-17 -1.150E-07  5.756E-09  1.172E-09  1.115E-14  1.925E-15  1.00E-07
  8.750E-01 3.45045E-17 -1.184E-07  5.756E-09  1.172E-09  1.147E-14  1.981E-15  1.00E-07
  9.000E-01 3.45012E-17 -1.218E-07  5.756E-09  1.172E-09  1.180E-14  2.038E-15  1.00E-07
  9.250E-01 3.44978E-17 -1.252E-07  5.755E-09  1.172E-09  1.213E-14  2.095E-15  1.00E-07
  9.500E-01 3.44944E-17 -1.285E-07  5.755E-09  1.172E-09  1.245E-14  2.151E-15  1.00E-07
  9.750E-01 3.44908E-17 -1.319E-07  5.755E-09  1.172E-09  1.278E-14  2.208E-15  1.00E-07
  1.000E+00 3.44871E-17 -1.353E-07  5.754E-09  1.172E-09  1.311E-14  2.264E-15  1.00E-07
  1.100E+00 3.44716E-17 -1.489E-07  5.753E-09  1.172E-09  1.442E-14  2.491E-15  1.00E-07
  1.200E+00 3.44547E-17 -1.625E-07  5.752E-09  1.172E-09  1.572E-14  2.717E-15  1.00E-07
  1.300E+00 3.44362E-17 -1.761E-07  5.750E-09  1.172E-09  1.703E-14  2.943E-15  1.00E-07
  1.400E+00 3.44164E-17 -1.897E-07  5.748E-09  1.172E-09  1.833E-14  3.169E-15  1.00E-07
  1.500E+00 3.43950E-17 -2.033E-07  5.746E-09  1.172E-09  1.964E-14  3.395E-15  1.00E-07
  1.600E+00 3.43722E-17 -2.169E-07  5.745E-09  1.172E-09  2.094E-14  3.622E-15  1.00E-07
  1.700E+00 3.43480E-17 -2.306E-07  5.742E-09  1.172E-09  2.224E-14  3.848E-15  1.00E-07
  1.800E+00 3.43223E-17 -2.442E-07  5.740E-09  1.172E-09  2.354E-14  4.074E-15  1.00E-07
  1.900E+00 3.42952E-17 -2.579E-07  5.738E-09  1.171E-09  2.483E-14  4.299E-15  1.00E-07
  2.000E+00 3.42666E-17 -2.716E-07  5.735E-09  1.171E-09  2.613E-14  4.525E-15  1.00E-07
  2.100E+00 3.42366E-17 -2.853E-07  5.733E-09  1.171E-09  2.743E-14  4.751E-15  1.00E-07
  2.200E+00 3.42052E-17 -2.990E-07  5.730E-09  1.171E-09  2.872E-14  4.977E-15  1.00E-07
  2.300E+00 3.41724E-17 -3.128E-07  5.727E-09  1.171E-09  3.001E-14  5.202E-15  1.00E-07
  2.400E+00 3.41381E-17 -3.266E-07  5.724E-09  1.171E-09  3.130E-14  5.428E-15  1.00E-07
  2.500E+00 3.41025E-17 -3.404E-07  5.721E-09  1.171E-09  3.258E-14  5.653E-15  1.00E-07
  2.600E+00 3.40654E-17 -3.542E-07  5.718E-09  1.171E-09  3.387E-14  5.879E-15  1.00E-07
  2.700E+00 3.40270E-17 -3.680E-07  5.715E-09  1.171E-09  3.515E-14  6.104E-15  1.00E-07
  2.800E+00 3.39872E-17 -3.819E-07  5.711E-09  1.170E-09  3.643E-14  6.329E-15  1.00E-07
  2.900E+00 3.39460E-17 -3.958E-07  5.708E-09  1.170E-09  3.771E-14  6.555E-15  1.00E-07
  3.000E+00 3.39034E-17 -4.097E-07  5.704E-09  1.170E-09  3.898E-14  6.780E-15  1.00E-07
  3.100E+00 3.38595E-17 -4.237E-07  5.700E-09  1.170E-09  4.026E-14  7.005E-15  1.00E-07
