

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 2.24000E+02 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0     -6.18644723E-01      0.00000000E+00
       1      1.34694096E+00      1.34809438E+00
       2      7.58139812E-01      7.58429293E-01
       3      4.50797888E-01      4.50926346E-01
       4      2.71884927E-01      2.71953870E-01
       5      1.65068684E-01      1.65108110E-01
       6      1.00854488E-01      1.00877694E-01
       7      6.20095474E-02      6.20234494E-02
       8      3.83506848E-02      3.83591173E-02
       9      2.38447535E-02      2.38499169E-02
      10      1.48961896E-02      1.48993751E-02
      11      9.34555457E-03      9.34753192E-03
      12      5.88568935E-03      5.88692315E-03
      13      3.71956417E-03      3.72033750E-03
      14      2.35802663E-03      2.35851328E-03
      15      1.49913668E-03      1.49944402E-03
      16      9.55552538E-04      9.55747262E-04
      17      6.10495414E-04      6.10619145E-04
      18      3.90864159E-04      3.90942989E-04
      19      2.50722161E-04      2.50772503E-04
      20      1.61100613E-04      1.61132832E-04
      21      1.03671549E-04      1.03692209E-04
      22      6.68045864E-05      6.68178579E-05
      23      4.30992345E-05      4.31077728E-05
      24      2.78347594E-05      2.78402601E-05
      25      1.79930022E-05      1.79965504E-05
      26      1.16403748E-05      1.16426660E-05
      27      7.53583552E-06      7.53731638E-06
      28      4.88152601E-06      4.88248394E-06
      29      3.16375306E-06      3.16437315E-06
      30      2.05134815E-06      2.05174979E-06
      31      1.33056682E-06      1.33082712E-06
      32      8.63313705E-07      8.63482473E-07
      33      5.60289342E-07      5.60398804E-07
      34      3.63703597E-07      3.63774617E-07
      35      2.36133021E-07      2.36179115E-07
      36      1.53329033E-07      1.53358951E-07
      37      9.95718596E-08      9.95912872E-08
      38      6.46668990E-08      6.46795147E-08
      39      4.20000709E-08      4.20082632E-08
      40      2.72792387E-08      2.72845605E-08
      41      1.77181933E-08      1.77216484E-08
      42      1.15081237E-08      1.15103720E-08
      43      7.47456286E-09      7.47601521E-09
      44      4.85462047E-09      4.85556758E-09
      45      3.15283018E-09      3.15344204E-09
      46      2.04749308E-09      2.04789287E-09
      47      1.32963749E-09      1.32989971E-09
      48      8.63430217E-10      8.63599728E-10
      49      5.60624636E-10      5.60736247E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.36782E-16  0.000E+00  1.806E-08  1.051E-08  0.000E+00  0.000E+00  1.00E-07
  1.000E-04 4.36782E-16  2.157E-10  1.806E-08  1.051E-08  6.109E-18  6.164E-18  1.00E-07
  1.250E-04 4.36782E-16  2.697E-10  1.806E-08  1.051E-08  7.636E-18  7.705E-18  1.00E-07
  1.500E-04 4.36782E-16  3.236E-10  1.806E-08  1.051E-08  9.163E-18  9.246E-18  1.00E-07
  1.750E-04 4.36782E-16  3.775E-10  1.806E-08  1.051E-08  1.069E-17  1.079E-17  1.00E-07
  2.000E-04 4.36782E-16  4.314E-10  1.806E-08  1.051E-08  1.222E-17  1.233E-17  1.00E-07
  2.250E-04 4.36782E-16  4.854E-10  1.806E-08  1.051E-08  1.374E-17  1.387E-17  1.00E-07
  2.500E-04 4.36782E-16  5.393E-10  1.806E-08  1.051E-08  1.527E-17  1.541E-17  1.00E-07
  2.750E-04 4.36782E-16  5.932E-10  1.806E-08  1.051E-08  1.680E-17  1.695E-17  1.00E-07
  3.000E-04 4.36782E-16  6.472E-10  1.806E-08  1.051E-08  1.833E-17  1.849E-17  1.00E-07
  3.250E-04 4.36782E-16  7.011E-10  1.806E-08  1.051E-08  1.985E-17  2.003E-17  1.00E-07
  3.500E-04 4.36782E-16  7.550E-10  1.806E-08  1.051E-08  2.138E-17  2.157E-17  1.00E-07
  3.750E-04 4.36782E-16  8.090E-10  1.806E-08  1.051E-08  2.291E-17  2.311E-17  1.00E-07
  4.000E-04 4.36782E-16  8.629E-10  1.806E-08  1.051E-08  2.444E-17  2.466E-17  1.00E-07
  4.250E-04 4.36782E-16  9.168E-10  1.806E-08  1.051E-08  2.596E-17  2.620E-17  1.00E-07
  4.500E-04 4.36782E-16  9.707E-10  1.806E-08  1.051E-08  2.749E-17  2.774E-17  1.00E-07
  4.750E-04 4.36782E-16  1.025E-09  1.806E-08  1.051E-08  2.902E-17  2.928E-17  1.00E-07
  5.000E-04 4.36782E-16  1.079E-09  1.806E-08  1.051E-08  3.054E-17  3.082E-17  1.00E-07
  5.250E-04 4.36782E-16  1.133E-09  1.806E-08  1.051E-08  3.207E-17  3.236E-17  1.00E-07
  5.500E-04 4.36782E-16  1.186E-09  1.806E-08  1.051E-08  3.360E-17  3.390E-17  1.00E-07
  5.750E-04 4.36782E-16  1.240E-09  1.806E-08  1.051E-08  3.513E-17  3.544E-17  1.00E-07
  6.000E-04 4.36782E-16  1.294E-09  1.806E-08  1.051E-08  3.665E-17  3.698E-17  1.00E-07
  6.250E-04 4.36782E-16  1.348E-09  1.806E-08  1.051E-08  3.818E-17  3.852E-17  1.00E-07
  6.500E-04 4.36782E-16  1.402E-09  1.806E-08  1.051E-08  3.971E-17  4.007E-17  1.00E-07
  6.750E-04 4.36782E-16  1.456E-09  1.806E-08  1.051E-08  4.123E-17  4.161E-17  1.00E-07
  7.000E-04 4.36782E-16  1.510E-09  1.806E-08  1.051E-08  4.276E-17  4.315E-17  1.00E-07
  7.250E-04 4.36782E-16  1.564E-09  1.806E-08  1.051E-08  4.429E-17  4.469E-17  1.00E-07
  7.500E-04 4.36782E-16  1.618E-09  1.806E-08  1.051E-08  4.582E-17  4.623E-17  1.00E-07
  7.750E-04 4.36782E-16  1.672E-09  1.806E-08  1.051E-08  4.734E-17  4.777E-17  1.00E-07
  8.000E-04 4.36782E-16  1.726E-09  1.806E-08  1.051E-08  4.887E-17  4.931E-17  1.00E-07
  8.250E-04 4.36782E-16  1.780E-09  1.806E-08  1.051E-08  5.040E-17  5.085E-17  1.00E-07
  8.500E-04 4.36782E-16  1.834E-09  1.806E-08  1.051E-08  5.192E-17  5.239E-17  1.00E-07
  8.750E-04 4.36782E-16  1.888E-09  1.806E-08  1.051E-08  5.345E-17  5.393E-17  1.00E-07
  9.000E-04 4.36782E-16  1.941E-09  1.806E-08  1.051E-08  5.498E-17  5.547E-17  1.00E-07
  9.250E-04 4.36782E-16  1.995E-09  1.806E-08  1.051E-08  5.651E-17  5.702E-17  1.00E-07
  9.500E-04 4.36782E-16  2.049E-09  1.806E-08  1.051E-08  5.803E-17  5.856E-17  1.00E-07
  9.750E-04 4.36782E-16  2.103E-09  1.806E-08  1.051E-08  5.956E-17  6.010E-17  1.00E-07
  1.000E-03 4.36782E-16  2.157E-09  1.806E-08  1.051E-08  6.109E-17  6.164E-17  1.00E-07
  1.250E-03 4.36782E-16  2.697E-09  1.806E-08  1.051E-08  7.636E-17  7.705E-17  1.00E-07
  1.500E-03 4.36782E-16  3.236E-09  1.806E-08  1.051E-08  9.163E-17  9.246E-17  1.00E-07
  1.750E-03 4.36782E-16  3.775E-09  1.806E-08  1.051E-08  1.069E-16  1.079E-16  1.00E-07
  2.000E-03 4.36782E-16  4.314E-09  1.806E-08  1.051E-08  1.222E-16  1.233E-16  1.00E-07
  2.250E-03 4.36782E-16  4.854E-09  1.806E-08  1.051E-08  1.374E-16  1.387E-16  1.00E-07
  2.500E-03 4.36782E-16  5.393E-09  1.806E-08  1.051E-08  1.527E-16  1.541E-16  1.00E-07
  2.750E-03 4.36782E-16  5.932E-09  1.806E-08  1.051E-08  1.680E-16  1.695E-16  1.00E-07
  3.000E-03 4.36782E-16  6.472E-09  1.806E-08  1.051E-08  1.833E-16  1.849E-16  1.00E-07
  3.250E-03 4.36782E-16  7.011E-09  1.806E-08  1.051E-08  1.985E-16  2.003E-16  1.00E-07
  3.500E-03 4.36782E-16  7.550E-09  1.806E-08  1.051E-08  2.138E-16  2.157E-16  1.00E-07
  3.750E-03 4.36782E-16  8.090E-09  1.806E-08  1.051E-08  2.291E-16  2.311E-16  1.00E-07
  4.000E-03 4.36782E-16  8.629E-09  1.806E-08  1.051E-08  2.444E-16  2.466E-16  1.00E-07
  4.250E-03 4.36782E-16  9.168E-09  1.806E-08  1.051E-08  2.596E-16  2.620E-16  1.00E-07
  4.500E-03 4.36782E-16  9.707E-09  1.806E-08  1.051E-08  2.749E-16  2.774E-16  1.00E-07
  4.750E-03 4.36782E-16  1.025E-08  1.806E-08  1.051E-08  2.902E-16  2.928E-16  1.00E-07
  5.000E-03 4.36782E-16  1.079E-08  1.806E-08  1.051E-08  3.054E-16  3.082E-16  1.00E-07
  5.250E-03 4.36782E-16  1.133E-08  1.806E-08  1.051E-08  3.207E-16  3.236E-16  1.00E-07
  5.500E-03 4.36782E-16  1.186E-08  1.806E-08  1.051E-08  3.360E-16  3.390E-16  1.00E-07
  5.750E-03 4.36782E-16  1.240E-08  1.806E-08  1.051E-08  3.513E-16  3.544E-16  1.00E-07
  6.000E-03 4.36782E-16  1.294E-08  1.806E-08  1.051E-08  3.665E-16  3.698E-16  1.00E-07
  6.250E-03 4.36782E-16  1.348E-08  1.806E-08  1.051E-08  3.818E-16  3.852E-16  1.00E-07
  6.500E-03 4.36782E-16  1.402E-08  1.806E-08  1.051E-08  3.971E-16  4.007E-16  1.00E-07
  6.750E-03 4.36782E-16  1.456E-08  1.806E-08  1.051E-08  4.123E-16  4.161E-16  1.00E-07
  7.000E-03 4.36782E-16  1.510E-08  1.806E-08  1.051E-08  4.276E-16  4.315E-16  1.00E-07
  7.250E-03 4.36782E-16  1.564E-08  1.806E-08  1.051E-08  4.429E-16  4.469E-16  1.00E-07
  7.500E-03 4.36782E-16  1.618E-08  1.806E-08  1.051E-08  4.582E-16  4.623E-16  1.00E-07
  7.750E-03 4.36782E-16  1.672E-08  1.806E-08  1.051E-08  4.734E-16  4.777E-16  1.00E-07
  8.000E-03 4.36782E-16  1.726E-08  1.806E-08  1.051E-08  4.887E-16  4.931E-16  1.00E-07
  8.250E-03 4.36782E-16  1.780E-08  1.806E-08  1.051E-08  5.040E-16  5.085E-16  1.00E-07
  8.500E-03 4.36782E-16  1.834E-08  1.806E-08  1.051E-08  5.192E-16  5.239E-16  1.00E-07
  8.750E-03 4.36782E-16  1.888E-08  1.806E-08  1.051E-08  5.345E-16  5.393E-16  1.00E-07
  9.000E-03 4.36782E-16  1.941E-08  1.806E-08  1.051E-08  5.498E-16  5.547E-16  1.00E-07
  9.250E-03 4.36782E-16  1.995E-08  1.806E-08  1.051E-08  5.651E-16  5.702E-16  1.00E-07
  9.500E-03 4.36782E-16  2.049E-08  1.806E-08  1.051E-08  5.803E-16  5.856E-16  1.00E-07
  9.750E-03 4.36782E-16  2.103E-08  1.806E-08  1.051E-08  5.956E-16  6.010E-16  1.00E-07
  1.000E-02 4.36782E-16  2.157E-08  1.806E-08  1.051E-08  6.109E-16  6.164E-16  1.00E-07
  1.250E-02 4.36782E-16  2.697E-08  1.806E-08  1.051E-08  7.636E-16  7.705E-16  1.00E-07
  1.500E-02 4.36782E-16  3.236E-08  1.806E-08  1.051E-08  9.163E-16  9.246E-16  1.00E-07
  1.750E-02 4.36782E-16  3.775E-08  1.806E-08  1.051E-08  1.069E-15  1.079E-15  1.00E-07
  2.000E-02 4.36781E-16  4.314E-08  1.806E-08  1.051E-08  1.222E-15  1.233E-15  1.00E-07
  2.250E-02 4.36781E-16  4.854E-08  1.806E-08  1.051E-08  1.374E-15  1.387E-15  1.00E-07
  2.500E-02 4.36781E-16  5.393E-08  1.806E-08  1.051E-08  1.527E-15  1.541E-15  1.00E-07
  2.750E-02 4.36781E-16  5.932E-08  1.806E-08  1.051E-08  1.680E-15  1.695E-15  1.00E-07
  3.000E-02 4.36780E-16  6.472E-08  1.806E-08  1.051E-08  1.833E-15  1.849E-15  1.00E-07
  3.250E-02 4.36780E-16  7.011E-08  1.806E-08  1.051E-08  1.985E-15  2.003E-15  1.00E-07
  3.500E-02 4.36780E-16  7.550E-08  1.806E-08  1.051E-08  2.138E-15  2.157E-15  1.00E-07
  3.750E-02 4.36779E-16  8.090E-08  1.806E-08  1.051E-08  2.291E-15  2.311E-15  1.00E-07
  4.000E-02 4.36779E-16  8.629E-08  1.806E-08  1.051E-08  2.444E-15  2.466E-15  1.00E-07
  4.250E-02 4.36779E-16  9.168E-08  1.806E-08  1.051E-08  2.596E-15  2.620E-15  1.00E-07
  4.500E-02 4.36778E-16  9.707E-08  1.806E-08  1.051E-08  2.749E-15  2.774E-15  1.00E-07
  4.750E-02 4.36778E-16  1.025E-07  1.806E-08  1.051E-08  2.902E-15  2.928E-15  1.00E-07
  5.000E-02 4.36777E-16  1.079E-07  1.806E-08  1.051E-08  3.054E-15  3.082E-15  1.00E-07
  5.250E-02 4.36777E-16  1.133E-07  1.806E-08  1.051E-08  3.207E-15  3.236E-15  1.00E-07
  5.500E-02 4.36776E-16  1.186E-07  1.806E-08  1.051E-08  3.360E-15  3.390E-15  1.00E-07
  5.750E-02 4.36776E-16  1.240E-07  1.806E-08  1.051E-08  3.513E-15  3.544E-15  1.00E-07
  6.000E-02 4.36775E-16  1.294E-07  1.806E-08  1.051E-08  3.665E-15  3.698E-15  1.00E-07
  6.250E-02 4.36775E-16  1.348E-07  1.806E-08  1.051E-08  3.818E-15  3.852E-15  1.00E-07
  6.500E-02 4.36774E-16  1.402E-07  1.806E-08  1.051E-08  3.971E-15  4.007E-15  1.00E-07
  6.750E-02 4.36773E-16  1.456E-07  1.806E-08  1.051E-08  4.123E-15  4.161E-15  1.00E-07
  7.000E-02 4.36773E-16  1.510E-07  1.806E-08  1.051E-08  4.276E-15  4.315E-15  1.00E-07
  7.250E-02 4.36772E-16  1.564E-07  1.806E-08  1.051E-08  4.429E-15  4.469E-15  1.00E-07
  7.500E-02 4.36771E-16  1.618E-07  1.806E-08  1.051E-08  4.582E-15  4.623E-15  1.00E-07
  7.750E-02 4.36770E-16  1.672E-07  1.806E-08  1.051E-08  4.734E-15  4.777E-15  1.00E-07
  8.000E-02 4.36770E-16  1.726E-07  1.806E-08  1.051E-08  4.887E-15  4.931E-15  1.00E-07
  8.250E-02 4.36769E-16  1.780E-07  1.806E-08  1.051E-08  5.040E-15  5.085E-15  1.00E-07
  8.500E-02 4.36768E-16  1.834E-07  1.806E-08  1.051E-08  5.192E-15  5.239E-15  1.00E-07
  8.750E-02 4.36767E-16  1.888E-07  1.806E-08  1.051E-08  5.345E-15  5.393E-15  1.00E-07
  9.000E-02 4.36766E-16  1.942E-07  1.806E-08  1.051E-08  5.498E-15  5.547E-15  1.00E-07
  9.250E-02 4.36765E-16  1.995E-07  1.806E-08  1.051E-08  5.650E-15  5.702E-15  1.00E-07
  9.500E-02 4.36764E-16  2.049E-07  1.806E-08  1.051E-08  5.803E-15  5.856E-15  1.00E-07
  9.750E-02 4.36763E-16  2.103E-07  1.806E-08  1.051E-08  5.956E-15  6.010E-15  1.00E-07
  1.000E-01 4.36763E-16  2.157E-07  1.806E-08  1.051E-08  6.109E-15  6.164E-15  1.00E-07
  1.250E-01 4.36751E-16  2.697E-07  1.806E-08  1.051E-08  7.636E-15  7.705E-15  1.00E-07
  1.500E-01 4.36738E-16  3.236E-07  1.806E-08  1.051E-08  9.163E-15  9.246E-15  1.00E-07
  1.750E-01 4.36722E-16  3.775E-07  1.806E-08  1.051E-08  1.069E-14  1.079E-14  1.00E-07
  2.000E-01 4.36704E-16  4.315E-07  1.806E-08  1.051E-08  1.222E-14  1.233E-14  1.00E-07
  2.250E-01 4.36683E-16  4.854E-07  1.806E-08  1.051E-08  1.374E-14  1.387E-14  1.00E-07
  2.500E-01 4.36659E-16  5.394E-07  1.806E-08  1.051E-08  1.527E-14  1.541E-14  1.00E-07
  2.750E-01 4.36633E-16  5.933E-07  1.806E-08  1.051E-08  1.680E-14  1.695E-14  1.00E-07
  3.000E-01 4.36605E-16  6.473E-07  1.806E-08  1.051E-08  1.832E-14  1.849E-14  1.00E-07
  3.250E-01 4.36574E-16  7.012E-07  1.806E-08  1.051E-08  1.985E-14  2.003E-14  1.00E-07
  3.500E-01 4.36541E-16  7.552E-07  1.806E-08  1.051E-08  2.137E-14  2.157E-14  1.00E-07
  3.750E-01 4.36506E-16  8.092E-07  1.806E-08  1.051E-08  2.290E-14  2.311E-14  1.00E-07
  4.000E-01 4.36468E-16  8.632E-07  1.805E-08  1.051E-08  2.442E-14  2.465E-14  1.00E-07
  4.250E-01 4.36427E-16  9.172E-07  1.805E-08  1.051E-08  2.595E-14  2.619E-14  1.00E-07
  4.500E-01 4.36384E-16  9.712E-07  1.805E-08  1.051E-08  2.747E-14  2.773E-14  1.00E-07
  4.750E-01 4.36339E-16  1.025E-06  1.805E-08  1.051E-08  2.900E-14  2.928E-14  1.00E-07
  5.000E-01 4.36291E-16  1.079E-06  1.805E-08  1.051E-08  3.052E-14  3.082E-14  1.00E-07
  5.250E-01 4.36241E-16  1.133E-06  1.805E-08  1.051E-08  3.204E-14  3.236E-14  1.00E-07
  5.500E-01 4.36188E-16  1.187E-06  1.805E-08  1.051E-08  3.357E-14  3.390E-14  1.00E-07
  5.750E-01 4.36133E-16  1.241E-06  1.805E-08  1.051E-08  3.509E-14  3.544E-14  1.00E-07
  6.000E-01 4.36075E-16  1.295E-06  1.804E-08  1.051E-08  3.661E-14  3.698E-14  1.00E-07
  6.250E-01 4.36015E-16  1.349E-06  1.804E-08  1.051E-08  3.813E-14  3.852E-14  1.00E-07
  6.500E-01 4.35952E-16  1.403E-06  1.804E-08  1.051E-08  3.965E-14  4.006E-14  1.00E-07
  6.750E-01 4.35887E-16  1.458E-06  1.804E-08  1.051E-08  4.117E-14  4.160E-14  1.00E-07
  7.000E-01 4.35820E-16  1.512E-06  1.804E-08  1.051E-08  4.269E-14  4.314E-14  1.00E-07
  7.250E-01 4.35750E-16  1.566E-06  1.804E-08  1.051E-08  4.421E-14  4.468E-14  1.00E-07
  7.500E-01 4.35678E-16  1.620E-06  1.803E-08  1.051E-08  4.573E-14  4.622E-14  1.00E-07
  7.750E-01 4.35603E-16  1.674E-06  1.803E-08  1.051E-08  4.725E-14  4.776E-14  1.00E-07
  8.000E-01 4.35526E-16  1.728E-06  1.803E-08  1.051E-08  4.877E-14  4.930E-14  1.00E-07
  8.250E-01 4.35446E-16  1.782E-06  1.803E-08  1.051E-08  5.028E-14  5.083E-14  1.00E-07
  8.500E-01 4.35364E-16  1.836E-06  1.803E-08  1.051E-08  5.180E-14  5.237E-14  1.00E-07
  8.750E-01 4.35280E-16  1.891E-06  1.802E-08  1.051E-08  5.332E-14  5.391E-14  1.00E-07
  9.000E-01 4.35193E-16  1.945E-06  1.802E-08  1.051E-08  5.483E-14  5.545E-14  1.00E-07
  9.250E-01 4.35104E-16  1.999E-06  1.802E-08  1.051E-08  5.635E-14  5.699E-14  1.00E-07
  9.500E-01 4.35012E-16  2.053E-06  1.802E-08  1.051E-08  5.786E-14  5.853E-14  1.00E-07
  9.750E-01 4.34918E-16  2.108E-06  1.801E-08  1.051E-08  5.937E-14  6.007E-14  1.00E-07
  1.000E+00 4.34821E-16  2.162E-06  1.801E-08  1.051E-08  6.089E-14  6.161E-14  1.00E-07
  1.100E+00 4.34411E-16  2.379E-06  1.800E-08  1.050E-08  6.693E-14  6.776E-14  1.00E-07
  1.200E+00 4.33962E-16  2.597E-06  1.799E-08  1.050E-08  7.296E-14  7.391E-14  1.00E-07
  1.300E+00 4.33475E-16  2.814E-06  1.798E-08  1.050E-08  7.897E-14  8.006E-14  1.00E-07
  1.400E+00 4.32950E-16  3.033E-06  1.796E-08  1.050E-08  8.497E-14  8.621E-14  1.00E-07
  1.500E+00 4.32387E-16  3.251E-06  1.795E-08  1.050E-08  9.096E-14  9.235E-14  1.00E-07
  1.600E+00 4.31786E-16  3.470E-06  1.793E-08  1.050E-08  9.692E-14  9.850E-14  1.00E-07
  1.700E+00 4.31147E-16  3.690E-06  1.792E-08  1.049E-08  1.029E-13  1.046E-13  1.00E-07
  1.800E+00 4.30471E-16  3.910E-06  1.790E-08  1.049E-08  1.088E-13  1.108E-13  1.00E-07
  1.900E+00 4.29758E-16  4.130E-06  1.788E-08  1.049E-08  1.147E-13  1.169E-13  1.00E-07
  2.000E+00 4.29009E-16  4.351E-06  1.786E-08  1.049E-08  1.206E-13  1.230E-13  1.00E-07
  2.100E+00 4.28222E-16  4.573E-06  1.784E-08  1.048E-08  1.264E-13  1.292E-13  1.00E-07
  2.200E+00 4.27400E-16  4.795E-06  1.782E-08  1.048E-08  1.323E-13  1.353E-13  1.00E-07
  2.300E+00 4.26541E-16  5.018E-06  1.780E-08  1.048E-08  1.381E-13  1.414E-13  1.00E-07
  2.400E+00 4.25647E-16  5.241E-06  1.778E-08  1.047E-08  1.439E-13  1.475E-13  1.00E-07
  2.500E+00 4.24717E-16  5.465E-06  1.775E-08  1.047E-08  1.496E-13  1.536E-13  1.00E-07
  2.600E+00 4.23753E-16  5.690E-06  1.773E-08  1.047E-08  1.553E-13  1.597E-13  1.00E-07
  2.700E+00 4.22753E-16  5.915E-06  1.770E-08  1.046E-08  1.610E-13  1.658E-13  1.00E-07
  2.800E+00 4.21720E-16  6.141E-06  1.767E-08  1.046E-08  1.667E-13  1.719E-13  1.00E-07
  2.900E+00 4.20652E-16  6.368E-06  1.765E-08  1.045E-08  1.723E-13  1.780E-13  1.00E-07
  3.000E+00 4.19550E-16  6.596E-06  1.762E-08  1.045E-08  1.779E-13  1.841E-13  1.00E-07
  3.100E+00 4.18416E-16  6.825E-06  1.759E-08  1.045E-08  1.835E-13  1.902E-13  1.00E-07
  3.200E+00 4.17248E-16  7.054E-06  1.756E-08  1.044E-08  1.890E-13  1.962E-13  1.00E-07
  3.300E+00 4.16048E-16  7.285E-06  1.752E-08  1.044E-08  1.945E-13  2.023E-13  1.00E-07
  3.400E+00 4.14816E-16  7.516E-06  1.749E-08  1.043E-08  2.000E-13  2.084E-13  1.00E-07
  3.500E+00 4.13552E-16  7.748E-06  1.746E-08  1.043E-08  2.054E-13  2.144E-13  1.00E-07
  3.600E+00 4.12257E-16  7.981E-06  1.742E-08  1.042E-08  2.107E-13  2.205E-13  1.00E-07
  3.700E+00 4.10931E-16  8.215E-06  1.739E-08  1.042E-08  2.161E-13  2.265E-13  1.00E-07
  3.800E+00 4.09575E-16  8.451E-06  1.735E-08  1.041E-08  2.214E-13  2.326E-13  1.00E-07
  3.900E+00 4.08189E-16  8.687E-06  1.732E-08  1.041E-08  2.266E-13  2.386E-13  1.00E-07
  4.000E+00 4.06773E-16  8.924E-06  1.728E-08  1.040E-08  2.318E-13  2.446E-13  1.00E-07
  4.100E+00 4.05328E-16  9.163E-06  1.724E-08  1.040E-08  2.370E-13  2.506E-13  1.00E-07
  4.200E+00 4.03855E-16  9.402E-06  1.720E-08  1.039E-08  2.421E-13  2.566E-13  1.00E-07
  4.300E+00 4.02354E-16  9.643E-06  1.716E-08  1.039E-08  2.472E-13  2.626E-13  1.00E-07
  4.400E+00 4.00825E-16  9.885E-06  1.712E-08  1.038E-08  2.522E-13  2.686E-13  1.00E-07
  4.500E+00 3.99269E-16  1.013E-05  1.708E-08  1.037E-08  2.572E-13  2.746E-13  1.00E-07
  4.600E+00 3.97687E-16  1.037E-05  1.704E-08  1.037E-08  2.621E-13  2.806E-13  1.00E-07
  4.700E+00 3.96078E-16  1.062E-05  1.699E-08  1.036E-08  2.670E-13  2.866E-13  1.00E-07
  4.800E+00 3.94444E-16  1.087E-05  1.695E-08  1.035E-08  2.719E-13  2.925E-13  1.00E-07
  4.900E+00 3.92784E-16  1.111E-05  1.690E-08  1.035E-08  2.766E-13  2.985E-13  1.00E-07
  5.000E+00 3.91101E-16  1.136E-05  1.686E-08  1.034E-08  2.814E-13  3.044E-13  1.00E-07
  5.100E+00 3.89393E-16  1.161E-05  1.681E-08  1.033E-08  2.860E-13  3.103E-13  1.00E-07
  5.200E+00 3.87661E-16  1.187E-05  1.676E-08  1.033E-08  2.907E-13  3.163E-13  1.00E-07
  5.300E+00 3.85907E-16  1.212E-05  1.672E-08  1.032E-08  2.952E-13  3.222E-13  1.00E-07
  5.400E+00 3.84130E-16  1.238E-05  1.667E-08  1.031E-08  2.998E-13  3.281E-13  1.00E-07
  5.500E+00 3.82331E-16  1.263E-05  1.662E-08  1.030E-08  3.042E-13  3.340E-13  1.00E-07
  5.600E+00 3.80511E-16  1.289E-05  1.657E-08  1.030E-08  3.086E-13  3.399E-13  1.00E-07
  5.700E+00 3.78670E-16  1.315E-05  1.652E-08  1.029E-08  3.130E-13  3.457E-13  1.00E-07
  5.800E+00 3.76808E-16  1.341E-05  1.647E-08  1.028E-08  3.173E-13  3.516E-13  1.00E-07
  5.900E+00 3.74927E-16  1.368E-05  1.641E-08  1.027E-08  3.215E-13  3.575E-13  1.00E-07
  6.000E+00 3.73027E-16  1.394E-05  1.636E-08  1.027E-08  3.257E-13  3.633E-13  1.00E-07
