 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.24000E+02 eV = 8.23185E+00 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.72277E-16 cm**2 = 6.15212E+00 a0**2
 # 1st transport cross section = 4.21064E-17 cm**2 = 1.50365E+00 a0**2
 # 2nd transport cross section = 6.61484E-17 cm**2 = 2.36220E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.250E-03  2.97478E-09  4.36782E-16  1.55978E+01  1.34825E-08  1.0E-07
  6.500E-03  3.21752E-09  4.36782E-16  1.55978E+01  1.40218E-08  1.0E-07
  6.750E-03  3.46978E-09  4.36782E-16  1.55978E+01  1.45611E-08  1.0E-07
  7.000E-03  3.73156E-09  4.36782E-16  1.55978E+01  1.51004E-08  1.0E-07
  7.250E-03  4.00286E-09  4.36782E-16  1.55978E+01  1.56397E-08  1.0E-07
  7.500E-03  4.28368E-09  4.36782E-16  1.55978E+01  1.61790E-08  1.0E-07
  7.750E-03  4.57402E-09  4.36782E-16  1.55978E+01  1.67183E-08  1.0E-07
  8.000E-03  4.87388E-09  4.36782E-16  1.55978E+01  1.72576E-08  1.0E-07
  8.250E-03  5.18326E-09  4.36782E-16  1.55978E+01  1.77969E-08  1.0E-07
  8.500E-03  5.50215E-09  4.36782E-16  1.55978E+01  1.83362E-08  1.0E-07
  8.750E-03  5.83057E-09  4.36782E-16  1.55978E+01  1.88755E-08  1.0E-07
  9.000E-03  6.16850E-09  4.36782E-16  1.55978E+01  1.94148E-08  1.0E-07
  9.250E-03  6.51596E-09  4.36782E-16  1.55978E+01  1.99541E-08  1.0E-07
  9.500E-03  6.87293E-09  4.36782E-16  1.55978E+01  2.04934E-08  1.0E-07
  9.750E-03  7.23942E-09  4.36782E-16  1.55978E+01  2.10327E-08  1.0E-07
  1.000E-02  7.61544E-09  4.36782E-16  1.55978E+01  2.15720E-08  1.0E-07
  1.250E-02  1.18991E-08  4.36782E-16  1.55978E+01  2.69650E-08  1.0E-07
  1.500E-02  1.71347E-08  4.36782E-16  1.55978E+01  3.23581E-08  1.0E-07
  1.750E-02  2.33223E-08  4.36782E-16  1.55978E+01  3.77511E-08  1.0E-07
  2.000E-02  3.04617E-08  4.36781E-16  1.55977E+01  4.31441E-08  1.0E-07
  2.250E-02  3.85531E-08  4.36781E-16  1.55977E+01  4.85371E-08  1.0E-07
